	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.195	-0.0696	-0.0001	-0.0303	0.0234	-0.0068	-0.0044	-0.0043	-0.0045	0.0125	-0.003	-0.0017	0.0087	0.0012	-0.0013	0.0076	-0.003	-0.0033	0.0053	-0.0034	0.0185	-0.0026	-0.0028	0.0	0.0115	-0.0006	-0.0035	-0.0037	-0.004	-0.0033	0.0014	-0.0027	-0.0035	0.0003	-0.0034	-0.0038	-0.0025	-0.0036	-0.003	-0.0027	0.0042	-0.0038	0.0243	-0.0032	0.0073	-0.0012	-0.0024	0.0053	-0.0023	-0.0025	0.0162	0.0022	0.0002	0.0047	-0.0031	0.0097	-0.0026	-0.0038	0.0043	-0.0026	0.0091	0.0167	-0.0016	0.0119	-0.0031	0.0431	-0.0026	0.0224	0.0016	0.0062	0.0022	-0.0022	-0.0036	0.0218	0.0049	-0.0017	0.0028	0.0153	0.0	-0.0016	-0.0018	0.0072	0.0055	0.0	-0.0027	-0.0019	0.0109	-0.0037	-0.0035	0.0007	-0.0033	-0.0027	0.0081	0.0215	0.0046	-0.0002	0.0012	-0.0035	0.0042	-0.0032
direct_vc_estimate_se	13.1979	9.0238	3.2798	2.4354	0.908	0.4243	0.3144	0.3935	0.3035	0.3217	0.2675	0.3179	0.2405	0.2395	0.2744	0.2225	0.2189	0.2418	0.2466	0.226	0.228	0.1954	0.2257	0.221	0.2302	0.2253	0.2104	0.2227	0.2364	0.2061	0.209	0.2169	0.211	0.221	0.2208	0.2245	0.2057	0.2159	0.2185	0.2064	0.2262	0.2225	0.214	0.2041	0.2184	0.2166	0.2042	0.2162	0.1986	0.207	0.1978	0.204	0.2246	0.2192	0.188	0.2208	0.212	0.2199	0.2278	0.2122	0.2332	0.24	0.2241	0.2348	0.2209	0.2066	0.2109	0.2158	0.2055	0.224	0.2006	0.216	0.212	0.2306	0.2206	0.1995	0.1995	0.2358	0.2015	0.2154	0.2101	0.222	0.2326	0.2138	0.212	0.2112	0.2014	0.2232	0.2229	0.1952	0.2253	0.225	0.2045	0.2172	0.2372	0.1956	0.2089	0.2069	0.22	0.2176
direct_vc_pvals	0.736	0.492	0.389	0.656	0.256	0.814	0.662	0.624	0.766	0.139	0.594	0.501	0.156	0.303	0.464	0.132	0.683	0.703	0.205	0.743	0.068	0.703	0.665	0.432	0.132	0.442	0.899	0.895	0.935	0.833	0.362	0.703	0.865	0.404	0.795	0.927	0.709	0.899	0.733	0.691	0.263	0.925	0.021	0.786	0.201	0.516	0.664	0.263	0.668	0.683	0.06	0.342	0.451	0.239	0.882	0.15	0.673	0.977	0.246	0.668	0.149	0.083	0.551	0.099	0.776	0.004	0.678	0.033	0.339	0.211	0.335	0.607	0.937	0.034	0.235	0.598	0.316	0.073	0.426	0.572	0.621	0.195	0.204	0.46	0.672	0.586	0.115	0.872	0.809	0.392	0.751	0.664	0.155	0.03	0.246	0.489	0.37	0.943	0.294	0.783
upper95_perm_direct	0.7905	0.5138	0.2559	0.2168	0.105	0.0221	0.0182	0.0374	0.0221	0.0293	0.0203	0.0263	0.0213	0.017	0.0222	0.0175	0.015	0.0195	0.0204	0.017	0.0245	0.0196	0.0224	0.0195	0.0235	0.0198	0.0205	0.0242	0.0177	0.0215	0.0203	0.0206	0.0209	0.0209	0.0228	0.0208	0.0247	0.0198	0.0223	0.023	0.0242	0.0212	0.0195	0.0182	0.0258	0.0208	0.0186	0.0227	0.0229	0.02	0.0189	0.026	0.0242	0.021	0.0194	0.0237	0.0216	0.0247	0.0209	0.0228	0.0216	0.0239	0.0226	0.0201	0.0255	0.0194	0.0186	0.0208	0.0216	0.0229	0.0209	0.0208	0.0199	0.0186	0.0216	0.0204	0.0206	0.0204	0.0215	0.0199	0.0239	0.0213	0.0196	0.0183	0.0213	0.0222	0.0199	0.0188	0.0192	0.0189	0.021	0.0202	0.0218	0.0189	0.0218	0.0207	0.0206	0.0224	0.0252	0.022
lower0_perm_direct	-0.2822	-0.1916	-0.0701	-0.0501	-0.0188	-0.0087	-0.0065	-0.0083	-0.0064	-0.0067	-0.0055	-0.0067	-0.005	-0.0049	-0.0056	-0.0046	-0.0045	-0.0051	-0.0051	-0.0047	-0.0046	-0.0041	-0.0046	-0.0045	-0.0048	-0.0047	-0.0043	-0.0046	-0.0049	-0.0044	-0.0043	-0.0046	-0.0045	-0.0046	-0.0045	-0.0047	-0.0042	-0.0046	-0.0045	-0.0044	-0.0046	-0.0047	-0.0045	-0.0044	-0.0045	-0.0045	-0.0042	-0.0046	-0.0041	-0.0043	-0.0042	-0.0042	-0.0048	-0.0047	-0.0039	-0.0047	-0.0044	-0.0045	-0.0047	-0.0044	-0.0048	-0.0051	-0.0046	-0.005	-0.0045	-0.0042	-0.0045	-0.0045	-0.0042	-0.0045	-0.0041	-0.0045	-0.0044	-0.0049	-0.0046	-0.0042	-0.0041	-0.0049	-0.0043	-0.0045	-0.0043	-0.0046	-0.0048	-0.0045	-0.0044	-0.0045	-0.0042	-0.0046	-0.0047	-0.004	-0.0047	-0.0046	-0.0042	-0.0045	-0.005	-0.004	-0.0043	-0.0042	-0.0046	-0.0046
sad_vc_estimate	-0.1377	-0.1571	-0.0207	-0.037	-0.0032	-0.0073	-0.0033	0.0015	-0.0048	0.0026	-0.0035	-0.0057	0.0108	-0.0005	-0.0014	0.005	-0.002	-0.0038	0.0026	-0.0017	0.0414	-0.0004	-0.0022	-0.0029	0.0133	0.0004	-0.0033	-0.0029	-0.0034	-0.0032	0.0109	-0.0032	-0.0037	0.0027	-0.0017	-0.004	0.0039	-0.0031	-0.0037	0.003	-0.0015	-0.0011	0.0171	-0.0035	-0.0016	0.0008	-0.0032	0.0088	-0.0031	0.0033	0.0195	-0.0028	0.0041	-0.0016	-0.0025	0.0136	-0.0039	-0.0039	-0.0006	0.0001	0.0018	0.0225	-0.0039	0.0188	-0.0014	0.0202	-0.0035	0.0213	0.0057	0.0089	-0.0002	-0.0035	-0.0039	0.0202	0.0013	0.0005	0.0111	0.0161	-0.0021	-0.0037	-0.0003	0.0065	0.0134	0.0031	-0.0037	-0.0001	0.0223	-0.004	-0.0029	-0.0032	-0.0041	-0.0026	0.003	0.0207	0.0136	-0.0024	0.0013	-0.0034	0.0081	-0.0032
sad_vc_estimate_se	14.0005	9.6083	3.4682	2.5752	0.9604	0.4479	0.3334	0.4176	0.3207	0.3395	0.284	0.3345	0.255	0.2531	0.2871	0.2347	0.2305	0.2557	0.261	0.2382	0.2423	0.2075	0.2386	0.2337	0.2432	0.2381	0.223	0.2359	0.2497	0.2189	0.2215	0.2294	0.2235	0.2337	0.2334	0.2377	0.2186	0.2292	0.2312	0.2191	0.2388	0.2351	0.2267	0.2169	0.2309	0.229	0.2165	0.2289	0.211	0.2194	0.2101	0.2165	0.2369	0.2317	0.2002	0.2336	0.2251	0.2323	0.2413	0.2245	0.2465	0.2523	0.2372	0.247	0.2333	0.219	0.2235	0.2287	0.2181	0.2371	0.2128	0.2282	0.2242	0.2426	0.2336	0.2118	0.2121	0.248	0.2137	0.2277	0.2225	0.2341	0.245	0.226	0.2242	0.2235	0.2136	0.236	0.2353	0.2074	0.2386	0.2372	0.2166	0.2296	0.2497	0.208	0.221	0.2194	0.2322	0.2301
sad_vc_pvals	0.545	0.833	0.53	0.753	0.546	0.839	0.509	0.41	0.778	0.34	0.652	0.957	0.127	0.407	0.468	0.226	0.536	0.751	0.35	0.516	0.016	0.414	0.633	0.67	0.176	0.425	0.781	0.697	0.712	0.8	0.129	0.754	0.89	0.345	0.589	0.937	0.318	0.712	0.866	0.352	0.575	0.514	0.074	0.824	0.55	0.396	0.774	0.209	0.795	0.311	0.069	0.714	0.265	0.571	0.708	0.136	0.964	0.911	0.505	0.457	0.353	0.075	0.889	0.071	0.583	0.05	0.855	0.052	0.256	0.183	0.456	0.8	0.992	0.074	0.4	0.471	0.132	0.093	0.631	0.858	0.492	0.252	0.113	0.336	0.887	0.46	0.047	0.952	0.691	0.813	0.977	0.664	0.307	0.062	0.136	0.674	0.384	0.841	0.216	0.746
upper95_perm_sad	0.9349	0.639	0.307	0.2489	0.1291	0.033	0.0164	0.0416	0.0265	0.0311	0.0209	0.0309	0.0228	0.0209	0.0222	0.0185	0.017	0.0225	0.0252	0.0197	0.0306	0.0203	0.0267	0.0244	0.0349	0.0258	0.024	0.0281	0.0265	0.03	0.0273	0.0259	0.0243	0.0263	0.0284	0.0254	0.0279	0.0234	0.0263	0.0274	0.03	0.0254	0.0232	0.0248	0.0274	0.0265	0.0236	0.0286	0.0258	0.0252	0.0247	0.0243	0.0225	0.0263	0.024	0.0279	0.026	0.0265	0.028	0.0254	0.026	0.0298	0.0265	0.0241	0.0273	0.0217	0.0238	0.0228	0.0239	0.0239	0.0257	0.0245	0.0223	0.0267	0.0273	0.0252	0.0259	0.0281	0.0268	0.0288	0.0258	0.025	0.0236	0.0261	0.0222	0.0217	0.0225	0.0251	0.0246	0.0217	0.0297	0.0263	0.0215	0.0263	0.0282	0.0275	0.0246	0.0307	0.0284	0.0292
lower0_perm_sad	-0.2899	-0.2013	-0.0712	-0.0527	-0.0198	-0.0093	-0.0069	-0.0089	-0.0067	-0.0073	-0.0059	-0.0069	-0.0054	-0.0054	-0.006	-0.005	-0.0048	-0.0053	-0.0054	-0.0049	-0.0049	-0.0044	-0.0051	-0.0048	-0.0051	-0.005	-0.0047	-0.0049	-0.0051	-0.0045	-0.0047	-0.0049	-0.0046	-0.0048	-0.0048	-0.0048	-0.0044	-0.0047	-0.0048	-0.0047	-0.0049	-0.0049	-0.0047	-0.0046	-0.0048	-0.0048	-0.0044	-0.0047	-0.0044	-0.0045	-0.0043	-0.0045	-0.005	-0.0048	-0.0043	-0.0048	-0.0047	-0.0048	-0.0049	-0.0048	-0.0052	-0.0052	-0.0049	-0.0051	-0.0048	-0.0045	-0.0047	-0.0049	-0.0046	-0.0049	-0.0045	-0.0048	-0.0046	-0.005	-0.0048	-0.0045	-0.0043	-0.0053	-0.0046	-0.0047	-0.0046	-0.0048	-0.005	-0.0047	-0.0047	-0.0046	-0.0045	-0.005	-0.005	-0.0044	-0.0049	-0.005	-0.0045	-0.0049	-0.0052	-0.0043	-0.0046	-0.0046	-0.0048	-0.0047
