	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0418	-0.0031	0.0416	0.108	0.0662	0.0085	-0.0003	0.0431	0.0002	0.001	0.0024	0.0013	0.0	0.0011	-0.0001	0.0001	-0.0	0.0001	0.0001	0.0062	-0.0	0.0017	-0.0001	0.0011	0.0012	0.0012	0.0	0.0	0.0001	0.0008	0.0002	0.0018	-0.0	-0.0	-0.0	0.0013	0.0017	0.0001	0.0074	0.0002	0.001	0.0013	0.0008	0.0002	0.0003	0.0004	0.0004	0.0001	0.0024	0.0	0.0026	0.0017	0.0015	0.0006	-0.0	0.0007	0.0041	0.0	-0.0	0.0028	0.0001	0.0019	0.0002	0.0001	0.0004	-0.0	0.0002	0.0036	0.0003	0.0018	0.0001	0.0001	0.0004	0.0012	0.0007	-0.0	0.0006	-0.0	0.0	0.0106	-0.0	0.0005	-0.0	0.0016	0.0028	0.0002	-0.0	0.0003	0.0001	0.0011	0.0002	0.0035	0.0001	0.0017	0.0041	0.0005	0.0001	0.0005	0.0002	0.002
direct_vc_estimate_se	0.0104	0.0028	0.0006	0.0005	0.0002	0.0002	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0
direct_vc_pvals	0.111	0.977	0.084	0.005	0.094	0.366	0.849	0.003	0.359	0.461	0.151	0.473	0.747	0.297	0.929	0.594	0.866	0.6	0.639	0.03	0.989	0.215	0.903	0.077	0.181	0.578	0.636	0.826	0.72	0.475	0.407	0.058	0.885	0.781	0.812	0.214	0.086	0.475	0.27	0.65	0.174	0.18	0.214	0.603	0.549	0.785	0.482	0.481	0.009	0.654	0.079	0.568	0.229	0.392	0.952	0.112	0.082	0.59	0.991	0.041	0.595	0.104	0.589	0.908	0.628	0.92	0.594	0.3	0.365	0.446	0.782	0.539	0.504	0.075	0.508	0.83	0.423	0.997	0.596	0.015	0.978	0.902	0.932	0.245	0.063	0.818	0.844	0.626	0.652	0.083	0.491	0.143	0.756	0.064	0.109	0.31	0.444	0.385	0.461	0.047
upper95_perm_direct	0.0965	0.2128	0.0709	0.1021	0.1188	0.0324	0.0055	0.0439	0.0023	0.0052	0.0061	0.0064	0.0028	0.0056	0.0025	0.0023	0.0026	0.0037	0.0036	0.0086	0.0049	0.0052	0.0034	0.002	0.0034	0.0104	0.0015	0.0032	0.0037	0.004	0.002	0.0027	0.0039	0.0029	0.0017	0.0045	0.003	0.0014	0.0203	0.0025	0.0026	0.0042	0.0029	0.003	0.004	0.0067	0.0045	0.0022	0.0026	0.0029	0.0045	0.0116	0.0037	0.0047	0.0035	0.0015	0.0075	0.0021	0.0027	0.0041	0.0019	0.004	0.0034	0.0071	0.0092	0.0027	0.0038	0.0105	0.0013	0.0079	0.0071	0.0016	0.0058	0.0021	0.0044	0.004	0.0028	0.002	0.0013	0.0129	0.0022	0.0085	0.0018	0.0038	0.0047	0.0037	0.0017	0.0057	0.0042	0.002	0.0016	0.0079	0.0043	0.0031	0.0081	0.0021	0.0013	0.0037	0.0022	0.0029
lower0_perm_direct	-0.0246	-0.0065	-0.0014	-0.0011	-0.0003	-0.0004	-0.0007	-0.0005	-0.0002	-0.0004	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001
sad_vc_estimate	0.1054	0.0129	0.1954	0.355	0.2197	0.0205	0.0005	0.1865	0.0032	0.0041	0.0104	0.0052	0.0001	0.0068	0.0009	0.0012	-0.0	0.0002	0.0009	0.0288	-0.0	0.0086	0.0007	0.0029	0.0058	0.0061	0.0006	0.0005	0.0051	0.0022	0.0023	0.0051	-0.0	0.0002	0.0001	0.0111	0.0083	0.0001	0.0329	0.0008	0.005	0.0033	0.003	-0.0	0.0	0.0044	0.0051	0.0	0.0073	0.0043	0.0102	0.01	0.0012	0.0017	0.0	0.0018	0.0155	-0.0001	0.0	0.0064	0.0016	0.0053	0.0008	0.004	0.0009	0.0001	0.0047	0.0151	0.0019	0.0034	0.0003	0.0026	0.0061	0.0066	0.0007	-0.0	0.0018	0.0001	0.0002	0.0281	0.0001	0.0022	0.0001	0.0018	0.0066	0.0024	-0.0	0.0008	0.001	0.0046	0.0008	0.0204	0.0	0.006	0.0101	0.003	0.0009	0.0086	0.0063	0.0021
sad_vc_estimate_se	0.0105	0.0029	0.0007	0.0005	0.0002	0.0002	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0
sad_vc_pvals	0.254	0.768	0.0	0.0	0.071	0.347	0.681	0.001	0.075	0.286	0.062	0.439	0.725	0.174	0.358	0.401	0.927	0.762	0.531	0.006	0.921	0.087	0.605	0.061	0.128	0.396	0.35	0.573	0.201	0.536	0.22	0.089	0.954	0.666	0.533	0.097	0.055	0.64	0.154	0.576	0.132	0.214	0.18	0.955	0.849	0.541	0.24	0.824	0.009	0.272	0.053	0.388	0.703	0.452	0.951	0.164	0.03	0.989	0.84	0.08	0.268	0.136	0.504	0.526	0.617	0.749	0.079	0.2	0.159	0.607	0.727	0.064	0.229	0.004	0.736	0.911	0.433	0.773	0.581	0.007	0.805	0.93	0.712	0.53	0.049	0.564	0.835	0.587	0.553	0.062	0.325	0.087	0.906	0.042	0.089	0.149	0.604	0.126	0.145	0.157
upper95_perm_sad	0.3641	0.6286	0.1734	0.2667	0.3507	0.0924	0.0151	0.1729	0.0058	0.0129	0.0171	0.024	0.0046	0.0172	0.0055	0.0086	0.0099	0.0146	0.01	0.0312	0.0101	0.0155	0.0122	0.0046	0.0138	0.022	0.0031	0.0095	0.0179	0.0115	0.0084	0.0094	0.0147	0.0074	0.0028	0.0216	0.0126	0.0034	0.0627	0.0064	0.0112	0.0116	0.0088	0.0068	0.0143	0.0185	0.0184	0.01	0.0074	0.0189	0.0159	0.0423	0.0133	0.0149	0.0116	0.0051	0.0215	0.0081	0.0107	0.0113	0.0071	0.0125	0.0096	0.0326	0.0285	0.0053	0.0079	0.0352	0.0043	0.0335	0.016	0.0045	0.0223	0.0061	0.0186	0.0124	0.0086	0.0035	0.0036	0.029	0.0061	0.0287	0.0051	0.0077	0.0099	0.0107	0.0037	0.0138	0.0139	0.0078	0.0035	0.0385	0.0172	0.0085	0.018	0.007	0.0065	0.0207	0.0169	0.0058
lower0_perm_sad	-0.0252	-0.0055	-0.0014	-0.0012	-0.0004	-0.0004	-0.0008	-0.0005	-0.0002	-0.0004	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001
