	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2212	-0.1084	-0.0316	-0.0205	-0.0034	-0.0057	-0.0035	0.0073	-0.0022	-0.0034	-0.0039	-0.0012	-0.0035	0.007	-0.0034	0.0115	0.0026	0.0063	-0.0036	0.0005	0.0019	-0.0029	-0.0015	0.013	-0.0001	-0.0005	-0.0029	-0.0015	-0.0021	0.0103	-0.0011	-0.0014	-0.0016	0.0046	-0.001	-0.0028	-0.0011	0.0045	-0.001	-0.0009	-0.0027	0.0092	-0.0019	-0.0	-0.0009	0.0255	0.0095	-0.0031	0.0005	0.0078	-0.0018	-0.0031	0.0075	0.0014	0.0002	0.0203	-0.0029	-0.003	-0.0024	-0.002	-0.003	-0.0029	-0.0018	-0.0017	-0.001	-0.001	-0.0031	-0.0029	-0.0021	-0.0012	-0.0028	-0.0016	0.0023	-0.0024	0.0112	0.0166	-0.0023	-0.003	-0.0017	-0.001	0.0122	-0.0016	0.0169	0.0053	0.008	0.0084	-0.0026	-0.0006	0.0021	0.0124	0.0114	0.0052	-0.0027	-0.0029	-0.002	-0.0019	-0.0035	-0.003	-0.0025	0.045
direct_vc_estimate_se	11.9181	7.3116	2.565	1.7878	0.6292	0.3443	0.3161	0.2965	0.243	0.195	0.2328	0.2651	0.1853	0.1862	0.1797	0.1633	0.1799	0.1603	0.1903	0.1564	0.1619	0.1741	0.1543	0.1668	0.1732	0.1826	0.1552	0.1584	0.1655	0.1714	0.1481	0.1514	0.1571	0.1521	0.1596	0.153	0.179	0.1871	0.1688	0.1629	0.1551	0.1748	0.175	0.1597	0.1554	0.1636	0.1584	0.163	0.1667	0.2071	0.1575	0.1678	0.1743	0.1639	0.1563	0.1672	0.1596	0.1593	0.176	0.1573	0.1914	0.1586	0.1561	0.1754	0.1693	0.1709	0.1732	0.1549	0.1624	0.1765	0.1687	0.1959	0.1687	0.1627	0.1621	0.1833	0.1538	0.1655	0.1645	0.162	0.1611	0.1452	0.157	0.1596	0.1742	0.1594	0.1766	0.1445	0.1716	0.1443	0.1598	0.1648	0.1572	0.1528	0.1918	0.171	0.1871	0.1578	0.163	0.1718
direct_vc_pvals	0.873	0.658	0.614	0.574	0.547	0.753	0.568	0.252	0.558	0.787	0.787	0.483	0.955	0.113	0.913	0.062	0.255	0.155	1.0	0.42	0.321	0.773	0.56	0.081	0.409	0.456	0.946	0.582	0.67	0.097	0.513	0.577	0.613	0.237	0.53	0.89	0.545	0.277	0.504	0.504	0.819	0.136	0.564	0.447	0.535	0.017	0.106	0.993	0.415	0.169	0.657	0.899	0.146	0.334	0.426	0.033	0.849	0.903	0.693	0.694	0.721	0.898	0.653	0.611	0.525	0.479	0.845	0.947	0.635	0.541	0.772	0.551	0.287	0.73	0.107	0.06	0.725	0.83	0.569	0.549	0.067	0.617	0.058	0.231	0.131	0.137	0.711	0.499	0.349	0.063	0.083	0.256	0.807	0.922	0.617	0.585	0.92	0.981	0.727	0.001
upper95_perm_direct	0.7201	0.6038	0.2371	0.1892	0.0956	0.0269	0.0241	0.0373	0.0254	0.0169	0.0257	0.0308	0.0191	0.0151	0.0177	0.0161	0.019	0.0198	0.0206	0.0186	0.0229	0.0254	0.017	0.0222	0.0202	0.0199	0.0228	0.0205	0.0225	0.02	0.0189	0.0187	0.0224	0.0231	0.0197	0.0167	0.0238	0.024	0.0199	0.022	0.0192	0.0247	0.0188	0.0236	0.0194	0.0181	0.0201	0.0222	0.0253	0.0231	0.0223	0.0229	0.0208	0.0197	0.0175	0.0214	0.0189	0.019	0.0239	0.0206	0.0242	0.0182	0.02	0.021	0.0224	0.0214	0.019	0.0181	0.0202	0.0235	0.023	0.0259	0.0216	0.0213	0.0218	0.0229	0.0197	0.0201	0.0211	0.0202	0.0188	0.0194	0.0224	0.0214	0.0194	0.0186	0.0193	0.0175	0.0239	0.0174	0.0194	0.0256	0.0208	0.0208	0.0221	0.0198	0.0222	0.0192	0.0188	0.0211
lower0_perm_direct	-0.3192	-0.1979	-0.067	-0.0477	-0.0165	-0.0094	-0.0086	-0.0081	-0.0065	-0.0051	-0.0065	-0.007	-0.0048	-0.0051	-0.0047	-0.0045	-0.0047	-0.0043	-0.005	-0.0042	-0.0044	-0.0046	-0.0041	-0.0043	-0.0046	-0.0048	-0.004	-0.0042	-0.0043	-0.0045	-0.0039	-0.0039	-0.0041	-0.004	-0.0043	-0.0041	-0.0047	-0.005	-0.0044	-0.0043	-0.0042	-0.0046	-0.0047	-0.0042	-0.0042	-0.0043	-0.0044	-0.0043	-0.0045	-0.0054	-0.0041	-0.0045	-0.0046	-0.0042	-0.0041	-0.0045	-0.0044	-0.0043	-0.0049	-0.0042	-0.0052	-0.0043	-0.0042	-0.0047	-0.0044	-0.0044	-0.0047	-0.0042	-0.0045	-0.0048	-0.0045	-0.0053	-0.0045	-0.0044	-0.0042	-0.0049	-0.004	-0.0045	-0.0045	-0.0042	-0.0043	-0.004	-0.0042	-0.0042	-0.0047	-0.0041	-0.0049	-0.0039	-0.0045	-0.0038	-0.0043	-0.0043	-0.0041	-0.004	-0.0051	-0.0047	-0.005	-0.0042	-0.0043	-0.0046
sad_vc_estimate	-0.1553	0.0002	-0.0366	-0.0252	0.0633	0.0013	-0.0026	-0.0057	0.0066	-0.0039	0.0096	-0.003	-0.0036	0.0182	-0.0032	0.0149	-0.0005	0.0136	-0.0037	0.0044	0.0013	-0.0017	-0.0005	0.0002	-0.0031	-0.001	-0.002	-0.0023	0.0024	0.015	-0.0029	-0.003	0.0049	0.0164	0.0004	0.0005	0.0009	0.0018	-0.0028	-0.0032	-0.0028	0.0096	-0.0029	-0.0027	-0.0017	0.0168	0.0042	0.001	-0.0024	0.0118	-0.0016	-0.0033	0.0071	0.0037	-0.003	0.0301	-0.003	-0.0028	-0.0033	0.0009	-0.0038	-0.0008	-0.0018	0.0006	-0.0018	0.0038	-0.0034	-0.003	-0.0028	-0.0034	-0.0014	0.0126	0.0	-0.0021	0.0194	0.0074	-0.003	-0.0027	0.0065	0.004	0.0099	0.0002	0.0236	-0.0023	0.0069	0.0002	-0.0031	-0.0017	0.0002	0.0066	0.0036	0.0012	-0.0007	0.0029	-0.0008	-0.0007	-0.0037	-0.0031	-0.0022	0.0556
sad_vc_estimate_se	12.4728	7.6972	2.6984	1.8851	0.6644	0.3602	0.3295	0.3128	0.255	0.2066	0.2445	0.2763	0.195	0.1953	0.1881	0.1711	0.1882	0.1691	0.2004	0.1646	0.1707	0.1832	0.1627	0.1758	0.1814	0.1915	0.1637	0.1668	0.1745	0.18	0.157	0.1597	0.1657	0.1605	0.1681	0.1615	0.1874	0.1957	0.1773	0.1715	0.1636	0.1834	0.1834	0.1688	0.1639	0.1719	0.1678	0.1714	0.1751	0.2155	0.1661	0.1763	0.1827	0.1722	0.1645	0.1754	0.1684	0.1677	0.1845	0.1657	0.1998	0.167	0.1646	0.1836	0.1776	0.1792	0.1817	0.1633	0.1706	0.1847	0.1772	0.2041	0.1769	0.1711	0.1706	0.1922	0.1621	0.1738	0.173	0.1702	0.1694	0.1534	0.1662	0.1679	0.1824	0.1676	0.1851	0.1528	0.18	0.1527	0.1684	0.1732	0.1654	0.1612	0.2002	0.1792	0.1954	0.1663	0.1714	0.1802
sad_vc_pvals	0.6	0.377	0.687	0.668	0.115	0.353	0.492	0.888	0.245	0.988	0.198	0.596	0.907	0.06	0.792	0.055	0.47	0.082	0.906	0.265	0.382	0.593	0.48	0.478	0.811	0.547	0.68	0.718	0.388	0.106	0.877	0.958	0.278	0.087	0.43	0.477	0.447	0.387	0.75	0.954	0.827	0.17	0.747	0.8	0.632	0.08	0.275	0.417	0.692	0.144	0.619	0.997	0.223	0.316	0.885	0.023	0.884	0.804	0.881	0.408	0.991	0.544	0.631	0.428	0.617	0.275	0.967	0.902	0.793	0.935	0.559	0.135	0.491	0.684	0.079	0.21	0.889	0.764	0.211	0.263	0.162	0.446	0.047	0.7	0.203	0.433	0.764	0.661	0.451	0.231	0.278	0.409	0.563	0.31	0.498	0.517	0.941	0.913	0.671	0.006
upper95_perm_sad	1.0049	0.6378	0.3409	0.2061	0.1437	0.0359	0.0276	0.0443	0.0326	0.02	0.0338	0.0351	0.0234	0.0242	0.025	0.0199	0.0232	0.0243	0.0283	0.0257	0.0262	0.0265	0.0205	0.027	0.0232	0.0274	0.0284	0.0286	0.0321	0.0305	0.0231	0.0264	0.0291	0.028	0.0286	0.0285	0.0305	0.0292	0.0259	0.0275	0.0255	0.0294	0.0241	0.0269	0.0227	0.0283	0.0252	0.0275	0.0221	0.0326	0.0274	0.0256	0.0296	0.0261	0.0263	0.0274	0.0325	0.0232	0.0284	0.0253	0.0261	0.0262	0.0235	0.0262	0.0236	0.0253	0.0259	0.0251	0.0251	0.0293	0.0243	0.0311	0.0266	0.0263	0.0291	0.0286	0.0229	0.0226	0.0241	0.0207	0.0271	0.0248	0.0291	0.0238	0.0237	0.0221	0.0265	0.0232	0.0277	0.0232	0.0222	0.0256	0.0271	0.0255	0.027	0.0261	0.0255	0.025	0.0269	0.0271
lower0_perm_sad	-0.3331	-0.2031	-0.0718	-0.049	-0.0178	-0.0094	-0.0088	-0.0081	-0.0067	-0.0053	-0.0064	-0.0072	-0.0051	-0.0051	-0.0049	-0.0045	-0.0051	-0.0045	-0.0053	-0.0044	-0.0046	-0.005	-0.0043	-0.0047	-0.0048	-0.0054	-0.0043	-0.0046	-0.0046	-0.0049	-0.0043	-0.0042	-0.0044	-0.0043	-0.0046	-0.0043	-0.005	-0.005	-0.0046	-0.0046	-0.0042	-0.0049	-0.0049	-0.0045	-0.0045	-0.0044	-0.0045	-0.0046	-0.0046	-0.0057	-0.0045	-0.0047	-0.0049	-0.0045	-0.0043	-0.0047	-0.0044	-0.0045	-0.0048	-0.0043	-0.0053	-0.0047	-0.0043	-0.0048	-0.0047	-0.0049	-0.0048	-0.0043	-0.0045	-0.0048	-0.0047	-0.0053	-0.0047	-0.0046	-0.0045	-0.0051	-0.0045	-0.0045	-0.0046	-0.0044	-0.0044	-0.004	-0.0043	-0.0046	-0.0049	-0.0043	-0.005	-0.004	-0.0047	-0.0039	-0.0045	-0.0045	-0.0043	-0.0043	-0.0053	-0.0047	-0.0052	-0.0045	-0.0045	-0.0047
