	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1207	0.051	0.0014	0.009	0.0004	-0.0006	0.0004	0.0026	0.0004	-0.0002	0.0002	0.0001	0.0014	0.0042	-0.0001	0.0008	0.0	0.0008	-0.0002	-0.0002	0.0015	0.0002	0.0003	0.0007	0.0005	0.0001	0.0	0.0017	0.0006	-0.0001	-0.0001	0.0004	0.0	-0.0	0.0004	-0.0002	-0.0001	0.0001	0.001	0.0008	-0.0001	-0.0001	0.0039	-0.0002	0.0001	-0.0001	0.0001	-0.0001	0.0002	-0.0001	0.0008	0.0023	0.0	0.0019	0.0013	0.0017	-0.0002	-0.0001	0.0002	0.001	0.0051	0.0003	0.0	0.0036	-0.0001	0.0006	-0.0001	-0.0001	0.0001	0.0025	0.0025	0.0001	0.0009	-0.0001	0.0001	0.0005	0.0027	-0.0002	0.0002	0.0011	0.0002	-0.0001	0.0021	0.0001	0.0006	0.0031	-0.0	0.0001	0.0017	0.0007	0.0007	0.0006	-0.0001	0.0053	0.0001	0.0001	0.0002	-0.0001	0.0022	-0.0
direct_vc_estimate_se	0.0465	0.0212	0.0115	0.0072	0.0014	0.0023	0.0007	0.0007	0.001	0.0008	0.0007	0.0005	0.0006	0.0005	0.0004	0.0005	0.0005	0.0007	0.0008	0.0008	0.0008	0.0004	0.0004	0.0005	0.0003	0.0004	0.0002	0.0006	0.0007	0.0005	0.0005	0.0008	0.0004	0.0006	0.0004	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0004	0.0006	0.0005	0.0004	0.0005	0.0004	0.0006	0.0005	0.0005	0.0003	0.0005	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0003	0.0005	0.0006	0.0006	0.0005	0.0004	0.0003	0.0005	0.0004	0.0004	0.0003	0.0005	0.0005	0.0004	0.0004	0.0005	0.0003	0.0005	0.0005	0.0007	0.0005	0.0004	0.0005	0.0004	0.0007	0.0004	0.0003	0.0007	0.0004	0.0003	0.0004	0.0004	0.0005	0.0005	0.0003	0.0006	0.0005	0.0004	0.0004	0.0006	0.0006	0.0005
direct_vc_pvals	0.079	0.123	0.65	0.387	0.576	0.878	0.46	0.133	0.649	0.856	0.552	0.719	0.256	0.011	0.953	0.237	0.662	0.443	0.932	0.919	0.202	0.51	0.505	0.194	0.259	0.609	0.574	0.306	0.447	0.852	0.848	0.606	0.72	0.671	0.39	1.0	0.938	0.638	0.265	0.38	0.816	0.796	0.077	0.95	0.634	0.773	0.477	0.796	0.605	0.867	0.239	0.088	0.672	0.117	0.262	0.217	0.919	0.906	0.359	0.444	0.045	0.526	0.709	0.061	0.931	0.482	0.691	0.877	0.588	0.119	0.241	0.57	0.248	0.68	0.568	0.449	0.136	0.838	0.406	0.28	0.595	0.772	0.264	0.589	0.327	0.133	0.603	0.68	0.255	0.488	0.36	0.323	0.861	0.014	0.539	0.568	0.524	0.746	0.209	0.758
upper95_perm_direct	0.1735	0.1026	0.0763	0.0502	0.0098	0.0198	0.0032	0.0049	0.014	0.0068	0.0043	0.0056	0.0045	0.003	0.0031	0.0028	0.0036	0.0064	0.0072	0.0051	0.0041	0.0034	0.0033	0.0022	0.0019	0.0029	0.0015	0.0069	0.0052	0.0033	0.0035	0.0089	0.0045	0.0031	0.0026	0.0063	0.0089	0.0035	0.0034	0.0052	0.0038	0.0039	0.0055	0.0037	0.0033	0.0029	0.0021	0.0023	0.0053	0.0025	0.0028	0.0035	0.005	0.0034	0.0036	0.0055	0.003	0.006	0.0014	0.0075	0.0057	0.0044	0.0051	0.0046	0.0019	0.0052	0.0021	0.0042	0.0029	0.0045	0.0082	0.003	0.003	0.0028	0.0029	0.0047	0.0053	0.0061	0.0019	0.0034	0.0054	0.0024	0.0073	0.0023	0.0032	0.0064	0.0015	0.003	0.0046	0.0054	0.0045	0.0035	0.0015	0.0045	0.0022	0.0018	0.0031	0.004	0.0064	0.0069
lower0_perm_direct	-0.0196	-0.0089	-0.0048	-0.003	-0.0006	-0.001	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0003	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0003	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002
sad_vc_estimate	0.5011	0.1604	0.101	0.0238	0.0096	0.0006	0.0012	0.0084	0.0014	0.0005	0.0033	0.0004	0.0071	0.0157	0.0007	0.0002	-0.0	0.0009	-0.0001	0.0002	0.006	0.0001	0.0002	0.0024	0.0003	0.0029	0.0005	0.005	0.003	0.0003	0.0005	0.0006	0.0	0.0013	0.0014	0.0007	-0.0001	0.0003	0.0028	0.0014	-0.0001	0.0002	0.0113	-0.0002	0.0017	0.0012	0.0004	0.001	0.0008	0.0002	0.0028	0.0069	0.0003	0.0066	0.0019	0.0054	-0.0002	-0.0	0.0013	0.0003	0.0099	0.0004	0.0006	0.0067	-0.0001	0.006	-0.0001	-0.0	0.0003	0.0114	0.0067	0.0	0.0033	0.0002	0.001	0.0007	0.008	0.0007	0.0014	0.002	0.002	-0.0001	0.0047	0.0027	0.0025	0.014	0.0	0.0013	0.004	0.0021	0.0013	0.0008	0.0002	0.0121	0.0	0.0	0.0016	-0.0001	0.0061	-0.0
sad_vc_estimate_se	0.0481	0.022	0.0119	0.0074	0.0014	0.0024	0.0007	0.0007	0.001	0.0008	0.0007	0.0005	0.0006	0.0005	0.0005	0.0005	0.0005	0.0007	0.0008	0.0009	0.0008	0.0005	0.0004	0.0005	0.0003	0.0004	0.0003	0.0006	0.0007	0.0005	0.0005	0.0008	0.0005	0.0006	0.0004	0.0006	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0006	0.0006	0.0004	0.0005	0.0004	0.0006	0.0005	0.0005	0.0003	0.0005	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0003	0.0005	0.0006	0.0006	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0004	0.0004	0.0006	0.0003	0.0005	0.0005	0.0007	0.0005	0.0004	0.0005	0.0004	0.0008	0.0004	0.0003	0.0007	0.0005	0.0004	0.0004	0.0004	0.0006	0.0005	0.0004	0.0007	0.0005	0.0004	0.0004	0.0006	0.0006	0.0005
sad_vc_pvals	0.042	0.101	0.263	0.45	0.259	0.757	0.475	0.16	0.69	0.731	0.32	0.739	0.105	0.017	0.49	0.66	0.85	0.656	0.879	0.794	0.269	0.792	0.715	0.245	0.521	0.234	0.527	0.306	0.396	0.617	0.542	0.736	0.827	0.451	0.312	0.672	0.949	0.689	0.242	0.499	0.867	0.738	0.125	0.959	0.402	0.421	0.6	0.446	0.621	0.642	0.171	0.104	0.711	0.109	0.567	0.178	0.914	0.896	0.219	0.769	0.147	0.693	0.614	0.122	0.978	0.29	0.869	0.855	0.685	0.037	0.24	0.794	0.228	0.72	0.426	0.579	0.122	0.623	0.272	0.402	0.442	0.958	0.431	0.231	0.276	0.082	0.702	0.49	0.351	0.489	0.517	0.507	0.619	0.045	0.751	0.749	0.372	0.863	0.265	0.859
upper95_perm_sad	0.5635	0.271	0.2915	0.1543	0.0313	0.0659	0.0079	0.0177	0.0441	0.0171	0.0141	0.0163	0.0113	0.0133	0.0068	0.0073	0.0109	0.0245	0.0299	0.018	0.0182	0.0111	0.0099	0.0081	0.0049	0.0073	0.0047	0.019	0.0173	0.0082	0.0087	0.0267	0.0145	0.0102	0.0063	0.0179	0.0254	0.0096	0.0087	0.0159	0.0116	0.0102	0.0201	0.0107	0.0113	0.0088	0.0073	0.0084	0.0176	0.0071	0.0063	0.0108	0.0142	0.0107	0.0149	0.0125	0.0101	0.0178	0.0041	0.0199	0.0215	0.0163	0.0144	0.0121	0.006	0.0149	0.0057	0.0132	0.0098	0.0121	0.0191	0.0092	0.01	0.0116	0.0067	0.0122	0.0146	0.0175	0.006	0.0122	0.0139	0.0082	0.0308	0.008	0.0087	0.021	0.0052	0.009	0.013	0.0145	0.0154	0.0087	0.0054	0.0136	0.0053	0.0059	0.0093	0.0118	0.0211	0.0201
lower0_perm_sad	-0.0204	-0.0092	-0.0048	-0.003	-0.0006	-0.001	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0001	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0003	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002
