	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0849	-0.0008	0.0082	-0.0013	0.0181	0.018	-0.0005	-0.0034	0.0036	0.0042	0.0001	0.002	0.0205	-0.0003	0.0036	-0.0027	0.0122	-0.0011	0.0302	0.0086	-0.0017	-0.003	-0.0031	0.0047	0.0099	0.0165	-0.0032	-0.0009	-0.0034	-0.0015	-0.0038	0.0132	0.0192	-0.001	-0.0031	0.0008	-0.0034	-0.0	0.0048	0.01	-0.0028	0.0003	0.0083	-0.0018	-0.0018	0.005	-0.0022	0.0134	0.0047	-0.0027	-0.0031	0.0177	-0.0026	-0.0026	-0.0024	0.0013	-0.0032	0.0187	-0.0038	-0.0025	0.0035	0.0048	-0.0029	-0.0028	0.0015	0.0073	0.0013	-0.0029	-0.0017	0.0015	-0.0019	-0.0021	0.0129	-0.0007	-0.0027	-0.0017	0.0143	-0.001	0.0009	-0.0028	0.0205	-0.0022	-0.0021	-0.0022	0.0085	0.0152	-0.0025	-0.0025	-0.0002	0.0007	-0.0029	0.0039	-0.0022	-0.0006	-0.0032	-0.0012	-0.0016	-0.0008	0.0184	-0.0016
direct_vc_estimate_se	0.0037	0.0011	0.0008	0.0008	0.0008	0.0007	0.001	0.0008	0.001	0.0011	0.0008	0.0009	0.0007	0.0008	0.0007	0.0007	0.0005	0.0007	0.0008	0.0006	0.0007	0.0006	0.0006	0.0006	0.0007	0.0006	0.0007	0.0007	0.0007	0.0006	0.0008	0.0007	0.0007	0.0007	0.0007	0.0007	0.0009	0.0005	0.0009	0.0006	0.0008	0.0006	0.0007	0.0007	0.0005	0.0008	0.0007	0.0007	0.0007	0.0006	0.0007	0.001	0.0007	0.0006	0.0005	0.0007	0.0007	0.0006	0.0008	0.0005	0.0005	0.0006	0.0007	0.0007	0.0006	0.0006	0.0007	0.0008	0.0005	0.0009	0.0005	0.0004	0.0005	0.0007	0.0006	0.0007	0.0009	0.0006	0.0006	0.0006	0.0006	0.0007	0.0005	0.0006	0.0007	0.0006	0.0007	0.0007	0.0006	0.0008	0.0006	0.0005	0.0006	0.0007	0.0007	0.0004	0.0004	0.0007	0.0009	0.0005
direct_vc_pvals	0.043	0.454	0.139	0.517	0.086	0.202	0.432	0.868	0.332	0.402	0.689	0.636	0.056	0.51	0.216	0.787	0.175	0.475	0.008	0.391	0.718	0.944	0.95	0.574	0.049	0.114	0.96	0.489	0.918	0.612	0.971	0.095	0.156	0.544	0.891	0.424	0.864	0.633	0.218	0.103	0.573	0.449	0.157	0.641	0.646	0.196	0.653	0.296	0.448	0.887	0.867	0.136	0.654	0.838	0.799	0.419	0.967	0.32	0.96	0.832	0.29	0.253	0.788	0.707	0.478	0.169	0.347	0.773	0.747	0.543	0.802	0.87	0.176	0.607	0.856	0.577	0.221	0.682	0.4	0.909	0.052	0.741	0.887	0.866	0.123	0.084	0.698	0.77	0.523	0.498	0.922	0.219	0.794	0.756	0.87	0.526	0.693	0.719	0.181	0.596
upper95_perm_direct	0.0828	0.0243	0.017	0.0151	0.0243	0.0453	0.0185	0.0348	0.0232	0.0316	0.0519	0.0518	0.0214	0.026	0.0131	0.0259	0.0232	0.0143	0.016	0.0324	0.044	0.0106	0.0271	0.0632	0.0107	0.0274	0.0117	0.0167	0.0254	0.0186	0.0274	0.0197	0.0355	0.0217	0.0148	0.0187	0.048	0.0245	0.0175	0.0158	0.0115	0.0161	0.0164	0.0245	0.0082	0.0177	0.0164	0.0421	0.0396	0.0293	0.0434	0.0334	0.0098	0.0104	0.0094	0.0266	0.0108	0.048	0.0296	0.0145	0.0186	0.0191	0.0127	0.0107	0.0256	0.017	0.017	0.0246	0.0237	0.0497	0.0342	0.0095	0.0235	0.027	0.0206	0.0229	0.0378	0.0271	0.0181	0.0493	0.0218	0.0246	0.0154	0.0241	0.0149	0.0193	0.0168	0.0303	0.0212	0.032	0.0256	0.0127	0.0223	0.0345	0.0267	0.0055	0.0102	0.0381	0.0374	0.0085
lower0_perm_direct	-0.0213	-0.0065	-0.0047	-0.0045	-0.0047	-0.004	-0.0057	-0.0044	-0.0058	-0.0062	-0.0048	-0.0049	-0.0044	-0.0049	-0.004	-0.004	-0.0031	-0.0041	-0.0046	-0.0038	-0.0042	-0.0036	-0.0037	-0.0035	-0.0044	-0.0035	-0.0038	-0.0042	-0.0043	-0.0038	-0.0045	-0.004	-0.0038	-0.0043	-0.0038	-0.0042	-0.0052	-0.0031	-0.0051	-0.0036	-0.0048	-0.0036	-0.0042	-0.0043	-0.0029	-0.0045	-0.0041	-0.0038	-0.0039	-0.0035	-0.004	-0.0057	-0.004	-0.0034	-0.0031	-0.0041	-0.0039	-0.0035	-0.0045	-0.0033	-0.0031	-0.0038	-0.0039	-0.0041	-0.0034	-0.0037	-0.0042	-0.0044	-0.003	-0.0052	-0.0033	-0.0026	-0.003	-0.0038	-0.0035	-0.0044	-0.005	-0.0034	-0.0036	-0.0035	-0.0037	-0.0038	-0.0027	-0.0033	-0.0043	-0.0037	-0.0044	-0.0039	-0.0036	-0.0045	-0.0035	-0.0029	-0.0033	-0.0042	-0.0041	-0.0023	-0.0025	-0.0041	-0.005	-0.003
sad_vc_estimate	0.3195	0.0082	0.0193	0.02	0.0107	0.032	0.0162	0.0062	0.0051	0.024	0.0197	0.0114	0.0247	-0.0029	-0.003	-0.0034	0.034	0.0015	0.044	0.0051	0.0003	-0.0029	-0.0032	0.0075	0.0458	0.0266	-0.0032	0.0242	-0.003	-0.0013	-0.0017	0.0105	0.0493	0.0088	-0.0019	0.0016	0.0007	-0.0018	0.0043	0.0055	-0.0024	0.0039	0.0217	-0.0035	-0.0018	0.0125	0.0031	0.0177	0.0108	-0.003	-0.0034	0.0266	-0.0032	-0.0028	-0.0025	0.0015	-0.0019	0.0232	-0.0032	-0.0026	0.0037	0.0061	0.0091	-0.0035	-0.0003	0.012	0.0007	-0.0037	-0.0015	0.0004	-0.0026	-0.0022	0.0323	-0.0021	-0.003	-0.0015	0.0238	0.0161	-0.0002	-0.0027	0.0336	-0.003	-0.0023	-0.002	0.039	0.0468	-0.0013	-0.0008	-0.0014	0.0053	0.0034	0.0076	0.0056	0.0006	-0.0034	-0.002	0.0076	0.0113	0.0652	0.0015
sad_vc_estimate_se	0.0038	0.0011	0.0008	0.0008	0.0008	0.0007	0.001	0.0008	0.001	0.0011	0.0008	0.0009	0.0008	0.0009	0.0007	0.0007	0.0005	0.0007	0.0008	0.0006	0.0007	0.0006	0.0007	0.0006	0.0008	0.0006	0.0007	0.0007	0.0007	0.0006	0.0008	0.0007	0.0007	0.0007	0.0007	0.0007	0.0009	0.0005	0.0009	0.0006	0.0008	0.0006	0.0007	0.0007	0.0005	0.0008	0.0007	0.0007	0.0007	0.0006	0.0007	0.001	0.0007	0.0006	0.0005	0.0007	0.0007	0.0006	0.0008	0.0006	0.0005	0.0006	0.0007	0.0007	0.0006	0.0006	0.0007	0.0008	0.0005	0.0009	0.0006	0.0005	0.0005	0.0007	0.0006	0.0007	0.0009	0.0006	0.0006	0.0006	0.0006	0.0007	0.0005	0.0006	0.0007	0.0006	0.0007	0.0007	0.0006	0.0008	0.0006	0.0005	0.0006	0.0007	0.0007	0.0004	0.0004	0.0007	0.0009	0.0005
sad_vc_pvals	0.031	0.417	0.18	0.142	0.364	0.181	0.277	0.541	0.524	0.38	0.447	0.606	0.2	0.794	0.872	0.942	0.1	0.568	0.048	0.607	0.697	0.887	0.981	0.561	0.011	0.144	0.939	0.134	0.875	0.724	0.729	0.296	0.097	0.42	0.728	0.669	0.74	0.822	0.437	0.306	0.715	0.364	0.076	0.955	0.759	0.175	0.458	0.426	0.408	0.99	0.971	0.164	0.908	0.939	0.892	0.551	0.672	0.387	0.864	0.913	0.467	0.424	0.246	0.978	0.658	0.343	0.564	0.957	0.787	0.728	0.931	0.933	0.045	0.791	0.982	0.693	0.215	0.302	0.581	0.872	0.074	0.893	0.983	0.861	0.042	0.049	0.661	0.666	0.731	0.471	0.529	0.235	0.399	0.727	0.927	0.996	0.208	0.513	0.084	0.453
upper95_perm_sad	0.2929	0.0597	0.0402	0.0383	0.0522	0.0638	0.0714	0.086	0.0628	0.0814	0.1013	0.1218	0.0551	0.0659	0.0278	0.0545	0.044	0.0426	0.0439	0.0794	0.0963	0.0217	0.0611	0.1081	0.0274	0.0518	0.0155	0.0399	0.0631	0.0461	0.0533	0.0423	0.0636	0.0592	0.0298	0.0489	0.1003	0.0445	0.047	0.0329	0.0338	0.0289	0.0277	0.0347	0.0255	0.027	0.0382	0.0933	0.066	0.0488	0.0914	0.0581	0.0304	0.0198	0.0213	0.047	0.0239	0.0831	0.0922	0.0384	0.0372	0.041	0.0331	0.0311	0.0419	0.048	0.041	0.0327	0.0503	0.1312	0.0543	0.0283	0.0334	0.0506	0.0518	0.0516	0.0536	0.0476	0.0352	0.0722	0.0405	0.0501	0.0278	0.0452	0.0393	0.0468	0.0364	0.0399	0.0426	0.0616	0.0528	0.0234	0.0341	0.0634	0.0644	0.0132	0.02	0.079	0.084	0.0202
lower0_perm_sad	-0.0209	-0.0066	-0.0048	-0.0045	-0.0047	-0.004	-0.006	-0.0047	-0.0058	-0.0062	-0.0049	-0.0051	-0.0043	-0.005	-0.0041	-0.0041	-0.0032	-0.0044	-0.0046	-0.0037	-0.0041	-0.0037	-0.0037	-0.0034	-0.0045	-0.0036	-0.0038	-0.0042	-0.004	-0.0037	-0.0047	-0.004	-0.0039	-0.0041	-0.0041	-0.0042	-0.0053	-0.0031	-0.005	-0.0037	-0.0051	-0.0035	-0.0043	-0.0043	-0.0029	-0.0044	-0.0039	-0.0038	-0.0039	-0.0035	-0.0039	-0.0057	-0.004	-0.0035	-0.0031	-0.0042	-0.0039	-0.0037	-0.0045	-0.0032	-0.0031	-0.0038	-0.0041	-0.0041	-0.0034	-0.0036	-0.0044	-0.0046	-0.0032	-0.0054	-0.0032	-0.0027	-0.0029	-0.0039	-0.0036	-0.0043	-0.005	-0.0035	-0.0036	-0.0037	-0.0036	-0.0039	-0.0027	-0.0032	-0.0043	-0.0036	-0.0043	-0.0039	-0.0036	-0.0044	-0.0037	-0.003	-0.0033	-0.004	-0.0044	-0.0023	-0.0025	-0.0038	-0.005	-0.0031
covar_vc_estimate	-0.3369	-0.0051	-0.0258	-0.0078	-0.0281	-0.0483	-0.0094	0.0034	-0.0087	-0.0227	-0.0119	-0.0113	-0.045	0.0038	0.0039	0.0064	-0.0414	-0.0	-0.0731	-0.0134	0.0017	0.0062	0.0063	-0.0121	-0.0444	-0.042	0.0064	-0.0098	0.0076	0.0028	0.0078	-0.0237	-0.0622	-0.0041	0.0071	-0.0024	0.0044	0.0081	-0.0092	-0.0151	0.0052	-0.0035	-0.0275	0.0064	0.0062	-0.0163	0.0013	-0.0309	-0.0147	0.0061	0.0066	-0.0437	0.0074	0.0055	0.0049	-0.0029	0.0063	-0.0417	0.0073	0.005	-0.0073	-0.0109	0.0021	0.007	-0.001	-0.0188	-0.0021	0.0078	0.0032	-0.0019	0.006	0.0042	-0.0413	0.0031	0.0058	0.0032	-0.0372	-0.0062	-0.0006	0.0054	-0.0527	0.0055	0.0044	0.0042	-0.0381	-0.0543	0.004	0.0037	0.0105	-0.0053	0.0071	-0.0111	0.0011	0.0001	0.0073	0.0039	-0.0003	-0.0055	-0.0708	0.0012
covar_vc_estimate_se	0.2726	0.1488	0.1251	0.1234	0.1267	0.1153	0.1391	0.1242	0.1382	0.1444	0.1289	0.1314	0.1216	0.1295	0.1147	0.118	0.1011	0.1187	0.1258	0.1126	0.1203	0.1106	0.1128	0.109	0.1212	0.1111	0.114	0.1194	0.1196	0.1116	0.1236	0.117	0.116	0.1188	0.1141	0.1209	0.1315	0.1025	0.1298	0.1112	0.1287	0.1108	0.1186	0.1192	0.0996	0.1226	0.1156	0.1159	0.1164	0.11	0.1172	0.1383	0.1165	0.1072	0.1025	0.1194	0.1144	0.1096	0.1239	0.1042	0.1028	0.1116	0.1155	0.1181	0.1081	0.1105	0.1202	0.1225	0.1033	0.1334	0.104	0.0942	0.0998	0.1153	0.1089	0.1201	0.1328	0.107	0.1118	0.111	0.1119	0.1156	0.0951	0.1047	0.121	0.1106	0.1202	0.1148	0.1112	0.1234	0.1091	0.0991	0.1048	0.1177	0.1185	0.0889	0.0928	0.1161	0.1303	0.1017
covar_vc_pvals	0.026	0.47	0.123	0.336	0.182	0.163	0.34	0.184	0.481	0.409	0.327	0.311	0.091	0.268	0.264	0.104	0.083	0.421	0.007	0.421	0.199	0.121	0.088	0.3	0.012	0.099	0.183	0.325	0.098	0.279	0.079	0.162	0.073	0.453	0.083	0.382	0.109	0.008	0.342	0.196	0.335	0.434	0.064	0.144	0.091	0.168	0.381	0.385	0.487	0.039	0.097	0.104	0.121	0.175	0.141	0.436	0.151	0.365	0.132	0.13	0.414	0.339	0.387	0.149	0.325	0.254	0.485	0.063	0.169	0.27	0.026	0.154	0.057	0.209	0.118	0.311	0.176	0.387	0.411	0.064	0.027	0.106	0.094	0.086	0.055	0.036	0.224	0.154	0.024	0.441	0.048	0.203	0.26	0.154	0.109	0.121	0.45	0.258	0.085	0.41
