	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0007	0.0102	0.0046	0.0055	0.0141	-0.0015	-0.0015	0.0105	0.0183	0.0058	0.0023	0.0021	-0.0016	0.0117	-0.0017	-0.0016	0.007	0.0329	-0.0018	0.0002	0.0076	-0.0001	0.0064	0.009	-0.0013	0.0145	-0.0018	0.0286	0.007	-0.0018	0.0327	-0.0013	0.0015	0.0045	0.001	-0.0017	-0.0013	0.0003	-0.0007	0.0003	0.0007	0.0125	0.0395	0.0094	-0.0016	-0.0001	0.0027	0.0076	-0.0002	-0.0016	-0.0006	0.041	-0.0006	-0.0013	0.0011	-0.0017	0.0267	0.0229	0.0594	-0.0017	0.0014	-0.0013	-0.0014	-0.0015	0.0011	0.0091	-0.0007	0.003	0.0379	-0.0012	-0.0017	0.0113	0.009	0.0254	0.0008	0.0297	0.0184	0.0384	0.0098	0.0158	0.009	0.0032	-0.0016	-0.0013	0.013	0.0025	-0.0016	-0.0009	-0.0014	0.0045	0.0051	0.0008	-0.0009	-0.0006	0.0002	0.0001	-0.0015	-0.0018	0.0037	0.0002
direct_vc_estimate_se	0.0114	0.0056	0.0039	0.0035	0.0034	0.003	0.0033	0.0039	0.0033	0.0036	0.0043	0.0037	0.0037	0.0035	0.0037	0.0037	0.0036	0.0037	0.0035	0.004	0.0036	0.0036	0.0036	0.0036	0.0035	0.0036	0.0037	0.0031	0.0034	0.0035	0.0035	0.0031	0.0036	0.0031	0.0036	0.0038	0.0032	0.0036	0.0036	0.0036	0.0037	0.0034	0.0036	0.0035	0.0038	0.0031	0.0037	0.0035	0.0032	0.0032	0.0033	0.0033	0.0034	0.0036	0.0033	0.0034	0.0036	0.0035	0.0033	0.0033	0.0031	0.0031	0.0034	0.0029	0.004	0.0033	0.0035	0.0027	0.0032	0.0031	0.0034	0.0033	0.003	0.0034	0.003	0.0032	0.0031	0.0029	0.0034	0.0038	0.0032	0.0033	0.0033	0.0027	0.003	0.0032	0.0033	0.0029	0.0028	0.0031	0.0036	0.0029	0.003	0.0035	0.0033	0.003	0.003	0.0034	0.0028	0.0031
direct_vc_pvals	0.617	0.312	0.449	0.179	0.143	0.895	0.875	0.312	0.115	0.221	0.43	0.382	0.808	0.144	0.845	0.812	0.258	0.102	0.915	0.503	0.245	0.649	0.228	0.104	0.814	0.072	0.931	0.037	0.213	0.992	0.02	0.806	0.441	0.331	0.541	0.831	0.805	0.721	0.684	0.576	0.538	0.148	0.046	0.167	0.9	0.568	0.445	0.171	0.565	0.988	0.646	0.043	0.756	0.712	0.495	0.95	0.099	0.091	0.007	0.985	0.503	0.856	0.818	0.998	0.66	0.215	0.741	0.296	0.003	0.825	0.901	0.191	0.118	0.024	0.551	0.013	0.199	0.016	0.299	0.297	0.252	0.4	0.892	0.848	0.053	0.402	0.932	0.746	0.964	0.187	0.473	0.509	0.705	0.626	0.642	0.516	0.871	0.995	0.195	0.536
upper95_perm_direct	0.0882	0.0502	0.0374	0.014	0.0244	0.0265	0.0161	0.0405	0.0287	0.0205	0.0258	0.0209	0.0201	0.0227	0.0282	0.023	0.0247	0.0482	0.0197	0.0178	0.0253	0.0336	0.0206	0.0144	0.0263	0.0194	0.0384	0.0268	0.0211	0.034	0.0247	0.0184	0.0223	0.0233	0.0228	0.0153	0.0181	0.0515	0.0249	0.0245	0.0245	0.0243	0.0404	0.0218	0.0513	0.0146	0.0261	0.0162	0.0152	0.0272	0.0191	0.0397	0.0347	0.0154	0.0204	0.0274	0.0389	0.0324	0.0392	0.0257	0.0254	0.0333	0.0217	0.0194	0.0486	0.0241	0.0348	0.0139	0.0187	0.0202	0.0148	0.0265	0.0157	0.0183	0.0198	0.0202	0.0403	0.0318	0.0409	0.0597	0.0308	0.023	0.0196	0.011	0.0138	0.0212	0.0166	0.018	0.0212	0.0136	0.0347	0.0169	0.0152	0.0157	0.038	0.0135	0.0156	0.0173	0.011	0.0144
lower0_perm_direct	-0.0071	-0.0035	-0.0024	-0.0021	-0.0021	-0.0019	-0.002	-0.0026	-0.002	-0.0023	-0.0028	-0.0023	-0.0023	-0.0022	-0.0023	-0.0023	-0.0022	-0.0023	-0.0022	-0.0026	-0.0022	-0.0022	-0.0023	-0.0023	-0.0021	-0.0023	-0.0022	-0.0019	-0.0021	-0.0021	-0.0021	-0.002	-0.0021	-0.002	-0.0023	-0.0025	-0.0021	-0.0022	-0.0023	-0.0021	-0.0022	-0.0021	-0.0023	-0.0022	-0.0023	-0.002	-0.0023	-0.0021	-0.002	-0.0019	-0.0021	-0.002	-0.0021	-0.0023	-0.002	-0.0021	-0.0023	-0.0021	-0.0021	-0.0021	-0.0019	-0.0019	-0.0021	-0.0018	-0.0026	-0.002	-0.0021	-0.0017	-0.002	-0.0019	-0.0021	-0.0021	-0.0019	-0.0021	-0.0018	-0.002	-0.0019	-0.0018	-0.002	-0.0023	-0.002	-0.0021	-0.0021	-0.0017	-0.0019	-0.002	-0.0021	-0.0019	-0.0018	-0.002	-0.0021	-0.0018	-0.0019	-0.0023	-0.002	-0.0018	-0.0019	-0.0021	-0.0018	-0.0019
sad_vc_estimate	0.0293	0.0277	0.0296	0.0433	0.0036	-0.0001	0.0039	0.0167	0.0205	0.0055	0.0057	0.0022	0.0014	0.0209	-0.0006	-0.0016	0.0154	0.0286	0.0036	0.0025	0.0254	0.0175	0.0076	0.0246	-0.0001	0.0138	-0.0019	0.0377	-0.0007	-0.0018	0.0563	-0.0016	0.0063	0.0215	0.002	-0.0011	0.0025	0.0033	-0.0003	0.0063	-0.001	0.0366	0.0524	0.0141	0.0011	0.0182	0.0018	0.0045	0.0109	-0.0011	-0.0017	0.1113	0.0001	-0.0019	-0.0012	0.0003	0.0664	0.0562	0.1125	0.002	0.0043	-0.0005	0.0019	-0.0013	0.0018	0.0204	0.0013	-0.0013	0.1013	0.0023	-0.0017	0.0431	0.0158	0.0535	0.0051	0.033	0.0183	0.0725	0.0111	0.0689	0.0003	0.0058	-0.0015	-0.0008	0.0376	0.0053	-0.0001	-0.0013	-0.0011	0.0016	0.0129	0.0012	-0.0003	0.006	-0.0017	0.005	-0.0016	-0.0012	0.0009	-0.0009
sad_vc_estimate_se	0.0116	0.0057	0.0039	0.0035	0.0034	0.0031	0.0033	0.004	0.0034	0.0037	0.0044	0.0038	0.0038	0.0035	0.0038	0.0038	0.0037	0.0038	0.0036	0.0041	0.0036	0.0037	0.0036	0.0036	0.0035	0.0037	0.0038	0.0032	0.0034	0.0036	0.0035	0.0032	0.0036	0.0032	0.0037	0.0039	0.0033	0.0037	0.0036	0.0036	0.0037	0.0034	0.0037	0.0035	0.0039	0.0032	0.0038	0.0036	0.0033	0.0033	0.0034	0.0033	0.0034	0.0037	0.0034	0.0035	0.0037	0.0035	0.0033	0.0034	0.0032	0.0032	0.0035	0.0029	0.004	0.0033	0.0036	0.0028	0.0033	0.0031	0.0034	0.0033	0.0031	0.0034	0.0031	0.0032	0.0031	0.0029	0.0034	0.0039	0.0033	0.0034	0.0033	0.0027	0.0031	0.0033	0.0033	0.003	0.0028	0.0032	0.0036	0.0029	0.0031	0.0036	0.0033	0.0031	0.0031	0.0035	0.0028	0.0031
sad_vc_pvals	0.379	0.278	0.237	0.023	0.522	0.733	0.49	0.363	0.243	0.407	0.506	0.593	0.617	0.217	0.796	0.885	0.283	0.264	0.519	0.557	0.152	0.341	0.342	0.13	0.719	0.213	0.972	0.082	0.763	0.975	0.041	0.929	0.423	0.15	0.64	0.778	0.528	0.698	0.736	0.45	0.789	0.062	0.105	0.273	0.747	0.153	0.622	0.425	0.266	0.851	0.931	0.016	0.764	0.971	0.82	0.725	0.063	0.082	0.014	0.643	0.515	0.803	0.606	0.89	0.72	0.232	0.663	0.919	0.0	0.552	0.932	0.051	0.17	0.016	0.479	0.082	0.309	0.025	0.447	0.113	0.732	0.445	0.913	0.785	0.023	0.444	0.694	0.865	0.879	0.519	0.395	0.599	0.71	0.353	0.975	0.379	0.982	0.81	0.534	0.788
upper95_perm_sad	0.1638	0.1086	0.0747	0.0354	0.0529	0.0484	0.045	0.0771	0.0561	0.037	0.0784	0.0519	0.0502	0.0515	0.0657	0.0589	0.058	0.0837	0.0442	0.0445	0.0509	0.0706	0.0343	0.0497	0.0551	0.0387	0.0784	0.0523	0.0424	0.0765	0.0548	0.0441	0.0535	0.0432	0.0516	0.0373	0.0368	0.107	0.0506	0.0567	0.0565	0.0423	0.0751	0.0485	0.0994	0.0348	0.0612	0.0382	0.0412	0.0556	0.0408	0.0806	0.0633	0.0345	0.0384	0.0543	0.0807	0.0727	0.0874	0.0594	0.0515	0.0703	0.0489	0.0368	0.0898	0.0598	0.0735	0.0294	0.0411	0.0389	0.0399	0.0473	0.0376	0.0355	0.0513	0.0453	0.0595	0.0612	0.0693	0.1064	0.0658	0.0431	0.0429	0.0269	0.0286	0.0429	0.0436	0.0334	0.051	0.0318	0.0692	0.0421	0.0347	0.0345	0.0733	0.0355	0.0273	0.0386	0.0223	0.0325
lower0_perm_sad	-0.0069	-0.0035	-0.0024	-0.0021	-0.0021	-0.0019	-0.002	-0.0024	-0.0021	-0.0022	-0.0026	-0.0023	-0.0024	-0.0022	-0.0023	-0.0024	-0.0024	-0.0023	-0.0022	-0.0025	-0.0023	-0.0023	-0.0023	-0.0022	-0.0021	-0.0023	-0.0023	-0.002	-0.0021	-0.0023	-0.0022	-0.002	-0.0023	-0.002	-0.0024	-0.0023	-0.0019	-0.0022	-0.0023	-0.0023	-0.0024	-0.0021	-0.0023	-0.0022	-0.0024	-0.002	-0.0023	-0.0022	-0.002	-0.0019	-0.002	-0.002	-0.0022	-0.0023	-0.0022	-0.002	-0.0023	-0.0022	-0.0021	-0.0021	-0.0019	-0.002	-0.0022	-0.0018	-0.0024	-0.0021	-0.0022	-0.0018	-0.002	-0.0019	-0.0021	-0.0021	-0.002	-0.0021	-0.0019	-0.0021	-0.0019	-0.0018	-0.0021	-0.0025	-0.0022	-0.0021	-0.002	-0.0017	-0.0019	-0.0021	-0.0021	-0.0018	-0.0017	-0.0021	-0.0024	-0.0018	-0.002	-0.0022	-0.0021	-0.0019	-0.0019	-0.0022	-0.0019	-0.002
covar_vc_estimate	-0.0153	-0.0342	-0.0249	-0.0327	-0.0149	0.0039	0.0051	-0.0267	-0.0388	-0.0113	-0.0075	-0.0044	0.0017	-0.0315	0.0049	0.0044	-0.021	-0.0615	0.0027	0.0106	-0.0284	-0.0078	-0.014	-0.0301	0.0018	-0.0283	0.0039	-0.0657	-0.0025	0.0036	-0.086	0.0029	-0.0068	-0.0207	-0.0029	0.0029	0.001	-0.003	0.001	-0.0047	0.0007	-0.0433	-0.0911	-0.0231	0.002	-0.0076	-0.0045	-0.0119	-0.0051	0.0032	0.0029	-0.1356	0.0063	0.0036	0.001	0.0039	-0.0846	-0.0722	-0.1637	0.0032	-0.0052	0.0021	0.0011	0.003	-0.0028	-0.0275	-0.0002	0.0016	-0.1243	0.0009	0.0033	-0.0449	-0.0239	-0.0739	-0.0049	-0.0626	-0.0368	-0.1058	-0.0209	-0.067	-0.0059	-0.0088	0.0031	0.0022	-0.0446	-0.0074	0.0029	0.0037	0.0027	-0.0057	-0.0166	-0.002	0.0012	-0.0024	0.0031	-0.0034	0.0032	0.0035	-0.0041	0.0009
covar_vc_estimate_se	0.1557	0.1085	0.0902	0.0854	0.0839	0.0799	0.0827	0.0904	0.0834	0.0872	0.0951	0.0882	0.088	0.0854	0.0882	0.088	0.0875	0.0888	0.086	0.0923	0.0865	0.0876	0.0865	0.0865	0.0853	0.0869	0.0882	0.0807	0.0841	0.0862	0.0854	0.0813	0.0864	0.081	0.0875	0.0893	0.0824	0.0868	0.0868	0.0866	0.088	0.0841	0.0875	0.0855	0.0896	0.0813	0.0883	0.0863	0.0822	0.0819	0.0838	0.0831	0.0842	0.0872	0.0832	0.0845	0.0874	0.0852	0.0828	0.0833	0.081	0.0813	0.085	0.0777	0.0914	0.0829	0.0861	0.0754	0.0822	0.0802	0.0843	0.0831	0.0797	0.084	0.0798	0.0817	0.0804	0.0776	0.0842	0.0896	0.0825	0.0838	0.0828	0.0746	0.0798	0.0821	0.0828	0.0785	0.0764	0.081	0.0868	0.0775	0.0797	0.0858	0.083	0.0793	0.0799	0.085	0.0764	0.0803
