	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0179	-0.003	0.0061	-0.0023	0.0156	0.0224	0.0057	0.0006	-0.0012	-0.0044	-0.002	-0.0006	0.0224	0.0832	-0.0043	0.0101	0.0471	-0.0044	0.0042	-0.0005	0.0066	-0.0048	-0.0051	-0.003	-0.0043	0.0006	-0.0042	-0.0043	-0.0007	0.0164	0.0036	-0.0036	0.0049	-0.0051	-0.0049	0.0016	0.0137	0.0058	-0.0029	-0.0018	-0.0048	0.0005	0.0086	0.0188	0.0066	-0.0051	-0.0007	-0.0037	-0.0033	0.0071	-0.0049	0.006	-0.005	-0.0034	-0.0051	-0.0047	-0.0005	0.0271	0.0183	0.0095	-0.0046	0.0098	0.0056	0.0007	-0.0039	0.0032	0.0082	-0.0047	-0.0026	0.0009	-0.003	0.0022	-0.0042	0.0337	-0.0037	0.0028	-0.0035	0.0256	-0.0049	0.0002	-0.0045	-0.0014	-0.0049	0.0066	0.0005	-0.005	-0.0044	-0.0027	0.0142	0.0254	-0.0021	0.0341	0.0069	0.0017	-0.0014	0.0049	-0.0035	-0.0047	-0.0049	0.0052
direct_vc_estimate_se	2.0146	0.8462	0.5867	0.5391	0.5	0.5022	0.4648	0.5021	0.4995	0.505	0.4664	0.4694	0.4815	0.4678	0.4833	0.458	0.4654	0.481	0.4921	0.4584	0.4842	0.4577	0.4775	0.531	0.4808	0.4681	0.4669	0.4565	0.4945	0.4781	0.4775	0.4616	0.4778	0.4722	0.4814	0.4533	0.4807	0.4682	0.4648	0.4737	0.4475	0.4526	0.4635	0.479	0.4626	0.4769	0.4832	0.4671	0.4528	0.4619	0.4645	0.4576	0.4707	0.4777	0.4725	0.4518	0.4622	0.4575	0.4733	0.4742	0.4875	0.4709	0.4553	0.463	0.4973	0.4678	0.4615	0.4519	0.4784	0.4489	0.4555	0.4699	0.4615	0.4727	0.4651	0.4663	0.466	0.4463	0.4559	0.4618	0.4585	0.4592	0.4574	0.472	0.477	0.4632	0.455	0.4661	0.4747	0.4769	0.4612	0.4593	0.4733	0.4714	0.4601	0.4689	0.4533	0.4633	0.4611	0.4757
direct_vc_pvals	0.751	0.538	0.279	0.558	0.125	0.095	0.311	0.467	0.555	0.741	0.567	0.501	0.071	0.001	0.76	0.181	0.012	0.772	0.305	0.442	0.235	0.891	0.937	0.586	0.759	0.419	0.756	0.81	0.482	0.135	0.337	0.708	0.302	0.996	0.86	0.393	0.157	0.264	0.649	0.531	0.95	0.44	0.189	0.102	0.256	0.971	0.456	0.681	0.663	0.217	0.892	0.281	0.937	0.69	0.998	0.89	0.498	0.052	0.1	0.179	0.785	0.164	0.266	0.423	0.708	0.376	0.231	0.905	0.623	0.387	0.595	0.338	0.748	0.028	0.716	0.366	0.678	0.055	0.959	0.453	0.837	0.53	0.988	0.23	0.386	0.983	0.803	0.578	0.135	0.084	0.571	0.022	0.255	0.35	0.5	0.306	0.7	0.838	0.92	0.277
upper95_perm_direct	0.155	0.0671	0.043	0.0387	0.0333	0.037	0.0388	0.04	0.0424	0.0389	0.0299	0.0368	0.0318	0.0313	0.0369	0.0296	0.0295	0.0314	0.035	0.0295	0.0325	0.0334	0.0326	0.0355	0.0328	0.0285	0.0303	0.0338	0.0347	0.04	0.0398	0.0336	0.033	0.0313	0.0335	0.031	0.0331	0.0299	0.03	0.0341	0.0363	0.0371	0.0298	0.0338	0.0337	0.029	0.0338	0.028	0.0315	0.0279	0.0319	0.0362	0.0376	0.0389	0.0355	0.0389	0.0317	0.0309	0.0333	0.0314	0.037	0.0302	0.0334	0.0339	0.0358	0.0389	0.0334	0.0311	0.0389	0.0298	0.0298	0.0304	0.0334	0.0299	0.0319	0.0363	0.0283	0.0317	0.0323	0.0334	0.0317	0.0288	0.0329	0.0304	0.0299	0.0285	0.0346	0.0317	0.0299	0.0384	0.0284	0.0297	0.0338	0.0262	0.0304	0.0331	0.0365	0.033	0.0328	0.0359
lower0_perm_direct	-0.0281	-0.0118	-0.0087	-0.0077	-0.0072	-0.0073	-0.0068	-0.0072	-0.0074	-0.0073	-0.0064	-0.0067	-0.007	-0.0066	-0.0069	-0.0064	-0.0067	-0.007	-0.0073	-0.0068	-0.0071	-0.0067	-0.0068	-0.0077	-0.0067	-0.0069	-0.007	-0.0067	-0.0073	-0.0068	-0.0068	-0.0066	-0.007	-0.0069	-0.0072	-0.0067	-0.007	-0.0069	-0.0066	-0.0067	-0.0065	-0.0066	-0.0068	-0.007	-0.0065	-0.0068	-0.0067	-0.0067	-0.0066	-0.0066	-0.0067	-0.0066	-0.0068	-0.0068	-0.0067	-0.0067	-0.0067	-0.0065	-0.0069	-0.0067	-0.007	-0.0068	-0.0066	-0.0067	-0.0073	-0.0066	-0.0067	-0.0066	-0.0069	-0.0066	-0.0066	-0.0069	-0.0066	-0.007	-0.007	-0.0068	-0.0069	-0.0066	-0.0064	-0.0069	-0.0064	-0.0067	-0.0066	-0.0067	-0.0071	-0.0065	-0.0066	-0.0067	-0.0067	-0.0068	-0.0065	-0.0065	-0.0069	-0.0069	-0.0066	-0.0068	-0.0064	-0.0068	-0.0068	-0.0069
sad_vc_estimate	0.0849	-0.0036	-0.0054	-0.0045	0.0282	0.0211	0.0734	-0.005	-0.0024	-0.0055	-0.0054	-0.0051	0.0516	0.0766	-0.0012	0.0257	0.0195	-0.005	0.0181	0.0153	0.0251	-0.0041	-0.0057	-0.0058	-0.0035	0.0048	-0.0053	-0.0036	-0.0022	0.0171	-0.0016	-0.0053	0.0034	-0.0015	-0.0008	-0.0051	0.0248	-0.0003	-0.0036	-0.001	0.0024	-0.0019	0.0075	-0.0041	0.0018	-0.0015	0.0006	-0.0055	0.0041	-0.0016	-0.0054	0.0075	0.0007	0.0016	-0.0055	-0.0039	0.0009	0.0248	0.018	-0.0044	0.0008	0.0078	0.0103	-0.0037	-0.0003	0.0031	0.032	-0.0052	-0.0055	-0.0004	-0.0054	0.0041	-0.005	0.0455	-0.0037	0.0029	-0.0041	0.0211	-0.0053	-0.0032	-0.0042	0.0113	-0.0054	0.0294	0.0015	-0.0053	-0.0054	-0.005	0.0418	0.02	-0.0028	0.0201	-0.0056	-0.0009	0.0017	-0.0022	0.0041	-0.0055	-0.0047	-0.0045
sad_vc_estimate_se	2.2061	0.9274	0.6469	0.5941	0.5522	0.5534	0.5149	0.5514	0.5494	0.5539	0.5154	0.5182	0.5311	0.5163	0.5315	0.5064	0.5139	0.5295	0.5413	0.5066	0.5328	0.5068	0.5268	0.5802	0.5294	0.5169	0.5157	0.5044	0.5423	0.5263	0.5254	0.5096	0.5256	0.52	0.5297	0.5013	0.5287	0.5158	0.5127	0.5221	0.4964	0.5003	0.511	0.5273	0.5103	0.5246	0.5314	0.5151	0.5003	0.5095	0.513	0.5056	0.5184	0.5256	0.5198	0.4998	0.5103	0.5051	0.5218	0.5221	0.5351	0.5186	0.5031	0.5109	0.5453	0.5152	0.5088	0.4993	0.5265	0.4964	0.5026	0.5172	0.5093	0.5214	0.5121	0.514	0.5137	0.4944	0.5034	0.5093	0.5062	0.5064	0.5044	0.5201	0.5251	0.5103	0.5026	0.5141	0.5215	0.5251	0.5093	0.5067	0.5209	0.5192	0.5074	0.5159	0.4999	0.5109	0.5081	0.523
sad_vc_pvals	0.184	0.589	0.747	0.702	0.106	0.153	0.027	0.785	0.582	0.871	0.907	0.849	0.031	0.011	0.518	0.092	0.123	0.808	0.156	0.191	0.105	0.735	0.996	0.871	0.689	0.331	0.868	0.684	0.561	0.178	0.579	0.889	0.372	0.529	0.495	0.854	0.117	0.486	0.667	0.514	0.419	0.603	0.272	0.691	0.427	0.561	0.451	0.957	0.342	0.541	0.908	0.295	0.441	0.466	0.937	0.708	0.444	0.113	0.14	0.749	0.457	0.277	0.243	0.673	0.522	0.391	0.088	0.913	0.895	0.483	0.946	0.351	0.815	0.027	0.701	0.377	0.719	0.098	0.937	0.663	0.729	0.219	0.978	0.077	0.441	0.89	0.965	0.808	0.037	0.164	0.607	0.131	0.959	0.52	0.437	0.583	0.36	0.94	0.805	0.759
upper95_perm_sad	0.2383	0.0733	0.0508	0.0533	0.0524	0.0512	0.0592	0.0626	0.0562	0.0486	0.043	0.0523	0.0445	0.0508	0.0535	0.0409	0.0392	0.0423	0.0428	0.0486	0.0416	0.045	0.0416	0.0519	0.0455	0.043	0.0403	0.0437	0.0441	0.0517	0.0469	0.0397	0.0433	0.0405	0.0432	0.0441	0.0516	0.0467	0.0396	0.0421	0.0505	0.046	0.0443	0.0388	0.0455	0.0407	0.0437	0.0463	0.0429	0.044	0.0427	0.0492	0.0476	0.0518	0.0396	0.0449	0.0395	0.0444	0.0417	0.0442	0.0454	0.0421	0.0444	0.0434	0.0476	0.0407	0.0496	0.0454	0.044	0.0365	0.0399	0.0451	0.0525	0.0405	0.041	0.042	0.0413	0.0333	0.0476	0.0431	0.0448	0.0438	0.0374	0.0446	0.0457	0.0415	0.0382	0.0462	0.0419	0.0451	0.0434	0.0414	0.0428	0.0363	0.0419	0.045	0.0423	0.0418	0.046	0.0428
lower0_perm_sad	-0.0318	-0.0133	-0.0095	-0.0088	-0.008	-0.0081	-0.0076	-0.008	-0.0078	-0.0079	-0.0071	-0.0075	-0.0078	-0.0076	-0.0077	-0.0071	-0.0073	-0.0075	-0.0078	-0.0074	-0.0078	-0.0073	-0.0078	-0.0084	-0.0078	-0.0072	-0.0075	-0.0074	-0.008	-0.0078	-0.0074	-0.0074	-0.0079	-0.0075	-0.0076	-0.0073	-0.0076	-0.0076	-0.0075	-0.0075	-0.0073	-0.0071	-0.0073	-0.0077	-0.0074	-0.0078	-0.0079	-0.0074	-0.0074	-0.0073	-0.0075	-0.0073	-0.0073	-0.0075	-0.0075	-0.0072	-0.0075	-0.0072	-0.0074	-0.0074	-0.0077	-0.0076	-0.0072	-0.0074	-0.008	-0.0074	-0.0073	-0.007	-0.0074	-0.0069	-0.0072	-0.0074	-0.0076	-0.0077	-0.0076	-0.0076	-0.0077	-0.0074	-0.0075	-0.0075	-0.0074	-0.0075	-0.0072	-0.0077	-0.0075	-0.0075	-0.0072	-0.0073	-0.0072	-0.0075	-0.0072	-0.0071	-0.0075	-0.0074	-0.0072	-0.0074	-0.0071	-0.0075	-0.0074	-0.0075
