	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.275	0.0518	0.0247	0.013	0.0011	0.0083	0.013	-0.0002	0.0013	-0.0006	0.0049	0.0014	0.0013	0.0101	0.0038	0.0005	-0.0004	-0.0002	0.0256	0.0017	0.0031	-0.0003	0.004	0.0018	-0.0004	0.0144	-0.0002	0.0	0.0038	0.0026	-0.0004	0.0068	-0.0	0.0028	0.0045	0.0018	0.0063	0.0026	0.0012	0.0192	0.0012	0.0004	0.0014	0.0005	0.0027	0.0024	-0.0008	-0.0001	0.0008	0.0023	0.0024	-0.0004	0.0008	0.0006	0.0206	0.0068	0.0018	0.0149	-0.0005	0.0006	0.0039	-0.0003	0.0001	0.0024	0.0	0.0001	-0.0004	0.0073	0.0029	-0.0005	0.0026	-0.0006	0.0039	-0.0006	0.0013	0.0017	0.0003	0.0009	0.0014	-0.0003	0.0005	0.0007	0.0056	-0.0001	0.0036	0.0037	-0.0004	0.0013	0.0105	0.0031	0.0018	0.0065	0.0027	-0.0002	0.0063	-0.0003	0.0033	0.005	0.0054	0.0021
direct_vc_estimate_se	0.0044	0.0018	0.0011	0.0013	0.0018	0.0014	0.0034	0.0013	0.001	0.002	0.0021	0.0014	0.0013	0.001	0.0009	0.0015	0.0011	0.0008	0.0016	0.001	0.0009	0.0009	0.0013	0.001	0.0011	0.0017	0.0009	0.001	0.0009	0.0015	0.001	0.001	0.0008	0.0014	0.001	0.0013	0.0013	0.0009	0.0009	0.0012	0.001	0.001	0.0011	0.0009	0.0013	0.001	0.002	0.0009	0.0009	0.0015	0.001	0.001	0.0008	0.0013	0.0009	0.0009	0.0011	0.0016	0.0012	0.0008	0.0011	0.0013	0.0008	0.0011	0.0011	0.0009	0.0009	0.0014	0.0011	0.0021	0.0012	0.0016	0.0012	0.0015	0.0012	0.0011	0.0013	0.001	0.0015	0.0008	0.0009	0.0007	0.0011	0.0009	0.0011	0.0008	0.0009	0.0009	0.001	0.002	0.0008	0.0014	0.001	0.001	0.0024	0.0009	0.001	0.0013	0.001	0.0014
direct_vc_pvals	0.024	0.066	0.022	0.085	0.537	0.127	0.166	0.591	0.358	0.798	0.076	0.365	0.326	0.259	0.144	0.344	0.885	0.78	0.001	0.263	0.085	0.784	0.433	0.404	0.901	0.027	0.779	0.642	0.178	0.747	0.909	0.065	0.714	0.588	0.266	0.54	0.127	0.216	0.645	0.014	0.663	0.614	0.402	0.445	0.205	0.111	0.897	0.741	0.356	0.046	0.423	0.872	0.594	0.61	0.007	0.146	0.338	0.057	0.971	0.486	0.08	0.814	0.73	0.186	0.52	0.523	0.973	0.171	0.249	0.727	0.166	0.991	0.31	0.896	0.439	0.339	0.578	0.395	0.357	0.935	0.35	0.617	0.305	0.541	0.224	0.14	0.989	0.379	0.004	0.087	0.186	0.119	0.238	0.849	0.13	0.863	0.293	0.201	0.212	0.337
upper95_perm_direct	0.3816	0.0979	0.0334	0.027	0.0222	0.0231	0.0415	0.0078	0.0113	0.0154	0.0103	0.0106	0.0113	0.0349	0.0116	0.0061	0.0149	0.0131	0.0227	0.0092	0.007	0.0048	0.023	0.0159	0.0089	0.0224	0.0125	0.0107	0.0154	0.0364	0.0107	0.013	0.0106	0.029	0.0202	0.0235	0.0162	0.01	0.0275	0.023	0.0218	0.015	0.0145	0.0079	0.0095	0.0061	0.0116	0.0104	0.0077	0.0037	0.0209	0.0065	0.0181	0.0118	0.021	0.0198	0.0109	0.0273	0.0108	0.009	0.0079	0.0155	0.0157	0.0094	0.0063	0.0072	0.0076	0.0207	0.0134	0.0145	0.0087	0.015	0.0211	0.0073	0.0149	0.0124	0.0151	0.0106	0.013	0.0079	0.0049	0.0123	0.0279	0.0042	0.014	0.0106	0.0116	0.0141	0.0091	0.0072	0.0067	0.0149	0.0108	0.0156	0.0169	0.0072	0.0198	0.0182	0.0198	0.0138
lower0_perm_direct	-0.0039	-0.0016	-0.0011	-0.0012	-0.0016	-0.0013	-0.0032	-0.0011	-0.0009	-0.0019	-0.0019	-0.0014	-0.0013	-0.0008	-0.0008	-0.0013	-0.001	-0.0007	-0.0014	-0.0009	-0.0008	-0.0008	-0.0011	-0.0009	-0.0011	-0.0016	-0.0008	-0.001	-0.0008	-0.0015	-0.0009	-0.0009	-0.0007	-0.0013	-0.0008	-0.0012	-0.0011	-0.0009	-0.0009	-0.001	-0.001	-0.0008	-0.001	-0.0008	-0.0012	-0.0009	-0.002	-0.0008	-0.0008	-0.0015	-0.0009	-0.001	-0.0008	-0.0012	-0.0008	-0.0008	-0.001	-0.0015	-0.001	-0.0007	-0.001	-0.0011	-0.0008	-0.001	-0.0011	-0.0008	-0.0009	-0.0013	-0.001	-0.002	-0.0011	-0.0016	-0.0011	-0.0013	-0.0011	-0.001	-0.0011	-0.0009	-0.0014	-0.0008	-0.0008	-0.0007	-0.0011	-0.0008	-0.0011	-0.0007	-0.0008	-0.0008	-0.001	-0.0019	-0.0007	-0.0012	-0.0009	-0.0008	-0.0021	-0.0008	-0.0009	-0.0011	-0.0009	-0.0012
sad_vc_estimate	0.898	0.2334	0.0958	0.0395	0.0068	0.0316	0.0518	-0.0004	0.0018	-0.0005	0.0532	0.0027	-0.0001	0.0369	0.0014	0.0109	0.0006	0.0001	0.061	0.0028	0.0021	0.0004	0.0031	0.0019	0.0022	0.0535	0.0005	0.0033	0.0118	0.0175	-0.0004	0.012	-0.0001	0.0118	0.0104	0.0077	0.0113	0.0041	0.0009	0.0398	0.0115	0.0068	0.0049	-0.0001	0.0116	0.0075	0.007	0.0028	0.0031	0.0076	0.0056	-0.0004	0.0049	0.0026	0.0367	0.0283	0.0147	0.0406	-0.0004	-0.0003	0.0124	-0.0005	-0.0001	0.0193	0.004	0.0018	-0.0001	0.026	0.0116	0.0004	0.0055	0.0034	0.0142	0.0019	0.0215	0.005	0.0006	0.0002	0.0004	-0.0002	-0.0003	0.0013	0.009	0.0002	0.0027	0.0098	0.0003	0.0069	0.018	0.0029	0.0051	0.0224	0.0132	-0.0001	0.0203	-0.0004	0.0053	0.0232	0.0063	0.014
sad_vc_estimate_se	0.0044	0.0019	0.0012	0.0013	0.0018	0.0014	0.0035	0.0013	0.001	0.002	0.0021	0.0014	0.0013	0.0011	0.0009	0.0015	0.0012	0.0009	0.0017	0.0011	0.0009	0.0009	0.0013	0.001	0.0011	0.0017	0.0009	0.001	0.0009	0.0015	0.0011	0.001	0.0008	0.0015	0.001	0.0013	0.0013	0.001	0.0009	0.0012	0.0011	0.001	0.0011	0.0009	0.0013	0.001	0.002	0.0009	0.001	0.0015	0.001	0.0011	0.0008	0.0013	0.0009	0.0009	0.0011	0.0016	0.0012	0.0008	0.0012	0.0013	0.0008	0.0011	0.0011	0.0009	0.0009	0.0015	0.0011	0.0021	0.0012	0.0016	0.0012	0.0015	0.0012	0.0011	0.0013	0.001	0.0015	0.0008	0.0009	0.0008	0.0012	0.0009	0.0011	0.0008	0.0009	0.0009	0.001	0.002	0.0008	0.0014	0.001	0.001	0.0024	0.0009	0.001	0.0013	0.001	0.0014
sad_vc_pvals	0.003	0.015	0.02	0.104	0.405	0.068	0.09	0.868	0.566	0.863	0.012	0.44	0.802	0.133	0.541	0.056	0.692	0.804	0.002	0.44	0.373	0.581	0.715	0.656	0.456	0.015	0.669	0.399	0.172	0.575	0.913	0.125	0.815	0.528	0.31	0.563	0.256	0.479	0.822	0.017	0.374	0.316	0.347	0.769	0.098	0.151	0.207	0.501	0.329	0.064	0.448	0.905	0.486	0.562	0.038	0.065	0.068	0.046	0.95	0.913	0.081	0.957	0.903	0.048	0.287	0.345	0.848	0.076	0.182	0.663	0.209	0.509	0.298	0.45	0.163	0.326	0.709	0.686	0.699	0.909	0.83	0.577	0.512	0.636	0.519	0.088	0.739	0.335	0.014	0.372	0.151	0.074	0.139	0.884	0.115	0.968	0.506	0.145	0.491	0.174
upper95_perm_sad	1.013	0.2988	0.1269	0.0813	0.0518	0.0611	0.1082	0.0197	0.039	0.0442	0.0636	0.0257	0.0368	0.0896	0.0261	0.0191	0.043	0.0395	0.0634	0.0328	0.016	0.0157	0.0643	0.0547	0.0274	0.066	0.0273	0.027	0.044	0.0955	0.0323	0.0316	0.0286	0.0816	0.0534	0.0726	0.0481	0.046	0.0729	0.0508	0.0611	0.0414	0.0324	0.0186	0.0256	0.0217	0.0313	0.0341	0.0243	0.0137	0.0637	0.0205	0.0477	0.0323	0.0555	0.0516	0.028	0.0687	0.0334	0.0272	0.0263	0.0434	0.0567	0.0321	0.0227	0.0145	0.025	0.052	0.0393	0.0373	0.0238	0.0446	0.0651	0.0294	0.0547	0.0273	0.0511	0.0264	0.0357	0.0296	0.0148	0.0285	0.0744	0.0141	0.0278	0.0223	0.0339	0.0455	0.0228	0.0251	0.0159	0.0428	0.0366	0.0515	0.0501	0.0247	0.069	0.0616	0.0539	0.0487
lower0_perm_sad	-0.0038	-0.0015	-0.0012	-0.0012	-0.0016	-0.0012	-0.0033	-0.0012	-0.0009	-0.0017	-0.0019	-0.0013	-0.0011	-0.0009	-0.0009	-0.0014	-0.001	-0.0008	-0.0013	-0.001	-0.0009	-0.0008	-0.0012	-0.0009	-0.001	-0.0016	-0.0008	-0.0009	-0.0007	-0.0011	-0.001	-0.0009	-0.0008	-0.0013	-0.001	-0.0011	-0.0011	-0.0008	-0.0009	-0.001	-0.0009	-0.0009	-0.001	-0.0008	-0.0011	-0.0009	-0.0018	-0.0008	-0.0009	-0.0013	-0.0009	-0.001	-0.0007	-0.0012	-0.0008	-0.0008	-0.001	-0.0014	-0.0011	-0.0007	-0.001	-0.0013	-0.0007	-0.001	-0.001	-0.0009	-0.0009	-0.0013	-0.0011	-0.0021	-0.0011	-0.0014	-0.0012	-0.0014	-0.0011	-0.001	-0.0012	-0.0009	-0.0013	-0.0007	-0.0008	-0.0006	-0.001	-0.0008	-0.001	-0.0008	-0.0008	-0.0008	-0.0009	-0.0019	-0.0008	-0.0012	-0.0009	-0.0009	-0.0021	-0.0008	-0.001	-0.0011	-0.0009	-0.0012
