	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1976	0.1231	-0.2071	-0.0691	0.6818	0.684	-0.0645	-0.0799	0.2567	-0.3164	0.1846	-0.1933	-0.0356	-0.0646	-0.0992	0.1586	-0.2268	0.0845	-0.0502	-0.0429	-0.0043	-0.1774	0.3041	0.0755	-0.0784	-0.0245	-0.0401	-0.0154	0.4467	-0.0966	0.0053	-0.0097	-0.0641	0.1616	-0.0182	-0.1203	0.2222	-0.0678	0.2424	-0.1249	-0.0352	-0.0943	0.0525	-0.0749	-0.4592	0.0657	0.1149	-0.0497	-0.0406	-0.0775	-0.0228	-0.1361	-0.0884	-0.285	-0.0291	0.1469	-0.0281	0.1056	-0.1077	0.0634	-0.054	0.207	-0.0539	-0.0896	-0.0469	-0.1513	-0.8873	-0.0112	0.5186	0.0221	-0.1083	0.5093	-0.1392	0.0555	-0.0459	0.0979	-0.2616	0.0101	0.24	-0.0279	-0.2028	0.2762	0.0714	-0.0722	-0.049	0.0501	-0.4321	-0.1056	-0.1959	-0.1474	-0.2065	0.4321	-0.0355	-0.034	-0.1483	0.2425	-0.3006	0.5874	0.0121	-0.0529
direct_vc_estimate_se	0.314	0.1928	0.3786	0.1374	0.1157	0.2937	0.1798	0.1824	0.0989	0.55	0.6159	0.4483	0.2216	0.3368	0.1926	0.0734	0.3131	0.0615	0.0713	0.1817	0.0942	0.3675	0.0677	0.1512	0.3044	0.0666	0.1333	0.0749	0.0631	0.1273	0.0658	0.0796	0.087	0.2448	0.0802	0.2857	0.0813	0.1055	0.0612	0.1678	0.0976	0.1353	0.0875	0.1078	0.7798	0.5257	0.0626	0.0645	0.1355	0.1029	0.2507	0.1819	0.1873	0.4578	0.0625	0.0628	0.0799	0.2355	0.254	0.1094	0.0891	0.2051	0.104	0.5505	0.0937	0.6621	1.2062	0.0644	0.3348	0.0817	0.3648	0.0861	0.362	0.1107	0.0611	0.1151	0.7544	0.0674	0.0624	0.2503	0.6726	0.6082	0.0693	0.1122	0.2681	0.0606	0.6597	0.1554	0.3515	0.348	0.2714	0.131	0.078	0.0598	0.1989	0.2355	0.3917	0.7532	0.7191	0.0701
direct_vc_pvals	0.741	0.224	0.618	0.581	0.008	0.007	0.484	0.572	0.072	0.705	0.132	0.545	0.415	0.384	0.586	0.091	0.843	0.129	0.835	0.425	0.44	0.56	0.031	0.201	0.448	0.558	0.475	0.455	0.027	0.932	0.415	0.467	0.843	0.118	0.508	0.504	0.047	0.695	0.055	0.861	0.492	0.77	0.223	0.777	0.751	0.218	0.144	0.993	0.47	0.91	0.333	0.852	0.52	0.774	0.603	0.135	0.478	0.192	0.535	0.217	0.714	0.113	0.615	0.376	0.623	0.434	0.965	0.515	0.024	0.284	0.452	0.007	0.501	0.242	0.905	0.177	0.527	0.354	0.023	0.336	0.476	0.091	0.29	0.694	0.379	0.221	0.834	0.747	0.653	0.524	0.909	0.016	0.525	0.628	0.882	0.118	0.952	0.024	0.255	0.912
upper95_perm_direct	1.437	0.5634	0.446	0.332	0.3566	0.3879	0.4281	0.5071	0.3468	0.5884	0.4376	0.6475	0.462	0.4256	0.4034	0.2785	0.6991	0.1974	0.4166	0.3682	0.3555	0.4876	0.2819	0.3478	0.5562	0.3072	0.3631	0.2819	0.4002	0.3438	0.2807	0.3842	0.2803	0.3596	0.3742	0.468	0.2426	0.2554	0.2839	0.4106	0.3226	0.3709	0.2934	0.4102	0.6539	0.5614	0.2625	0.2486	0.405	0.3126	0.3817	0.3366	0.3666	0.414	0.3069	0.3322	0.2036	0.3582	0.4202	0.2829	0.3221	0.4034	0.3093	0.5447	0.3201	0.59	0.5771	0.3199	0.4231	0.23	0.3541	0.2864	0.3771	0.3184	0.2478	0.3108	0.452	0.2188	0.1831	0.3822	0.432	0.4529	0.3711	0.252	0.3967	0.2275	0.5443	0.3856	0.5532	0.3562	0.4367	0.3029	0.1834	0.2535	0.422	0.4707	0.5096	0.5244	0.4513	0.2558
lower0_perm_direct	-0.3279	-0.2079	-0.3817	-0.1414	-0.1218	-0.3135	-0.1828	-0.1802	-0.0997	-0.5914	-0.6107	-0.4867	-0.2333	-0.3407	-0.1944	-0.0733	-0.3313	-0.0636	-0.0734	-0.1959	-0.0965	-0.3963	-0.0714	-0.1578	-0.3052	-0.0678	-0.1388	-0.0774	-0.0683	-0.1301	-0.0706	-0.0812	-0.0939	-0.2637	-0.0865	-0.2786	-0.0837	-0.1079	-0.0606	-0.1789	-0.1052	-0.1435	-0.0885	-0.111	-0.8173	-0.5425	-0.0641	-0.0691	-0.1409	-0.108	-0.2614	-0.1827	-0.1884	-0.4968	-0.0669	-0.0625	-0.085	-0.2417	-0.2564	-0.1187	-0.093	-0.2209	-0.1046	-0.5515	-0.0945	-0.6803	-1.1345	-0.0646	-0.3438	-0.0881	-0.3809	-0.0935	-0.358	-0.1193	-0.0613	-0.1194	-0.7749	-0.0699	-0.0675	-0.2609	-0.6868	-0.6461	-0.0688	-0.1175	-0.2748	-0.0626	-0.6366	-0.1623	-0.3759	-0.3456	-0.2784	-0.1364	-0.0787	-0.0615	-0.21	-0.2393	-0.4211	-0.7762	-0.7319	-0.0723
sad_vc_estimate	-0.1388	0.1541	-0.152	-0.0076	0.6877	0.65	-0.0789	-0.1075	0.2307	-0.3441	0.2044	-0.1878	-0.0434	-0.0761	-0.0713	0.1102	-0.2145	0.0582	-0.055	-0.0232	0.0372	-0.1654	0.4257	0.1011	-0.052	0.001	-0.0065	-0.0183	0.5942	-0.0925	-0.0286	-0.0136	-0.0633	0.1636	-0.0028	-0.1194	0.1429	-0.0802	0.2686	-0.1133	-0.0175	-0.09	0.0833	-0.0806	-0.4387	0.0527	0.1203	-0.0417	0.0086	-0.0784	-0.0725	-0.1309	-0.1185	-0.304	-0.0294	0.1604	-0.0344	0.0888	-0.0169	0.1248	-0.0469	0.3672	-0.0466	-0.0921	-0.0553	-0.1815	-0.8646	0.0109	0.6987	0.0391	-0.0784	0.5329	-0.1292	0.0858	-0.0462	0.1849	-0.2396	0.0219	0.1729	-0.0267	-0.1405	0.2663	0.0902	-0.0767	-0.0404	0.0444	-0.472	-0.1192	-0.2086	-0.0844	-0.1849	0.4819	-0.0192	-0.0454	-0.1306	0.325	-0.3004	0.4915	-0.0079	-0.0513
sad_vc_estimate_se	0.3143	0.193	0.3787	0.1375	0.1158	0.2938	0.1799	0.1825	0.099	0.5501	0.616	0.4484	0.2217	0.3369	0.1928	0.0735	0.3132	0.0616	0.0714	0.1818	0.0943	0.3676	0.0678	0.1513	0.3045	0.0667	0.1334	0.075	0.0632	0.1274	0.0659	0.0797	0.0871	0.2449	0.0803	0.2858	0.0814	0.1056	0.0613	0.1679	0.0976	0.1354	0.0876	0.1079	0.7799	0.5258	0.0627	0.0646	0.1356	0.103	0.2508	0.182	0.1874	0.4579	0.0626	0.0629	0.08	0.2356	0.2541	0.1095	0.0892	0.2052	0.1041	0.5506	0.0938	0.6622	1.2063	0.0645	0.3349	0.0818	0.3649	0.0862	0.3621	0.1108	0.0612	0.1152	0.7545	0.0675	0.0625	0.2504	0.6727	0.6083	0.0694	0.1122	0.2682	0.0607	0.6598	0.1555	0.3516	0.3481	0.2715	0.1311	0.0781	0.0599	0.199	0.2356	0.3918	0.7533	0.7192	0.0702
sad_vc_pvals	0.627	0.213	0.521	0.36	0.008	0.012	0.526	0.67	0.088	0.743	0.132	0.519	0.428	0.422	0.507	0.17	0.755	0.221	0.981	0.39	0.323	0.585	0.014	0.222	0.424	0.473	0.402	0.477	0.012	0.832	0.623	0.506	0.855	0.14	0.459	0.51	0.099	0.904	0.056	0.773	0.481	0.745	0.199	0.893	0.731	0.275	0.148	0.766	0.387	0.918	0.448	0.811	0.706	0.8	0.634	0.153	0.555	0.192	0.37	0.132	0.644	0.048	0.56	0.395	0.686	0.475	0.939	0.437	0.011	0.221	0.393	0.009	0.499	0.207	0.911	0.099	0.495	0.314	0.063	0.389	0.395	0.091	0.252	0.753	0.36	0.225	0.872	0.952	0.666	0.422	0.741	0.011	0.436	0.902	0.688	0.073	0.951	0.046	0.275	0.863
upper95_perm_sad	1.4978	0.6357	0.5034	0.4094	0.341	0.4094	0.4303	0.6065	0.3441	0.4829	0.5344	0.6966	0.4478	0.4307	0.4701	0.3082	0.739	0.2456	0.5334	0.4543	0.4766	0.579	0.2934	0.5288	0.6393	0.3521	0.4095	0.2566	0.4071	0.3816	0.3284	0.3842	0.3364	0.4267	0.4295	0.5319	0.2829	0.2905	0.3289	0.4045	0.3861	0.4001	0.32	0.4558	0.7439	0.5788	0.2977	0.3435	0.4032	0.3211	0.4632	0.3506	0.4202	0.4102	0.3656	0.3551	0.1902	0.4227	0.4899	0.3311	0.3454	0.3939	0.3329	0.5945	0.3546	0.5703	0.7293	0.3247	0.4753	0.2289	0.3579	0.3079	0.5261	0.3403	0.2557	0.3157	0.5073	0.2534	0.2148	0.4375	0.4655	0.4939	0.4348	0.3085	0.4329	0.2094	0.5194	0.384	0.5539	0.3538	0.4336	0.3072	0.1806	0.225	0.4121	0.4795	0.4927	0.522	0.5525	0.3449
lower0_perm_sad	-0.3221	-0.2075	-0.3845	-0.1403	-0.1192	-0.3122	-0.1935	-0.19	-0.0998	-0.5679	-0.6292	-0.4826	-0.2268	-0.3486	-0.1962	-0.0744	-0.331	-0.0624	-0.0752	-0.1827	-0.0971	-0.3693	-0.0708	-0.1503	-0.3214	-0.0696	-0.1391	-0.0767	-0.0631	-0.1363	-0.071	-0.0825	-0.0896	-0.2573	-0.08	-0.2928	-0.0836	-0.1146	-0.0635	-0.1736	-0.1026	-0.146	-0.0918	-0.1103	-0.7803	-0.5299	-0.0624	-0.0677	-0.1369	-0.1025	-0.2628	-0.1941	-0.1926	-0.4414	-0.0645	-0.068	-0.0834	-0.2448	-0.2691	-0.1116	-0.09	-0.2024	-0.1077	-0.5611	-0.0969	-0.6555	-1.1667	-0.0643	-0.3462	-0.0854	-0.3697	-0.0906	-0.3615	-0.112	-0.0621	-0.1224	-0.7396	-0.0705	-0.0628	-0.2604	-0.692	-0.6279	-0.0691	-0.1171	-0.2821	-0.0609	-0.6821	-0.158	-0.3621	-0.3639	-0.2906	-0.138	-0.0814	-0.0645	-0.2145	-0.2427	-0.3994	-0.775	-0.7169	-0.0694
