	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2509	-0.1966	0.179	0.0572	-0.1071	0.3236	0.0291	-0.0374	-0.1698	0.033	-0.1347	-0.1111	-0.1405	-0.0393	0.9996	-0.1789	-0.1917	-0.1739	0.4199	-0.1004	-0.0309	-0.121	-0.1521	-0.1228	-0.1618	0.1071	-0.1033	0.0159	0.0368	-0.1331	-0.0999	-0.0966	-0.1315	-0.1287	0.1763	-0.1859	-0.1214	-0.164	0.0332	0.0772	-0.1132	-0.1624	0.3542	-0.0738	0.5682	-0.1397	-0.1472	0.5944	-0.1542	0.1077	-0.1747	-0.1266	-0.1576	-0.0499	0.2918	0.2241	-0.1362	-0.1654	0.1392	-0.1378	-0.1449	-0.0459	-0.1745	-0.0703	-0.1685	-0.1043	0.0573	0.3273	0.0693	0.0684	-0.137	-0.1452	-0.1121	1.063	-0.1754	0.0673	0.1195	-0.1499	-0.1465	0.4232	-0.1698	-0.1214	0.2307	0.1033	0.3579	-0.0571	0.4819	-0.1455	-0.1296	0.2098	0.2438	-0.0167	-0.1438	-0.1647	-0.1453	0.6578	0.1311	-0.1745	-0.1521	0.6702
direct_vc_estimate_se	2.5507	1.0074	0.7353	0.7471	0.7071	0.633	0.661	0.5551	0.6134	0.5848	0.6099	0.6054	0.5816	0.641	0.6279	0.6297	0.6891	0.6535	0.6231	0.6184	0.5849	0.5874	0.5717	0.5973	0.5864	0.5834	0.624	0.5682	0.5966	0.6383	0.5976	0.5366	0.5674	0.6606	0.6267	0.6376	0.6078	0.5988	0.6178	0.5913	0.629	0.5562	0.5993	0.5718	0.5663	0.5851	0.589	0.6083	0.6001	0.599	0.5991	0.5917	0.5842	0.5582	0.6419	0.5806	0.5996	0.5635	0.548	0.5532	0.5492	0.5584	0.6038	0.5617	0.6378	0.5859	0.5918	0.5743	0.5802	0.6038	0.6115	0.6248	0.5665	0.5965	0.6069	0.6316	0.5876	0.5323	0.5508	0.601	0.5784	0.5898	0.6372	0.5503	0.5667	0.5997	0.616	0.5686	0.5533	0.5738	0.5336	0.6029	0.5803	0.5623	0.5968	0.5543	0.5786	0.6008	0.5402	0.591
direct_vc_pvals	0.452	0.555	0.234	0.26	0.46	0.181	0.306	0.371	0.812	0.274	0.655	0.595	0.679	0.358	0.013	0.864	0.803	0.734	0.081	0.533	0.406	0.608	0.749	0.6	0.829	0.213	0.543	0.313	0.313	0.621	0.525	0.593	0.661	0.583	0.256	0.955	0.599	0.83	0.418	0.231	0.519	0.943	0.129	0.477	0.076	0.697	0.731	0.046	0.745	0.239	0.929	0.606	0.8	0.417	0.109	0.135	0.654	0.991	0.194	0.701	0.761	0.375	0.91	0.51	0.777	0.531	0.3	0.117	0.285	0.284	0.617	0.665	0.613	0.006	0.906	0.264	0.258	0.839	0.764	0.073	0.988	0.617	0.191	0.243	0.109	0.472	0.07	0.752	0.69	0.151	0.127	0.402	0.693	0.953	0.699	0.036	0.231	0.927	0.839	0.029
upper95_perm_direct	2.3696	0.7991	0.717	0.6809	0.4664	0.7427	0.5887	0.4271	0.3817	0.5071	0.5475	0.6075	0.5594	0.4522	0.5464	0.6984	0.6086	0.4026	0.5146	0.4978	0.505	0.4848	0.4947	0.4853	0.6543	0.4589	0.5506	0.3595	0.5501	0.6356	0.4756	0.6306	0.4446	0.5736	0.7931	0.852	0.5074	0.6836	0.8835	0.4081	0.4284	0.4888	0.6213	0.4477	0.6469	0.5473	0.5175	0.5434	0.5291	0.5671	0.5053	0.4892	0.5198	0.3962	0.484	0.513	0.5079	0.5349	0.5205	0.4619	0.4975	0.4055	0.5092	0.5632	0.6191	0.5255	0.474	0.5602	0.5905	0.5868	0.4612	0.5194	0.5145	0.5129	0.45	0.5122	0.6764	0.3847	0.4537	0.4773	0.6047	0.5812	0.6756	0.5385	0.5597	0.64	0.5293	0.5509	0.4914	0.5057	0.4821	0.6032	0.4032	0.5112	0.4827	0.5251	0.6435	0.5905	0.4696	0.4674
lower0_perm_direct	-0.8227	-0.3229	-0.2346	-0.2405	-0.2315	-0.2031	-0.2103	-0.1753	-0.2013	-0.1894	-0.1958	-0.1887	-0.1905	-0.2058	-0.1989	-0.2055	-0.2208	-0.2068	-0.1974	-0.1913	-0.1877	-0.193	-0.1815	-0.1918	-0.1935	-0.1866	-0.198	-0.1773	-0.1872	-0.1942	-0.185	-0.1765	-0.1821	-0.2111	-0.2015	-0.1983	-0.1951	-0.1923	-0.2036	-0.1947	-0.2011	-0.1772	-0.1921	-0.1871	-0.1865	-0.1925	-0.1901	-0.1869	-0.1938	-0.1924	-0.1977	-0.1948	-0.1838	-0.1779	-0.209	-0.1819	-0.1887	-0.1803	-0.1762	-0.178	-0.1688	-0.178	-0.1922	-0.1769	-0.2053	-0.1849	-0.1881	-0.184	-0.1832	-0.1873	-0.1968	-0.1975	-0.1824	-0.1906	-0.1991	-0.2011	-0.1837	-0.1684	-0.1708	-0.1984	-0.1908	-0.1888	-0.1998	-0.1779	-0.1813	-0.1978	-0.1977	-0.1851	-0.178	-0.1793	-0.1755	-0.1929	-0.1821	-0.1856	-0.1905	-0.1768	-0.1846	-0.191	-0.1725	-0.1863
sad_vc_estimate	-0.3623	-0.1021	0.077	0.0447	-0.0857	0.2545	0.0369	-0.0647	-0.1797	0.0754	-0.152	-0.116	-0.1542	-0.0337	0.8693	-0.1803	-0.1819	-0.1754	0.3022	-0.1069	-0.0072	-0.153	-0.1618	-0.1587	-0.1697	0.0156	-0.1208	0.0408	-0.0062	-0.1305	-0.12	-0.1071	-0.1206	-0.1402	0.2387	-0.1873	-0.1454	-0.1669	0.0423	0.054	-0.1089	-0.1634	0.2138	-0.0023	0.595	-0.1538	-0.1501	0.663	-0.1377	0.0578	-0.1758	-0.1122	-0.1554	-0.0351	0.2456	0.3524	-0.1057	-0.1641	0.1363	-0.1254	-0.1358	-0.0117	-0.1751	-0.0958	-0.1773	-0.1248	0.0858	0.325	0.0765	0.0895	-0.1383	-0.1418	-0.1057	1.0174	-0.1769	0.0287	0.0896	-0.1537	-0.1458	0.4932	-0.1697	-0.1242	0.292	0.1273	0.4075	-0.0649	0.4143	-0.1435	-0.1479	0.1749	0.1605	0.0596	-0.1342	-0.1652	-0.1192	0.7892	0.1003	-0.1765	-0.1541	0.6646
sad_vc_estimate_se	2.5533	1.0083	0.7359	0.7476	0.7076	0.6335	0.6615	0.5555	0.6139	0.5852	0.6103	0.6058	0.582	0.6415	0.6283	0.6302	0.6897	0.6539	0.6235	0.6189	0.5853	0.5878	0.5721	0.5977	0.5868	0.5838	0.6245	0.5686	0.5971	0.6388	0.5981	0.537	0.5678	0.6611	0.6272	0.6381	0.6082	0.5993	0.6182	0.5917	0.6295	0.5566	0.5998	0.5723	0.5667	0.5855	0.5895	0.6088	0.6005	0.5994	0.5995	0.5921	0.5847	0.5586	0.6424	0.581	0.6001	0.5639	0.5484	0.5536	0.5496	0.5588	0.6043	0.5621	0.6383	0.5863	0.5922	0.5748	0.5806	0.6042	0.612	0.6252	0.5669	0.597	0.6074	0.632	0.588	0.5327	0.5512	0.6015	0.5788	0.5902	0.6376	0.5507	0.5671	0.6001	0.6165	0.5691	0.5537	0.5742	0.534	0.6033	0.5808	0.5627	0.5972	0.5547	0.5791	0.6013	0.5406	0.5914
sad_vc_pvals	0.503	0.412	0.285	0.294	0.462	0.191	0.287	0.444	0.953	0.249	0.696	0.594	0.772	0.351	0.02	0.897	0.758	0.768	0.098	0.536	0.355	0.755	0.845	0.767	0.906	0.281	0.609	0.266	0.381	0.653	0.62	0.631	0.591	0.606	0.219	0.989	0.687	0.851	0.393	0.257	0.493	0.986	0.196	0.351	0.061	0.779	0.734	0.04	0.658	0.291	0.97	0.539	0.783	0.425	0.112	0.098	0.571	0.949	0.192	0.653	0.709	0.321	0.915	0.585	0.84	0.617	0.256	0.132	0.294	0.269	0.647	0.646	0.569	0.012	0.924	0.294	0.26	0.903	0.762	0.075	0.974	0.611	0.164	0.224	0.099	0.511	0.075	0.755	0.788	0.186	0.154	0.283	0.622	0.992	0.57	0.013	0.278	0.989	0.865	0.018
upper95_perm_sad	2.1495	0.839	0.6706	0.7241	0.4496	0.6627	0.5857	0.4518	0.4081	0.5678	0.5458	0.6613	0.5453	0.4776	0.5291	0.7068	0.6048	0.5329	0.4431	0.6026	0.6033	0.5185	0.4876	0.5838	0.5693	0.4079	0.6051	0.4233	0.5911	0.6261	0.5378	0.6783	0.4113	0.5145	0.8181	0.7063	0.6025	0.7164	0.9415	0.4373	0.4778	0.5046	0.6443	0.5248	0.6496	0.5749	0.5998	0.5278	0.5687	0.5965	0.5346	0.4225	0.4236	0.514	0.4518	0.5227	0.6	0.663	0.4483	0.5185	0.5411	0.3112	0.5397	0.5765	0.6629	0.4874	0.5638	0.6996	0.5891	0.6751	0.4877	0.5263	0.5182	0.4575	0.4167	0.4937	0.6819	0.4546	0.4844	0.5853	0.5772	0.592	0.6584	0.5765	0.5707	0.5937	0.4906	0.5966	0.507	0.5605	0.4052	0.5794	0.4816	0.5992	0.5106	0.402	0.67	0.6153	0.4396	0.4013
lower0_perm_sad	-0.8157	-0.314	-0.2376	-0.2326	-0.2272	-0.2031	-0.2031	-0.1741	-0.1975	-0.1921	-0.1972	-0.196	-0.1871	-0.2061	-0.2033	-0.2054	-0.2143	-0.2154	-0.1996	-0.196	-0.1845	-0.1861	-0.1824	-0.1902	-0.1888	-0.1849	-0.2021	-0.1814	-0.1891	-0.2013	-0.1908	-0.168	-0.1832	-0.2175	-0.1957	-0.2053	-0.1916	-0.1924	-0.1972	-0.1909	-0.1992	-0.1787	-0.1916	-0.1834	-0.1759	-0.1886	-0.1902	-0.1882	-0.1898	-0.1931	-0.1946	-0.1875	-0.1871	-0.1767	-0.2068	-0.1913	-0.1887	-0.1766	-0.1755	-0.1761	-0.1697	-0.1757	-0.1988	-0.1813	-0.2052	-0.1868	-0.1917	-0.1819	-0.1879	-0.1943	-0.1955	-0.2057	-0.1821	-0.1914	-0.1958	-0.2003	-0.1889	-0.1682	-0.1784	-0.193	-0.1842	-0.1883	-0.1979	-0.1748	-0.1805	-0.1901	-0.1938	-0.1832	-0.1771	-0.1837	-0.1663	-0.1968	-0.1858	-0.1818	-0.191	-0.177	-0.1853	-0.1981	-0.1778	-0.1894
covar_vc_estimate	0.6193	0.3141	-0.2486	-0.1019	0.1937	-0.5757	-0.0661	0.1036	0.3556	-0.1066	0.2886	0.227	0.2966	0.0729	-1.8652	0.3592	0.3752	0.3492	-0.7159	0.2073	0.0389	0.2815	0.3159	0.2912	0.3339	-0.1138	0.225	-0.0561	-0.0283	0.2634	0.2214	0.204	0.2527	0.2693	-0.4126	0.3739	0.2699	0.3309	-0.0755	-0.1307	0.222	0.3271	-0.5574	0.0859	-1.1631	0.2954	0.2972	-1.2561	0.2941	-0.1633	0.3508	0.2397	0.313	0.0854	-0.5364	-0.5676	0.2461	0.3313	-0.2756	0.2643	0.2816	0.0597	0.3495	0.168	0.3469	0.2308	-0.1424	-0.6525	-0.1459	-0.1576	0.2752	0.2869	0.2179	-2.0801	0.3523	-0.0946	-0.2084	0.3043	0.2922	-0.9145	0.3399	0.2455	-0.5207	-0.2302	-0.7644	0.122	-0.8946	0.2889	0.281	-0.384	-0.3995	-0.0357	0.2786	0.3304	0.2684	-1.4422	-0.2307	0.3535	0.3062	-1.3349
covar_vc_estimate_se	5.3873	2.29	1.7399	1.7637	1.6827	1.532	1.5889	1.373	1.4921	1.4336	1.4849	1.4757	1.427	1.5483	1.5215	1.5253	1.6461	1.5736	1.5117	1.5022	1.4338	1.439	1.4069	1.4592	1.4369	1.4308	1.5137	1.3997	1.4578	1.5427	1.4599	1.335	1.3981	1.5881	1.5192	1.5413	1.4806	1.4623	1.5009	1.4469	1.5237	1.3752	1.4633	1.4072	1.3959	1.4343	1.4423	1.4817	1.4649	1.4626	1.4628	1.4478	1.4325	1.3793	1.5502	1.425	1.4639	1.3901	1.3585	1.3691	1.361	1.3796	1.4725	1.3864	1.5418	1.4359	1.448	1.4123	1.4242	1.4724	1.4882	1.5152	1.3963	1.4576	1.4788	1.529	1.4394	1.3264	1.3642	1.4668	1.4205	1.4438	1.5404	1.3631	1.3967	1.464	1.4973	1.4007	1.3693	1.4111	1.3289	1.4706	1.4245	1.3876	1.4581	1.3714	1.421	1.4664	1.3426	1.4463
covar_vc_pvals	0.416	0.388	0.253	0.314	0.427	0.163	0.337	0.498	0.02	0.29	0.142	0.248	0.117	0.428	0.003	0.029	0.075	0.101	0.046	0.329	0.445	0.15	0.061	0.129	0.026	0.26	0.264	0.309	0.401	0.216	0.287	0.237	0.227	0.247	0.235	0.008	0.191	0.045	0.498	0.236	0.371	0.006	0.136	0.479	0.036	0.108	0.103	0.015	0.146	0.277	0.011	0.292	0.067	0.478	0.083	0.085	0.22	0.001	0.174	0.156	0.114	0.404	0.022	0.312	0.053	0.265	0.294	0.101	0.323	0.308	0.203	0.175	0.247	0.001	0.018	0.304	0.294	0.025	0.097	0.032	0.005	0.225	0.165	0.228	0.074	0.384	0.043	0.103	0.117	0.152	0.119	0.409	0.172	0.009	0.212	0.0	0.275	0.004	0.04	0.005
upper975_perm_covar	1.4207	0.5571	0.3946	0.4099	0.3883	0.3479	0.3593	0.2993	0.3391	0.3295	0.3352	0.3257	0.3198	0.3516	0.3492	0.343	0.3752	0.3615	0.3354	0.34	0.3207	0.3172	0.3147	0.3215	0.3217	0.3191	0.3371	0.3128	0.3339	0.3467	0.3288	0.288	0.3139	0.3699	0.3409	0.3427	0.33	0.3246	0.3287	0.325	0.3425	0.3034	0.3168	0.318	0.3098	0.3188	0.3237	0.331	0.3346	0.3295	0.3327	0.327	0.3141	0.3053	0.3494	0.3186	0.3219	0.3099	0.2976	0.3081	0.2976	0.3105	0.3289	0.2961	0.3407	0.325	0.327	0.3095	0.3172	0.332	0.3339	0.3407	0.3098	0.334	0.3304	0.3492	0.316	0.2912	0.3061	0.3282	0.3097	0.3265	0.3444	0.2949	0.311	0.326	0.3355	0.307	0.3022	0.3073	0.2952	0.3285	0.3185	0.3066	0.3251	0.3071	0.316	0.3297	0.2963	0.3258
lower025_perm_covar	-4.4094	-1.5657	-1.3547	-1.2824	-0.8386	-1.3127	-1.2244	-0.7326	-0.7738	-0.9657	-1.169	-1.0656	-1.0298	-0.8742	-0.9902	-1.2208	-1.173	-0.8969	-0.8674	-0.9917	-0.9677	-0.9409	-0.8755	-1.1614	-1.0603	-0.8631	-1.0349	-0.9299	-1.097	-1.2055	-0.9133	-1.2857	-0.8605	-1.0373	-1.5178	-1.5303	-1.0815	-1.2731	-1.6598	-0.8327	-0.7895	-0.957	-1.2377	-0.9943	-1.2742	-1.0515	-1.159	-0.9552	-1.1013	-1.1213	-0.9632	-0.8684	-0.9005	-0.7625	-0.8611	-0.9678	-0.9892	-1.1162	-0.9402	-0.884	-0.9654	-0.6996	-0.9278	-0.9095	-1.1293	-0.8921	-1.0523	-1.0304	-1.0861	-1.2123	-0.9068	-0.9834	-1.1135	-0.905	-0.8305	-0.952	-1.2986	-0.7275	-0.8103	-0.95	-1.0995	-1.0587	-1.243	-1.1303	-1.1082	-1.1934	-1.0049	-1.1047	-0.9319	-1.0747	-0.7606	-1.2674	-0.7725	-1.2161	-0.9856	-0.8417	-1.175	-1.2389	-0.8462	-0.8052
