	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0031	-0.0016	0.0035	0.0274	-0.0012	-0.0028	-0.0013	0.0023	0.0038	-0.0011	0.012	-0.001	-0.0019	0.0029	0.0022	-0.0002	-0.0019	0.0213	0.0054	0.0132	-0.0009	-0.0012	-0.0011	-0.0003	-0.0012	0.001	0.0034	0.0212	0.0344	-0.0008	0.0003	-0.0012	-0.001	0.0012	0.0038	0.0004	0.0003	-0.0012	-0.0011	0.001	0.0003	0.0021	0.01	0.0071	0.0061	-0.0012	-0.0008	-0.001	-0.0008	-0.001	0.0055	0.0022	0.0036	-0.0006	-0.0007	-0.0007	-0.0001	0.0014	0.0008	-0.0002	0.0001	0.0003	-0.0002	0.0146	-0.0008	0.0084	0.0082	0.0091	-0.001	-0.0009	0.0035	-0.0003	0.0037	0.0037	0.0087	-0.0009	0.002	-0.0009	0.0013	-0.0004	0.0015	0.0004	-0.0009	0.0028	0.0001	0.0014	-0.0008	0.0003	0.0002	-0.0009	0.0006	0.0037	0.0168	-0.0008	-0.0009	0.0013	-0.0003	0.0011	0.0009	0.0029
direct_vc_estimate_se	0.018	0.0091	0.0053	0.0063	0.0066	0.0158	0.007	0.0131	0.0204	0.0072	0.0081	0.0064	0.0108	0.0091	0.0051	0.0061	0.0107	0.0062	0.0062	0.0082	0.0066	0.0072	0.009	0.0066	0.0066	0.0064	0.0042	0.0058	0.0074	0.0059	0.0061	0.0066	0.0057	0.0052	0.0057	0.0054	0.007	0.0066	0.0062	0.0061	0.0063	0.0059	0.0071	0.0057	0.0051	0.0064	0.005	0.0056	0.0066	0.0056	0.0049	0.0052	0.0062	0.0049	0.0049	0.0051	0.0055	0.0055	0.005	0.0052	0.0055	0.0069	0.0061	0.0074	0.006	0.0061	0.0054	0.0049	0.0054	0.0057	0.0051	0.0053	0.0049	0.0059	0.0047	0.0053	0.005	0.0049	0.0073	0.0054	0.0066	0.006	0.0054	0.0078	0.0056	0.0054	0.0058	0.0058	0.0059	0.0055	0.0052	0.0056	0.0048	0.0051	0.0053	0.0051	0.0048	0.0051	0.0049	0.0051
direct_vc_pvals	0.922	0.924	0.209	0.026	0.954	0.914	0.985	0.376	0.195	0.82	0.092	0.805	0.873	0.439	0.401	0.656	0.982	0.033	0.169	0.247	0.736	0.836	0.628	0.583	0.974	0.509	0.15	0.014	0.02	0.803	0.682	0.933	0.951	0.344	0.141	0.672	0.446	0.948	0.895	0.425	0.706	0.217	0.235	0.164	0.223	0.975	0.889	0.985	0.677	0.9	0.136	0.23	0.175	0.784	0.749	0.802	0.612	0.409	0.378	0.635	0.502	0.568	0.709	0.054	0.823	0.117	0.07	0.034	0.98	0.817	0.311	0.609	0.241	0.248	0.112	0.909	0.255	0.926	0.382	0.731	0.406	0.486	0.869	0.579	0.608	0.553	0.755	0.71	0.693	0.838	0.47	0.418	0.008	0.781	0.9	0.325	0.699	0.398	0.49	0.292
upper95_perm_direct	0.0534	0.0243	0.0141	0.0328	0.0147	0.009	0.0324	0.0249	0.0167	0.018	0.0242	0.0137	0.0146	0.0308	0.022	0.0177	0.0109	0.0247	0.0179	0.0478	0.0114	0.0098	0.0094	0.0142	0.0154	0.0237	0.0109	0.0233	0.0379	0.0193	0.0225	0.0178	0.0174	0.0117	0.0101	0.033	0.0122	0.0135	0.0078	0.0164	0.034	0.0101	0.0325	0.0197	0.0252	0.0149	0.0147	0.0186	0.0091	0.0145	0.0127	0.0106	0.0115	0.0143	0.0082	0.0221	0.0142	0.017	0.0093	0.0158	0.0141	0.0206	0.0274	0.023	0.025	0.0177	0.0135	0.0112	0.0125	0.0094	0.0199	0.0124	0.0167	0.0165	0.0212	0.0143	0.0102	0.017	0.0181	0.0226	0.0177	0.0116	0.0105	0.0464	0.0204	0.0298	0.0125	0.0308	0.0215	0.019	0.0131	0.0287	0.0133	0.0085	0.0096	0.0111	0.018	0.014	0.0128	0.0162
lower0_perm_direct	-0.0073	-0.0035	-0.0021	-0.0024	-0.0026	-0.0065	-0.0028	-0.0054	-0.0085	-0.0028	-0.0032	-0.0025	-0.0043	-0.0034	-0.002	-0.0023	-0.0042	-0.0025	-0.0027	-0.0033	-0.0026	-0.0028	-0.0034	-0.0026	-0.0027	-0.0028	-0.0015	-0.0021	-0.003	-0.0023	-0.0024	-0.0029	-0.0022	-0.002	-0.0023	-0.002	-0.0029	-0.0027	-0.0026	-0.0024	-0.0026	-0.0025	-0.0027	-0.0022	-0.0022	-0.0024	-0.002	-0.0023	-0.0027	-0.002	-0.0021	-0.002	-0.0026	-0.0019	-0.0019	-0.0021	-0.0021	-0.0022	-0.0019	-0.002	-0.0022	-0.0028	-0.0024	-0.003	-0.0023	-0.0024	-0.0021	-0.0019	-0.002	-0.0021	-0.0021	-0.0021	-0.002	-0.0023	-0.0019	-0.0022	-0.002	-0.0019	-0.0028	-0.0021	-0.0025	-0.0024	-0.002	-0.0029	-0.0021	-0.0021	-0.0022	-0.0023	-0.0023	-0.0021	-0.002	-0.0022	-0.002	-0.002	-0.0021	-0.0022	-0.0019	-0.002	-0.0018	-0.0021
sad_vc_estimate	-0.0033	0.0038	0.0024	0.0492	0.0011	0.0264	-0.0009	0.0492	0.0801	-0.0013	0.0089	0.0063	0.0326	0.0082	0.0067	0.0015	0.0273	0.05	0.0102	0.0339	0.015	0.0037	0.0097	0.0016	0.0018	0.0031	0.0094	0.0593	0.0942	0.001	0.0036	-0.001	-0.0009	0.0109	0.0175	0.0078	0.0035	0.0001	0.0094	0.0006	0.0075	0.0103	0.0529	0.0267	0.0061	0.002	-0.0007	-0.0001	-0.0001	0.0128	0.0195	0.0116	0.0125	-0.0	-0.0004	0.0012	0.0002	0.0	-0.0009	0.0009	0.0006	0.0079	0.0002	0.0383	0.0039	0.0221	0.0128	0.014	-0.0004	-0.0011	0.0113	-0.0006	0.0193	0.0022	0.0293	-0.0001	0.0001	-0.0009	-0.0007	0.0002	-0.0	-0.0001	-0.0007	0.0062	0.0078	0.0131	0.0086	0.0049	0.004	0.0024	0.0006	0.0029	0.0464	-0.0001	0.0017	0.0063	-0.0009	0.0014	-0.0009	0.014
sad_vc_estimate_se	0.0183	0.0092	0.0054	0.0064	0.0067	0.016	0.0071	0.0133	0.0207	0.0073	0.0083	0.0065	0.0109	0.0092	0.0052	0.0062	0.0109	0.0063	0.0063	0.0083	0.0067	0.0073	0.0092	0.0067	0.0067	0.0065	0.0043	0.0059	0.0076	0.006	0.0062	0.0067	0.0058	0.0053	0.0058	0.0055	0.0071	0.0067	0.0063	0.0062	0.0064	0.006	0.0072	0.0058	0.0052	0.0065	0.0051	0.0057	0.0067	0.0057	0.005	0.0052	0.0063	0.005	0.005	0.0052	0.0056	0.0056	0.0051	0.0052	0.0056	0.007	0.0062	0.0075	0.0061	0.0062	0.0055	0.005	0.0055	0.0058	0.0052	0.0054	0.005	0.006	0.0048	0.0054	0.0051	0.005	0.0074	0.0055	0.0067	0.0061	0.0055	0.008	0.0057	0.0055	0.0059	0.0059	0.006	0.0056	0.0052	0.0057	0.0049	0.0051	0.0054	0.0052	0.0048	0.0052	0.005	0.0052
sad_vc_pvals	0.992	0.549	0.49	0.051	0.55	0.421	0.856	0.22	0.205	0.957	0.367	0.323	0.19	0.423	0.385	0.573	0.196	0.032	0.263	0.211	0.127	0.438	0.334	0.53	0.558	0.51	0.094	0.012	0.015	0.681	0.554	0.875	0.885	0.135	0.064	0.449	0.366	0.673	0.186	0.608	0.477	0.088	0.065	0.107	0.372	0.564	0.856	0.748	0.7	0.144	0.058	0.108	0.12	0.757	0.727	0.663	0.674	0.727	1.0	0.635	0.568	0.346	0.734	0.084	0.545	0.171	0.114	0.075	0.803	0.998	0.271	0.801	0.118	0.468	0.046	0.713	0.68	0.937	0.794	0.773	0.728	0.689	0.833	0.598	0.308	0.303	0.179	0.582	0.53	0.536	0.637	0.636	0.001	0.67	0.467	0.231	0.967	0.543	0.963	0.152
upper95_perm_sad	0.1199	0.0737	0.0395	0.0744	0.0384	0.1478	0.0778	0.152	0.2008	0.0445	0.0717	0.0402	0.1001	0.0701	0.0529	0.0375	0.0798	0.0673	0.045	0.1142	0.034	0.0443	0.0546	0.0337	0.0509	0.0511	0.0196	0.0508	0.0942	0.0463	0.0487	0.0398	0.0424	0.0283	0.0282	0.0683	0.0294	0.0377	0.031	0.0355	0.0736	0.0199	0.0854	0.0551	0.0495	0.0459	0.0344	0.0437	0.0376	0.0339	0.0308	0.0246	0.0283	0.0349	0.0218	0.0508	0.0363	0.0446	0.0228	0.0357	0.0276	0.0504	0.0573	0.0693	0.0711	0.0614	0.03	0.0242	0.0348	0.0253	0.0465	0.0264	0.0399	0.0373	0.0432	0.0357	0.0333	0.0448	0.0422	0.0614	0.0591	0.0235	0.0308	0.1027	0.0449	0.0602	0.0292	0.0683	0.0537	0.0383	0.0303	0.0654	0.0305	0.0247	0.0281	0.0241	0.0419	0.0345	0.037	0.0363
lower0_perm_sad	-0.0074	-0.0034	-0.0022	-0.0025	-0.0026	-0.006	-0.0026	-0.0048	-0.0081	-0.003	-0.0035	-0.0026	-0.0042	-0.0035	-0.002	-0.0025	-0.0041	-0.0023	-0.0027	-0.0032	-0.0025	-0.003	-0.0035	-0.0026	-0.0026	-0.0025	-0.0017	-0.0022	-0.0032	-0.0023	-0.0023	-0.0025	-0.0022	-0.002	-0.0023	-0.0021	-0.0026	-0.0026	-0.0024	-0.0025	-0.0025	-0.0023	-0.0027	-0.0022	-0.0021	-0.0024	-0.002	-0.0023	-0.0026	-0.0023	-0.002	-0.0021	-0.0025	-0.0018	-0.0019	-0.0022	-0.0021	-0.0022	-0.0021	-0.0021	-0.0022	-0.0026	-0.0021	-0.003	-0.0023	-0.0025	-0.0021	-0.002	-0.0022	-0.0023	-0.0019	-0.0019	-0.0021	-0.0025	-0.002	-0.0021	-0.002	-0.002	-0.0032	-0.002	-0.0025	-0.0024	-0.0021	-0.0029	-0.0023	-0.0021	-0.0023	-0.0022	-0.0023	-0.002	-0.0021	-0.0023	-0.0019	-0.002	-0.002	-0.002	-0.0018	-0.002	-0.0018	-0.002
