	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0745	0.0701	0.0047	0.0258	-0.0002	0.0025	-0.0003	-0.0003	0.0014	0.0088	0.0008	0.0007	0.0025	0.0079	0.0003	0.0054	-0.0003	0.0004	0.0095	-0.0002	0.0007	0.0001	0.0002	0.0019	0.0005	0.002	-0.0003	0.0067	0.0029	0.0033	0.0016	0.0006	0.0001	0.002	0.0008	0.001	0.0013	-0.0002	0.0001	-0.0002	0.0009	0.0	0.0006	0.0034	-0.0002	0.002	-0.0	0.0155	0.0056	0.0008	0.0079	-0.0002	0.0002	-0.0001	0.0123	0.0014	0.0022	-0.0002	0.0052	0.0015	0.002	0.0057	0.006	-0.0003	0.0	0.0034	-0.0001	0.0001	-0.0003	-0.0002	0.0043	0.0018	0.0006	0.0012	0.0048	0.0145	0.0042	0.0054	0.0002	0.0206	0.0012	0.0002	-0.0001	-0.0003	0.0016	0.0019	0.0003	0.0001	0.0003	0.0004	-0.0001	0.0062	0.0035	-0.0	0.0073	-0.0002	0.0025	0.0019	0.0095	-0.0002
direct_vc_estimate_se	0.0014	0.0009	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0005	0.0003	0.0004	0.0003	0.0003	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003
direct_vc_pvals	0.164	0.011	0.585	0.01	0.911	0.419	0.934	0.953	0.347	0.004	0.368	0.607	0.473	0.03	0.378	0.094	0.955	0.35	0.018	0.749	0.419	0.495	0.576	0.377	0.551	0.343	0.978	0.145	0.32	0.285	0.573	0.418	0.678	0.271	0.175	0.54	0.371	0.938	0.496	0.882	0.606	0.574	0.388	0.138	0.942	0.217	0.752	0.008	0.006	0.29	0.025	0.868	0.727	0.728	0.032	0.253	0.166	0.905	0.169	0.12	0.223	0.031	0.23	0.927	0.794	0.786	0.761	0.573	0.985	0.905	0.095	0.217	0.454	0.29	0.017	0.039	0.109	0.086	0.538	0.048	0.41	0.666	0.722	0.944	0.499	0.272	0.526	0.637	0.496	0.683	0.871	0.155	0.077	0.602	0.19	0.652	0.481	0.107	0.11	0.897
upper95_perm_direct	0.2016	0.0748	0.0564	0.032	0.0068	0.0197	0.0188	0.0134	0.0109	0.0078	0.0075	0.0207	0.0141	0.0121	0.005	0.0123	0.0074	0.0055	0.0123	0.0055	0.0091	0.005	0.0092	0.0106	0.0114	0.0136	0.0221	0.0185	0.0126	0.0177	0.0158	0.0079	0.0107	0.0106	0.0034	0.0168	0.0115	0.0176	0.0067	0.0051	0.0118	0.0061	0.0063	0.0086	0.0208	0.008	0.01	0.0168	0.0056	0.0051	0.0109	0.0062	0.011	0.0055	0.0194	0.0077	0.0081	0.0149	0.0151	0.0046	0.0087	0.0085	0.0224	0.0134	0.0183	0.027	0.0064	0.0063	0.0274	0.0252	0.0101	0.0078	0.0077	0.0078	0.006	0.023	0.0106	0.0118	0.0056	0.0353	0.0108	0.0123	0.0067	0.0044	0.0148	0.0089	0.0078	0.0088	0.0053	0.0185	0.0149	0.0165	0.0075	0.0055	0.0239	0.0018	0.0217	0.0051	0.0214	0.0049
lower0_perm_direct	-0.0025	-0.0016	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0009	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0004	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0008	-0.0008	-0.0008	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006
sad_vc_estimate	0.244	0.3242	0.0228	0.1097	0.002	0.0072	0.0001	0.0023	0.0064	0.0375	0.0034	0.0	0.035	0.0353	0.0068	0.0196	-0.0002	0.0003	0.0363	0.0003	0.0027	0.0052	0.0016	0.0047	0.0018	0.0025	-0.0003	0.0187	0.0096	0.0202	0.0015	0.0003	0.002	0.0065	0.0079	0.0066	0.0256	-0.0	0.0078	0.0003	0.0142	0.0007	0.0011	0.0185	-0.0003	0.0053	-0.0002	0.0591	0.0103	0.0056	0.0051	0.0001	0.0002	0.001	0.064	0.0083	0.0091	-0.0002	0.0133	0.0055	0.0029	0.0136	0.0201	0.0001	0.0058	0.013	0.0004	0.0004	0.0009	-0.0003	0.0064	0.0192	0.004	0.006	0.0035	0.0339	0.0085	0.0095	0.0035	0.0867	0.0062	0.0023	0.0008	0.0049	0.013	0.0024	0.0067	0.003	0.004	0.0002	0.0038	0.0217	0.0109	0.0016	0.0119	-0.0003	0.016	0.0076	0.0168	-0.0002
sad_vc_estimate_se	0.0015	0.001	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0003	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0003
sad_vc_pvals	0.16	0.0	0.484	0.001	0.497	0.336	0.859	0.546	0.253	0.005	0.254	0.84	0.123	0.02	0.178	0.039	0.809	0.752	0.003	0.643	0.388	0.197	0.489	0.42	0.551	0.509	0.992	0.084	0.418	0.181	0.836	0.768	0.428	0.183	0.071	0.335	0.084	0.883	0.114	0.594	0.284	0.605	0.512	0.072	0.991	0.296	0.951	0.006	0.026	0.071	0.342	0.766	0.914	0.517	0.009	0.145	0.253	0.925	0.177	0.064	0.327	0.036	0.289	0.848	0.391	0.727	0.685	0.616	0.829	0.963	0.27	0.023	0.505	0.261	0.264	0.075	0.136	0.199	0.263	0.008	0.308	0.483	0.633	0.225	0.308	0.496	0.188	0.55	0.333	0.819	0.641	0.094	0.082	0.449	0.332	0.93	0.325	0.021	0.289	0.919
upper95_perm_sad	0.6651	0.2833	0.1539	0.1226	0.0239	0.0397	0.0605	0.0416	0.0295	0.0405	0.0187	0.0446	0.082	0.045	0.0287	0.0307	0.0128	0.0294	0.0379	0.0166	0.0186	0.0178	0.0242	0.0283	0.021	0.0323	0.0634	0.0379	0.0402	0.0794	0.0617	0.0378	0.0168	0.0216	0.0154	0.0344	0.0539	0.0614	0.0217	0.0109	0.0468	0.0238	0.0195	0.0367	0.0556	0.0298	0.0385	0.0658	0.0143	0.0113	0.0332	0.0261	0.0389	0.0121	0.0724	0.0251	0.0359	0.0461	0.0373	0.0109	0.0194	0.0206	0.0806	0.0394	0.0457	0.079	0.0211	0.0153	0.0629	0.0585	0.0342	0.0243	0.0323	0.0272	0.0155	0.0677	0.0235	0.0338	0.017	0.1093	0.0364	0.0316	0.0263	0.0189	0.0571	0.0293	0.0232	0.0315	0.021	0.0412	0.0471	0.0469	0.0233	0.0191	0.0588	0.0045	0.0693	0.0102	0.0678	0.0109
lower0_perm_sad	-0.0023	-0.0015	-0.0007	-0.0007	-0.0006	-0.0006	-0.0008	-0.0008	-0.0006	-0.0007	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0006	-0.0009	-0.0007	-0.0007	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0009	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0008	-0.0006	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0004	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0008	-0.0007	-0.0007	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006
