	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0735	0.0519	0.009	0.0148	0.0004	0.0035	0.0013	-0.0001	0.0008	0.0071	0.0009	0.0002	0.0064	0.0079	0.0018	0.0058	-0.0001	0.0005	0.0041	0.0001	0.0015	0.0021	0.0005	0.0036	0.0007	0.0002	0.0004	0.0073	0.0023	0.0049	0.0018	-0.0001	-0.0	0.0017	0.001	0.0015	0.0024	-0.0	-0.0001	0.0	0.0014	0.0001	0.0004	0.0035	0.0005	-0.0001	-0.0	0.0116	0.0027	0.0002	0.0036	0.0001	0.0014	0.0002	0.0056	0.0005	0.0022	0.0001	0.0056	0.0001	0.0012	0.0062	0.0055	0.0006	0.0006	0.0031	-0.0	0.0001	0.0015	-0.0	0.0031	0.0061	0.0036	0.0029	0.0009	0.0072	0.0001	0.0033	0.0004	0.0271	0.0017	0.0037	0.0025	0.0005	0.0058	0.0032	0.0004	0.0012	0.0015	0.0021	0.0008	0.009	0.0008	0.0004	0.0052	-0.0001	0.0071	0.0006	0.0097	-0.0
direct_vc_estimate_se	0.0004	0.0005	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.145	0.01	0.461	0.045	0.563	0.402	0.661	0.905	0.404	0.007	0.26	0.72	0.215	0.006	0.072	0.097	0.795	0.465	0.098	0.734	0.315	0.107	0.519	0.214	0.541	0.739	0.697	0.106	0.467	0.194	0.695	0.857	0.931	0.194	0.068	0.457	0.279	0.948	0.904	0.623	0.646	0.634	0.466	0.141	0.911	0.967	0.918	0.001	0.012	0.609	0.114	0.728	0.584	0.69	0.17	0.438	0.172	0.836	0.113	0.684	0.357	0.009	0.248	0.598	0.715	0.933	0.955	0.7	0.784	0.877	0.116	0.017	0.081	0.155	0.324	0.245	0.654	0.15	0.504	0.003	0.258	0.167	0.114	0.291	0.138	0.143	0.584	0.355	0.175	0.437	0.702	0.047	0.312	0.341	0.287	0.636	0.228	0.225	0.099	0.854
upper95_perm_direct	0.1931	0.0614	0.0539	0.0262	0.0077	0.0172	0.0159	0.0132	0.0075	0.0068	0.0039	0.0169	0.0163	0.0085	0.0032	0.0127	0.005	0.0058	0.0084	0.0046	0.008	0.0047	0.0074	0.0101	0.0105	0.0097	0.0155	0.0159	0.0101	0.0152	0.0145	0.0056	0.01	0.0054	0.0018	0.0124	0.0113	0.0146	0.006	0.0022	0.0099	0.0042	0.0043	0.0086	0.0221	0.0068	0.0099	0.0116	0.0034	0.0043	0.0077	0.0046	0.0101	0.0044	0.0141	0.0053	0.0061	0.0111	0.0119	0.004	0.0074	0.0065	0.0195	0.0138	0.0172	0.0269	0.005	0.0066	0.0307	0.0225	0.0072	0.0068	0.007	0.0077	0.0052	0.0191	0.0064	0.01	0.0031	0.0317	0.0065	0.0103	0.006	0.0027	0.0143	0.0084	0.0078	0.0076	0.0039	0.0178	0.0154	0.0146	0.0048	0.0034	0.0214	0.0006	0.0228	0.0027	0.0183	0.0033
lower0_perm_direct	-0.0008	-0.001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0003	-0.0001	-0.0002	-0.0001	-0.0004	-0.0001	-0.0002	-0.0001	-0.0001	-0.0004	-0.0002	-0.0002	-0.0001	-0.0001	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0004	-0.0001	-0.0001	0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0003	-0.0001	-0.0002	-0.0003	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0003	-0.0002	0.0019	-0.0001	-0.0002	-0.0001	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0001	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0003	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001
sad_vc_estimate	0.2131	0.2571	0.0374	0.0745	0.0005	0.0094	0.0025	0.0022	0.0039	0.0355	0.0034	-0.0001	0.0491	0.0372	0.0154	0.0194	-0.0	0.0011	0.0172	0.0009	0.0062	0.0107	0.0014	0.0094	0.0001	0.0007	0.0003	0.019	0.0091	0.0307	0.0024	0.0005	0.0015	0.0032	0.0073	0.0054	0.0266	-0.0	0.0024	-0.0	0.0153	0.0005	0.0034	0.0181	0.0025	-0.0	-0.0001	0.0558	0.0037	0.0032	0.0031	0.0004	0.0032	0.0003	0.0391	0.0076	0.0117	0.0016	0.0177	0.0015	0.0013	0.0139	0.0183	0.002	0.0006	0.0168	0.0008	0.0005	0.001	0.0	0.0013	0.0369	0.0126	0.0072	0.0011	0.022	0.0003	0.0056	0.0023	0.099	0.0082	0.0054	0.0042	0.0116	0.0266	0.0072	0.0073	0.0077	0.0059	0.003	0.0045	0.0291	0.0048	0.0031	0.0068	-0.0001	0.0252	0.0029	0.0242	-0.0001
sad_vc_estimate_se	0.0004	0.0006	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.188	0.006	0.382	0.012	0.771	0.302	0.753	0.624	0.301	0.009	0.147	0.934	0.056	0.006	0.035	0.047	0.767	0.712	0.062	0.513	0.161	0.048	0.554	0.249	0.875	0.698	0.845	0.072	0.492	0.066	0.902	0.747	0.475	0.288	0.052	0.361	0.083	0.971	0.396	0.978	0.278	0.725	0.261	0.096	0.873	0.924	0.985	0.001	0.241	0.108	0.519	0.776	0.782	0.71	0.039	0.118	0.163	0.725	0.064	0.348	0.49	0.015	0.359	0.668	0.837	0.681	0.666	0.679	0.898	0.908	0.664	0.0	0.148	0.271	0.543	0.306	0.691	0.299	0.413	0.005	0.178	0.338	0.326	0.028	0.061	0.243	0.233	0.281	0.221	0.571	0.645	0.04	0.163	0.212	0.578	0.957	0.193	0.061	0.237	0.988
upper95_perm_sad	0.5528	0.2543	0.1514	0.0993	0.0269	0.036	0.044	0.0447	0.0215	0.036	0.0098	0.0361	0.0806	0.0363	0.0209	0.0297	0.0099	0.0375	0.03	0.0129	0.0146	0.0172	0.0202	0.0269	0.0221	0.027	0.0613	0.0351	0.0385	0.0542	0.0618	0.0386	0.0165	0.0163	0.0119	0.0305	0.0527	0.062	0.0194	0.0047	0.0411	0.0204	0.0145	0.0339	0.0595	0.0296	0.0459	0.0492	0.0157	0.0067	0.0344	0.0245	0.0412	0.0094	0.0627	0.019	0.0313	0.0337	0.0321	0.0092	0.0149	0.0172	0.0768	0.0443	0.048	0.0853	0.0191	0.0154	0.0795	0.0509	0.036	0.0289	0.0291	0.032	0.0142	0.0608	0.0141	0.0259	0.0107	0.1101	0.0267	0.0274	0.0227	0.0164	0.0454	0.028	0.0238	0.0299	0.0171	0.0429	0.0515	0.0448	0.0154	0.0116	0.0587	0.0015	0.0716	0.005	0.0695	0.0077
lower0_perm_sad	-0.0008	-0.001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0003	-0.0003	-0.0001	-0.0002	-0.0001	-0.0003	-0.0001	-0.0002	-0.0001	-0.0001	-0.0004	-0.0001	-0.0002	-0.0001	-0.0001	-0.0003	-0.0002	-0.0001	-0.0002	-0.0001	-0.0002	-0.0004	0.0	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0003	-0.0001	0.0001	-0.0003	-0.0001	0.0005	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0003	-0.0002	0.0034	-0.0001	-0.0002	-0.0001	-0.0003	-0.0002	-0.0003	-0.0001	-0.0001	-0.0001	0.0001	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0001	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0003	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001
