	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0101	0.0548	-0.0035	-0.0017	0.004	0.0071	-0.0031	-0.0034	-0.0009	-0.0028	0.0042	0.0016	-0.0026	-0.0028	0.0014	-0.0006	-0.0024	-0.0028	0.0003	-0.0018	-0.0017	0.001	0.0025	0.0038	0.0077	0.0056	0.0029	-0.0018	0.002	0.0177	0.0101	-0.0022	0.0021	-0.0025	-0.003	-0.0023	0.0028	-0.004	-0.0019	0.0031	0.0064	-0.0026	0.0027	0.0039	-0.0018	0.0119	0.0043	0.0265	-0.0003	0.0059	-0.0029	0.0066	0.0001	-0.0041	0.0034	-0.001	0.0593	-0.0027	-0.0005	-0.0034	0.0017	0.0032	0.0014	-0.0028	-0.002	-0.0007	-0.0003	-0.004	-0.0013	-0.0036	-0.0032	0.009	-0.0035	0.0002	0.0044	-0.0013	-0.0006	0.003	-0.0015	0.001	0.0015	-0.0023	-0.0005	-0.0027	0.0231	0.0162	0.0053	0.0216	0.0053	-0.0025	0.0117	0.0112	0.0009	-0.0021	0.0129	0.0075	0.0012	-0.0011	-0.0003	0.0042
direct_vc_estimate_se	0.1054	0.0464	0.0408	0.0368	0.0295	0.0271	0.0323	0.0344	0.0306	0.0289	0.0288	0.0321	0.0299	0.029	0.0284	0.032	0.0267	0.0356	0.0326	0.0384	0.0292	0.03	0.0469	0.0299	0.0283	0.028	0.0383	0.0308	0.0284	0.0305	0.0299	0.0333	0.0281	0.0298	0.0336	0.0252	0.0282	0.0414	0.0454	0.0349	0.0334	0.0282	0.0422	0.0283	0.027	0.0314	0.0257	0.0291	0.0358	0.0297	0.0315	0.0297	0.0502	0.0424	0.0295	0.0348	0.0305	0.0278	0.0279	0.0387	0.0319	0.0263	0.0295	0.0344	0.0381	0.0325	0.0303	0.041	0.0318	0.0397	0.0337	0.032	0.0359	0.0264	0.0301	0.0315	0.0263	0.032	0.027	0.0291	0.0271	0.0274	0.0285	0.0277	0.0276	0.028	0.0248	0.0255	0.034	0.0274	0.0275	0.0276	0.0269	0.0272	0.0264	0.0271	0.0393	0.029	0.028	0.0324
direct_vc_pvals	0.933	0.016	0.815	0.521	0.259	0.189	0.963	0.984	0.577	0.977	0.26	0.376	0.812	0.979	0.376	0.576	0.825	0.706	0.492	0.652	0.636	0.407	0.305	0.304	0.218	0.261	0.358	0.598	0.371	0.047	0.161	0.676	0.415	0.798	0.819	0.86	0.319	0.918	0.529	0.222	0.208	0.875	0.366	0.342	0.707	0.122	0.217	0.026	0.417	0.224	0.852	0.232	0.351	0.944	0.274	0.533	0.002	0.992	0.46	0.779	0.344	0.292	0.48	0.754	0.639	0.535	0.448	0.964	0.622	0.865	0.911	0.19	0.957	0.444	0.218	0.566	0.523	0.328	0.653	0.434	0.396	0.795	0.539	0.999	0.029	0.055	0.197	0.029	0.243	0.872	0.109	0.184	0.439	0.76	0.077	0.115	0.411	0.55	0.507	0.258
upper95_perm_direct	0.067	0.0386	0.033	0.0174	0.0197	0.0226	0.0209	0.0321	0.0314	0.0206	0.02	0.0251	0.0242	0.0262	0.0201	0.0301	0.0163	0.0181	0.0285	0.032	0.0165	0.0221	0.0228	0.0216	0.0252	0.0225	0.0292	0.0172	0.0249	0.0201	0.0254	0.0224	0.0297	0.0254	0.023	0.0164	0.0224	0.0223	0.0225	0.0147	0.0229	0.0232	0.028	0.0277	0.0209	0.023	0.0144	0.0239	0.0183	0.0236	0.0207	0.0225	0.0193	0.0218	0.0178	0.0227	0.0256	0.0168	0.0154	0.0242	0.0214	0.0182	0.0328	0.0216	0.0251	0.0229	0.0155	0.0211	0.0292	0.0317	0.023	0.0254	0.0211	0.0194	0.0181	0.0184	0.0187	0.0246	0.0232	0.0247	0.02	0.0242	0.0237	0.017	0.0206	0.0193	0.0185	0.0175	0.0228	0.0218	0.0226	0.0285	0.0219	0.0231	0.0203	0.0159	0.0255	0.0204	0.0209	0.0205
lower0_perm_direct	-0.0137	-0.0062	-0.0051	-0.005	-0.0039	-0.0035	-0.0041	-0.0046	-0.004	-0.0038	-0.004	-0.0044	-0.0039	-0.0037	-0.0038	-0.004	-0.0034	-0.0048	-0.0043	-0.005	-0.0041	-0.004	-0.0065	-0.004	-0.0036	-0.0036	-0.0053	-0.0039	-0.0037	-0.0039	-0.0039	-0.0045	-0.0037	-0.0042	-0.0044	-0.0034	-0.0036	-0.0055	-0.0061	-0.0044	-0.0045	-0.0036	-0.0056	-0.0036	-0.0036	-0.004	-0.0034	-0.0038	-0.0046	-0.0038	-0.004	-0.0041	-0.0065	-0.0054	-0.0038	-0.0047	-0.0039	-0.0036	-0.0036	-0.0052	-0.0041	-0.0036	-0.0037	-0.0045	-0.0048	-0.0042	-0.0038	-0.0057	-0.0041	-0.0052	-0.0043	-0.0043	-0.0046	-0.0034	-0.004	-0.004	-0.0034	-0.0041	-0.0036	-0.0037	-0.0035	-0.0037	-0.004	-0.0036	-0.0036	-0.0036	-0.0031	-0.0034	-0.0043	-0.0034	-0.0035	-0.0036	-0.0034	-0.0036	-0.0035	-0.0035	-0.0051	-0.0038	-0.0039	-0.0045
sad_vc_estimate	-0.0014	0.1313	0.003	0.001	0.0151	0.0031	0.0182	-0.0034	0.0025	-0.0015	0.0001	0.0108	-0.0015	-0.002	0.0092	0.0055	-0.0021	-0.0035	-0.0025	0.0116	0.002	-0.0028	-0.0006	0.0122	0.0049	-0.0025	-0.0013	-0.0001	0.0056	0.0427	0.0197	-0.0033	0.0193	-0.0013	-0.0031	-0.0011	-0.0018	-0.0005	-0.0002	0.0007	0.0111	-0.0006	0.0157	0.0009	-0.0027	0.0186	0.0133	0.0411	0.006	0.0175	0.0067	0.0078	0.0018	-0.0008	0.0332	0.0073	0.0665	-0.0014	0.0052	-0.0021	0.0033	0.0083	0.0034	-0.0026	-0.0037	0.0089	-0.0019	-0.0034	-0.0032	0.0005	-0.002	0.0203	-0.0001	0.0063	0.0001	-0.0022	0.0109	0.0064	-0.0021	0.0055	-0.0019	-0.0027	0.0039	-0.0024	0.0273	0.0534	0.0195	0.0509	0.0049	0.0063	0.0153	0.0151	0.0046	-0.0017	0.0189	0.041	0.0467	0.0128	-0.0027	0.0052
sad_vc_estimate_se	0.1078	0.0475	0.0416	0.0375	0.0302	0.0277	0.033	0.0353	0.0313	0.0296	0.0295	0.0328	0.0306	0.0297	0.0291	0.0327	0.0273	0.0363	0.0333	0.0391	0.0298	0.0307	0.0475	0.0306	0.0289	0.0286	0.039	0.0315	0.0291	0.0311	0.0305	0.034	0.0287	0.0305	0.0343	0.0258	0.0289	0.042	0.0461	0.0355	0.034	0.0289	0.0429	0.0289	0.0276	0.0321	0.0263	0.0298	0.0364	0.0304	0.0322	0.0304	0.0509	0.043	0.0301	0.0355	0.0311	0.0284	0.0285	0.0393	0.0326	0.0269	0.0301	0.0351	0.0388	0.0332	0.031	0.0416	0.0325	0.0403	0.0343	0.0327	0.0365	0.027	0.0308	0.0321	0.027	0.0326	0.0276	0.0297	0.0277	0.028	0.0292	0.0283	0.0282	0.0286	0.0254	0.0261	0.0346	0.0281	0.0281	0.0283	0.0275	0.0278	0.027	0.0277	0.0399	0.0296	0.0287	0.033
sad_vc_pvals	0.595	0.008	0.543	0.513	0.186	0.483	0.192	0.995	0.489	0.705	0.586	0.247	0.703	0.808	0.26	0.436	0.799	0.985	0.782	0.385	0.454	0.912	0.533	0.294	0.418	0.89	0.692	0.57	0.392	0.023	0.196	0.99	0.185	0.688	0.891	0.718	0.768	0.596	0.562	0.483	0.266	0.644	0.297	0.621	0.985	0.158	0.122	0.061	0.341	0.165	0.348	0.356	0.416	0.593	0.042	0.319	0.014	0.705	0.338	0.709	0.406	0.285	0.508	0.749	0.933	0.274	0.717	0.779	0.977	0.574	0.721	0.185	0.551	0.331	0.495	0.763	0.194	0.383	0.834	0.381	0.812	0.968	0.408	0.829	0.081	0.012	0.101	0.009	0.368	0.33	0.206	0.23	0.401	0.78	0.139	0.017	0.036	0.188	0.922	0.364
upper95_perm_sad	0.1418	0.0714	0.0756	0.0401	0.0416	0.0425	0.0465	0.0958	0.0512	0.0387	0.043	0.0443	0.0503	0.0565	0.0384	0.0619	0.0314	0.0382	0.0463	0.073	0.0355	0.0429	0.0383	0.0554	0.0452	0.0511	0.0529	0.0382	0.0454	0.0376	0.0537	0.0443	0.0521	0.0451	0.0488	0.0383	0.0553	0.0487	0.0429	0.0318	0.0474	0.0434	0.0712	0.06	0.0468	0.0478	0.0295	0.0522	0.0368	0.0458	0.0403	0.0524	0.0366	0.0477	0.0346	0.0466	0.046	0.0378	0.038	0.0474	0.0376	0.0351	0.0541	0.0379	0.0505	0.0404	0.0302	0.0379	0.0529	0.0583	0.0397	0.0496	0.0445	0.0397	0.0307	0.0379	0.0329	0.0482	0.0403	0.0468	0.047	0.0529	0.048	0.0355	0.0402	0.0364	0.0315	0.0328	0.043	0.0381	0.0421	0.052	0.0393	0.0475	0.0364	0.0329	0.0456	0.0322	0.0421	0.043
lower0_perm_sad	-0.0142	-0.006	-0.0055	-0.0047	-0.0038	-0.0037	-0.0043	-0.0046	-0.0039	-0.0038	-0.0038	-0.0041	-0.004	-0.0039	-0.0039	-0.0043	-0.0036	-0.0047	-0.0045	-0.0051	-0.004	-0.004	-0.0062	-0.0039	-0.0037	-0.0036	-0.0049	-0.0042	-0.0038	-0.004	-0.004	-0.0044	-0.0037	-0.004	-0.0045	-0.0034	-0.0039	-0.0058	-0.0059	-0.0048	-0.0045	-0.004	-0.0056	-0.0038	-0.0037	-0.0041	-0.0033	-0.004	-0.0045	-0.0042	-0.0041	-0.0039	-0.0066	-0.0054	-0.0039	-0.0047	-0.0041	-0.0036	-0.0036	-0.0051	-0.0044	-0.0034	-0.0039	-0.0046	-0.0052	-0.0043	-0.0041	-0.0054	-0.0042	-0.0051	-0.0044	-0.0042	-0.0045	-0.0034	-0.0043	-0.0043	-0.0035	-0.0041	-0.0035	-0.0038	-0.0035	-0.0037	-0.004	-0.0038	-0.0037	-0.0037	-0.0033	-0.0035	-0.0044	-0.0035	-0.0037	-0.0037	-0.0037	-0.0035	-0.0034	-0.0037	-0.0053	-0.0041	-0.0037	-0.0041
covar_vc_estimate	0.0229	-0.1706	0.0042	0.0013	-0.0165	-0.0097	0.0074	0.0067	-0.0009	0.0054	-0.0036	-0.01	0.0044	0.0058	-0.0087	-0.0032	0.0045	0.007	0.0031	-0.0034	0.001	0.0076	-0.0015	-0.0143	-0.0124	0.0025	-0.0008	0.0023	-0.0072	-0.0555	-0.0285	0.0066	-0.0152	0.0041	0.0061	0.0059	0.0008	0.007	0.0022	-0.0035	-0.017	0.0043	-0.0151	-0.0044	0.0054	-0.0299	-0.0158	-0.0662	-0.0041	-0.021	0.009	-0.0145	-0.0018	0.0074	-0.0244	-0.0034	-0.1257	0.0055	-0.003	0.006	-0.005	-0.0107	-0.0047	0.0054	0.0082	-0.0046	0.0025	0.0078	0.006	0.0057	0.0059	-0.0275	0.0075	-0.0048	-0.0037	0.0036	-0.0052	-0.0091	0.0069	-0.0057	0.0089	0.0055	-0.0022	0.0054	-0.0503	-0.0597	-0.0212	-0.0669	-0.0102	0.003	-0.0269	-0.0261	-0.0049	0.0038	-0.0313	-0.0368	-0.0242	-0.0047	0.0063	-0.0094
covar_vc_estimate_se	0.294	0.1647	0.1514	0.1415	0.1236	0.1173	0.1307	0.136	0.1264	0.122	0.1217	0.13	0.1246	0.1223	0.1208	0.1299	0.1163	0.1388	0.1314	0.1454	0.1227	0.1248	0.1654	0.1245	0.1203	0.1196	0.1452	0.1268	0.1208	0.1259	0.1244	0.133	0.1198	0.1243	0.1338	0.1123	0.1202	0.1525	0.162	0.1369	0.1331	0.1202	0.1545	0.1203	0.117	0.1284	0.1136	0.1225	0.139	0.124	0.1286	0.124	0.173	0.1548	0.1234	0.1368	0.1259	0.119	0.1193	0.1461	0.1296	0.1152	0.1234	0.1357	0.1447	0.131	0.1256	0.1515	0.1293	0.1484	0.1339	0.1298	0.1394	0.1154	0.125	0.1284	0.1153	0.1297	0.1169	0.1224	0.1172	0.1181	0.121	0.1188	0.1186	0.1195	0.1111	0.1132	0.1347	0.1182	0.1182	0.1187	0.1167	0.1176	0.1153	0.1172	0.1475	0.1221	0.1198	0.1306
covar_vc_pvals	0.105	0.004	0.215	0.416	0.208	0.371	0.089	0.138	0.395	0.117	0.458	0.34	0.208	0.107	0.332	0.427	0.174	0.133	0.252	0.375	0.415	0.071	0.486	0.304	0.32	0.254	0.368	0.36	0.442	0.014	0.155	0.123	0.329	0.196	0.152	0.079	0.324	0.132	0.367	0.401	0.24	0.193	0.364	0.478	0.112	0.115	0.136	0.027	0.426	0.192	0.049	0.305	0.418	0.164	0.1	0.479	0.002	0.124	0.438	0.194	0.418	0.281	0.45	0.179	0.081	0.47	0.314	0.127	0.125	0.159	0.156	0.159	0.092	0.438	0.398	0.239	0.399	0.379	0.04	0.454	0.042	0.114	0.454	0.127	0.019	0.007	0.114	0.006	0.335	0.257	0.132	0.184	0.466	0.154	0.075	0.029	0.172	0.421	0.08	0.327
upper975_perm_covar	0.0452	0.0199	0.0167	0.0138	0.0124	0.0117	0.015	0.0194	0.0127	0.0126	0.0134	0.0132	0.0131	0.013	0.0136	0.0136	0.0126	0.0153	0.0135	0.0181	0.0123	0.013	0.015	0.0114	0.0124	0.0126	0.0148	0.0136	0.0132	0.0124	0.0125	0.0132	0.0117	0.0128	0.0146	0.0116	0.0149	0.0129	0.0159	0.0128	0.013	0.0112	0.0152	0.0118	0.0121	0.0117	0.0102	0.0114	0.0149	0.0134	0.0138	0.013	0.0171	0.0143	0.0123	0.0124	0.0108	0.0114	0.0119	0.0134	0.0133	0.0116	0.0116	0.0118	0.014	0.0104	0.011	0.013	0.0143	0.0124	0.0134	0.0126	0.0134	0.0111	0.0115	0.0114	0.0103	0.0113	0.0091	0.0135	0.0143	0.012	0.0112	0.0125	0.0107	0.0118	0.0112	0.0096	0.013	0.0121	0.0124	0.0101	0.011	0.0094	0.011	0.0134	0.0128	0.0107	0.0113	0.0135
