	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.013	0.0374	0.1218	-0.0002	0.0065	0.0016	-0.0002	-0.0002	0.0062	0.0023	0.003	-0.0002	0.0001	0.0002	0.0002	0.0	-0.0002	0.0009	0.0082	-0.0002	-0.0	0.0002	0.0006	0.0008	-0.0001	0.0015	0.0	0.0046	0.0007	0.0007	0.001	0.0001	0.0063	0.0163	0.0022	0.0001	0.0011	0.0009	0.0005	-0.0002	-0.0001	0.0011	-0.0	-0.0002	0.0004	0.0013	-0.0002	-0.0002	-0.0003	0.0023	-0.0	-0.0003	0.0009	0.0104	-0.0002	0.0009	-0.0001	0.0002	0.0012	-0.0002	0.0	0.0013	0.0003	-0.0001	0.0005	-0.0	0.0018	0.0015	0.0001	-0.0	0.0006	0.001	0.0007	0.0039	-0.0002	0.0002	0.0003	0.0047	0.0007	0.0011	0.0013	0.0001	0.0003	0.0004	-0.0001	-0.0001	0.001	0.0005	-0.0001	0.0005	-0.0002	0.0002	-0.0	-0.0003	-0.0002	0.0021	0.0021	-0.0	0.0023	0.0008
direct_vc_estimate_se	0.005	0.0024	0.0019	0.0012	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0001
direct_vc_pvals	0.873	0.32	0.053	0.696	0.301	0.852	0.793	0.812	0.109	0.068	0.203	0.77	0.795	0.778	0.423	0.447	0.945	0.647	0.022	0.817	0.522	0.746	0.155	0.158	0.922	0.437	0.596	0.008	0.61	0.206	0.664	0.598	0.215	0.006	0.656	0.804	0.195	0.347	0.672	0.943	0.678	0.683	0.54	0.839	0.84	0.112	0.986	0.871	0.909	0.47	0.812	0.99	0.249	0.013	0.905	0.413	0.803	0.8	0.389	0.946	0.365	0.367	0.576	0.811	0.993	0.68	0.016	0.126	0.364	0.631	0.804	0.713	0.075	0.053	0.889	0.797	0.171	0.073	0.496	0.317	0.485	0.944	0.473	0.853	0.767	0.442	0.213	0.163	0.732	0.947	0.953	0.534	0.898	0.733	0.901	0.186	0.083	0.777	0.013	0.649
upper95_perm_direct	0.1112	0.1397	0.1451	0.0944	0.0279	0.0281	0.0054	0.0037	0.0094	0.003	0.0063	0.0019	0.0083	0.0055	0.002	0.0011	0.0056	0.0076	0.0079	0.0022	0.0012	0.0059	0.0013	0.0019	0.0044	0.0059	0.0042	0.0027	0.008	0.0018	0.005	0.0021	0.0119	0.0155	0.015	0.0041	0.0029	0.0042	0.0043	0.0138	0.0021	0.0098	0.0015	0.0042	0.0075	0.0022	0.0042	0.0034	0.0093	0.0049	0.0032	0.0028	0.0018	0.0106	0.0049	0.0031	0.0046	0.0024	0.0053	0.005	0.0006	0.0041	0.005	0.0051	0.0036	0.0025	0.0015	0.0026	0.0007	0.0018	0.0067	0.0064	0.0011	0.0047	0.0023	0.0044	0.0007	0.0063	0.0078	0.004	0.0082	0.0116	0.0022	0.0063	0.0026	0.0004	0.0032	0.001	0.0014	0.0056	0.001	0.0069	0.0035	0.0003	0.0033	0.0036	0.0029	0.0037	0.0022	0.0067
lower0_perm_direct	-0.0238	-0.0109	-0.0084	-0.0054	-0.0019	-0.001	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0005	-0.0003	-0.0003	-0.0002	-0.0005	-0.0002	-0.0003	-0.0002	-0.0002	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0007	-0.0002	-0.0005	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0004	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	0.0003	-0.0002	-0.0004	-0.0002	-0.0003	-0.0003	-0.0002	-0.0004	-0.0001	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0	-0.0003	-0.0003	-0.0001	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0003
sad_vc_estimate	0.0402	0.2427	0.529	0.0065	0.0263	0.0072	-0.0003	0.0018	0.0155	0.0057	0.0123	0.0002	-0.0001	-0.0	0.0017	0.0009	0.0019	0.0033	0.0197	-0.0001	-0.0001	0.0002	0.0005	0.0012	0.0004	0.0015	0.0015	0.0162	0.0017	0.0031	0.0011	-0.0002	0.0101	0.0503	0.0002	0.003	0.0019	0.0016	0.0033	-0.0001	0.0	0.0004	0.0016	0.0002	-0.0001	0.0068	0.001	-0.0002	0.0002	0.0062	-0.0	0.0002	0.0027	0.0235	-0.0001	0.0016	0.0001	0.0005	0.0019	-0.0002	0.0003	0.0048	-0.0001	0.0004	0.001	0.0016	0.0058	0.0013	-0.0001	-0.0001	0.0001	0.0122	0.007	0.0064	0.0001	0.0012	0.004	0.0113	0.0016	0.006	0.0055	-0.0003	0.0044	0.0022	0.0009	-0.0	0.0024	0.0013	0.0007	0.0001	-0.0001	0.001	-0.0001	-0.0003	-0.0002	0.0046	0.0027	0.0004	0.0035	0.0003
sad_vc_estimate_se	0.0051	0.0025	0.0019	0.0012	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0001
sad_vc_pvals	0.631	0.115	0.017	0.739	0.365	0.725	0.956	0.554	0.139	0.133	0.117	0.63	0.893	0.856	0.342	0.236	0.544	0.71	0.078	0.854	0.877	0.782	0.579	0.414	0.748	0.66	0.507	0.003	0.595	0.238	0.802	0.988	0.427	0.001	0.894	0.43	0.422	0.357	0.476	0.933	0.716	0.83	0.345	0.799	0.931	0.02	0.661	0.959	0.916	0.451	0.796	0.581	0.416	0.067	0.868	0.634	0.888	0.851	0.542	0.906	0.455	0.297	0.888	0.698	0.985	0.389	0.013	0.34	0.948	0.751	0.914	0.19	0.083	0.139	0.803	0.606	0.035	0.112	0.581	0.189	0.354	0.995	0.114	0.934	0.685	0.674	0.315	0.085	0.405	0.944	0.893	0.643	0.921	0.947	0.968	0.285	0.234	0.677	0.135	0.696
upper95_perm_sad	0.5263	0.3964	0.4709	0.348	0.1432	0.0882	0.0157	0.0182	0.0285	0.0101	0.0193	0.0073	0.0211	0.0165	0.0083	0.0026	0.0149	0.0288	0.0267	0.007	0.005	0.021	0.0034	0.0069	0.0115	0.0169	0.0144	0.0103	0.0269	0.0109	0.0169	0.0103	0.0368	0.0465	0.0418	0.0116	0.0097	0.0089	0.0157	0.0311	0.008	0.0288	0.0067	0.0162	0.0229	0.0063	0.013	0.0132	0.0331	0.0141	0.0081	0.006	0.007	0.0295	0.0109	0.0111	0.0135	0.0063	0.0166	0.0159	0.0023	0.0113	0.0189	0.0136	0.0187	0.0077	0.0048	0.0053	0.0032	0.0041	0.0183	0.0199	0.0093	0.0108	0.0122	0.0106	0.0042	0.0168	0.0201	0.0118	0.0249	0.0336	0.0069	0.0196	0.0073	0.0021	0.0098	0.0019	0.0041	0.0154	0.0075	0.0211	0.0095	0.0016	0.0095	0.0103	0.0072	0.0121	0.0062	0.0194
lower0_perm_sad	-0.024	-0.0112	-0.0089	-0.0058	-0.0019	-0.0011	-0.0004	-0.0005	-0.0004	-0.0004	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0005	-0.0003	-0.0003	-0.0002	-0.0004	-0.0002	-0.0004	-0.0002	-0.0002	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0007	-0.0004	-0.0005	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0005	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	0.0002	-0.0002	-0.0004	-0.0002	-0.0003	-0.0003	-0.0002	-0.0004	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0004	-0.0002	0.0001	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0003
covar_vc_estimate	0.0041	-0.1975	-0.5111	-0.0047	-0.0267	-0.0073	0.0006	-0.0002	-0.0197	-0.0074	-0.0122	0.0002	0.0001	-0.0002	-0.0014	-0.0006	-0.0001	-0.0036	-0.0254	0.0005	0.0004	-0.0004	-0.0011	-0.0019	-0.0001	-0.003	-0.0009	-0.0174	-0.0023	-0.003	-0.0022	0.0003	-0.016	-0.0574	-0.0018	-0.0016	-0.003	-0.0025	-0.0026	0.0003	0.0	-0.0014	-0.0007	0.0002	-0.0001	-0.0061	0.0004	0.0003	0.0004	-0.0077	0.0001	0.0006	-0.0032	-0.0313	0.0005	-0.0023	0.0001	-0.0007	-0.003	0.0003	-0.0003	-0.0051	-0.0	-0.0	-0.0014	-0.0006	-0.0065	-0.0029	0.0002	0.0001	-0.0006	-0.0074	-0.0049	-0.01	0.0002	-0.001	-0.0024	-0.0146	-0.0021	-0.0051	-0.0055	0.0006	-0.0026	-0.002	-0.0004	0.0001	-0.0031	-0.0017	-0.0002	-0.0005	0.0004	-0.001	0.0004	0.0006	0.0005	-0.0063	-0.0047	-0.0002	-0.0057	-0.001
covar_vc_estimate_se	0.262	0.1826	0.1598	0.1281	0.076	0.0565	0.0359	0.0367	0.0337	0.0328	0.0299	0.0317	0.0272	0.0294	0.0253	0.0264	0.0282	0.0374	0.0315	0.0285	0.0244	0.0371	0.0261	0.0322	0.0253	0.0263	0.0329	0.0296	0.0315	0.0297	0.0268	0.0262	0.0445	0.0328	0.0401	0.0277	0.0275	0.0257	0.0272	0.0308	0.0285	0.0372	0.0263	0.0319	0.0297	0.0269	0.0294	0.0266	0.0352	0.0255	0.027	0.0346	0.0245	0.0311	0.0285	0.024	0.0327	0.0223	0.0269	0.0285	0.0225	0.0227	0.0312	0.0298	0.0348	0.0255	0.0215	0.0256	0.0231	0.0274	0.0268	0.0354	0.0317	0.0283	0.0281	0.0299	0.026	0.0267	0.031	0.0244	0.0296	0.0327	0.0278	0.0353	0.0282	0.0231	0.0278	0.0236	0.0223	0.0241	0.0277	0.0281	0.0211	0.0349	0.0319	0.0227	0.024	0.0271	0.0207	0.032
