	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2364	0.3177	0.0682	0.0583	-0.0092	0.0002	-0.0043	-0.0024	0.0253	0.012	0.0017	0.0066	-0.004	0.0098	-0.0045	-0.0032	-0.0023	-0.0017	-0.0041	0.0115	-0.0019	-0.0026	-0.0034	-0.0036	0.0083	-0.0036	0.0092	-0.0035	-0.0037	-0.0023	-0.0029	-0.0029	-0.0005	-0.0034	0.0246	-0.0039	0.0147	-0.0038	-0.0024	0.0065	0.0001	-0.004	-0.003	0.0165	-0.0012	0.004	-0.0036	0.0179	0.0	-0.0013	0.012	-0.0005	-0.0017	0.0049	-0.0037	-0.0005	0.0025	-0.0003	-0.0033	-0.0037	-0.0026	-0.0014	-0.0037	-0.0034	-0.001	-0.0022	0.0275	0.0257	0.0066	0.0098	-0.0035	-0.0038	-0.0023	-0.0024	-0.003	-0.0022	-0.0033	0.0096	0.001	-0.0019	-0.0003	-0.002	0.0159	0.0032	-0.0024	0.001	0.0115	0.0083	-0.0014	-0.0008	-0.0027	-0.0033	-0.0007	0.0067	-0.0008	-0.0031	0.0072	-0.0009	-0.0035	-0.0037
direct_vc_estimate_se	0.0773	0.0473	0.0185	0.015	0.0052	0.0039	0.0019	0.002	0.0017	0.0014	0.0015	0.0015	0.0014	0.0013	0.0014	0.0013	0.0012	0.0013	0.0013	0.0012	0.0012	0.0012	0.0013	0.0011	0.0011	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0012	0.0012	0.0012	0.0011	0.0011	0.0011	0.0012	0.0012	0.0011	0.0011	0.0011	0.0011	0.0013	0.0011	0.001	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0012	0.001	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0011	0.0011	0.0012	0.001	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0012	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.0011	0.001	0.0011	0.0012	0.001	0.0011
direct_vc_pvals	0.796	0.135	0.244	0.21	0.582	0.411	0.591	0.513	0.042	0.101	0.316	0.202	0.755	0.089	0.994	0.674	0.575	0.499	0.905	0.147	0.578	0.601	0.69	0.874	0.126	0.969	0.148	0.846	0.886	0.634	0.731	0.695	0.441	0.879	0.033	0.942	0.127	0.924	0.631	0.165	0.42	0.907	0.715	0.071	0.523	0.233	0.874	0.112	0.352	0.536	0.107	0.508	0.607	0.226	0.955	0.423	0.289	0.462	0.793	0.893	0.663	0.548	0.936	0.906	0.508	0.652	0.011	0.027	0.219	0.118	0.839	0.951	0.595	0.669	0.689	0.58	0.767	0.14	0.353	0.573	0.444	0.603	0.035	0.294	0.668	0.366	0.05	0.183	0.542	0.44	0.692	0.904	0.468	0.198	0.423	0.803	0.167	0.502	0.992	0.923
upper95_perm_direct	1.0176	0.7284	0.2829	0.245	0.0875	0.0585	0.0226	0.0371	0.025	0.0208	0.0223	0.0218	0.0206	0.0173	0.0211	0.02	0.0184	0.0202	0.02	0.0241	0.0267	0.0197	0.0179	0.0208	0.0159	0.0218	0.0236	0.0198	0.0179	0.0189	0.0227	0.017	0.0187	0.0216	0.0214	0.0235	0.0282	0.0244	0.0177	0.0179	0.0251	0.0232	0.0284	0.0215	0.0186	0.018	0.0205	0.0314	0.0139	0.0186	0.0197	0.0212	0.0272	0.0203	0.0212	0.013	0.0207	0.0196	0.0144	0.0266	0.024	0.0191	0.0187	0.0196	0.0206	0.0208	0.0174	0.019	0.0218	0.0184	0.0209	0.0242	0.0157	0.0202	0.0153	0.0156	0.0224	0.0212	0.0186	0.0247	0.0236	0.0159	0.0142	0.0229	0.0188	0.0163	0.0126	0.0252	0.0181	0.0183	0.0167	0.0196	0.0166	0.0229	0.0167	0.017	0.0212	0.0204	0.0211	0.018
lower0_perm_direct	-0.3162	-0.1937	-0.0751	-0.0611	-0.0213	-0.0161	-0.0078	-0.0082	-0.007	-0.0059	-0.0062	-0.0061	-0.0056	-0.0053	-0.0054	-0.0055	-0.005	-0.0052	-0.0051	-0.0052	-0.005	-0.005	-0.0054	-0.0045	-0.0044	-0.0044	-0.0048	-0.0045	-0.0048	-0.0044	-0.0044	-0.0047	-0.0048	-0.0043	-0.0044	-0.005	-0.0046	-0.0047	-0.0043	-0.0046	-0.0046	-0.0049	-0.0048	-0.0045	-0.0046	-0.0045	-0.0048	-0.0054	-0.0047	-0.0043	-0.0045	-0.0045	-0.0046	-0.0049	-0.0045	-0.0044	-0.0049	-0.0042	-0.0043	-0.0046	-0.0045	-0.0046	-0.0046	-0.0043	-0.0043	-0.0044	-0.0042	-0.0041	-0.0046	-0.0045	-0.0046	-0.0049	-0.0044	-0.0044	-0.0046	-0.0045	-0.0047	-0.0042	-0.0044	-0.0046	-0.0045	-0.0041	-0.0041	-0.0044	-0.0043	-0.0043	-0.0042	-0.0049	-0.0044	-0.0046	-0.0042	-0.0042	-0.0041	-0.0047	-0.0044	-0.0043	-0.0044	-0.0049	-0.0042	-0.0045
sad_vc_estimate	-0.2287	0.0727	0.1527	0.0444	0.0484	-0.0048	-0.0053	0.0081	0.0527	0.0169	0.0047	0.0069	-0.0025	0.0147	-0.0031	0.0011	-0.0018	0.0011	-0.002	0.008	-0.0004	-0.0	-0.0041	-0.0035	0.0102	-0.0037	0.0089	-0.0032	-0.0017	-0.0037	-0.0029	-0.003	-0.0002	-0.0015	0.0315	-0.0022	0.0202	-0.0037	-0.0015	0.0041	0.0026	-0.0026	-0.0028	0.0372	0.001	0.0102	-0.0033	0.0115	0.0036	0.005	0.0277	0.0022	0.0013	0.0059	-0.0037	-0.0033	0.0018	-0.0015	-0.0029	-0.003	-0.0024	-0.0022	-0.0024	-0.0034	0.0005	-0.0026	0.044	0.019	0.0041	0.0122	-0.0027	-0.0015	0.0006	-0.0014	-0.0034	0.0005	0.0027	0.0332	0.0064	-0.002	-0.0005	-0.0029	0.0198	0.0067	0.0029	0.001	0.0189	0.0048	-0.0011	-0.0026	-0.0033	-0.0027	-0.0033	0.018	0.0008	-0.0035	0.0006	0.0164	-0.0028	-0.0033
sad_vc_estimate_se	0.0779	0.0476	0.0187	0.0151	0.0053	0.004	0.0019	0.002	0.0017	0.0015	0.0015	0.0015	0.0014	0.0013	0.0014	0.0014	0.0012	0.0013	0.0013	0.0012	0.0012	0.0013	0.0013	0.0011	0.0011	0.0011	0.0012	0.0011	0.0012	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0012	0.0012	0.0012	0.0011	0.0011	0.0011	0.0012	0.0012	0.0011	0.0011	0.0011	0.0011	0.0013	0.0012	0.0011	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0012	0.001	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0011	0.0011	0.0012	0.0011	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.001	0.0011	0.001	0.0012	0.0011	0.0011	0.0011	0.001	0.001	0.0011	0.0011	0.001	0.0011	0.0012	0.001	0.0011
sad_vc_pvals	0.795	0.323	0.159	0.299	0.139	0.498	0.72	0.279	0.012	0.103	0.293	0.252	0.628	0.093	0.638	0.36	0.582	0.399	0.58	0.23	0.524	0.49	0.845	0.855	0.112	0.981	0.204	0.809	0.553	0.984	0.739	0.749	0.478	0.616	0.033	0.644	0.098	0.88	0.549	0.275	0.317	0.689	0.741	0.021	0.38	0.144	0.8	0.192	0.261	0.29	0.044	0.405	0.471	0.28	0.949	0.816	0.419	0.624	0.683	0.747	0.668	0.632	0.649	0.881	0.47	0.719	0.012	0.068	0.328	0.141	0.709	0.592	0.409	0.591	0.833	0.432	0.393	0.021	0.251	0.618	0.533	0.768	0.051	0.274	0.313	0.422	0.039	0.321	0.557	0.665	0.834	0.755	0.909	0.089	0.406	0.981	0.388	0.093	0.747	0.778
upper95_perm_sad	1.5289	0.7786	0.3591	0.2968	0.1086	0.0606	0.0301	0.053	0.0358	0.0287	0.0314	0.0345	0.0251	0.0239	0.0251	0.027	0.0231	0.0264	0.027	0.03	0.0306	0.0289	0.0255	0.0234	0.0189	0.0288	0.0287	0.0247	0.0275	0.0273	0.0342	0.0232	0.0266	0.0292	0.0285	0.0259	0.0312	0.0331	0.0234	0.0243	0.0227	0.0284	0.0339	0.0286	0.0197	0.0215	0.0275	0.032	0.0203	0.0285	0.0284	0.0288	0.0294	0.0297	0.0235	0.0224	0.0309	0.0279	0.0196	0.0293	0.0279	0.0281	0.0282	0.0235	0.0259	0.0242	0.0247	0.0245	0.028	0.0256	0.0262	0.0318	0.0211	0.0274	0.0223	0.0249	0.037	0.0271	0.0261	0.0311	0.0246	0.0224	0.0225	0.0304	0.0229	0.0236	0.0188	0.0333	0.0243	0.0205	0.0212	0.0264	0.0194	0.0276	0.0216	0.0207	0.0222	0.026	0.0244	0.0235
lower0_perm_sad	-0.3146	-0.1918	-0.0763	-0.0606	-0.0209	-0.0158	-0.0079	-0.0082	-0.0072	-0.0059	-0.0064	-0.0062	-0.0056	-0.0051	-0.0056	-0.0054	-0.0049	-0.0052	-0.0053	-0.0051	-0.005	-0.0053	-0.0054	-0.0045	-0.0044	-0.0045	-0.0047	-0.0046	-0.0047	-0.0045	-0.0045	-0.0045	-0.0047	-0.0044	-0.0044	-0.0047	-0.0049	-0.0049	-0.0045	-0.0046	-0.0046	-0.005	-0.0049	-0.0047	-0.0046	-0.0045	-0.0047	-0.0054	-0.0047	-0.0043	-0.0047	-0.0044	-0.0044	-0.0048	-0.0045	-0.0044	-0.005	-0.0042	-0.0044	-0.0046	-0.0045	-0.0047	-0.0046	-0.0044	-0.0044	-0.0044	-0.0042	-0.0041	-0.0047	-0.0045	-0.0047	-0.0047	-0.0044	-0.0046	-0.0045	-0.0044	-0.0047	-0.0043	-0.0044	-0.0046	-0.0045	-0.0041	-0.0041	-0.0046	-0.0044	-0.0043	-0.0044	-0.0048	-0.0045	-0.0044	-0.0044	-0.0042	-0.0042	-0.0046	-0.0045	-0.0042	-0.0044	-0.0049	-0.0043	-0.0045
