	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0219	-0.0156	-0.0048	0.0013	0.0023	0.0047	0.0001	0.0009	-0.0002	-0.0005	-0.0001	0.0007	0.0023	0.0014	0.0001	-0.0002	-0.0003	0.0001	0.0012	-0.0001	-0.0	-0.0003	0.0001	0.0031	-0.0003	0.0001	0.0048	0.0043	-0.0003	-0.0004	0.0004	0.0011	-0.0002	0.001	0.0017	0.0002	0.0075	0.0024	-0.0001	-0.0002	0.0023	-0.0001	0.0031	-0.0003	-0.0003	0.0118	0.0001	0.0032	0.0003	-0.0002	0.0085	-0.0003	-0.0003	0.0043	-0.0003	-0.0003	-0.0	0.0001	0.0006	0.0004	0.0004	-0.0001	0.0061	-0.0003	0.0036	0.0036	-0.0002	-0.0003	0.0028	-0.0001	0.001	0.0048	-0.0001	0.0034	0.0012	-0.0003	0.0056	0.0005	0.0021	-0.0003	0.0081	0.0043	-0.0002	0.0059	-0.0003	0.0027	0.0006	-0.0002	0.0025	0.0001	0.002	-0.0001	-0.0	0.0004	-0.0003	-0.0002	0.0006	0.0033	-0.0003	-0.0003
direct_vc_estimate_se	0.1295	0.0645	0.0301	0.0208	0.0046	0.0041	0.0026	0.0021	0.0022	0.002	0.002	0.002	0.0019	0.0018	0.0017	0.0018	0.0015	0.0016	0.0015	0.0015	0.0016	0.0014	0.0014	0.0016	0.0015	0.0014	0.0015	0.0017	0.0018	0.0018	0.0015	0.0017	0.0019	0.0017	0.0018	0.0014	0.0018	0.0015	0.0016	0.0015	0.0016	0.0015	0.0016	0.0015	0.0014	0.0016	0.0015	0.0016	0.0014	0.0015	0.0014	0.0016	0.0015	0.0015	0.0015	0.0014	0.0014	0.0014	0.0014	0.0014	0.0015	0.0013	0.0014	0.0014	0.0014	0.0015	0.0014	0.0014	0.0015	0.0016	0.0014	0.0014	0.0014	0.0014	0.0015	0.0015	0.0014	0.0015	0.0015	0.0013	0.0015	0.0014	0.0013	0.0013	0.0015	0.0013	0.0013	0.0013	0.0014	0.0014	0.0013	0.0014	0.0014	0.0014	0.0013	0.0013	0.0013	0.0013	0.0014	0.0013
direct_vc_pvals	0.444	0.991	0.726	0.536	0.311	0.183	0.51	0.434	0.66	0.924	0.652	0.41	0.124	0.314	0.547	0.634	0.801	0.542	0.321	0.677	0.62	0.895	0.458	0.128	0.77	0.513	0.066	0.132	0.824	0.924	0.506	0.468	0.733	0.423	0.308	0.473	0.117	0.153	0.696	0.733	0.151	0.687	0.248	0.903	0.992	0.007	0.561	0.2	0.5	0.742	0.004	0.852	0.845	0.14	0.88	0.887	0.675	0.559	0.326	0.588	0.489	0.628	0.005	0.842	0.057	0.114	0.756	0.823	0.17	0.668	0.275	0.03	0.628	0.102	0.436	0.823	0.051	0.522	0.27	0.799	0.016	0.043	0.777	0.015	0.894	0.123	0.347	0.728	0.156	0.535	0.201	0.705	0.616	0.528	0.936	0.773	0.323	0.075	0.954	0.849
upper95_perm_direct	0.3886	0.2042	0.0963	0.0711	0.0149	0.0153	0.0078	0.0128	0.0087	0.0092	0.0096	0.0091	0.0055	0.0096	0.0055	0.005	0.0056	0.0072	0.0085	0.0065	0.0065	0.0076	0.0044	0.0078	0.0057	0.0046	0.0078	0.0106	0.0109	0.0122	0.0072	0.0143	0.0094	0.0094	0.0101	0.006	0.017	0.007	0.006	0.0078	0.0065	0.0079	0.0138	0.0086	0.0047	0.0094	0.0073	0.0108	0.0068	0.0073	0.0056	0.01	0.0099	0.0102	0.0078	0.0063	0.0085	0.0062	0.0049	0.01	0.0086	0.0064	0.0045	0.0069	0.0054	0.0088	0.0064	0.01	0.0083	0.0062	0.0054	0.0055	0.0043	0.0064	0.0118	0.0075	0.0079	0.0104	0.0099	0.0058	0.0078	0.0058	0.0062	0.0052	0.0089	0.006	0.0047	0.007	0.0071	0.0058	0.0076	0.0064	0.006	0.0092	0.0066	0.0058	0.005	0.0059	0.0058	0.007
lower0_perm_direct	-0.0527	-0.0263	-0.0119	-0.0085	-0.0018	-0.0016	-0.001	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006
sad_vc_estimate	0.4581	-0.0143	0.0213	0.0314	0.0001	0.012	0.0027	0.0066	0.0014	-0.0005	0.0021	0.0024	0.0056	0.0067	0.0009	0.0029	-0.0001	-0.0001	0.0028	0.0017	0.0031	0.0	-0.0001	0.0025	-0.0002	-0.0	0.0133	0.0239	0.0014	-0.0004	0.0033	0.0074	0.002	0.0045	0.0024	0.0007	0.0198	0.0048	0.0002	0.0023	0.0004	-0.0004	0.0171	0.0009	-0.0003	0.0178	0.0096	0.007	0.0044	-0.0004	0.0258	0.0024	0.0006	0.0021	-0.0003	0.0007	0.0019	0.0008	-0.0001	0.0	0.0013	-0.0003	0.0192	0.0006	0.0097	0.0085	-0.0001	-0.0002	0.0026	0.0045	0.0089	0.0117	-0.0002	0.0121	0.003	-0.0003	0.0114	0.001	0.0033	0.0005	0.0131	0.0113	0.0001	0.0134	0.0007	0.0075	0.0019	-0.0001	0.0085	0.0009	0.0105	0.0007	0.0	-0.0001	-0.0003	0.0011	0.0008	0.0133	-0.0003	0.0001
sad_vc_estimate_se	0.1321	0.0658	0.0308	0.0212	0.0047	0.0042	0.0027	0.0022	0.0022	0.0021	0.002	0.002	0.0019	0.0019	0.0017	0.0018	0.0015	0.0016	0.0016	0.0015	0.0017	0.0014	0.0014	0.0016	0.0015	0.0014	0.0015	0.0017	0.0018	0.0019	0.0016	0.0017	0.0019	0.0017	0.0018	0.0014	0.0019	0.0015	0.0016	0.0016	0.0016	0.0015	0.0016	0.0015	0.0014	0.0016	0.0016	0.0016	0.0014	0.0015	0.0014	0.0016	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0014	0.0014	0.0015	0.0014	0.0014	0.0014	0.0014	0.0016	0.0014	0.0014	0.0015	0.0016	0.0014	0.0014	0.0014	0.0014	0.0015	0.0015	0.0014	0.0016	0.0015	0.0013	0.0016	0.0014	0.0013	0.0013	0.0015	0.0013	0.0013	0.0014	0.0014	0.0015	0.0014	0.0014	0.0014	0.0014	0.0013	0.0013	0.0013	0.0013	0.0014	0.0014
sad_vc_pvals	0.133	0.895	0.43	0.295	0.71	0.173	0.355	0.233	0.499	0.926	0.453	0.425	0.165	0.205	0.442	0.257	0.77	0.743	0.355	0.389	0.33	0.735	0.768	0.402	0.823	0.663	0.042	0.03	0.573	0.957	0.364	0.248	0.503	0.301	0.499	0.539	0.085	0.224	0.668	0.391	0.611	0.965	0.097	0.578	0.963	0.068	0.102	0.248	0.285	0.979	0.0	0.44	0.664	0.536	0.942	0.591	0.476	0.522	0.764	0.786	0.504	0.958	0.003	0.582	0.033	0.115	0.765	0.879	0.4	0.294	0.07	0.035	0.813	0.039	0.447	0.91	0.077	0.581	0.35	0.553	0.07	0.041	0.699	0.028	0.615	0.102	0.359	0.798	0.088	0.503	0.072	0.582	0.724	0.801	0.897	0.486	0.522	0.027	0.999	0.69
upper95_perm_sad	1.2303	0.4454	0.2552	0.1791	0.0413	0.0347	0.0201	0.0261	0.0227	0.0179	0.0264	0.0233	0.0164	0.0245	0.0128	0.0126	0.0137	0.0139	0.0202	0.015	0.0183	0.0163	0.0127	0.0195	0.0151	0.0108	0.0171	0.0267	0.0275	0.0352	0.0218	0.0311	0.0299	0.0255	0.0318	0.0142	0.0365	0.0189	0.0168	0.0208	0.0168	0.0201	0.034	0.0213	0.0144	0.0286	0.0194	0.0275	0.0244	0.02	0.0157	0.0222	0.0259	0.0287	0.0235	0.0192	0.0228	0.0164	0.0131	0.0226	0.017	0.0175	0.012	0.0155	0.0119	0.0194	0.0156	0.0207	0.0219	0.0215	0.0142	0.0148	0.0119	0.0158	0.0308	0.0198	0.0196	0.0266	0.0233	0.0108	0.0202	0.0141	0.0148	0.0136	0.0234	0.0164	0.0134	0.0158	0.0161	0.0143	0.0176	0.0186	0.0153	0.0208	0.0137	0.0128	0.0141	0.0156	0.0153	0.0153
lower0_perm_sad	-0.0525	-0.0256	-0.012	-0.0082	-0.0019	-0.0017	-0.0011	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005
