	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0133	-0.002	0.0194	0.0155	0.0025	0.0	0.0026	-0.0002	0.0021	0.0073	0.0061	0.0008	0.0076	0.0084	-0.0	0.0013	0.0586	0.3363	0.1071	0.0463	0.0011	-0.0001	0.0024	0.0105	0.0049	0.001	0.0003	0.0187	0.0147	0.0004	0.0045	0.0	0.0123	0.008	0.0085	-0.0	0.0016	-0.0001	0.0021	0.0014	0.0017	0.0	-0.0001	0.0033	0.0037	0.001	-0.0001	0.0021	0.0037	-0.0001	0.0061	0.0036	0.0022	0.0013	0.0013	-0.0001	0.0021	0.0	0.0001	-0.0002	0.0019	0.0018	0.0012	0.0001	0.0041	0.0029	0.0001	-0.0001	-0.0002	0.0014	0.0049	0.003	-0.0001	0.0036	0.0015	0.0004	0.0029	-0.0001	0.0007	0.0012	0.0004	0.0008	0.0019	-0.0001	0.0005	0.0002	-0.0002	-0.0001	0.0008	0.0015	0.0006	0.0014	0.0001	-0.0001	0.0016	0.0001	0.0015	-0.0	-0.0001	0.0002
direct_vc_estimate_se	0.1578	0.0871	0.0314	0.0251	0.0073	0.0049	0.0036	0.0027	0.0027	0.0029	0.0029	0.0025	0.003	0.0032	0.0024	0.0022	0.0057	0.0263	0.0088	0.0056	0.0019	0.0021	0.0024	0.0026	0.0025	0.0025	0.0021	0.0027	0.0047	0.0017	0.0026	0.0028	0.0022	0.0026	0.0022	0.0021	0.0026	0.0019	0.0018	0.0019	0.0019	0.0019	0.0021	0.002	0.002	0.0021	0.002	0.0023	0.002	0.0019	0.0021	0.0019	0.0019	0.0018	0.002	0.0018	0.002	0.0018	0.002	0.002	0.0018	0.0018	0.0019	0.0019	0.0019	0.002	0.0018	0.002	0.002	0.0018	0.002	0.0017	0.0016	0.002	0.0019	0.0018	0.002	0.002	0.0018	0.002	0.0018	0.0017	0.0018	0.0018	0.0017	0.0019	0.0019	0.0016	0.0017	0.0019	0.0018	0.0017	0.0018	0.0018	0.0017	0.0017	0.0019	0.0017	0.0017	0.0018
direct_vc_pvals	0.998	0.72	0.175	0.082	0.579	0.505	0.191	0.921	0.083	0.046	0.118	0.393	0.191	0.205	0.589	0.32	0.026	0.078	0.021	0.139	0.176	0.814	0.321	0.096	0.118	0.492	0.592	0.01	0.008	0.411	0.099	0.735	0.002	0.011	0.032	0.652	0.409	0.862	0.079	0.096	0.09	0.626	0.7	0.121	0.114	0.37	0.804	0.194	0.046	0.838	0.015	0.016	0.222	0.209	0.073	0.932	0.168	0.656	0.544	0.931	0.062	0.052	0.29	0.5	0.03	0.067	0.493	0.855	0.99	0.105	0.016	0.034	0.716	0.075	0.126	0.361	0.072	0.829	0.363	0.109	0.475	0.2	0.048	0.784	0.237	0.55	0.9	0.788	0.133	0.141	0.42	0.057	0.505	0.776	0.075	0.653	0.173	0.647	0.934	0.415
upper95_perm_direct	0.2621	0.2071	0.0713	0.0339	0.0596	0.0063	0.0086	0.0053	0.0047	0.0131	0.0168	0.0081	0.0309	0.0297	0.0039	0.0087	0.0973	0.6616	0.1764	0.1032	0.004	0.0064	0.0147	0.0235	0.013	0.013	0.0089	0.0236	0.0149	0.0046	0.0106	0.0136	0.0097	0.0097	0.0131	0.004	0.0156	0.0083	0.0049	0.0034	0.0042	0.0038	0.0029	0.0089	0.0093	0.0069	0.0055	0.0081	0.0062	0.0056	0.0076	0.0039	0.0094	0.0051	0.0029	0.0046	0.0065	0.0047	0.0048	0.0047	0.0039	0.0033	0.0058	0.0029	0.0065	0.006	0.0039	0.0067	0.0033	0.0037	0.0061	0.0042	0.0027	0.0072	0.0048	0.0045	0.0061	0.0064	0.0055	0.0035	0.0051	0.0038	0.0033	0.0033	0.0027	0.0057	0.0029	0.0032	0.0029	0.0053	0.0054	0.0025	0.0034	0.0055	0.0034	0.0056	0.0057	0.0036	0.0046	0.0034
lower0_perm_direct	-0.0327	-0.0167	-0.0062	-0.0052	-0.0014	-0.001	-0.0007	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0004	-0.0011	-0.0005	-0.0016	-0.0011	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005	-0.001	-0.0003	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003
sad_vc_estimate	0.1674	-0.0076	0.0524	0.0769	0.0044	0.0	0.0102	0.0004	0.0096	0.0145	0.019	0.0065	0.0229	0.0183	-0.0	0.0034	0.1344	0.8648	0.2654	0.1188	0.0036	-0.0002	0.0037	0.0238	0.0123	0.0012	-0.0002	0.0491	0.062	0.0015	0.0179	0.0005	0.0358	0.0318	0.0205	-0.0001	0.0019	0.0005	0.0046	0.0042	0.0028	-0.0001	0.0016	0.0037	0.0112	0.0074	0.0006	0.0072	0.0131	0.0002	0.0136	0.0094	0.0082	0.0036	0.0049	0.0001	0.0042	-0.0002	0.0012	0.0006	0.0044	0.0043	0.0044	0.001	0.0079	0.0093	0.0022	0.0019	0.0002	0.0033	0.0143	0.0121	0.0001	0.0094	0.005	0.0019	0.0098	0.0012	0.0027	0.0028	0.0039	0.0025	0.0053	0.0001	0.002	0.0005	-0.0002	0.0	0.0025	0.0018	0.0008	0.0029	0.0004	-0.0	0.0081	0.0019	0.0028	0.0005	-0.0001	0.0022
sad_vc_estimate_se	0.1631	0.09	0.0324	0.0259	0.0075	0.0051	0.0037	0.0028	0.0028	0.003	0.003	0.0026	0.0031	0.0033	0.0025	0.0023	0.0059	0.0271	0.0091	0.0058	0.002	0.0022	0.0024	0.0027	0.0026	0.0026	0.0021	0.0028	0.0049	0.0018	0.0027	0.0029	0.0023	0.0027	0.0023	0.0022	0.0027	0.002	0.0019	0.002	0.0019	0.002	0.0022	0.002	0.0021	0.0021	0.0021	0.0024	0.002	0.002	0.0022	0.002	0.002	0.0019	0.0021	0.0019	0.002	0.0019	0.002	0.0021	0.0019	0.0018	0.0019	0.0019	0.002	0.0021	0.0019	0.0021	0.0021	0.0018	0.002	0.0017	0.0017	0.0021	0.002	0.0019	0.002	0.0021	0.0018	0.0021	0.0018	0.0018	0.0019	0.0019	0.0017	0.002	0.002	0.0017	0.0018	0.0019	0.0019	0.0017	0.0018	0.0018	0.0017	0.0018	0.0019	0.0018	0.0018	0.0019
sad_vc_pvals	0.236	0.99	0.193	0.016	0.655	0.673	0.127	0.61	0.026	0.095	0.097	0.159	0.147	0.196	0.723	0.311	0.04	0.031	0.013	0.121	0.153	0.981	0.442	0.118	0.118	0.636	0.946	0.015	0.006	0.338	0.042	0.737	0.0	0.005	0.039	0.878	0.564	0.651	0.118	0.099	0.215	0.883	0.234	0.309	0.101	0.099	0.53	0.129	0.012	0.701	0.035	0.029	0.14	0.178	0.072	0.732	0.163	0.963	0.407	0.545	0.094	0.081	0.186	0.354	0.102	0.052	0.182	0.475	0.651	0.16	0.015	0.008	0.682	0.053	0.096	0.285	0.042	0.521	0.31	0.219	0.198	0.16	0.074	0.701	0.168	0.626	0.965	0.698	0.121	0.317	0.574	0.094	0.54	0.836	0.013	0.361	0.272	0.54	0.996	0.254
upper95_perm_sad	0.7775	0.5998	0.1916	0.1053	0.1234	0.0177	0.0269	0.0137	0.0122	0.0338	0.0444	0.0224	0.064	0.0675	0.01	0.0225	0.2422	1.5243	0.4248	0.2696	0.0118	0.0185	0.0381	0.0602	0.0345	0.033	0.021	0.0658	0.0557	0.012	0.0297	0.0322	0.0299	0.0304	0.0332	0.0133	0.0443	0.0216	0.0135	0.0113	0.0118	0.0114	0.0086	0.0214	0.0257	0.0188	0.0133	0.0196	0.0164	0.0143	0.021	0.0125	0.0249	0.0137	0.0104	0.0135	0.0161	0.0133	0.0145	0.0124	0.0113	0.0095	0.0149	0.0091	0.0192	0.0161	0.0089	0.02	0.0112	0.0108	0.0179	0.011	0.0086	0.0179	0.0128	0.012	0.017	0.0195	0.0158	0.0137	0.0157	0.0093	0.0113	0.0115	0.0074	0.0171	0.0108	0.0096	0.0081	0.0133	0.0164	0.0068	0.0087	0.0156	0.0091	0.0144	0.0152	0.012	0.0128	0.0111
lower0_perm_sad	-0.0321	-0.0186	-0.0063	-0.0052	-0.0014	-0.001	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0004	-0.001	-0.0032	-0.0018	-0.0011	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005	-0.001	-0.0003	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
