	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1774	0.1716	0.0045	-0.0029	0.0382	-0.0018	-0.0009	0.0032	0.0076	0.0027	-0.0015	-0.0015	-0.001	-0.0003	0.0	-0.0001	-0.0012	-0.0012	-0.0013	0.0051	0.0028	0.002	0.0023	-0.0008	0.0063	-0.0013	0.0025	0.0169	-0.0008	0.0008	-0.0007	0.0111	0.0015	0.0035	-0.0012	0.0132	-0.0001	0.0148	-0.0011	-0.0006	0.0009	-0.0012	-0.0012	-0.0013	0.0005	0.0055	0.0016	-0.0005	0.0006	0.004	0.0318	-0.0008	-0.0012	-0.0012	0.0002	-0.0012	-0.0002	0.0025	0.0035	-0.0012	-0.0005	-0.0001	0.0019	-0.001	-0.0011	0.0026	0.0017	-0.0011	0.003	0.0222	0.0109	-0.001	0.0005	-0.001	0.0044	0.0008	-0.001	-0.0008	0.0001	-0.0	0.0003	0.0042	0.0067	-0.0009	0.0056	-0.001	-0.0012	-0.0003	-0.0004	0.0054	-0.0012	-0.0012	0.0064	0.0016	-0.0009	-0.0003	0.0035	0.0077	-0.0008	-0.0006
direct_vc_estimate_se	0.5255	0.3628	0.143	0.1023	0.0375	0.0151	0.0133	0.0161	0.0135	0.0104	0.0123	0.0121	0.0103	0.01	0.0096	0.008	0.0085	0.0089	0.0096	0.0099	0.0087	0.0091	0.0089	0.0096	0.0084	0.0101	0.0099	0.0092	0.0088	0.0089	0.0086	0.0087	0.0092	0.0088	0.009	0.0087	0.0089	0.0088	0.009	0.0086	0.0088	0.0088	0.0093	0.009	0.0094	0.0089	0.0092	0.0092	0.0093	0.0094	0.0086	0.0091	0.0089	0.0089	0.009	0.0087	0.0086	0.0087	0.0089	0.0094	0.0089	0.0088	0.0095	0.0088	0.0087	0.0086	0.0095	0.0089	0.0087	0.0089	0.0086	0.0094	0.0091	0.0082	0.0089	0.0086	0.0091	0.0091	0.0089	0.0087	0.0088	0.009	0.0092	0.0095	0.0089	0.0087	0.0088	0.0087	0.0089	0.0091	0.0094	0.0088	0.0091	0.0085	0.0093	0.0089	0.0084	0.0096	0.0088	0.009
direct_vc_pvals	0.093	0.056	0.38	0.457	0.085	0.752	0.508	0.31	0.068	0.127	0.776	0.81	0.675	0.491	0.359	0.43	0.914	0.85	0.967	0.103	0.164	0.313	0.344	0.662	0.054	0.837	0.208	0.004	0.662	0.323	0.643	0.021	0.277	0.189	0.943	0.007	0.516	0.006	0.805	0.635	0.328	0.951	0.896	1.0	0.381	0.079	0.25	0.555	0.364	0.136	0.0	0.663	0.963	0.902	0.464	0.901	0.546	0.236	0.16	0.865	0.579	0.477	0.264	0.778	0.84	0.201	0.279	0.818	0.17	0.004	0.02	0.734	0.392	0.82	0.108	0.335	0.713	0.647	0.472	0.47	0.424	0.128	0.07	0.664	0.095	0.766	0.894	0.527	0.574	0.091	0.817	0.957	0.069	0.243	0.671	0.508	0.164	0.04	0.687	0.637
upper95_perm_direct	0.5119	0.377	0.1797	0.122	0.1009	0.0168	0.0111	0.0292	0.017	0.0112	0.02	0.0153	0.0134	0.0132	0.0106	0.0118	0.0095	0.0137	0.0141	0.0159	0.0121	0.0213	0.0282	0.014	0.0128	0.0151	0.0156	0.0125	0.0154	0.0158	0.0149	0.0153	0.0152	0.0171	0.0169	0.0129	0.0178	0.0139	0.0159	0.0142	0.0156	0.0163	0.0176	0.0181	0.0152	0.0151	0.0153	0.0139	0.0143	0.016	0.0149	0.0154	0.0147	0.015	0.0162	0.0132	0.0143	0.0153	0.0145	0.0158	0.015	0.0136	0.0154	0.0168	0.0128	0.0162	0.0154	0.0151	0.0141	0.0155	0.0145	0.0173	0.015	0.015	0.0135	0.0152	0.0148	0.0144	0.0137	0.0151	0.0151	0.0147	0.0156	0.0165	0.016	0.0156	0.0176	0.0167	0.0156	0.0155	0.017	0.0155	0.0148	0.0132	0.0141	0.0154	0.0145	0.0139	0.0159	0.0178
lower0_perm_direct	-0.1633	-0.1235	-0.0461	-0.0348	-0.0118	-0.0047	-0.0045	-0.005	-0.0042	-0.0033	-0.0039	-0.0038	-0.0033	-0.0031	-0.003	-0.0026	-0.0027	-0.003	-0.0031	-0.0031	-0.0028	-0.0029	-0.0028	-0.0029	-0.0027	-0.0032	-0.0031	-0.0029	-0.0029	-0.0029	-0.0028	-0.0029	-0.0031	-0.0027	-0.0028	-0.0028	-0.0027	-0.0028	-0.0028	-0.0027	-0.0027	-0.0028	-0.0029	-0.003	-0.003	-0.0028	-0.0029	-0.0029	-0.003	-0.0029	-0.0027	-0.0029	-0.0028	-0.0028	-0.0029	-0.0026	-0.0027	-0.0027	-0.0029	-0.0029	-0.0028	-0.003	-0.003	-0.0028	-0.0027	-0.0028	-0.0029	-0.0028	-0.0029	-0.0028	-0.0027	-0.003	-0.0029	-0.0028	-0.0028	-0.0028	-0.0031	-0.0028	-0.0028	-0.0029	-0.0027	-0.0029	-0.0029	-0.0029	-0.0029	-0.0028	-0.003	-0.0028	-0.0027	-0.0029	-0.0029	-0.0027	-0.0028	-0.0026	-0.0031	-0.0028	-0.0029	-0.003	-0.0028	-0.0029
sad_vc_estimate	0.1174	0.0548	-0.008	0.1282	0.5176	0.0058	-0.0007	-0.0024	0.0023	0.0059	0.0001	-0.0002	0.0019	0.004	0.0023	-0.0008	-0.0002	0.0002	0.0033	0.0224	-0.0009	0.0094	-0.0013	0.0019	0.0168	-0.0008	0.0037	0.0224	0.0002	0.0017	-0.0002	0.0122	-0.0003	0.0086	-0.0013	0.0241	0.0019	0.0162	-0.0013	-0.0006	0.0035	-0.0007	-0.001	-0.0013	-0.0013	0.0055	0.0063	0.0005	0.0006	0.0041	0.0642	-0.0007	-0.0004	-0.0013	0.0006	0.0001	-0.0012	0.0029	0.0019	0.001	-0.0011	0.0013	0.0031	-0.0009	-0.0013	0.004	-0.0014	-0.0013	0.0059	0.0092	0.009	-0.0005	-0.0011	-0.0004	0.0055	0.0001	-0.0013	-0.001	-0.001	0.0013	0.0024	0.015	0.0143	-0.0003	0.0026	-0.0011	-0.0012	-0.0003	0.004	0.0076	0.0016	-0.0003	0.0025	0.0048	0.004	0.0019	0.0006	0.0061	-0.0007	-0.0003
sad_vc_estimate_se	0.5562	0.3839	0.15	0.1075	0.0394	0.0159	0.014	0.0169	0.0142	0.011	0.0129	0.0127	0.0108	0.0104	0.01	0.0084	0.009	0.0094	0.0101	0.0104	0.0092	0.0095	0.0093	0.0101	0.0088	0.0105	0.0104	0.0097	0.0093	0.0093	0.0091	0.0092	0.0097	0.0092	0.0095	0.0091	0.0094	0.0092	0.0095	0.0091	0.0092	0.0093	0.0097	0.0094	0.0098	0.0093	0.0097	0.0097	0.0097	0.0098	0.009	0.0095	0.0093	0.0093	0.0094	0.0091	0.009	0.0091	0.0094	0.0098	0.0093	0.0092	0.0099	0.0092	0.0092	0.009	0.01	0.0093	0.0092	0.0093	0.0091	0.0098	0.0095	0.0086	0.0094	0.009	0.0096	0.0095	0.0094	0.0092	0.0092	0.0094	0.0097	0.0099	0.0093	0.0091	0.0093	0.0092	0.0093	0.0096	0.0098	0.0092	0.0095	0.0089	0.0097	0.0093	0.0088	0.01	0.0093	0.0094
sad_vc_pvals	0.233	0.252	0.594	0.026	0.0	0.158	0.444	0.992	0.264	0.083	0.449	0.54	0.275	0.159	0.197	0.704	0.474	0.469	0.186	0.021	0.704	0.064	1.0	0.314	0.019	0.647	0.226	0.01	0.509	0.322	0.62	0.04	0.541	0.197	0.951	0.007	0.315	0.012	0.888	0.613	0.249	0.646	0.755	0.994	0.906	0.125	0.135	0.443	0.379	0.171	0.0	0.677	0.605	0.899	0.522	0.489	0.935	0.239	0.335	0.357	0.781	0.361	0.281	0.754	0.965	0.23	0.968	0.952	0.111	0.068	0.063	0.647	0.79	0.622	0.127	0.531	0.931	0.722	0.761	0.387	0.275	0.028	0.025	0.563	0.27	0.801	0.898	0.579	0.23	0.067	0.369	0.536	0.328	0.156	0.226	0.347	0.451	0.083	0.674	0.583
upper95_perm_sad	0.7289	0.4935	0.2985	0.1823	0.1929	0.0249	0.0146	0.0581	0.0235	0.0158	0.0218	0.0244	0.0174	0.02	0.0134	0.0169	0.0142	0.0169	0.018	0.0302	0.0197	0.0211	0.0187	0.0219	0.0221	0.0191	0.0218	0.0224	0.0206	0.022	0.028	0.0222	0.0184	0.0381	0.0305	0.0213	0.0214	0.0185	0.0207	0.0159	0.0222	0.0215	0.0201	0.0281	0.0239	0.0205	0.0226	0.02	0.0168	0.0184	0.0258	0.018	0.0191	0.0201	0.0304	0.0184	0.0231	0.0226	0.026	0.019	0.0228	0.0219	0.0265	0.0239	0.0218	0.0256	0.0226	0.0219	0.018	0.0222	0.0191	0.0249	0.022	0.0206	0.0203	0.0196	0.0182	0.0196	0.0188	0.0206	0.0224	0.0224	0.0194	0.0214	0.0195	0.0183	0.0255	0.0201	0.0243	0.0171	0.0238	0.0179	0.0234	0.0218	0.0242	0.0241	0.0216	0.0165	0.023	0.0209
lower0_perm_sad	-0.1795	-0.1177	-0.0469	-0.0337	-0.0132	-0.005	-0.0048	-0.0053	-0.0045	-0.0034	-0.0041	-0.004	-0.0033	-0.0033	-0.0032	-0.0027	-0.0028	-0.0031	-0.0031	-0.0035	-0.0029	-0.003	-0.0031	-0.0032	-0.0027	-0.0033	-0.0033	-0.003	-0.0028	-0.0029	-0.0028	-0.0029	-0.003	-0.0029	-0.003	-0.0028	-0.003	-0.0029	-0.0032	-0.003	-0.0031	-0.0029	-0.003	-0.0029	-0.0033	-0.003	-0.0031	-0.003	-0.0033	-0.003	-0.0029	-0.003	-0.0032	-0.0029	-0.0031	-0.0029	-0.0029	-0.0031	-0.0029	-0.0032	-0.003	-0.0029	-0.0032	-0.0028	-0.0029	-0.0028	-0.0033	-0.0029	-0.0028	-0.0029	-0.0029	-0.0031	-0.003	-0.0027	-0.0031	-0.0031	-0.003	-0.0031	-0.0032	-0.0029	-0.0029	-0.0032	-0.0032	-0.0034	-0.0029	-0.0029	-0.0029	-0.0029	-0.0029	-0.003	-0.0032	-0.0029	-0.003	-0.0028	-0.0029	-0.0029	-0.0028	-0.0031	-0.0029	-0.0029
