	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0339	0.0486	0.0397	-0.0045	0.0027	0.0129	0.0028	-0.0004	0.0006	0.0002	0.0041	0.0007	-0.0003	0.0035	-0.0004	0.0001	0.0002	-0.0003	0.0001	0.0009	0.0035	0.0	0.0005	0.0006	0.0067	-0.0004	0.0054	-0.0004	0.0043	-0.0	-0.0004	-0.0002	0.0105	-0.0	0.0008	0.0049	0.0005	0.003	0.0025	0.0002	0.0	0.0049	0.0039	0.0013	-0.0	0.0001	0.0005	0.0033	0.0004	0.0002	0.0001	-0.0002	-0.0004	0.017	0.0002	0.0005	0.0016	0.0026	0.0002	0.0023	0.0042	0.0002	-0.0002	-0.0001	-0.0002	0.0003	0.0013	0.0008	0.0023	0.0006	0.0022	0.0011	0.0016	0.0019	0.0066	0.0001	0.0014	0.0017	0.0025	0.0015	-0.0002	0.0006	0.0036	0.0007	-0.0004	0.0036	0.0019	-0.0002	-0.0001	0.0005	0.0003	0.0032	-0.0002	-0.0002	0.003	-0.0	0.0015	-0.0002	0.0011	0.0002
direct_vc_estimate_se	0.0482	0.0285	0.0118	0.009	0.0022	0.0021	0.001	0.0009	0.0008	0.0007	0.0008	0.0008	0.0007	0.0009	0.0008	0.0006	0.0007	0.0007	0.0005	0.0006	0.0009	0.0005	0.0008	0.0005	0.0008	0.0007	0.0004	0.0009	0.0008	0.0009	0.0008	0.0005	0.0008	0.001	0.0007	0.001	0.0006	0.0012	0.0005	0.0005	0.0006	0.0005	0.0006	0.0009	0.0008	0.0007	0.0005	0.0011	0.0006	0.0006	0.0004	0.0007	0.0008	0.0008	0.0006	0.0006	0.0007	0.0005	0.0007	0.0006	0.0007	0.0008	0.0006	0.0008	0.0005	0.0008	0.0006	0.0005	0.0005	0.0008	0.0007	0.0005	0.0005	0.0007	0.0009	0.0005	0.0005	0.0005	0.0006	0.0006	0.0005	0.0005	0.0006	0.0005	0.0007	0.0008	0.0006	0.0005	0.0006	0.0006	0.0006	0.0005	0.0006	0.0004	0.0007	0.0005	0.0006	0.0005	0.0005	0.0006
direct_vc_pvals	0.319	0.439	0.263	0.949	0.794	0.202	0.087	0.932	0.443	0.369	0.211	0.377	0.849	0.125	0.867	0.513	0.507	0.871	0.406	0.411	0.19	0.503	0.498	0.381	0.236	0.924	0.075	0.914	0.188	0.729	0.879	0.916	0.096	0.763	0.66	0.471	0.504	0.559	0.363	0.653	0.571	0.143	0.053	0.432	0.662	0.67	0.378	0.328	0.537	0.474	0.539	0.698	0.991	0.014	0.649	0.498	0.492	0.112	0.575	0.249	0.136	0.505	0.706	0.85	0.961	0.523	0.499	0.232	0.036	0.574	0.258	0.29	0.264	0.375	0.206	0.511	0.179	0.195	0.335	0.2	0.697	0.495	0.305	0.37	0.93	0.075	0.304	0.99	0.841	0.536	0.536	0.107	0.81	0.749	0.294	0.632	0.234	0.931	0.29	0.658
upper95_perm_direct	0.154	0.2723	0.105	0.0997	0.0291	0.0219	0.0035	0.0095	0.0063	0.0023	0.009	0.0047	0.0033	0.0054	0.0022	0.0026	0.0044	0.0092	0.0018	0.0055	0.0068	0.0018	0.0056	0.0034	0.0151	0.0023	0.0064	0.0247	0.0082	0.0087	0.0039	0.0066	0.013	0.0183	0.0107	0.0232	0.0048	0.0329	0.008	0.0063	0.0031	0.0069	0.0038	0.0072	0.0074	0.0081	0.003	0.0128	0.0056	0.003	0.0025	0.0037	0.0068	0.012	0.0052	0.0049	0.009	0.0038	0.005	0.0057	0.0061	0.0043	0.0028	0.0122	0.0021	0.0046	0.0077	0.0023	0.002	0.0082	0.0062	0.0038	0.0041	0.0088	0.0115	0.0033	0.0029	0.0038	0.0096	0.0036	0.0014	0.0057	0.0089	0.0035	0.0068	0.0041	0.0071	0.0022	0.0071	0.0064	0.0048	0.0042	0.0054	0.0021	0.007	0.0029	0.0041	0.0046	0.003	0.0095
lower0_perm_direct	-0.0277	-0.0163	-0.007	-0.0051	-0.0012	-0.0012	-0.0006	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0005	-0.0003	-0.0004	-0.0004	-0.0002	-0.0005	-0.0004	-0.0005	-0.0004	-0.0003	-0.0004	-0.0006	-0.0004	-0.0006	-0.0003	-0.0007	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0004	-0.0004	-0.0003	-0.0006	-0.0003	-0.0003	-0.0002	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004	-0.0005	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0005	-0.0004	-0.0003	-0.0003	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
sad_vc_estimate	0.0816	0.1498	0.1522	0.0009	0.013	0.0354	0.0081	-0.0004	0.0002	-0.0002	0.0136	0.0038	0.0011	0.0099	-0.0002	0.0	0.001	-0.0003	-0.0002	0.0045	0.0207	0.0019	0.0003	0.0036	0.0194	-0.0003	0.0216	-0.0004	0.0098	-0.0004	0.0033	-0.0001	0.0272	0.0027	0.0012	0.019	0.0028	0.0033	0.0076	-0.0003	-0.0003	0.0165	0.0129	-0.0004	0.0013	0.0001	0.0016	0.0189	0.0022	0.0004	0.0002	-0.0004	-0.0002	0.0364	0.0023	0.0039	0.0064	0.0063	0.0001	0.0107	0.0063	0.0005	0.0011	0.0005	0.0002	0.0045	0.0017	0.002	0.0031	0.0019	0.0086	0.0051	0.0082	0.0054	0.0205	0.0008	0.0024	0.0059	0.0017	0.0039	-0.0002	0.0031	0.0123	0.0004	0.0001	0.0163	0.0026	-0.0002	-0.0003	0.0009	0.0023	0.0053	0.0011	-0.0002	0.0127	0.0016	0.0023	-0.0001	0.0074	0.0008
sad_vc_estimate_se	0.0494	0.0292	0.0121	0.0092	0.0023	0.0022	0.0011	0.0009	0.0008	0.0007	0.0008	0.0008	0.0007	0.0009	0.0008	0.0006	0.0008	0.0007	0.0005	0.0006	0.0009	0.0005	0.0009	0.0005	0.0008	0.0007	0.0004	0.0009	0.0008	0.0009	0.0008	0.0005	0.0008	0.001	0.0007	0.001	0.0006	0.0012	0.0005	0.0006	0.0006	0.0005	0.0006	0.0009	0.0008	0.0007	0.0006	0.0012	0.0006	0.0006	0.0004	0.0007	0.0008	0.0008	0.0006	0.0007	0.0007	0.0005	0.0007	0.0006	0.0007	0.0008	0.0006	0.0008	0.0005	0.0008	0.0007	0.0006	0.0005	0.0008	0.0007	0.0005	0.0006	0.0007	0.0009	0.0006	0.0005	0.0005	0.0006	0.0006	0.0005	0.0005	0.0006	0.0006	0.0008	0.0008	0.0006	0.0005	0.0006	0.0006	0.0007	0.0006	0.0006	0.0005	0.0007	0.0005	0.0006	0.0005	0.0006	0.0007
sad_vc_pvals	0.407	0.446	0.211	0.803	0.708	0.199	0.138	0.994	0.736	0.784	0.191	0.316	0.494	0.117	0.716	0.688	0.567	0.952	0.875	0.328	0.046	0.242	0.716	0.291	0.254	0.838	0.03	0.95	0.249	0.966	0.363	0.838	0.122	0.672	0.765	0.42	0.42	0.681	0.305	0.977	0.946	0.084	0.055	0.932	0.613	0.837	0.419	0.17	0.468	0.638	0.642	0.961	0.902	0.035	0.49	0.317	0.392	0.145	0.735	0.168	0.358	0.618	0.381	0.793	0.651	0.299	0.601	0.29	0.132	0.594	0.243	0.215	0.106	0.39	0.217	0.503	0.374	0.161	0.643	0.25	0.873	0.403	0.243	0.646	0.809	0.03	0.472	0.944	0.988	0.657	0.466	0.224	0.602	0.871	0.202	0.361	0.418	0.835	0.127	0.7
upper95_perm_sad	0.5922	0.7685	0.3486	0.2518	0.079	0.0653	0.0138	0.0273	0.0183	0.0089	0.0251	0.0139	0.0119	0.0133	0.0066	0.0075	0.0148	0.0266	0.0057	0.0181	0.0196	0.0054	0.0157	0.0116	0.0385	0.0088	0.0176	0.0657	0.0258	0.0253	0.0151	0.0182	0.0381	0.05	0.0302	0.0666	0.0144	0.0983	0.0202	0.0172	0.01	0.0195	0.0133	0.0197	0.0212	0.0213	0.0099	0.0356	0.0147	0.0101	0.0065	0.0118	0.0252	0.0301	0.015	0.0148	0.0215	0.0116	0.0145	0.0193	0.017	0.014	0.007	0.0335	0.0064	0.0154	0.0211	0.0067	0.0046	0.0241	0.0192	0.011	0.0105	0.0239	0.0366	0.0091	0.01	0.0102	0.0281	0.0102	0.0058	0.0168	0.0258	0.0089	0.0183	0.0126	0.0179	0.0064	0.0178	0.0182	0.0152	0.0111	0.0137	0.0085	0.0214	0.0082	0.0133	0.0109	0.0108	0.0286
lower0_perm_sad	-0.0289	-0.0165	-0.0068	-0.0052	-0.0012	-0.0012	-0.0006	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0005	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0005	-0.0003	-0.0005	-0.0003	-0.0004	-0.0004	-0.0002	-0.0005	-0.0004	-0.0005	-0.0004	-0.0003	-0.0004	-0.0006	-0.0004	-0.0006	-0.0004	-0.0007	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0005	-0.0004	-0.0003	-0.0007	-0.0003	-0.0003	-0.0002	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0005	-0.0004	-0.0003	-0.0003	-0.0004	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
