	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0568	-0.0627	0.0155	-0.0217	0.0634	-0.0021	0.017	0.0436	0.0101	-0.0019	-0.0002	-0.0021	0.0124	-0.0015	-0.0017	0.0042	-0.0016	-0.0015	-0.0017	-0.0017	-0.0016	-0.0017	0.0041	0.0126	0.0009	0.0098	0.0001	0.0008	0.0049	0.0063	-0.0002	0.0006	0.0056	-0.0006	-0.0001	-0.0009	0.0119	-0.0017	-0.0017	0.0006	0.0014	0.0025	0.0	0.0015	-0.0006	-0.001	-0.0017	0.0146	0.0048	-0.0007	0.0159	-0.0016	0.0062	-0.0006	-0.0005	0.0001	0.0022	-0.0017	0.0056	-0.0017	-0.0017	-0.0	-0.0017	-0.0017	0.0043	0.002	-0.0017	0.0038	0.0004	0.0011	0.0	0.0046	0.0062	-0.0006	-0.0017	-0.0016	0.003	0.0009	0.0015	0.0051	0.0005	-0.0015	-0.0007	0.0026	-0.0004	-0.0013	0.0037	0.0025	0.0002	0.0048	-0.0015	0.0014	0.0066	0.0036	-0.0013	-0.0011	0.0018	0.0108	-0.001	-0.0017
direct_vc_estimate_se	2.7993	1.9007	0.7766	0.6327	0.2085	0.0919	0.064	0.0885	0.0694	0.0564	0.0689	0.0653	0.0603	0.0533	0.0503	0.0516	0.0474	0.0542	0.0571	0.0524	0.0565	0.0515	0.0504	0.0531	0.0488	0.0518	0.0521	0.0559	0.0548	0.0502	0.0528	0.0504	0.0511	0.0499	0.0483	0.0507	0.0497	0.0506	0.0515	0.0505	0.0501	0.0514	0.0528	0.0512	0.0511	0.0493	0.0502	0.0506	0.051	0.0505	0.0499	0.0481	0.0497	0.0559	0.0511	0.05	0.0491	0.0496	0.0512	0.0505	0.0501	0.0521	0.0502	0.0496	0.0519	0.049	0.0511	0.0498	0.0508	0.052	0.0556	0.0499	0.0481	0.0494	0.054	0.0525	0.0511	0.052	0.0508	0.0519	0.0502	0.0537	0.0512	0.0538	0.0501	0.049	0.0507	0.048	0.0512	0.0502	0.0498	0.0526	0.0522	0.0471	0.0482	0.0509	0.0503	0.0491	0.0488	0.0491
direct_vc_pvals	0.284	0.855	0.332	0.996	0.031	0.637	0.006	0.003	0.071	0.989	0.46	0.862	0.033	0.731	0.869	0.13	0.899	0.731	0.798	0.841	0.766	0.853	0.175	0.045	0.36	0.058	0.445	0.388	0.136	0.148	0.482	0.433	0.161	0.586	0.507	0.596	0.061	0.877	0.857	0.391	0.356	0.272	0.506	0.314	0.551	0.614	0.98	0.027	0.204	0.59	0.021	0.883	0.116	0.541	0.54	0.459	0.282	0.985	0.128	0.925	0.97	0.484	0.992	0.938	0.169	0.289	0.933	0.224	0.457	0.388	0.473	0.175	0.12	0.57	0.836	0.796	0.241	0.317	0.321	0.171	0.397	0.755	0.583	0.277	0.545	0.776	0.192	0.266	0.462	0.169	0.79	0.354	0.116	0.198	0.744	0.673	0.307	0.063	0.651	0.986
upper95_perm_direct	0.6011	0.3856	0.2029	0.1581	0.0678	0.0198	0.0108	0.0283	0.017	0.0123	0.0174	0.0201	0.0131	0.0122	0.0111	0.0116	0.011	0.0157	0.0144	0.0124	0.016	0.0142	0.0146	0.0165	0.0135	0.0155	0.0164	0.0172	0.0151	0.0165	0.0164	0.0186	0.0168	0.0186	0.0157	0.0152	0.0177	0.0147	0.0173	0.016	0.0171	0.0164	0.0177	0.0155	0.0174	0.0138	0.0165	0.0169	0.0188	0.0164	0.0137	0.015	0.0168	0.0169	0.0149	0.0154	0.0183	0.0165	0.0167	0.0155	0.0151	0.0149	0.0177	0.0152	0.0144	0.0155	0.016	0.0169	0.0201	0.0168	0.0174	0.0166	0.0152	0.0164	0.0142	0.0138	0.0169	0.0135	0.0157	0.016	0.0165	0.0125	0.0167	0.0166	0.0181	0.0183	0.0153	0.0132	0.0169	0.0166	0.0142	0.0147	0.015	0.0153	0.0148	0.0165	0.0176	0.017	0.0147	0.0161
lower0_perm_direct	-0.1599	-0.1037	-0.0425	-0.0342	-0.0115	-0.005	-0.0035	-0.0049	-0.0038	-0.003	-0.0037	-0.0034	-0.0032	-0.0029	-0.0027	-0.0028	-0.0026	-0.0029	-0.0031	-0.0029	-0.0031	-0.0028	-0.0027	-0.0028	-0.0026	-0.0028	-0.0028	-0.0031	-0.003	-0.0027	-0.0029	-0.0027	-0.0028	-0.0027	-0.0026	-0.0027	-0.0027	-0.0028	-0.0028	-0.0028	-0.0028	-0.0028	-0.0029	-0.0028	-0.0027	-0.0027	-0.0027	-0.0027	-0.0028	-0.0029	-0.0027	-0.0027	-0.0026	-0.003	-0.0028	-0.0027	-0.0027	-0.0027	-0.0028	-0.0027	-0.0027	-0.0028	-0.0029	-0.0027	-0.0028	-0.0027	-0.0028	-0.0027	-0.0028	-0.0028	-0.003	-0.0028	-0.0026	-0.0027	-0.0029	-0.0029	-0.0027	-0.0028	-0.0028	-0.0028	-0.0026	-0.0029	-0.0028	-0.0029	-0.0027	-0.0027	-0.0027	-0.0027	-0.0027	-0.0027	-0.0027	-0.0028	-0.003	-0.0025	-0.0026	-0.0027	-0.0026	-0.0026	-0.0027	-0.0026
sad_vc_estimate	0.0629	-0.043	0.081	-0.0224	0.4155	-0.0018	0.0243	0.1007	0.0256	0.0006	0.0038	0.0087	0.0291	-0.0005	-0.001	0.018	-0.0016	-0.0002	0.006	-0.0011	-0.0019	0.0005	0.0326	0.0032	0.0068	0.0049	0.0102	0.0001	0.0096	0.0106	-0.0018	0.0065	0.009	0.0007	-0.0017	0.0047	0.0108	-0.0002	-0.001	-0.0013	0.0068	0.0081	-0.0017	0.0032	-0.0009	0.0005	-0.0018	0.0237	0.0	-0.0018	0.0441	-0.0017	-0.0004	0.0008	0.0002	0.0004	0.0097	-0.0017	0.0141	-0.0015	-0.0013	0.004	-0.0013	-0.0008	0.013	0.0028	0.0017	0.0012	0.0063	0.005	-0.0001	0.0133	0.0285	-0.0016	-0.0012	-0.0009	0.0017	0.0019	0.002	0.0085	0.0053	-0.0016	0.0012	0.008	0.0029	-0.0017	0.004	-0.0011	0.006	0.0019	0.0001	0.0072	0.0014	0.0122	-0.0016	-0.0017	0.0006	0.0091	-0.0017	-0.0017
sad_vc_estimate_se	2.9054	1.9755	0.8024	0.6519	0.2154	0.0951	0.0664	0.0915	0.0718	0.0587	0.0712	0.0675	0.0623	0.0552	0.0519	0.0532	0.0491	0.0561	0.059	0.054	0.0583	0.0532	0.0521	0.0548	0.0504	0.0535	0.0539	0.0578	0.0565	0.0519	0.0545	0.052	0.0528	0.0517	0.05	0.0524	0.0514	0.0522	0.0532	0.0523	0.0518	0.053	0.0544	0.0529	0.0528	0.0511	0.0519	0.0523	0.0527	0.0522	0.0516	0.0497	0.0514	0.0576	0.0528	0.0516	0.0509	0.0513	0.0529	0.0521	0.0518	0.0537	0.0519	0.0512	0.0536	0.0506	0.0528	0.0514	0.0526	0.0537	0.0573	0.0515	0.0497	0.0511	0.0557	0.0541	0.0527	0.0536	0.0525	0.0536	0.0518	0.0553	0.0528	0.0554	0.0517	0.0506	0.0524	0.0497	0.0529	0.0518	0.0515	0.0543	0.0538	0.0488	0.0498	0.0526	0.0521	0.0508	0.0505	0.0507
sad_vc_pvals	0.338	0.646	0.197	0.98	0.0	0.64	0.005	0.001	0.019	0.407	0.305	0.182	0.014	0.555	0.615	0.018	0.861	0.568	0.15	0.674	0.875	0.547	0.014	0.315	0.141	0.289	0.139	0.551	0.156	0.142	0.943	0.248	0.155	0.486	0.982	0.256	0.123	0.554	0.713	0.752	0.215	0.166	0.857	0.307	0.665	0.508	0.993	0.016	0.582	0.979	0.001	0.925	0.606	0.493	0.503	0.495	0.14	0.915	0.074	0.815	0.756	0.256	0.746	0.635	0.08	0.33	0.395	0.446	0.236	0.258	0.572	0.093	0.012	0.866	0.681	0.646	0.388	0.396	0.347	0.138	0.246	0.802	0.465	0.187	0.331	0.923	0.287	0.711	0.212	0.412	0.523	0.164	0.418	0.076	0.879	0.914	0.49	0.126	0.936	0.948
upper95_perm_sad	0.8613	0.5273	0.3239	0.2688	0.1161	0.0277	0.0151	0.0428	0.0272	0.0186	0.0264	0.0302	0.0227	0.0175	0.0136	0.0172	0.0163	0.0231	0.0184	0.0209	0.0226	0.0362	0.0326	0.0248	0.0194	0.0263	0.0249	0.0254	0.0273	0.0306	0.0291	0.0329	0.0255	0.0244	0.0237	0.024	0.0264	0.0259	0.0252	0.0251	0.0245	0.0248	0.0349	0.0247	0.0253	0.0204	0.0276	0.025	0.0345	0.0267	0.0276	0.0235	0.026	0.0267	0.0245	0.0258	0.026	0.0232	0.024	0.0278	0.021	0.0211	0.0262	0.0254	0.0228	0.0236	0.0267	0.0271	0.0299	0.0243	0.0269	0.0259	0.0255	0.0254	0.0183	0.0229	0.0215	0.0269	0.0207	0.0234	0.0257	0.0241	0.0245	0.0269	0.0253	0.0273	0.0274	0.0238	0.0278	0.026	0.0221	0.0235	0.0253	0.0206	0.022	0.0268	0.024	0.0217	0.0222	0.029
lower0_perm_sad	-0.1592	-0.1058	-0.0439	-0.0349	-0.0117	-0.005	-0.0036	-0.005	-0.004	-0.0032	-0.004	-0.0038	-0.0035	-0.003	-0.0028	-0.0029	-0.0027	-0.0031	-0.0032	-0.0029	-0.0032	-0.0029	-0.0029	-0.003	-0.0027	-0.0028	-0.0029	-0.0031	-0.003	-0.0028	-0.003	-0.0028	-0.0029	-0.0028	-0.0027	-0.0029	-0.0028	-0.0028	-0.0029	-0.0028	-0.0028	-0.0029	-0.0029	-0.0029	-0.0029	-0.0028	-0.0028	-0.0028	-0.0028	-0.0028	-0.0028	-0.0027	-0.0027	-0.0031	-0.0028	-0.0028	-0.0028	-0.0028	-0.0029	-0.003	-0.0028	-0.0029	-0.0027	-0.0028	-0.0029	-0.0028	-0.0029	-0.0027	-0.0028	-0.0029	-0.0032	-0.0028	-0.0028	-0.0027	-0.003	-0.003	-0.0029	-0.0029	-0.0029	-0.0029	-0.0028	-0.003	-0.0029	-0.003	-0.0028	-0.0027	-0.0028	-0.0027	-0.0029	-0.0028	-0.0029	-0.003	-0.0029	-0.0026	-0.0028	-0.0029	-0.0028	-0.0028	-0.0027	-0.0028
