	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1105	-0.004	0.0006	0.0034	0.0119	0.0006	0.0039	0.0108	0.0002	0.0009	0.0002	0.0042	0.0023	-0.0001	-0.0001	0.0006	0.0001	-0.0001	0.001	0.0003	0.0003	0.0006	0.0061	0.0013	-0.0001	0.0002	0.0002	-0.0002	0.0007	0.0071	0.0023	0.0035	0.0009	-0.0001	0.0004	0.0024	-0.0	0.0004	-0.0001	0.001	0.0001	0.0053	-0.0	0.0003	0.0067	0.0003	-0.0001	0.007	0.0008	0.0026	0.0041	-0.0001	0.0001	0.0003	-0.0	0.0002	0.0091	0.0	0.0017	0.0	0.0031	0.0	0.0001	0.0001	0.0018	0.0048	0.0068	0.0002	0.0001	0.0013	0.0	0.0006	0.0061	0.0008	0.003	0.0004	0.0001	-0.0001	0.0007	0.0007	-0.0001	0.0002	-0.0001	0.001	0.0001	-0.0002	0.0011	0.0001	0.0018	0.0014	0.0012	0.0004	-0.0001	0.0027	0.0001	0.0006	0.0007	0.0011	0.0015	-0.0
direct_vc_estimate_se	0.1299	0.0694	0.0254	0.0248	0.0045	0.0031	0.0023	0.0023	0.0024	0.0026	0.0015	0.0016	0.0016	0.0016	0.0014	0.0017	0.0012	0.0014	0.0014	0.0045	0.0014	0.0053	0.0038	0.0012	0.0014	0.0015	0.0018	0.0023	0.0016	0.0013	0.0013	0.0015	0.0012	0.0015	0.0014	0.0012	0.0021	0.0013	0.0015	0.0013	0.0015	0.0016	0.0013	0.0012	0.0017	0.0016	0.0014	0.0021	0.0012	0.0015	0.0022	0.0015	0.0014	0.0016	0.0013	0.0016	0.0012	0.0012	0.0012	0.0014	0.0011	0.0013	0.0012	0.0013	0.0012	0.0018	0.0013	0.0012	0.0022	0.0012	0.0016	0.0014	0.0017	0.0011	0.0015	0.0016	0.0014	0.0035	0.0011	0.0013	0.0014	0.001	0.0012	0.0012	0.0016	0.0017	0.0018	0.0012	0.0018	0.0013	0.0015	0.0014	0.0011	0.0012	0.0014	0.0016	0.0012	0.0023	0.0014	0.0015
direct_vc_pvals	0.141	0.77	0.757	0.458	0.044	0.536	0.021	0.053	0.591	0.325	0.587	0.08	0.091	0.822	0.936	0.285	0.564	0.926	0.268	0.443	0.6	0.451	0.073	0.314	0.741	0.682	0.568	0.842	0.357	0.07	0.148	0.096	0.362	0.951	0.466	0.124	0.721	0.464	0.975	0.268	0.664	0.02	0.8	0.576	0.041	0.493	0.946	0.014	0.509	0.15	0.048	0.945	0.602	0.537	0.779	0.573	0.005	0.738	0.155	0.71	0.054	0.688	0.599	0.641	0.106	0.074	0.015	0.705	0.599	0.314	0.663	0.429	0.006	0.398	0.057	0.462	0.597	0.687	0.352	0.394	0.861	0.522	0.942	0.3	0.687	0.984	0.358	0.716	0.212	0.157	0.183	0.429	0.947	0.082	0.654	0.36	0.354	0.288	0.24	0.775
upper95_perm_direct	0.2287	0.1149	0.0953	0.0436	0.0142	0.0087	0.0032	0.0137	0.0059	0.0047	0.0053	0.0062	0.0039	0.0057	0.0031	0.003	0.0026	0.0051	0.0043	0.0049	0.0052	0.0064	0.0089	0.0056	0.0029	0.0078	0.0049	0.0051	0.0049	0.0096	0.0048	0.0058	0.0054	0.0043	0.0042	0.0046	0.0049	0.0055	0.0062	0.004	0.0058	0.0046	0.0048	0.006	0.0076	0.0043	0.005	0.0055	0.0081	0.0059	0.0048	0.0038	0.0045	0.0051	0.0059	0.0053	0.006	0.0046	0.0044	0.0042	0.0038	0.0036	0.0049	0.0045	0.0031	0.0069	0.0049	0.0075	0.0065	0.0061	0.0045	0.0047	0.0039	0.0059	0.0036	0.0041	0.0036	0.0062	0.0041	0.0051	0.0064	0.0036	0.0053	0.0045	0.0054	0.0072	0.0062	0.0047	0.0063	0.0034	0.0035	0.0037	0.0049	0.004	0.0038	0.0035	0.0039	0.0054	0.0052	0.0056
lower0_perm_direct	-0.0171	-0.0093	-0.0033	-0.0032	-0.0006	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0006	-0.0002	-0.0007	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0005	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002
sad_vc_estimate	0.2167	0.0485	0.0012	0.0116	0.0641	0.0021	0.01	0.0396	0.0019	0.0053	0.0046	0.0159	0.0155	0.001	-0.0001	0.0062	0.0015	-0.0001	0.0037	0.0012	0.0014	0.0176	0.0457	0.0025	0.0003	0.0012	0.0032	-0.0002	0.0045	0.0206	0.0068	0.0145	0.0026	0.0003	-0.0	0.0137	0.0014	0.0036	-0.0001	0.0065	0.0013	0.0175	-0.0001	0.0026	0.02	0.0006	-0.0001	0.0217	0.0002	0.008	0.0212	-0.0001	0.0049	0.0024	0.0002	0.0002	0.0288	0.0	0.007	0.0004	0.0068	0.0008	0.0016	0.002	0.0081	0.0207	0.0275	0.0007	0.0	0.0027	0.0002	0.0019	0.0206	0.0004	0.0038	0.0003	0.002	-0.0	0.0019	0.0029	0.002	0.0014	0.0014	0.0052	0.003	-0.0002	0.0067	0.0005	0.0097	0.005	0.0046	0.0025	0.0007	0.0106	0.0022	0.0013	0.0012	0.0067	0.0044	0.0011
sad_vc_estimate_se	0.1323	0.0708	0.026	0.0252	0.0046	0.0032	0.0023	0.0023	0.0025	0.0026	0.0015	0.0016	0.0017	0.0016	0.0015	0.0017	0.0012	0.0014	0.0014	0.0045	0.0014	0.0054	0.0039	0.0013	0.0014	0.0015	0.0018	0.0024	0.0017	0.0014	0.0013	0.0015	0.0013	0.0015	0.0015	0.0012	0.0021	0.0013	0.0015	0.0013	0.0015	0.0017	0.0013	0.0012	0.0017	0.0016	0.0015	0.0022	0.0012	0.0016	0.0022	0.0015	0.0015	0.0016	0.0013	0.0017	0.0012	0.0013	0.0012	0.0015	0.0012	0.0014	0.0012	0.0013	0.0013	0.0019	0.0014	0.0012	0.0022	0.0013	0.0016	0.0014	0.0017	0.0012	0.0015	0.0017	0.0014	0.0035	0.0011	0.0013	0.0015	0.001	0.0013	0.0013	0.0017	0.0017	0.0019	0.0012	0.0018	0.0013	0.0015	0.0014	0.0011	0.0013	0.0014	0.0016	0.0012	0.0023	0.0014	0.0015
sad_vc_pvals	0.235	0.405	0.854	0.499	0.013	0.557	0.036	0.032	0.488	0.184	0.289	0.063	0.026	0.562	0.889	0.094	0.351	0.957	0.28	0.473	0.599	0.161	0.048	0.419	0.661	0.692	0.36	0.869	0.296	0.124	0.148	0.102	0.419	0.75	0.886	0.041	0.487	0.342	0.984	0.131	0.56	0.027	0.938	0.39	0.04	0.613	0.999	0.009	0.844	0.144	0.014	0.903	0.227	0.418	0.792	0.751	0.008	0.828	0.152	0.708	0.134	0.602	0.483	0.44	0.085	0.03	0.007	0.739	0.802	0.425	0.742	0.462	0.006	0.744	0.245	0.687	0.386	0.798	0.399	0.306	0.496	0.433	0.559	0.224	0.387	0.984	0.25	0.678	0.137	0.184	0.158	0.345	0.661	0.043	0.404	0.461	0.481	0.165	0.306	0.605
upper95_perm_sad	0.7559	0.3242	0.3292	0.1529	0.0503	0.0316	0.0103	0.0392	0.0176	0.0134	0.0193	0.0216	0.0141	0.0147	0.0128	0.0102	0.0087	0.0169	0.0139	0.0162	0.02	0.0419	0.0542	0.0165	0.0104	0.0285	0.0168	0.0178	0.0186	0.0367	0.0146	0.0236	0.0193	0.0157	0.0152	0.0155	0.0145	0.0202	0.0252	0.0137	0.0183	0.0165	0.0171	0.0165	0.0218	0.0133	0.0201	0.0169	0.0312	0.0191	0.0166	0.0132	0.0151	0.0185	0.0193	0.0188	0.0202	0.0144	0.0166	0.0184	0.0142	0.0138	0.0151	0.0165	0.0126	0.0209	0.0171	0.0325	0.0205	0.018	0.0144	0.0157	0.0131	0.0218	0.0127	0.0129	0.0138	0.0196	0.0117	0.0135	0.0159	0.0113	0.0179	0.0163	0.0174	0.0256	0.0212	0.0152	0.0183	0.013	0.0108	0.0147	0.0188	0.0115	0.0155	0.0116	0.0125	0.0157	0.0194	0.0183
lower0_perm_sad	-0.0168	-0.0093	-0.0033	-0.0032	-0.0006	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0006	-0.0002	-0.0007	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0005	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002
