	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1702	-0.0209	0.0061	0.4669	0.013	0.0039	-0.0023	0.0007	-0.003	-0.0017	-0.0025	0.0036	-0.0023	0.0009	0.0157	-0.0002	0.0005	0.0005	0.0249	0.0015	-0.0015	0.0011	-0.0025	0.0015	0.0001	0.0018	-0.0014	-0.0009	0.0184	0.0058	-0.0012	0.0017	-0.0023	-0.0017	0.0024	-0.0009	-0.0001	0.0004	0.0024	-0.0019	0.0034	0.0328	0.0151	0.0107	0.0223	0.0106	-0.0017	0.048	0.0015	-0.0026	-0.0008	-0.0009	0.0292	0.0116	0.0103	-0.0005	-0.0022	0.0038	-0.002	0.029	-0.0023	0.0126	-0.0022	-0.0019	0.0106	0.0007	-0.0022	-0.0022	-0.0008	-0.0019	0.0004	0.0033	0.0028	0.0122	0.0017	-0.0022	0.0008	-0.0022	0.0083	-0.0015	-0.0017	-0.0003	0.0242	-0.0022	-0.0013	0.0034	-0.0005	-0.0019	0.0261	0.0041	-0.0023	0.0011	-0.0024	-0.0016	-0.0005	-0.0016	-0.0022	-0.0022	-0.002	-0.0027
direct_vc_estimate_se	0.0427	0.0181	0.008	0.0069	0.0015	0.0009	0.0007	0.0007	0.0006	0.0006	0.0005	0.0005	0.0007	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0005	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0005
direct_vc_pvals	0.578	0.47	0.356	0.01	0.215	0.27	0.462	0.42	0.783	0.552	0.671	0.348	0.546	0.534	0.107	0.452	0.243	0.425	0.002	0.418	0.687	0.295	0.904	0.51	0.537	0.365	0.689	0.523	0.044	0.23	0.634	0.327	0.895	0.681	0.189	0.535	0.379	0.48	0.49	0.702	0.38	0.03	0.048	0.069	0.057	0.1	0.766	0.0	0.266	0.987	0.691	0.499	0.03	0.053	0.067	0.514	0.872	0.265	0.79	0.009	0.84	0.098	0.939	0.913	0.139	0.406	0.737	0.829	0.486	0.618	0.573	0.185	0.339	0.089	0.432	0.88	0.256	0.838	0.127	0.682	0.756	0.567	0.023	0.938	0.637	0.238	0.584	0.659	0.027	0.177	0.993	0.357	0.984	0.632	0.547	0.623	0.706	0.989	0.748	0.97
upper95_perm_direct	0.9514	0.6314	0.2711	0.2841	0.0538	0.0282	0.0087	0.0236	0.0125	0.0185	0.012	0.0236	0.0134	0.0248	0.0269	0.0156	0.0064	0.0179	0.0128	0.0246	0.0155	0.0124	0.0116	0.0332	0.0239	0.0184	0.0167	0.0143	0.0218	0.0203	0.0245	0.0142	0.0097	0.0244	0.011	0.0185	0.0102	0.0194	0.036	0.0147	0.0325	0.0338	0.0175	0.0154	0.029	0.0183	0.0145	0.0253	0.0116	0.0188	0.0304	0.0082	0.0287	0.0143	0.0141	0.0164	0.0271	0.0158	0.013	0.0182	0.0107	0.022	0.0116	0.0136	0.0234	0.0212	0.0168	0.0131	0.0169	0.0118	0.0282	0.0119	0.0237	0.0193	0.0231	0.0132	0.007	0.0167	0.0179	0.0149	0.0139	0.0214	0.0215	0.0093	0.0162	0.0158	0.0173	0.0115	0.0263	0.0131	0.0125	0.0141	0.0136	0.0154	0.015	0.0173	0.0132	0.0163	0.0185	0.0176
lower0_perm_direct	-0.3474	-0.1434	-0.0647	-0.0568	-0.0119	-0.008	-0.0058	-0.0055	-0.0045	-0.0052	-0.0043	-0.004	-0.0054	-0.0039	-0.0038	-0.0039	-0.0031	-0.0037	-0.003	-0.0042	-0.0032	-0.0034	-0.0034	-0.0039	-0.0035	-0.0033	-0.0029	-0.0035	-0.0042	-0.0038	-0.004	-0.003	-0.0032	-0.0042	-0.0035	-0.0042	-0.0031	-0.0034	-0.0042	-0.0034	-0.0042	-0.0035	-0.0038	-0.0036	-0.0033	-0.0036	-0.0029	-0.0037	-0.0032	-0.0036	-0.0034	-0.0031	-0.0032	-0.0035	-0.0042	-0.0035	-0.0037	-0.0028	-0.0031	-0.0036	-0.0033	-0.0031	-0.003	-0.0026	-0.0039	-0.0041	-0.0038	-0.0034	-0.0041	-0.0037	-0.0032	-0.0035	-0.0035	-0.0031	-0.0036	-0.0032	-0.003	-0.0033	-0.0036	-0.0032	-0.003	-0.0034	-0.0036	-0.0031	-0.0031	-0.0032	-0.003	-0.0035	-0.003	-0.0031	-0.0033	-0.003	-0.0035	-0.0035	-0.0027	-0.0036	-0.0039	-0.0031	-0.0036	-0.0037
sad_vc_estimate	-0.2492	0.2269	0.034	0.9506	-0.0012	0.0262	-0.0017	0.0108	-0.0033	-0.0001	-0.0031	0.0031	-0.0005	0.0011	0.0154	-0.0005	0.0016	-0.0001	0.0381	0.0086	0.005	-0.0004	-0.0025	0.0048	0.0055	0.0021	-0.0013	-0.0025	0.0332	0.0035	-0.0001	0.0087	-0.0023	-0.0025	-0.0016	0.0014	0.0055	0.0033	0.0035	-0.002	-0.0017	0.0386	0.0263	0.0158	0.0391	0.026	-0.0013	0.0497	0.008	-0.0019	0.001	-0.0009	0.0462	0.0241	0.0048	-0.0024	-0.0002	0.0002	-0.0021	0.0424	-0.0018	0.023	-0.0018	-0.0017	0.0183	-0.0012	-0.0017	-0.0014	-0.002	-0.0006	-0.0009	0.0034	0.0142	0.0093	-0.0017	-0.0022	0.0029	0.0013	0.0149	-0.0008	-0.0003	-0.0011	0.0338	-0.0022	-0.0005	0.0029	-0.0012	-0.002	0.0254	-0.0018	-0.0004	-0.0011	-0.0024	0.0063	-0.0013	-0.0009	-0.0015	-0.0022	-0.0008	-0.002
sad_vc_estimate_se	0.0429	0.0182	0.0081	0.007	0.0015	0.0009	0.0007	0.0007	0.0006	0.0006	0.0005	0.0005	0.0007	0.0005	0.0005	0.0005	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0005	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0004	0.0005	0.0004	0.0004	0.0005
sad_vc_pvals	0.923	0.256	0.378	0.002	0.573	0.071	0.457	0.226	0.934	0.504	0.933	0.456	0.422	0.612	0.167	0.505	0.25	0.569	0.005	0.266	0.293	0.504	0.883	0.435	0.29	0.407	0.712	0.876	0.028	0.421	0.614	0.181	0.955	0.848	0.657	0.516	0.15	0.434	0.522	0.84	0.725	0.049	0.031	0.09	0.008	0.063	0.729	0.012	0.099	0.747	0.606	0.553	0.023	0.014	0.239	0.865	0.716	0.601	0.888	0.011	0.704	0.082	0.776	0.833	0.12	0.64	0.694	0.638	0.658	0.466	0.726	0.268	0.148	0.206	0.756	0.973	0.269	0.465	0.108	0.583	0.608	0.653	0.03	0.985	0.589	0.362	0.696	0.736	0.079	0.704	0.531	0.645	0.925	0.209	0.695	0.497	0.596	0.908	0.612	0.796
upper95_perm_sad	1.424	1.0173	0.3793	0.4195	0.0849	0.036	0.0137	0.0412	0.0205	0.0337	0.0204	0.0305	0.0196	0.0352	0.0348	0.0205	0.0107	0.0325	0.0205	0.0326	0.025	0.0159	0.0127	0.0478	0.0291	0.0249	0.0183	0.0163	0.0309	0.0325	0.0387	0.0203	0.0118	0.0367	0.0184	0.0357	0.0144	0.0308	0.0547	0.0255	0.0387	0.0456	0.0231	0.0255	0.0339	0.0347	0.0187	0.0419	0.0155	0.0264	0.0368	0.0142	0.0447	0.0181	0.0209	0.0303	0.0412	0.0276	0.0166	0.0304	0.0155	0.0353	0.0161	0.0168	0.0323	0.0291	0.0318	0.0182	0.0202	0.0151	0.0381	0.0196	0.0293	0.0261	0.0325	0.0187	0.0155	0.024	0.0266	0.018	0.0223	0.0268	0.0334	0.0191	0.0229	0.024	0.0222	0.0188	0.037	0.0132	0.0189	0.0225	0.016	0.0197	0.0192	0.0149	0.0157	0.0253	0.0231	0.0269
lower0_perm_sad	-0.3427	-0.1469	-0.0652	-0.0565	-0.0118	-0.008	-0.0055	-0.0056	-0.0048	-0.0053	-0.0044	-0.0039	-0.0056	-0.0041	-0.0038	-0.004	-0.0031	-0.0035	-0.0031	-0.0042	-0.0032	-0.0036	-0.0035	-0.0039	-0.0035	-0.0033	-0.0028	-0.0037	-0.0042	-0.0036	-0.0037	-0.0028	-0.0032	-0.0043	-0.0034	-0.0042	-0.0032	-0.0034	-0.0045	-0.0032	-0.004	-0.0036	-0.0037	-0.0037	-0.0033	-0.0035	-0.0028	-0.0036	-0.0034	-0.0036	-0.0035	-0.003	-0.0032	-0.0036	-0.0043	-0.0036	-0.0038	-0.0029	-0.003	-0.0037	-0.0034	-0.0031	-0.003	-0.0027	-0.004	-0.004	-0.0039	-0.0033	-0.0042	-0.0035	-0.0033	-0.0037	-0.0036	-0.0033	-0.0036	-0.0031	-0.003	-0.0035	-0.0035	-0.0031	-0.0028	-0.0033	-0.0037	-0.0032	-0.0032	-0.0032	-0.003	-0.0035	-0.0029	-0.0032	-0.0032	-0.0031	-0.0034	-0.0035	-0.0027	-0.0037	-0.0038	-0.0031	-0.0034	-0.0038
