	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-4.6092	-3.1551	0.3417	-0.0122	0.0252	0.0007	-0.0165	-0.0258	-0.0127	0.0669	-0.0487	-0.0757	-0.0062	0.0082	-0.0439	0.0018	-0.1001	-0.0427	-0.0112	0.0025	-0.006	0.0924	-0.0154	-0.0063	0.0066	-0.0214	-0.0973	-0.0202	-2.1072	-0.0885	-0.0453	-0.1718	-0.0031	-0.0659	-0.0273	-0.2175	0.0267	-0.1449	-0.0671	-0.1315	-0.0279	0.0143	0.0279	-0.0066	-0.0332	0.0083	0.0304	-0.1951	-0.0005	-0.0041	-0.0781	-0.0037	-0.0119	-0.0058	-0.038	-0.1016	-0.0037	-0.0305	0.0283	-0.0207	-0.0289	-0.0157	-0.0044	0.0108	-0.0155	-0.0091	0.0128	-0.0005	-0.0149	-0.0047	0.0002	-0.0032	-0.0154	-0.0136	-0.1266	-0.012	-0.003	-0.0083	0.0009	0.009	-0.0268	0.0017	-0.0608	0.0305	-0.0113	0.0387	0.0526	0.0043	-0.0049	0.0108	-0.0056	-0.0056	0.0125	-0.0026	0.027	-0.0073	-0.0305	-0.0256	-0.0088	-0.0161
direct_vc_estimate_se	0.4878	0.3034	0.0166	0.0492	0.0035	0.001	0.0057	0.0024	0.0012	0.0057	0.0064	0.0072	0.0007	0.0013	0.0041	0.0005	0.0098	0.0041	0.0014	0.0004	0.001	0.0009	0.0022	0.0006	0.0011	0.002	0.0096	0.002	0.194	0.0081	0.0042	0.0159	0.0024	0.0064	0.0037	0.0203	0.0004	0.0133	0.007	0.014	0.0046	0.0006	0.001	0.0024	0.0052	0.0004	0.0012	0.0217	0.001	0.0004	0.0093	0.0004	0.0011	0.0017	0.0054	0.0093	0.0004	0.0028	0.0007	0.0025	0.0027	0.0018	0.0004	0.0019	0.0016	0.0009	0.0004	0.0004	0.002	0.0005	0.0005	0.001	0.0027	0.0012	0.0118	0.0011	0.0004	0.0011	0.0058	0.001	0.0027	0.0021	0.0056	0.0012	0.0011	0.0004	0.0004	0.0005	0.0005	0.0022	0.0007	0.0005	0.0004	0.0005	0.0004	0.0008	0.0037	0.003	0.0013	0.0016
direct_vc_pvals	0.361	0.502	0.064	0.055	0.127	0.564	0.191	0.892	0.853	0.011	0.19	0.637	0.672	0.131	0.736	0.516	0.326	0.693	0.57	0.522	0.624	0.011	0.272	0.816	0.106	0.903	0.502	0.75	0.634	0.96	0.838	0.714	0.338	0.654	0.447	0.674	0.204	0.929	0.236	0.2	0.095	0.235	0.248	0.125	0.215	0.093	0.028	0.156	0.394	0.832	0.175	0.737	0.926	0.236	0.24	0.878	0.805	0.832	0.044	0.327	0.77	0.614	0.997	0.06	0.696	0.897	0.307	0.571	0.268	0.862	0.307	0.347	0.182	0.966	0.674	0.887	0.716	0.594	0.052	0.194	0.719	0.194	0.965	0.11	0.824	0.128	0.017	0.329	0.805	0.128	0.495	0.876	0.119	0.62	0.152	0.701	0.305	0.341	0.399	0.749
upper95_perm_direct	-2.0644	-1.9473	0.4386	0.0007	0.0591	0.1069	0.0405	0.0193	0.0356	0.0213	-0.0231	-0.0342	0.0243	0.0232	-0.0108	0.0468	-0.0745	0.0043	0.0298	0.0563	0.0596	0.0541	0.0027	0.0326	0.0158	0.0158	-0.0472	0.0394	-1.7644	-0.0412	-0.0032	-0.1211	0.0498	-0.0117	0.0394	-0.14	0.0627	-0.1066	-0.0492	-0.0996	-0.0211	0.0475	0.0766	0.004	-0.0019	0.0125	0.023	-0.1562	0.043	0.0336	-0.0539	0.024	0.0154	0.0215	-0.0041	-0.0517	0.0313	0.0012	0.0264	-0.0028	0.0172	0.038	0.0487	0.0136	0.027	0.0314	0.058	0.0394	-0.0009	0.0881	0.0172	0.0213	0.0058	0.0404	-0.0888	0.0254	0.0358	0.0304	0.001	0.0368	0.0232	0.0252	-0.0187	0.0528	0.015	0.0629	0.0349	0.0317	0.0292	0.0323	0.0102	0.0235	0.0231	0.0301	0.0493	0.0284	-0.007	-0.0022	0.0124	0.0299
lower0_perm_direct	-6.5649	-4.1456	-0.2229	-0.6551	-0.0465	-0.014	-0.0772	-0.0318	-0.0158	-0.0759	-0.0858	-0.096	-0.0094	-0.0178	-0.0558	-0.0066	-0.1335	-0.0552	-0.0185	-0.0049	-0.0136	-0.0127	-0.0291	-0.0082	-0.0145	-0.0261	-0.1269	-0.0278	-2.6379	-0.1084	-0.0559	-0.2131	-0.0323	-0.0857	-0.0481	-0.2758	-0.0056	-0.1774	-0.0948	-0.1864	-0.0629	-0.0073	-0.0129	-0.0322	-0.071	-0.0059	-0.0158	-0.2928	-0.0132	-0.0054	-0.1235	-0.0053	-0.0147	-0.0227	-0.0713	-0.1264	-0.0053	-0.0377	-0.0094	-0.0344	-0.0366	-0.0241	-0.0053	-0.025	-0.0217	-0.0113	-0.0048	-0.0047	-0.0259	-0.0069	-0.0073	-0.0132	-0.037	-0.0161	-0.1606	-0.0149	-0.0053	-0.0143	-0.077	-0.0138	-0.0351	-0.0275	-0.0735	-0.0161	-0.0138	-0.005	-0.0052	-0.007	-0.0068	-0.0298	-0.0099	-0.0072	-0.0054	-0.0061	-0.0049	-0.0106	-0.0492	-0.041	-0.0169	-0.0213
sad_vc_estimate	-4.4077	-3.0529	0.5993	0.2151	0.0108	-0.0032	0.0012	-0.0241	-0.013	0.1152	-0.0379	-0.077	-0.0029	0.008	-0.0439	0.0017	-0.101	-0.0433	-0.0103	0.0004	0.0094	0.1039	-0.0162	-0.0064	0.0086	-0.0213	-0.0967	-0.0203	-2.0995	-0.0885	-0.0427	-0.1687	-0.0025	-0.063	-0.0244	-0.2179	0.0446	-0.1444	-0.064	-0.1158	-0.0141	0.0222	0.0666	-0.0004	-0.0263	0.0139	0.0278	-0.1641	0.0179	-0.0031	-0.0696	-0.0043	-0.0112	-0.0038	-0.0184	-0.102	-0.0031	-0.0307	0.0225	-0.0153	-0.0298	-0.0137	-0.0037	0.0182	-0.015	-0.0092	0.0105	0.0009	0.0041	-0.003	-0.0009	0.0064	-0.0184	-0.0135	-0.1284	-0.0102	-0.004	-0.0088	0.0158	0.0058	-0.0288	0.0084	-0.0597	0.0444	-0.0111	0.0428	0.1094	0.022	-0.0055	0.0094	-0.0026	-0.0053	0.007	-0.0044	0.0394	-0.0072	-0.0302	-0.0208	-0.0076	-0.0126
sad_vc_estimate_se	0.488	0.3035	0.0166	0.0492	0.0036	0.001	0.0057	0.0024	0.0012	0.0057	0.0064	0.0072	0.0007	0.0013	0.0041	0.0005	0.0098	0.0041	0.0014	0.0004	0.001	0.0009	0.0022	0.0006	0.0011	0.002	0.0096	0.002	0.194	0.0081	0.0042	0.0159	0.0024	0.0064	0.0037	0.0203	0.0004	0.0133	0.007	0.014	0.0046	0.0006	0.001	0.0024	0.0052	0.0004	0.0012	0.0217	0.001	0.0004	0.0093	0.0004	0.0011	0.0017	0.0054	0.0093	0.0004	0.0028	0.0007	0.0025	0.0027	0.0018	0.0004	0.0019	0.0016	0.0009	0.0004	0.0004	0.002	0.0005	0.0005	0.001	0.0027	0.0012	0.0118	0.0011	0.0004	0.0011	0.0058	0.001	0.0027	0.0021	0.0056	0.0012	0.0011	0.0004	0.0004	0.0005	0.0005	0.0022	0.0007	0.0005	0.0004	0.0005	0.0004	0.0008	0.0037	0.003	0.0013	0.0016
sad_vc_pvals	0.378	0.45	0.043	0.05	0.265	0.688	0.201	0.723	0.925	0.01	0.151	0.76	0.512	0.198	0.788	0.552	0.461	0.792	0.582	0.641	0.382	0.018	0.377	0.861	0.174	0.865	0.549	0.785	0.574	0.962	0.67	0.599	0.394	0.634	0.514	0.754	0.181	0.831	0.224	0.15	0.065	0.208	0.13	0.141	0.231	0.104	0.064	0.097	0.212	0.768	0.191	0.901	0.771	0.294	0.204	0.995	0.786	0.908	0.109	0.252	0.945	0.612	0.83	0.082	0.704	0.915	0.483	0.571	0.068	0.783	0.429	0.226	0.365	0.944	0.891	0.696	0.865	0.653	0.066	0.304	0.917	0.184	0.83	0.135	0.831	0.182	0.002	0.149	0.953	0.208	0.366	0.827	0.294	0.834	0.121	0.723	0.402	0.3	0.418	0.584
upper95_perm_sad	-0.4718	-1.476	0.5725	0.2096	0.0843	0.1384	0.0783	0.0329	0.0445	0.049	-0.0085	-0.0113	0.0381	0.0342	0.0022	0.0613	-0.0629	0.0227	0.0427	0.0735	0.0922	0.0796	0.015	0.0434	0.0308	0.0341	-0.03	0.0511	-1.7127	-0.0284	0.016	-0.1029	0.0882	0.0156	0.0737	-0.1101	0.1011	-0.0951	-0.0414	-0.0803	-0.0113	0.0593	0.0972	0.0171	0.0226	0.0242	0.0314	-0.1353	0.0567	0.0553	-0.0274	0.036	0.02	0.0345	0.0252	-0.0329	0.0431	0.0129	0.0385	0.0065	0.0337	0.0564	0.0536	0.0289	0.0358	0.0433	0.0951	0.0564	0.0073	0.1116	0.0239	0.0337	0.021	0.0674	-0.0793	0.0403	0.0482	0.0415	0.026	0.0522	0.0405	0.0328	-0.0044	0.0802	0.0225	0.0967	0.0478	0.0441	0.0435	0.0587	0.0173	0.0379	0.0305	0.0483	0.0648	0.0398	0.0092	0.0105	0.019	0.039
lower0_perm_sad	-6.5451	-4.0794	-0.2183	-0.6566	-0.0468	-0.0137	-0.0773	-0.0319	-0.0159	-0.0757	-0.086	-0.0963	-0.0093	-0.0178	-0.056	-0.0066	-0.1324	-0.0542	-0.0182	-0.0049	-0.0135	-0.0123	-0.0293	-0.0083	-0.0145	-0.0268	-0.1254	-0.0273	-2.5975	-0.1086	-0.056	-0.2163	-0.0318	-0.0867	-0.0486	-0.2757	-0.0055	-0.1771	-0.0936	-0.1885	-0.0623	-0.0072	-0.0127	-0.0325	-0.07	-0.0059	-0.0163	-0.2896	-0.0131	-0.0054	-0.1269	-0.0053	-0.0146	-0.0236	-0.0719	-0.1265	-0.0049	-0.0375	-0.0093	-0.0344	-0.037	-0.0245	-0.0053	-0.0251	-0.021	-0.0113	-0.0051	-0.0047	-0.026	-0.0067	-0.0072	-0.0134	-0.0361	-0.0168	-0.159	-0.0146	-0.0052	-0.0145	-0.0768	-0.0138	-0.0345	-0.0281	-0.0738	-0.0159	-0.0141	-0.0053	-0.0051	-0.0071	-0.0067	-0.0295	-0.0098	-0.007	-0.0054	-0.0061	-0.0049	-0.0107	-0.0499	-0.0408	-0.0168	-0.0211
