	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	3.1508	-0.1497	-0.0904	-0.1037	0.0047	0.0095	0.0187	0.0115	0.0496	0.0306	0.0075	0.0087	-0.0094	0.042	-0.0046	-0.0069	-0.0101	0.0069	-0.0091	-0.0097	0.024	-0.0054	-0.0075	-0.0068	-0.0013	0.0054	-0.0084	-0.0093	-0.0123	-0.0038	-0.0083	-0.0068	0.002	-0.0072	-0.009	0.0049	-0.0041	-0.0078	-0.0103	0.0128	-0.0037	0.0181	-0.0101	-0.0091	-0.0064	-0.0065	0.0138	-0.0016	-0.0074	-0.0066	-0.0073	0.0001	-0.0046	-0.0019	0.0034	0.0033	0.0192	-0.0002	0.0326	-0.0043	0.0303	-0.01	0.0014	0.0541	-0.0021	-0.0047	0.0187	-0.0079	-0.0053	0.0113	-0.0061	0.0069	-0.0065	0.0642	-0.0007	-0.0072	-0.0083	0.0007	-0.0039	0.0256	0.0432	-0.0074	-0.0081	0.0093	-0.0038	-0.01	-0.0014	-0.0071	0.0345	0.0037	0.0085	-0.0004	0.0057	0.0176	0.0042	0.0198	-0.0103	0.0114	-0.0062	0.024
direct_vc_estimate_se	11.3034	5.2374	1.4924	1.1397	0.3415	0.2069	0.1154	0.1626	0.1264	0.1057	0.114	0.1439	0.1081	0.1163	0.1331	0.1081	0.1071	0.0848	0.098	0.1057	0.1065	0.0802	0.0844	0.0781	0.0882	0.0849	0.0801	0.0933	0.1198	0.0952	0.0828	0.1105	0.0973	0.0891	0.0872	0.1122	0.0858	0.0768	0.0977	0.1053	0.0856	0.0957	0.0974	0.087	0.0903	0.0825	0.0895	0.0908	0.1022	0.0779	0.0893	0.0987	0.0769	0.0804	0.0796	0.0807	0.0969	0.0922	0.087	0.0848	0.0979	0.0972	0.0972	0.0925	0.0954	0.0769	0.0779	0.0871	0.0811	0.0832	0.0861	0.0906	0.0971	0.0911	0.081	0.0908	0.0973	0.0919	0.0976	0.1031	0.0889	0.0997	0.0769	0.0825	0.0939	0.0958	0.0774	0.082	0.078	0.0734	0.0875	0.0791	0.0864	0.111	0.0767	0.0749	0.1039	0.085	0.0928	0.0822
direct_vc_pvals	0.062	0.444	0.5	0.712	0.321	0.237	0.079	0.202	0.059	0.041	0.22	0.237	0.709	0.027	0.458	0.574	0.726	0.191	0.735	0.731	0.075	0.536	0.702	0.721	0.383	0.212	0.98	0.844	0.893	0.518	0.833	0.529	0.343	0.627	0.895	0.276	0.463	0.874	0.982	0.17	0.488	0.118	0.901	0.919	0.541	0.663	0.108	0.393	0.624	0.643	0.637	0.377	0.497	0.398	0.265	0.264	0.097	0.379	0.048	0.525	0.043	0.887	0.329	0.022	0.416	0.561	0.083	0.739	0.597	0.203	0.591	0.262	0.521	0.004	0.336	0.625	0.664	0.313	0.475	0.068	0.014	0.617	0.987	0.167	0.436	0.965	0.395	0.686	0.018	0.294	0.18	0.353	0.217	0.14	0.3	0.06	0.817	0.192	0.59	0.08
upper95_perm_direct	3.7344	1.7069	0.3894	0.3258	0.1275	0.0685	0.0279	0.0523	0.0572	0.0281	0.0367	0.0546	0.0382	0.0331	0.0389	0.0382	0.0283	0.0311	0.031	0.0335	0.0322	0.0227	0.0289	0.0293	0.0346	0.0293	0.032	0.0399	0.0444	0.0421	0.0266	0.0332	0.041	0.0295	0.0291	0.0394	0.0272	0.0338	0.0296	0.0402	0.0355	0.0327	0.0281	0.028	0.0318	0.0336	0.0272	0.0338	0.037	0.0272	0.031	0.0357	0.0229	0.026	0.0276	0.027	0.0358	0.0416	0.0344	0.0319	0.0298	0.0294	0.0334	0.0414	0.0408	0.0308	0.028	0.0314	0.0336	0.044	0.0303	0.0418	0.0249	0.0295	0.0256	0.0312	0.0336	0.031	0.0407	0.0338	0.027	0.0415	0.0335	0.0283	0.0265	0.0355	0.0297	0.0311	0.0259	0.0359	0.0282	0.0266	0.0326	0.0413	0.0321	0.0239	0.0381	0.0341	0.0391	0.0345
lower0_perm_direct	-1.4834	-0.6715	-0.1938	-0.1528	-0.045	-0.0268	-0.0153	-0.0212	-0.017	-0.0141	-0.0148	-0.0187	-0.0144	-0.0159	-0.0171	-0.0141	-0.0141	-0.0116	-0.0124	-0.0138	-0.0143	-0.0106	-0.011	-0.0103	-0.0114	-0.0108	-0.0105	-0.0121	-0.0154	-0.0126	-0.0113	-0.0146	-0.0132	-0.0114	-0.0112	-0.0146	-0.0113	-0.0101	-0.0128	-0.0135	-0.0109	-0.0125	-0.0133	-0.0116	-0.0117	-0.0108	-0.0118	-0.0124	-0.0136	-0.0102	-0.0117	-0.0128	-0.0099	-0.0107	-0.0104	-0.0106	-0.0133	-0.0123	-0.0117	-0.0111	-0.0125	-0.0129	-0.0129	-0.012	-0.0127	-0.0102	-0.0104	-0.0118	-0.0106	-0.0112	-0.011	-0.012	-0.0129	-0.0116	-0.0106	-0.0118	-0.0133	-0.0118	-0.0128	-0.0135	-0.0116	-0.0133	-0.0101	-0.011	-0.012	-0.0131	-0.0103	-0.0108	-0.0099	-0.0097	-0.0116	-0.0105	-0.0115	-0.0145	-0.0102	-0.0098	-0.0138	-0.0111	-0.0122	-0.0107
sad_vc_estimate	3.9576	0.112	-0.1372	-0.0028	0.0212	0.0464	0.0109	0.0126	0.07	0.0331	0.0132	0.0121	-0.0094	0.0606	-0.0097	-0.0059	-0.0113	0.0282	-0.0102	-0.0071	0.0409	-0.0061	-0.0083	-0.0055	-0.0062	0.0137	-0.0068	-0.0098	-0.0125	-0.0009	-0.008	0.0	0.0026	-0.0079	-0.0091	0.0022	-0.0045	-0.0069	-0.0103	0.0286	-0.0024	0.0302	-0.0094	-0.0085	-0.0082	-0.0079	0.0233	-0.005	-0.0106	-0.0076	-0.0054	-0.0035	-0.0056	0.0028	0.0054	0.0003	0.018	-0.0015	0.0401	-0.001	0.0325	-0.0102	-0.0035	0.0341	-0.0048	-0.0031	0.0174	0.002	0.0041	0.0087	-0.0077	0.0022	-0.0091	0.0661	0.0055	-0.0065	-0.0082	0.0039	-0.0026	0.0547	0.0614	-0.0105	-0.008	0.0214	-0.0046	-0.0018	-0.0075	-0.0068	0.0462	0.0049	0.0101	-0.0033	-0.0004	0.0072	0.0001	0.0256	-0.0099	0.0208	-0.0065	0.0281
sad_vc_estimate_se	11.3338	5.2593	1.4972	1.1454	0.3429	0.2076	0.1157	0.1631	0.1269	0.1061	0.1144	0.1443	0.1085	0.1167	0.1334	0.1084	0.1074	0.0851	0.0984	0.106	0.1069	0.0805	0.0847	0.0784	0.0885	0.0852	0.0804	0.0936	0.1201	0.0955	0.0831	0.1109	0.0976	0.0894	0.0875	0.1125	0.0861	0.077	0.0979	0.1058	0.086	0.096	0.0977	0.0873	0.0906	0.0828	0.0897	0.0911	0.1025	0.0781	0.0896	0.0991	0.0772	0.0807	0.08	0.0811	0.0972	0.0925	0.0873	0.085	0.0983	0.0975	0.0975	0.0928	0.0957	0.0772	0.0782	0.0874	0.0814	0.0835	0.0864	0.0909	0.0974	0.0914	0.0813	0.0911	0.0976	0.0922	0.0979	0.1034	0.0892	0.1	0.0772	0.0827	0.0941	0.0961	0.0776	0.0823	0.0783	0.0737	0.0878	0.0794	0.0867	0.1113	0.0769	0.0751	0.1043	0.0852	0.0931	0.0824
sad_vc_pvals	0.061	0.399	0.69	0.358	0.262	0.095	0.152	0.208	0.027	0.041	0.185	0.212	0.698	0.032	0.624	0.541	0.985	0.088	0.873	0.543	0.047	0.644	0.806	0.644	0.614	0.128	0.71	0.986	0.914	0.44	0.796	0.378	0.329	0.705	0.952	0.356	0.53	0.73	0.969	0.097	0.405	0.066	0.785	0.789	0.699	0.785	0.052	0.532	0.899	0.798	0.557	0.469	0.616	0.285	0.235	0.367	0.127	0.427	0.031	0.397	0.044	0.976	0.489	0.062	0.52	0.499	0.149	0.358	0.24	0.24	0.725	0.364	0.735	0.012	0.203	0.611	0.721	0.301	0.452	0.023	0.008	0.989	0.937	0.107	0.521	0.408	0.822	0.651	0.011	0.295	0.194	0.501	0.387	0.262	0.38	0.045	0.794	0.115	0.622	0.087
upper95_perm_sad	4.7556	2.289	0.4617	0.4386	0.1246	0.071	0.0345	0.0559	0.0572	0.0323	0.0474	0.0577	0.0495	0.0521	0.0561	0.0496	0.0323	0.0408	0.0302	0.0391	0.0422	0.0336	0.0355	0.0352	0.0419	0.0305	0.0391	0.04	0.0401	0.0423	0.0351	0.0381	0.0471	0.0367	0.0338	0.0464	0.0315	0.0334	0.0342	0.0458	0.0321	0.0381	0.0384	0.0334	0.0362	0.0355	0.0259	0.0425	0.033	0.027	0.0349	0.0472	0.0269	0.0348	0.0324	0.0304	0.0354	0.0414	0.0338	0.0332	0.0317	0.0271	0.0429	0.0398	0.0443	0.0327	0.0401	0.0457	0.0301	0.0432	0.0338	0.0456	0.0276	0.0333	0.0255	0.0335	0.0342	0.0396	0.046	0.0382	0.0311	0.0529	0.0377	0.0414	0.035	0.0439	0.0431	0.032	0.0265	0.0335	0.039	0.0349	0.0334	0.0451	0.031	0.0248	0.0406	0.0467	0.0414	0.0401
lower0_perm_sad	-1.4902	-0.6766	-0.2044	-0.149	-0.0446	-0.0267	-0.0148	-0.0211	-0.0166	-0.0141	-0.0152	-0.0189	-0.0144	-0.0151	-0.0175	-0.0141	-0.014	-0.0113	-0.0131	-0.0138	-0.0137	-0.0106	-0.0112	-0.0102	-0.0115	-0.0109	-0.0105	-0.0122	-0.0156	-0.0125	-0.011	-0.0147	-0.0127	-0.0117	-0.0115	-0.0146	-0.0114	-0.0102	-0.0127	-0.0137	-0.0116	-0.0123	-0.0126	-0.0115	-0.0119	-0.0107	-0.0116	-0.0116	-0.0134	-0.0099	-0.0123	-0.0132	-0.0099	-0.0105	-0.0103	-0.0104	-0.0124	-0.0122	-0.0113	-0.0111	-0.0129	-0.0125	-0.013	-0.0122	-0.0122	-0.01	-0.0103	-0.0112	-0.0111	-0.0109	-0.0118	-0.0119	-0.0129	-0.0124	-0.0104	-0.0119	-0.0125	-0.012	-0.013	-0.0137	-0.0115	-0.0136	-0.0102	-0.0108	-0.0124	-0.0128	-0.0104	-0.0106	-0.0107	-0.0095	-0.0112	-0.0106	-0.0113	-0.0153	-0.0101	-0.0098	-0.0137	-0.0112	-0.012	-0.0109
