	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0354	0.0507	0.0257	-0.0004	-0.0008	0.0122	-0.0008	-0.0007	-0.0004	-0.0003	-0.0003	-0.0	0.0006	-0.0	-0.0005	0.0002	0.0009	0.0001	0.0016	-0.0005	0.0062	-0.0001	-0.0005	-0.0005	0.0138	-0.0001	0.003	-0.0002	0.0016	0.0043	0.0033	-0.0003	-0.0004	0.0025	-0.0002	0.0003	0.0057	0.0004	0.0014	0.0001	-0.0004	0.002	-0.0003	0.0007	0.0009	0.0009	0.0001	0.0018	0.0032	0.0006	-0.0004	0.0012	0.0023	0.0126	-0.0004	0.0003	-0.0001	0.0005	0.0011	-0.0004	-0.0003	0.0001	0.0008	0.0002	-0.0002	0.0023	-0.0004	0.0031	-0.0003	-0.0001	-0.0	0.0099	-0.0001	0.0	0.0026	-0.0002	0.0072	0.0	-0.0004	-0.0001	0.0004	-0.0001	-0.0004	-0.0004	0.0026	-0.0002	0.0	0.0003	0.001	-0.0004	-0.0003	-0.0004	0.0059	0.0002	-0.0004	0.0011	0.0018	0.0012	0.0	0.0003
direct_vc_estimate_se	0.2319	0.1284	0.052	0.0389	0.0091	0.0082	0.0051	0.0045	0.0039	0.0033	0.0034	0.0032	0.0031	0.003	0.003	0.0036	0.003	0.0029	0.0028	0.0033	0.0029	0.0024	0.003	0.0033	0.0134	0.0034	0.0062	0.0037	0.0038	0.0056	0.0029	0.003	0.0027	0.0032	0.0028	0.004	0.0031	0.0029	0.0026	0.0031	0.0032	0.0029	0.0025	0.0028	0.0031	0.0033	0.003	0.0033	0.0028	0.0028	0.0038	0.0028	0.0028	0.0031	0.003	0.0027	0.0029	0.003	0.0026	0.0024	0.0031	0.0025	0.003	0.0031	0.0025	0.0028	0.0026	0.0032	0.0022	0.0029	0.0028	0.0026	0.0028	0.0029	0.0025	0.0026	0.0026	0.0022	0.0024	0.0025	0.0025	0.0029	0.0026	0.003	0.0025	0.0021	0.0025	0.0023	0.0029	0.0026	0.0025	0.0028	0.0028	0.0026	0.0027	0.0027	0.0028	0.0025	0.0026	0.0029
direct_vc_pvals	0.906	0.288	0.197	0.624	0.686	0.034	0.981	0.909	0.73	0.7	0.694	0.555	0.382	0.585	0.937	0.474	0.31	0.449	0.193	0.803	0.034	0.543	0.923	0.857	0.059	0.578	0.278	0.685	0.329	0.199	0.114	0.728	0.964	0.165	0.661	0.527	0.021	0.416	0.286	0.603	0.797	0.189	0.837	0.316	0.224	0.459	0.551	0.443	0.143	0.319	0.785	0.289	0.104	0.002	0.883	0.437	0.606	0.534	0.315	0.896	0.773	0.401	0.398	0.468	0.704	0.102	0.955	0.155	0.887	0.611	0.503	0.018	0.616	0.587	0.106	0.63	0.015	0.461	0.935	0.616	0.413	0.679	0.897	0.862	0.112	0.74	0.553	0.45	0.358	0.868	0.719	0.926	0.04	0.571	0.969	0.31	0.223	0.096	0.568	0.466
upper95_perm_direct	0.3064	0.2327	0.0767	0.0804	0.0146	0.0123	0.0046	0.011	0.007	0.0039	0.0054	0.0045	0.005	0.005	0.0057	0.0049	0.0043	0.0036	0.0045	0.0033	0.0062	0.0024	0.0041	0.0068	0.0165	0.0051	0.0126	0.0081	0.0094	0.0128	0.006	0.0066	0.0043	0.0063	0.0055	0.0084	0.005	0.0055	0.0068	0.0065	0.0053	0.0065	0.0032	0.0042	0.0033	0.0092	0.0068	0.0139	0.0063	0.0038	0.0069	0.0059	0.0042	0.0057	0.0059	0.0047	0.0053	0.0075	0.0051	0.0043	0.0066	0.0022	0.007	0.0052	0.0057	0.0043	0.0085	0.0067	0.0035	0.0049	0.004	0.0079	0.0047	0.005	0.0044	0.0036	0.0052	0.0025	0.0049	0.004	0.0046	0.0062	0.0041	0.0078	0.0045	0.0039	0.0038	0.0046	0.0067	0.0033	0.0044	0.0055	0.006	0.0064	0.006	0.0067	0.0058	0.0025	0.005	0.005
lower0_perm_direct	-0.0532	-0.0279	-0.0119	-0.0087	-0.002	-0.0018	-0.0011	-0.0009	-0.0009	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0007	-0.0008	-0.0031	-0.0007	-0.0014	-0.0008	-0.0009	-0.0013	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0009	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0005	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0009	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0005	-0.0006	-0.0005	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007
sad_vc_estimate	-0.0287	0.2453	0.0472	-0.0027	-0.0012	0.0385	-0.0003	-0.0006	-0.0002	0.0019	-0.0005	-0.0005	0.0071	-0.0004	-0.0002	0.0001	0.0032	0.0006	0.0033	0.0018	0.0196	-0.0003	0.0016	0.0019	0.0704	0.0023	0.0212	0.002	0.0046	0.0257	0.0026	0.0077	0.0006	0.0169	0.0027	0.0014	0.0042	0.0022	0.004	0.0018	0.001	0.006	0.0003	0.0006	-0.0005	0.0155	0.0025	0.0042	0.0098	0.0048	0.0046	0.0042	0.0044	0.0271	-0.0003	0.0035	0.0005	0.0057	0.0017	-0.0	0.0054	0.0041	0.0088	-0.0004	-0.0004	0.0051	-0.0002	0.0188	0.0006	0.0006	0.0015	0.0202	0.0003	0.0035	0.0032	-0.0002	0.017	-0.0002	0.0005	-0.0	-0.0001	-0.0003	-0.0002	0.0005	0.008	0.0004	0.0021	-0.0003	0.0008	-0.0002	-0.0004	-0.0003	0.0111	0.0025	0.0015	0.0116	-0.0	0.0056	-0.0001	0.0011
sad_vc_estimate_se	0.2358	0.1305	0.0528	0.0396	0.0092	0.0083	0.0052	0.0046	0.004	0.0034	0.0035	0.0032	0.0032	0.0031	0.0031	0.0036	0.0031	0.003	0.0029	0.0034	0.003	0.0024	0.0031	0.0033	0.0136	0.0035	0.0063	0.0037	0.0039	0.0057	0.0029	0.0031	0.0027	0.0033	0.0028	0.0041	0.0032	0.003	0.0027	0.0032	0.0033	0.003	0.0025	0.0028	0.0032	0.0034	0.003	0.0034	0.0029	0.0029	0.0039	0.0029	0.0028	0.0031	0.0031	0.0027	0.0029	0.0031	0.0027	0.0025	0.0031	0.0026	0.003	0.0031	0.0026	0.0028	0.0026	0.0032	0.0022	0.0029	0.0028	0.0027	0.0028	0.0029	0.0025	0.0026	0.0027	0.0022	0.0024	0.0026	0.0026	0.0029	0.0026	0.003	0.0025	0.0021	0.0026	0.0024	0.003	0.0026	0.0026	0.0029	0.0028	0.0026	0.0028	0.0027	0.0028	0.0025	0.0026	0.0029
sad_vc_pvals	0.836	0.185	0.257	0.783	0.862	0.021	0.689	0.893	0.765	0.315	0.886	0.96	0.159	0.876	0.784	0.67	0.293	0.537	0.305	0.462	0.042	0.837	0.417	0.559	0.17	0.488	0.315	0.521	0.421	0.132	0.337	0.185	0.505	0.04	0.359	0.5	0.223	0.395	0.309	0.489	0.512	0.206	0.533	0.534	0.934	0.064	0.4	0.506	0.09	0.177	0.197	0.244	0.203	0.005	0.847	0.209	0.587	0.326	0.417	0.725	0.257	0.1	0.157	0.883	0.984	0.189	0.862	0.022	0.553	0.584	0.385	0.037	0.645	0.317	0.273	0.774	0.017	0.734	0.609	0.737	0.748	0.817	0.784	0.647	0.079	0.603	0.324	0.891	0.581	0.781	0.945	0.858	0.083	0.381	0.504	0.072	0.693	0.063	0.727	0.523
upper95_perm_sad	0.8347	0.6548	0.181	0.1954	0.0384	0.0339	0.012	0.0295	0.0201	0.01	0.0138	0.0121	0.0151	0.0114	0.0133	0.0134	0.0156	0.0099	0.0149	0.0157	0.0196	0.006	0.0132	0.0233	0.1094	0.0218	0.0631	0.0233	0.0323	0.0418	0.0133	0.0196	0.0099	0.0174	0.0181	0.0192	0.0139	0.0163	0.0163	0.0173	0.014	0.015	0.0073	0.0116	0.01	0.0197	0.0184	0.0359	0.0143	0.0123	0.0117	0.0141	0.0115	0.016	0.0148	0.0109	0.0129	0.0209	0.0114	0.0122	0.0205	0.0064	0.0192	0.0174	0.0136	0.0129	0.0226	0.0142	0.0096	0.0129	0.011	0.0203	0.0125	0.0158	0.0118	0.0087	0.0148	0.0064	0.0132	0.0111	0.0096	0.0131	0.0118	0.0167	0.0114	0.0095	0.0104	0.0148	0.0189	0.0095	0.0129	0.0151	0.0149	0.0166	0.0163	0.016	0.0096	0.0072	0.0114	0.0148
lower0_perm_sad	-0.0539	-0.0276	-0.0122	-0.0089	-0.0021	-0.0019	-0.0012	-0.001	-0.0009	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0032	-0.0007	-0.0013	-0.0008	-0.0008	-0.0012	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0009	-0.0007	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0005	-0.0006	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0006	-0.0009	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007
