	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.072	-0.05	0.1935	0.133	-0.0102	-0.0041	-0.0	-0.0032	-0.0026	-0.002	0.0127	0.002	-0.0016	0.0053	-0.0008	0.0248	-0.0013	-0.0011	0.0018	0.0556	0.0063	0.0057	0.0076	-0.0024	0.0068	-0.0024	-0.0025	0.015	-0.0003	0.0044	-0.0022	-0.0028	0.0186	0.0077	0.0016	0.021	-0.0025	0.0013	0.0023	0.0012	0.0024	0.0066	-0.0023	-0.0025	-0.0026	0.0124	-0.0	-0.001	0.0091	0.019	-0.0011	-0.0001	-0.0025	-0.0007	0.0021	-0.0003	-0.0011	0.0011	-0.0002	-0.0008	-0.0026	-0.0009	0.0038	-0.0016	-0.0023	0.0281	-0.0022	-0.0021	0.0058	0.0046	-0.0022	-0.0024	-0.0004	0.0017	0.0004	0.0624	-0.0009	0.0071	-0.0022	0.0135	0.0064	-0.0021	0.0433	0.0028	0.0028	0.0076	-0.0023	0.0015	-0.0011	0.0015	-0.002	-0.0014	0.004	-0.0009	-0.001	0.0006	-0.0022	0.0031	0.0026	-0.0024
direct_vc_estimate_se	0.4327	0.3357	0.1343	0.0877	0.0312	0.014	0.0128	0.0125	0.0105	0.0109	0.0104	0.01	0.0083	0.0095	0.008	0.0086	0.0079	0.008	0.0085	0.0082	0.0077	0.0077	0.0074	0.0079	0.0081	0.0094	0.0083	0.0092	0.0088	0.0081	0.0076	0.0097	0.0074	0.0096	0.0079	0.0083	0.008	0.0076	0.008	0.0085	0.0082	0.0086	0.0073	0.0076	0.0081	0.0076	0.0087	0.0077	0.0077	0.007	0.0088	0.0089	0.0081	0.0077	0.0072	0.0081	0.0073	0.0075	0.0077	0.0077	0.008	0.008	0.0073	0.0068	0.0071	0.0073	0.0074	0.0079	0.008	0.0076	0.0077	0.0072	0.0073	0.0079	0.0083	0.0079	0.0075	0.008	0.0077	0.0073	0.0079	0.0074	0.0078	0.0078	0.0077	0.0075	0.0078	0.008	0.0076	0.0072	0.0082	0.0077	0.0082	0.008	0.0077	0.0074	0.0073	0.0073	0.0073	0.0074
direct_vc_pvals	0.526	0.485	0.06	0.06	0.922	0.734	0.309	0.729	0.669	0.576	0.084	0.316	0.582	0.175	0.445	0.005	0.582	0.56	0.3	0.003	0.115	0.146	0.119	0.843	0.16	0.736	0.835	0.073	0.439	0.202	0.798	0.799	0.031	0.17	0.352	0.023	0.832	0.363	0.342	0.385	0.284	0.184	0.898	0.951	0.876	0.078	0.449	0.566	0.1	0.025	0.587	0.469	0.828	0.553	0.316	0.494	0.592	0.351	0.439	0.543	0.897	0.542	0.25	0.675	0.884	0.014	0.81	0.731	0.202	0.242	0.776	0.969	0.493	0.329	0.402	0.0	0.564	0.16	0.78	0.066	0.189	0.745	0.0	0.278	0.301	0.105	0.795	0.347	0.556	0.356	0.686	0.609	0.254	0.545	0.57	0.413	0.796	0.282	0.285	0.93
upper95_perm_direct	0.9056	0.6858	0.4086	0.2702	0.1737	0.04	0.0233	0.0559	0.0305	0.0301	0.0323	0.0332	0.03	0.0309	0.0192	0.0217	0.023	0.0272	0.0238	0.0393	0.0212	0.0265	0.0263	0.0279	0.029	0.0395	0.0266	0.0348	0.0329	0.0297	0.0327	0.0381	0.0293	0.0363	0.0341	0.0311	0.0283	0.0256	0.0348	0.0334	0.0294	0.0325	0.0307	0.0313	0.0291	0.0297	0.0276	0.0257	0.0253	0.0275	0.0403	0.032	0.0307	0.0275	0.0274	0.0319	0.0289	0.0269	0.0267	0.0262	0.0263	0.0283	0.0262	0.0277	0.0265	0.0299	0.0273	0.0322	0.0305	0.0327	0.0271	0.0237	0.028	0.0307	0.0276	0.0264	0.0289	0.0308	0.0309	0.0296	0.0285	0.0295	0.0241	0.0293	0.0285	0.0232	0.0278	0.0269	0.0267	0.0278	0.0285	0.0333	0.0289	0.0296	0.0236	0.0293	0.0261	0.0305	0.0276	0.0254
lower0_perm_direct	-0.3115	-0.248	-0.0958	-0.0627	-0.0224	-0.0102	-0.0093	-0.0092	-0.0074	-0.0079	-0.0075	-0.0074	-0.006	-0.0067	-0.0058	-0.0061	-0.0058	-0.0057	-0.0062	-0.0058	-0.0056	-0.0056	-0.0052	-0.0057	-0.0059	-0.0068	-0.006	-0.0067	-0.0066	-0.0058	-0.0054	-0.007	-0.0054	-0.0068	-0.0056	-0.0058	-0.0058	-0.0054	-0.0058	-0.0061	-0.0059	-0.0062	-0.0051	-0.0054	-0.0061	-0.0056	-0.0062	-0.0058	-0.0056	-0.005	-0.0064	-0.0062	-0.0058	-0.0055	-0.0051	-0.0059	-0.0053	-0.0054	-0.0057	-0.0055	-0.0058	-0.0057	-0.0051	-0.005	-0.0052	-0.0053	-0.0054	-0.0057	-0.0058	-0.0055	-0.0055	-0.0052	-0.0053	-0.0057	-0.006	-0.0059	-0.0055	-0.006	-0.0056	-0.0053	-0.0058	-0.0052	-0.0056	-0.0056	-0.0054	-0.0053	-0.0057	-0.0057	-0.0054	-0.0052	-0.006	-0.0056	-0.006	-0.0058	-0.0056	-0.0052	-0.0053	-0.0052	-0.0053	-0.0053
sad_vc_estimate	0.2324	0.0181	0.0074	0.3499	0.0811	0.0002	0.0003	0.081	-0.0033	0.0056	0.0451	-0.0033	-0.0026	0.0191	-0.0019	0.0343	-0.0019	-0.0002	0.0055	0.0752	0.0073	0.0127	0.0157	-0.0021	0.0063	-0.0007	-0.0022	0.0144	0.0049	0.003	-0.0013	-0.0029	0.0158	0.0074	0.0025	0.0324	-0.0017	0.0023	0.016	0.0014	-0.0026	0.0148	-0.0007	-0.002	-0.0025	0.0166	0.0069	0.002	0.0163	0.02	-0.0028	-0.0028	-0.0024	0.0005	0.002	-0.0015	-0.0021	-0.0003	0.0046	0.0018	-0.0005	0.0028	0.001	0.0042	-0.0022	0.0352	-0.002	0.0003	0.0083	0.0123	-0.0019	-0.0024	0.0027	0.0122	0.0008	0.0722	-0.0026	0.0052	-0.0007	0.0191	0.0096	-0.0018	0.0425	0.0013	0.0053	0.0047	-0.0018	0.0011	-0.0022	-0.0017	-0.0025	-0.002	0.0016	-0.0009	-0.001	0.001	-0.0025	0.0084	0.0113	-0.0011
sad_vc_estimate_se	0.4485	0.3462	0.1376	0.0902	0.0321	0.0144	0.0131	0.0129	0.0108	0.0112	0.0107	0.0103	0.0085	0.0097	0.0082	0.0088	0.0081	0.0082	0.0088	0.0085	0.0079	0.0079	0.0076	0.0081	0.0083	0.0096	0.0085	0.0094	0.0091	0.0084	0.0078	0.0099	0.0076	0.0098	0.0082	0.0085	0.0082	0.0078	0.0082	0.0087	0.0084	0.0088	0.0075	0.0078	0.0083	0.0078	0.0089	0.0079	0.008	0.0072	0.0091	0.0091	0.0083	0.0079	0.0074	0.0083	0.0075	0.0077	0.0079	0.0079	0.0082	0.0082	0.0075	0.0071	0.0073	0.0075	0.0076	0.0081	0.0082	0.0078	0.0079	0.0074	0.0075	0.0081	0.0085	0.0081	0.0077	0.0082	0.008	0.0075	0.0081	0.0077	0.008	0.008	0.0079	0.0077	0.008	0.0082	0.0078	0.0074	0.0084	0.0079	0.0084	0.0083	0.008	0.0076	0.0076	0.0075	0.0075	0.0076
sad_vc_pvals	0.151	0.348	0.386	0.007	0.118	0.425	0.333	0.014	0.839	0.192	0.004	0.915	0.854	0.039	0.663	0.006	0.67	0.487	0.185	0.002	0.128	0.076	0.042	0.737	0.234	0.565	0.731	0.1	0.266	0.314	0.633	0.797	0.072	0.219	0.326	0.02	0.642	0.32	0.131	0.397	0.852	0.073	0.559	0.748	0.875	0.072	0.214	0.367	0.052	0.063	0.862	0.861	0.8	0.446	0.372	0.617	0.812	0.491	0.223	0.319	0.506	0.309	0.443	0.329	0.849	0.005	0.743	0.509	0.148	0.146	0.668	0.869	0.354	0.077	0.416	0.001	0.999	0.226	0.523	0.051	0.137	0.728	0.002	0.392	0.228	0.238	0.703	0.447	0.762	0.708	0.837	0.786	0.382	0.545	0.586	0.388	0.988	0.196	0.124	0.578
upper95_perm_sad	1.1252	0.8395	0.3596	0.3239	0.241	0.0477	0.0253	0.0969	0.0381	0.0304	0.0364	0.0445	0.0319	0.0323	0.026	0.0268	0.0242	0.0308	0.027	0.0514	0.0249	0.0312	0.0275	0.0323	0.0383	0.0452	0.037	0.0432	0.0388	0.0356	0.0415	0.045	0.0354	0.0454	0.0351	0.0387	0.0314	0.0343	0.0561	0.0378	0.0339	0.0349	0.0373	0.0362	0.0412	0.037	0.036	0.0325	0.0317	0.041	0.0457	0.0439	0.0374	0.0335	0.0308	0.0358	0.0372	0.03	0.0319	0.0299	0.036	0.031	0.0329	0.0465	0.0349	0.0345	0.0323	0.039	0.0355	0.0483	0.0316	0.0321	0.0355	0.027	0.039	0.0301	0.0319	0.029	0.0363	0.0367	0.0361	0.0399	0.0328	0.0336	0.0349	0.0297	0.0305	0.0366	0.033	0.0345	0.0357	0.0479	0.0368	0.0359	0.0318	0.0268	0.0319	0.0431	0.0425	0.028
lower0_perm_sad	-0.3305	-0.251	-0.0972	-0.0636	-0.0226	-0.0105	-0.0092	-0.0092	-0.0078	-0.008	-0.0077	-0.0074	-0.0062	-0.0068	-0.0059	-0.0065	-0.0058	-0.0058	-0.0062	-0.0062	-0.0057	-0.0057	-0.0055	-0.0058	-0.0062	-0.007	-0.0063	-0.0069	-0.0065	-0.0061	-0.0057	-0.0074	-0.0055	-0.0072	-0.0059	-0.0062	-0.006	-0.0057	-0.006	-0.0064	-0.0062	-0.0064	-0.0054	-0.0056	-0.006	-0.0054	-0.0064	-0.0055	-0.0058	-0.0053	-0.0065	-0.0066	-0.0059	-0.0058	-0.0054	-0.0059	-0.0054	-0.0057	-0.0057	-0.0057	-0.0061	-0.0059	-0.0053	-0.0051	-0.0054	-0.0051	-0.0055	-0.0058	-0.0059	-0.0055	-0.0058	-0.0053	-0.0056	-0.0061	-0.0064	-0.0058	-0.0055	-0.006	-0.0056	-0.0055	-0.006	-0.0054	-0.0059	-0.0057	-0.0056	-0.0058	-0.0059	-0.006	-0.0058	-0.0053	-0.0059	-0.0056	-0.006	-0.0059	-0.0056	-0.0054	-0.0057	-0.0054	-0.0055	-0.0054
