	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.143	-0.0011	-0.0077	0.0367	0.02	-0.0024	-0.008	-0.0024	0.0191	0.0117	-0.0078	-0.0049	0.019	0.0017	-0.0009	0.0208	-0.0071	-0.0079	0.0098	-0.0052	-0.0067	0.0676	-0.0051	-0.0026	0.0305	-0.0009	-0.0063	-0.0052	0.0102	0.0022	0.0113	-0.002	-0.0063	-0.0061	0.0012	0.0103	0.0195	-0.0036	-0.0057	-0.0001	0.0089	-0.0052	-0.0091	0.0511	0.0344	0.0383	-0.001	-0.0046	-0.0023	-0.0053	-0.0043	-0.0033	-0.0009	-0.0051	0.0047	-0.005	0.0271	-0.0034	-0.0055	0.0156	-0.0007	0.0383	0.0023	-0.0013	0.0494	-0.0007	0.0051	0.0495	0.0303	0.0506	0.0189	-0.004	0.0677	-0.0046	0.0044	0.048	0.0753	0.0072	-0.0066	0.001	-0.0075	-0.007	-0.0053	-0.0019	-0.0078	0.0405	0.0137	-0.0045	0.0139	0.0293	-0.0019	-0.0035	0.0153	-0.0016	0.0782	0.0021	0.0009	-0.0069	0.0506	0.0097
direct_vc_estimate_se	0.0187	0.0121	0.0081	0.0088	0.0122	0.0254	0.0114	0.0056	0.0193	0.0063	0.0083	0.0055	0.021	0.0112	0.0151	0.008	0.0093	0.0093	0.0057	0.0059	0.0075	0.0154	0.0053	0.0064	0.0072	0.0058	0.0062	0.0054	0.0061	0.0082	0.0059	0.0057	0.0063	0.0061	0.0069	0.0061	0.0139	0.0049	0.0063	0.0053	0.005	0.007	0.01	0.0231	0.0066	0.0083	0.0066	0.0054	0.007	0.0052	0.0062	0.0055	0.0061	0.0051	0.0053	0.0054	0.0152	0.0087	0.0072	0.009	0.0057	0.0059	0.0066	0.0161	0.0052	0.0051	0.0155	0.0079	0.0085	0.0072	0.009	0.0084	0.0217	0.006	0.0067	0.0077	0.0058	0.0099	0.0072	0.0068	0.0131	0.0069	0.0053	0.0075	0.0077	0.0046	0.0069	0.006	0.0055	0.0046	0.0057	0.0048	0.0095	0.0054	0.0064	0.0109	0.0066	0.0073	0.0199	0.0078
direct_vc_pvals	0.023	0.496	0.825	0.087	0.238	0.75	0.657	0.565	0.435	0.257	0.896	0.825	0.484	0.538	0.675	0.15	0.751	0.821	0.173	0.8	0.8	0.085	0.86	0.624	0.054	0.493	0.97	0.871	0.16	0.483	0.192	0.516	0.899	0.933	0.354	0.225	0.324	0.685	0.769	0.395	0.218	0.714	0.878	0.242	0.058	0.106	0.483	0.807	0.552	0.982	0.695	0.593	0.504	0.96	0.291	0.843	0.293	0.572	0.755	0.268	0.487	0.048	0.386	0.701	0.013	0.503	0.553	0.04	0.127	0.031	0.232	0.617	0.125	0.695	0.39	0.047	0.003	0.456	0.824	0.407	0.743	0.977	0.939	0.574	0.992	0.021	0.299	0.669	0.142	0.072	0.554	0.695	0.272	0.587	0.013	0.586	0.44	0.852	0.17	0.312
upper95_perm_direct	0.1502	0.0883	0.056	0.0658	0.0893	0.1658	0.0712	0.0476	0.1391	0.0582	0.0981	0.0642	0.1438	0.0992	0.1057	0.06	0.0773	0.0767	0.0352	0.0669	0.0543	0.1153	0.0379	0.0599	0.0447	0.0463	0.0495	0.0375	0.0334	0.0677	0.0436	0.0402	0.0436	0.0553	0.0381	0.0521	0.1099	0.0381	0.0347	0.0329	0.0415	0.0595	0.0688	0.1419	0.0512	0.0732	0.0498	0.0602	0.054	0.0474	0.055	0.0313	0.0536	0.0432	0.0344	0.0451	0.1089	0.0592	0.0761	0.0709	0.0489	0.0514	0.0515	0.1132	0.0464	0.0518	0.1056	0.0644	0.0687	0.0591	0.075	0.0721	0.1421	0.0418	0.0638	0.0639	0.0454	0.1023	0.061	0.0457	0.0983	0.0414	0.0461	0.072	0.059	0.0357	0.0825	0.0444	0.0385	0.0463	0.0421	0.0346	0.0764	0.0623	0.0628	0.0792	0.0468	0.0596	0.1236	0.0761
lower0_perm_direct	-0.0308	-0.0203	-0.0139	-0.0146	-0.0206	-0.0406	-0.0202	-0.0103	-0.0317	-0.0106	-0.0134	-0.0093	-0.0323	-0.0182	-0.0233	-0.0136	-0.0157	-0.0152	-0.0093	-0.0099	-0.0119	-0.0255	-0.009	-0.0102	-0.0119	-0.0098	-0.011	-0.0092	-0.0103	-0.0126	-0.0099	-0.0093	-0.0105	-0.0112	-0.0125	-0.0099	-0.0226	-0.0087	-0.0116	-0.0096	-0.0081	-0.0123	-0.0166	-0.0376	-0.011	-0.0137	-0.0109	-0.0087	-0.013	-0.0087	-0.0101	-0.009	-0.0101	-0.0086	-0.0097	-0.0091	-0.0259	-0.0138	-0.0115	-0.0165	-0.0097	-0.0097	-0.0119	-0.0254	-0.0088	-0.0083	-0.0258	-0.0128	-0.0142	-0.0117	-0.0146	-0.0139	-0.0336	-0.01	-0.0108	-0.0127	-0.0105	-0.0177	-0.0116	-0.0121	-0.0215	-0.0117	-0.0085	-0.0118	-0.0126	-0.0077	-0.0115	-0.0111	-0.0091	-0.0076	-0.0093	-0.0081	-0.0158	-0.0088	-0.0107	-0.0181	-0.0111	-0.012	-0.0323	-0.0133
sad_vc_estimate	0.4125	0.0405	-0.0081	0.0647	0.0013	0.0065	-0.0043	-0.0049	-0.0041	0.022	-0.0043	-0.0041	0.0003	0.0019	0.0055	0.0285	-0.0086	-0.0052	0.0013	0.0066	-0.0058	0.0381	-0.0054	0.0029	0.05	-0.0045	-0.0005	-0.0055	0.0116	-0.0035	0.0138	0.0071	-0.0051	-0.0054	0.0122	0.0073	0.0028	0.0033	-0.0039	-0.002	-0.0051	-0.0054	-0.0097	0.0584	0.0417	0.035	-0.0039	-0.0051	0.0032	-0.0046	-0.0058	0.0017	-0.0049	-0.0051	0.0029	-0.0037	0.0335	0.0112	-0.0046	0.0046	-0.0005	0.0345	0.0385	-0.0056	0.0428	-0.0009	0.0181	0.0741	0.0194	0.0566	0.0076	-0.0073	0.0643	-0.0061	-0.0029	0.0834	0.0879	0.0331	-0.0069	-0.0023	-0.012	0.0063	0.0127	0.0034	-0.0072	0.0699	0.0206	-0.0038	0.018	0.0723	-0.0054	-0.0049	0.0556	0.0031	0.1241	0.0271	0.0102	-0.006	0.0429	0.0131
sad_vc_estimate_se	0.0189	0.0122	0.0082	0.0089	0.0122	0.0255	0.0114	0.0056	0.0194	0.0064	0.0083	0.0056	0.0211	0.0113	0.0152	0.0081	0.0094	0.0093	0.0058	0.006	0.0076	0.0155	0.0054	0.0064	0.0073	0.0058	0.0063	0.0055	0.0061	0.0083	0.0059	0.0057	0.0064	0.0062	0.0069	0.0062	0.014	0.0049	0.0064	0.0053	0.0051	0.0071	0.01	0.0232	0.0066	0.0084	0.0067	0.0054	0.0071	0.0053	0.0062	0.0056	0.0062	0.0052	0.0054	0.0055	0.0152	0.0088	0.0073	0.009	0.0057	0.006	0.0067	0.0161	0.0052	0.0051	0.0156	0.008	0.0085	0.0072	0.0091	0.0084	0.0217	0.0061	0.0067	0.0078	0.0058	0.01	0.0072	0.0069	0.0131	0.007	0.0053	0.0075	0.0078	0.0046	0.007	0.0061	0.0056	0.0046	0.0057	0.0049	0.0096	0.0055	0.0064	0.0109	0.0067	0.0074	0.0199	0.0079
sad_vc_pvals	0.004	0.168	0.916	0.05	0.485	0.687	0.578	0.823	0.71	0.23	0.697	0.855	0.652	0.541	0.579	0.173	0.861	0.68	0.484	0.46	0.72	0.257	0.984	0.444	0.056	0.725	0.525	0.935	0.246	0.634	0.227	0.335	0.737	0.813	0.211	0.355	0.522	0.389	0.629	0.56	0.968	0.741	0.908	0.243	0.086	0.144	0.678	0.912	0.417	0.803	0.865	0.456	0.743	0.924	0.411	0.726	0.272	0.284	0.759	0.485	0.525	0.079	0.062	0.723	0.053	0.601	0.412	0.024	0.26	0.089	0.403	0.838	0.188	0.972	0.634	0.024	0.017	0.28	0.877	0.558	0.885	0.338	0.263	0.483	0.867	0.008	0.295	0.653	0.178	0.02	0.865	0.932	0.071	0.494	0.006	0.215	0.289	0.796	0.29	0.341
upper95_perm_sad	0.2817	0.1313	0.069	0.0873	0.1201	0.1896	0.1024	0.0782	0.1709	0.1017	0.1213	0.1042	0.1699	0.1124	0.1398	0.0853	0.1086	0.0882	0.0584	0.0952	0.0807	0.1451	0.0745	0.0718	0.0707	0.0582	0.0695	0.0535	0.0593	0.085	0.0678	0.066	0.058	0.0713	0.0596	0.0713	0.1613	0.0511	0.0563	0.0545	0.0729	0.083	0.1013	0.1766	0.0767	0.0936	0.0687	0.0997	0.0745	0.0746	0.0686	0.0513	0.0605	0.0574	0.0551	0.066	0.1309	0.0815	0.1137	0.0904	0.0598	0.0619	0.059	0.1527	0.0608	0.0781	0.1391	0.0826	0.0885	0.0991	0.0929	0.1012	0.1625	0.0679	0.0861	0.0881	0.0837	0.1487	0.07	0.0533	0.1369	0.0572	0.0656	0.0987	0.0762	0.0558	0.1233	0.061	0.0579	0.0703	0.0605	0.0604	0.0882	0.0896	0.0897	0.0913	0.0673	0.0891	0.1576	0.0951
lower0_perm_sad	-0.0348	-0.0193	-0.0141	-0.0163	-0.0203	-0.0413	-0.0191	-0.0093	-0.0357	-0.0117	-0.014	-0.0087	-0.0345	-0.0188	-0.0241	-0.0131	-0.0157	-0.0164	-0.0097	-0.0101	-0.0124	-0.025	-0.0088	-0.0103	-0.0118	-0.0093	-0.0103	-0.0098	-0.0103	-0.0135	-0.0099	-0.0093	-0.0105	-0.0101	-0.0116	-0.0101	-0.0233	-0.0091	-0.0109	-0.009	-0.0086	-0.0116	-0.0182	-0.0371	-0.0108	-0.0138	-0.0122	-0.0091	-0.0116	-0.0087	-0.01	-0.0091	-0.0103	-0.0086	-0.0085	-0.009	-0.0252	-0.0144	-0.0122	-0.0147	-0.0097	-0.0107	-0.0122	-0.0255	-0.0084	-0.0085	-0.0254	-0.0134	-0.0145	-0.0115	-0.0144	-0.0137	-0.0361	-0.0097	-0.0124	-0.0123	-0.0094	-0.0162	-0.0121	-0.0111	-0.0216	-0.0118	-0.0089	-0.0118	-0.013	-0.0075	-0.0113	-0.0101	-0.0094	-0.0075	-0.0092	-0.009	-0.0156	-0.0101	-0.0108	-0.0178	-0.0108	-0.0121	-0.0324	-0.0127
