	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0421	0.0148	0.0062	0.0087	0.0025	0.0001	0.0004	0.0441	0.003	0.0371	0.0581	0.0183	0.0002	0.0071	-0.0003	0.0042	-0.0003	0.0031	-0.0001	0.0047	0.0272	0.0037	0.0017	-0.001	0.0007	-0.0007	0.0038	0.0047	0.0041	0.0001	-0.0011	-0.0002	0.0078	-0.0009	0.0035	-0.0	0.0107	0.0007	-0.0003	-0.001	0.0027	0.001	0.0057	0.0168	0.0044	-0.0003	0.0017	0.007	0.0015	0.0055	0.019	0.0043	-0.0011	0.0005	0.0067	-0.0008	-0.0005	0.0052	0.0193	-0.0002	0.0004	0.0119	0.0077	0.002	-0.0004	0.0213	0.0005	0.0038	0.0065	0.0197	-0.0006	-0.0004	0.0006	-0.0007	0.0034	0.0022	-0.0008	0.0079	0.0047	-0.0006	0.0061	0.0011	0.0027	0.006	0.0014	0.01	0.0135	0.0226	0.0183	-0.0008	0.0008	0.0053	0.0004	-0.0006	0.0238	-0.0001	0.0082	-0.0007	0.0127	0.0002
direct_vc_estimate_se	0.0021	0.0005	0.0003	0.0002	0.0004	0.0003	0.0005	0.0004	0.0004	0.0005	0.0003	0.0004	0.0002	0.0004	0.0002	0.0003	0.0001	0.0002	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0001	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0004	0.0002	0.0002	0.0003	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0004	0.0002	0.0005	0.0002	0.0001	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0003	0.0003	0.0001	0.0001	0.0002	0.0003	0.0002
direct_vc_pvals	0.258	0.036	0.168	0.051	0.435	0.673	0.56	0.133	0.225	0.038	0.032	0.653	0.546	0.127	0.637	0.247	0.875	0.54	0.719	0.76	0.072	0.124	0.789	0.967	0.256	0.757	0.157	0.125	0.533	0.662	0.959	0.519	0.302	0.92	0.178	0.947	0.666	0.618	0.682	0.972	0.554	0.442	0.077	0.015	0.255	0.708	0.632	0.676	0.402	0.811	0.249	0.243	0.842	0.6	0.05	0.772	0.607	0.495	0.357	0.653	0.594	0.047	0.014	0.494	0.888	0.349	0.493	0.179	0.241	0.366	0.804	0.972	0.548	0.729	0.593	0.495	0.953	0.75	0.285	0.918	0.359	0.572	0.315	0.526	0.507	0.095	0.228	0.024	0.09	0.819	0.727	0.042	0.643	0.929	0.168	0.416	0.002	0.874	0.14	0.873
upper95_perm_direct	0.1279	0.0129	0.0123	0.0084	0.0175	0.0186	0.016	0.0565	0.0071	0.0335	0.0509	0.0721	0.0069	0.0103	0.0061	0.0118	0.0076	0.0117	0.0125	0.0644	0.029	0.0054	0.0263	0.0286	0.003	0.0094	0.0076	0.0067	0.0142	0.0126	0.0143	0.0035	0.0163	0.0168	0.0069	0.0175	0.0379	0.0083	0.0121	0.008	0.0108	0.0096	0.0066	0.0122	0.0108	0.0129	0.0254	0.0476	0.0093	0.0207	0.0477	0.0093	0.0171	0.0083	0.0064	0.0135	0.0034	0.0235	0.0478	0.0064	0.0112	0.0114	0.0058	0.0147	0.0087	0.0315	0.0085	0.0082	0.0125	0.0564	0.0039	0.0116	0.0069	0.0118	0.0182	0.0113	0.0212	0.0294	0.0147	0.0067	0.0135	0.0064	0.0094	0.0166	0.0137	0.0122	0.021	0.0173	0.0204	0.0172	0.0127	0.0045	0.009	0.0224	0.0323	0.001	0.0038	0.029	0.0165	0.0158
lower0_perm_direct	-0.0086	-0.0021	-0.0013	-0.0009	-0.0014	-0.0012	-0.0018	-0.0017	-0.0017	-0.0022	-0.0013	-0.001	-0.001	-0.0014	-0.0009	-0.0012	-0.0006	-0.0009	-0.0012	-0.0012	-0.001	-0.0007	-0.0011	-0.0012	-0.0009	-0.0011	-0.0012	-0.0011	-0.0011	-0.001	-0.0012	-0.0009	-0.001	-0.0012	-0.001	-0.001	-0.001	-0.0007	-0.0011	-0.0011	-0.0011	-0.001	-0.0006	-0.001	-0.0007	-0.0011	-0.0011	-0.001	-0.0009	0.0006	-0.0013	-0.0009	-0.0017	-0.0009	-0.0008	-0.0014	-0.001	-0.001	-0.0014	-0.0007	-0.0007	-0.0012	-0.0009	-0.0011	-0.0007	0.0	-0.0012	-0.0015	-0.001	-0.0019	-0.0007	-0.0004	-0.0007	-0.0012	-0.001	-0.0009	-0.001	0.0003	-0.001	-0.0008	-0.0008	-0.0007	-0.0005	-0.0008	-0.0008	-0.0011	-0.0009	-0.0008	-0.0012	-0.0013	-0.0007	-0.0008	-0.0006	-0.0011	-0.0011	-0.0004	-0.0006	-0.001	-0.0013	-0.0008
sad_vc_estimate	0.1775	0.0283	0.009	0.0322	0.0007	-0.0003	0.0073	0.0634	0.0126	0.0799	0.0993	0.0497	-0.0005	0.0032	0.0047	0.0049	0.0035	0.0073	0.0082	0.0076	0.0696	0.0024	0.0103	0.0004	0.0096	-0.0005	0.0039	0.037	0.0138	-0.0006	0.0033	0.0	0.0243	0.0057	0.0035	0.0055	0.003	-0.0006	0.0019	-0.0008	0.0043	0.0062	0.0215	0.0422	0.0204	0.001	-0.001	0.0148	0.0004	0.0134	0.0138	0.0111	0.0023	0.0003	0.009	0.0007	0.0051	0.0116	0.0367	0.0007	0.0036	0.0067	0.0288	0.0052	-0.0005	0.0439	0.0025	0.0043	0.0078	0.0164	-0.0001	-0.0003	0.0074	-0.0005	0.004	0.0014	0.0027	0.0281	0.0053	-0.0006	0.0103	0.004	0.006	0.0257	0.011	0.0345	0.0174	0.0244	0.0689	-0.0009	0.0111	0.0027	0.0037	0.0004	0.0568	0.0014	0.0243	-0.0	0.0417	-0.0006
sad_vc_estimate_se	0.0022	0.0005	0.0003	0.0002	0.0004	0.0003	0.0005	0.0004	0.0004	0.0006	0.0003	0.0004	0.0002	0.0004	0.0002	0.0003	0.0001	0.0002	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0001	0.0002	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0004	0.0002	0.0002	0.0003	0.0002	0.0002	0.0004	0.0002	0.0002	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0004	0.0002	0.0005	0.0002	0.0001	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0003	0.0003	0.0001	0.0002	0.0002	0.0003	0.0002
sad_vc_pvals	0.242	0.221	0.303	0.039	0.663	0.836	0.559	0.285	0.345	0.084	0.039	0.563	0.854	0.533	0.286	0.481	0.643	0.642	0.513	0.71	0.113	0.472	0.552	0.756	0.096	0.809	0.321	0.006	0.538	0.865	0.546	0.66	0.176	0.686	0.459	0.92	0.953	0.949	0.649	0.853	0.674	0.354	0.034	0.049	0.198	0.576	0.96	0.648	0.707	0.658	0.509	0.235	0.508	0.697	0.143	0.682	0.262	0.452	0.332	0.658	0.561	0.338	0.035	0.559	0.885	0.346	0.571	0.318	0.425	0.55	0.735	0.923	0.208	0.822	0.627	0.751	0.679	0.445	0.425	0.903	0.378	0.434	0.394	0.142	0.32	0.098	0.406	0.124	0.031	0.913	0.358	0.268	0.481	0.831	0.181	0.302	0.007	0.677	0.108	0.92
upper95_perm_sad	0.5163	0.0619	0.0318	0.0287	0.0368	0.0421	0.0796	0.1158	0.0332	0.0918	0.0912	0.1849	0.0313	0.0216	0.0172	0.0272	0.0211	0.0442	0.0463	0.1345	0.0819	0.0136	0.0653	0.0322	0.012	0.0278	0.0161	0.0239	0.0494	0.0429	0.0344	0.0138	0.0398	0.048	0.0241	0.0432	0.08	0.0211	0.0446	0.0142	0.0309	0.0233	0.0178	0.0405	0.0341	0.0222	0.0509	0.1139	0.0197	0.0423	0.0882	0.0276	0.0278	0.027	0.0165	0.0335	0.0136	0.0486	0.1293	0.0227	0.036	0.0264	0.0253	0.0476	0.0189	0.0785	0.0309	0.019	0.0369	0.1584	0.0094	0.0333	0.0158	0.0365	0.0469	0.0405	0.0383	0.0524	0.0248	0.0133	0.0289	0.0158	0.0271	0.0335	0.0394	0.0423	0.0445	0.031	0.061	0.046	0.026	0.009	0.026	0.0436	0.0858	0.0056	0.0148	0.0649	0.052	0.0367
lower0_perm_sad	-0.0091	-0.002	-0.0012	-0.0009	-0.0015	-0.0012	-0.0019	-0.0018	-0.0016	-0.0022	-0.0008	-0.0017	-0.001	-0.0014	-0.0009	-0.0012	-0.0006	-0.0009	-0.0013	-0.0012	-0.001	-0.0007	-0.0012	-0.0012	-0.0009	-0.0011	-0.0012	-0.0012	-0.0011	-0.001	-0.0012	-0.0009	-0.001	-0.0012	-0.001	-0.0008	-0.0011	-0.0007	-0.001	-0.0012	-0.0011	-0.0011	-0.0006	-0.001	-0.0006	-0.0012	-0.0011	-0.001	-0.0009	-0.0004	-0.0013	-0.0009	-0.0017	-0.0009	-0.0008	-0.0014	-0.001	-0.001	-0.0011	-0.0007	-0.0007	-0.0012	-0.0009	-0.0011	-0.0007	-0.0007	-0.0012	-0.0016	-0.001	-0.0018	-0.0007	-0.0004	-0.0007	-0.0013	-0.0011	-0.0009	-0.001	0.0003	-0.001	-0.0008	-0.0009	-0.0007	-0.0005	-0.0008	-0.0008	-0.0012	-0.0011	-0.0008	-0.0011	-0.0013	-0.0007	-0.0008	-0.0006	-0.0011	-0.0011	-0.0004	-0.0006	-0.001	-0.0012	-0.0008
