	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1277	0.0807	0.0251	0.012	0.0012	0.0113	0.0189	0.0008	0.0002	0.0001	0.0298	0.0021	0.0001	0.007	0.0009	0.0083	-0.0001	-0.0	0.014	0.002	-0.0001	0.0003	0.0	-0.0	0.0001	0.0164	0.0003	0.0004	0.0017	0.0046	0.0002	0.0017	0.0013	0.0044	0.0005	0.0003	0.0009	0.0002	-0.0001	0.011	0.0061	0.0037	0.0028	0.001	0.0039	0.0013	0.0072	0.0042	-0.0001	0.0019	0.0003	0.0001	0.0022	-0.0001	0.002	0.004	0.0051	0.0028	0.0005	0.0006	0.0011	-0.0001	0.0002	0.0082	0.0022	0.0017	0.0001	0.0091	0.0035	-0.0001	0.0018	0.003	0.0042	0.0024	0.0151	0.0001	0.0002	0.0001	-0.0001	0.0002	-0.0	-0.0	-0.0001	-0.0	-0.0001	0.001	0.0002	0.0021	-0.0001	-0.0001	-0.0001	0.003	0.0071	0.0009	0.0065	0.0001	0.0028	0.0096	0.0005	0.003
direct_vc_estimate_se	0.0019	0.0007	0.0005	0.0005	0.0004	0.0005	0.0007	0.0005	0.0004	0.0008	0.001	0.0005	0.0006	0.0004	0.0004	0.0007	0.0004	0.0003	0.0008	0.0005	0.0004	0.0003	0.0006	0.0003	0.0005	0.0008	0.0004	0.0004	0.0003	0.0007	0.0004	0.0004	0.0003	0.0003	0.0004	0.0006	0.0005	0.0003	0.0004	0.0005	0.0003	0.0004	0.0004	0.0004	0.0005	0.0004	0.0011	0.0004	0.0004	0.0007	0.0003	0.0003	0.0003	0.0004	0.0004	0.0004	0.0005	0.0008	0.0005	0.0003	0.0004	0.0004	0.0003	0.0004	0.0005	0.0003	0.0003	0.0004	0.0005	0.001	0.0004	0.0008	0.0005	0.0007	0.0005	0.0003	0.0005	0.0004	0.0007	0.0003	0.0004	0.0003	0.0004	0.0003	0.0005	0.0003	0.0003	0.0004	0.0004	0.001	0.0003	0.0003	0.0004	0.0004	0.001	0.0003	0.0004	0.0004	0.0004	0.0006
direct_vc_pvals	0.023	0.001	0.001	0.079	0.411	0.031	0.002	0.356	0.728	0.696	0.012	0.252	0.782	0.08	0.522	0.02	0.94	0.883	0.0	0.366	0.911	0.656	0.822	0.93	0.665	0.003	0.563	0.491	0.295	0.34	0.57	0.174	0.278	0.378	0.621	0.726	0.428	0.722	0.969	0.009	0.269	0.085	0.103	0.361	0.181	0.224	0.063	0.102	0.871	0.131	0.692	0.784	0.249	0.954	0.353	0.132	0.018	0.211	0.577	0.497	0.315	0.965	0.836	0.01	0.234	0.218	0.711	0.044	0.072	0.792	0.112	0.309	0.217	0.221	0.031	0.753	0.72	0.746	0.762	0.74	0.775	0.837	0.971	0.686	0.853	0.249	0.757	0.345	0.869	0.792	0.895	0.311	0.112	0.549	0.1	0.791	0.352	0.058	0.712	0.102
upper95_perm_direct	0.1857	0.0768	0.0276	0.0248	0.0112	0.0157	0.0158	0.0069	0.0189	0.0136	0.04	0.0095	0.0135	0.0147	0.0115	0.0106	0.0084	0.0104	0.0109	0.0119	0.0087	0.0067	0.0144	0.0209	0.008	0.02	0.0071	0.0061	0.0097	0.0183	0.0071	0.0058	0.0076	0.0199	0.0128	0.0206	0.0079	0.0181	0.0163	0.0129	0.0223	0.0083	0.0067	0.0072	0.0101	0.0052	0.0137	0.0104	0.007	0.0055	0.0124	0.008	0.0093	0.0059	0.0135	0.0115	0.0059	0.0112	0.0071	0.0074	0.007	0.0105	0.0139	0.0098	0.0091	0.0066	0.0062	0.0153	0.0071	0.0086	0.0052	0.018	0.0155	0.0105	0.024	0.0064	0.0171	0.0083	0.0072	0.0117	0.0039	0.0066	0.0214	0.0027	0.0085	0.0046	0.0112	0.0136	0.0047	0.0083	0.0038	0.0114	0.0161	0.0139	0.014	0.008	0.0221	0.0182	0.0123	0.0073
lower0_perm_direct	-0.0009	-0.0004	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0005	-0.0005	-0.0003	-0.0004	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0004	-0.0003	-0.0002	-0.0002	-0.0004	-0.0002	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0006	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0005	-0.0002	-0.0004	-0.0003	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0006	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004
sad_vc_estimate	0.6199	0.3172	0.102	0.0395	0.0058	0.0328	0.0561	0.0018	0.0008	-0.0002	0.083	0.002	0.002	0.0239	0.0011	0.0276	0.0003	0.0004	0.0467	0.0029	0.0	0.0018	-0.0001	0.0	0.0016	0.0617	0.0009	0.0025	0.0069	0.0269	0.0001	0.0054	0.0023	0.0172	0.0036	0.0045	0.003	0.0006	0.0	0.0253	0.0195	0.0114	0.0082	0.0044	0.0157	0.0044	0.031	0.0157	0.0001	0.0072	0.0027	0.0005	0.0095	0.0003	0.0087	0.0169	0.0207	0.0177	0.0015	0.003	0.0104	-0.0001	0.0011	0.0282	0.0092	0.0045	0.0008	0.0322	0.0111	-0.0001	0.004	0.0137	0.0161	0.0134	0.0564	0.0024	0.0003	-0.0001	0.0001	0.0002	0.0009	-0.0001	-0.0001	0.0001	-0.0001	0.0032	0.0015	0.0088	0.0002	0.001	0.0008	0.0148	0.0213	0.0039	0.0218	0.0014	0.007	0.0368	0.0015	0.0192
sad_vc_estimate_se	0.0019	0.0008	0.0005	0.0005	0.0004	0.0005	0.0007	0.0005	0.0004	0.0008	0.001	0.0005	0.0006	0.0004	0.0004	0.0007	0.0004	0.0004	0.0008	0.0005	0.0004	0.0003	0.0006	0.0004	0.0005	0.0008	0.0004	0.0004	0.0004	0.0007	0.0004	0.0004	0.0003	0.0003	0.0004	0.0006	0.0006	0.0003	0.0004	0.0005	0.0003	0.0004	0.0004	0.0004	0.0005	0.0004	0.0011	0.0004	0.0004	0.0007	0.0003	0.0003	0.0003	0.0005	0.0004	0.0004	0.0005	0.0008	0.0005	0.0003	0.0004	0.0004	0.0003	0.0004	0.0005	0.0003	0.0004	0.0004	0.0005	0.001	0.0004	0.0008	0.0005	0.0007	0.0005	0.0003	0.0005	0.0004	0.0007	0.0003	0.0004	0.0003	0.0005	0.0003	0.0005	0.0003	0.0003	0.0004	0.0004	0.001	0.0003	0.0003	0.0004	0.0004	0.001	0.0003	0.0004	0.0004	0.0004	0.0007
sad_vc_pvals	0.007	0.001	0.001	0.083	0.368	0.054	0.005	0.518	0.737	0.951	0.027	0.497	0.657	0.141	0.704	0.014	0.795	0.78	0.0	0.522	0.913	0.585	0.964	0.936	0.53	0.006	0.603	0.383	0.261	0.203	0.803	0.225	0.443	0.338	0.544	0.605	0.483	0.816	0.94	0.043	0.263	0.107	0.176	0.304	0.064	0.295	0.04	0.111	0.815	0.114	0.588	0.771	0.228	0.784	0.335	0.109	0.003	0.1	0.695	0.443	0.12	0.969	0.798	0.009	0.173	0.301	0.637	0.018	0.121	0.879	0.182	0.19	0.21	0.132	0.027	0.42	0.852	0.955	0.819	0.85	0.543	0.949	0.976	0.776	0.921	0.224	0.681	0.348	0.718	0.63	0.472	0.194	0.15	0.548	0.114	0.691	0.49	0.051	0.722	0.03
upper95_perm_sad	0.7049	0.286	0.1126	0.0834	0.0439	0.0554	0.0631	0.0258	0.0627	0.0478	0.1304	0.0279	0.0399	0.0573	0.0324	0.0345	0.0337	0.0343	0.0406	0.0416	0.0296	0.0234	0.0548	0.0727	0.0235	0.0668	0.0214	0.0238	0.0341	0.0739	0.0248	0.0206	0.026	0.0708	0.0436	0.0748	0.0339	0.0638	0.0564	0.0417	0.0701	0.027	0.0257	0.0254	0.03	0.022	0.0499	0.0392	0.0272	0.0185	0.0478	0.0315	0.0381	0.024	0.0548	0.0412	0.0216	0.0395	0.0293	0.0283	0.0278	0.0365	0.0601	0.0295	0.0304	0.0255	0.0225	0.0419	0.0279	0.0292	0.0173	0.051	0.0578	0.0401	0.0886	0.0258	0.07	0.0261	0.0276	0.0468	0.0133	0.0242	0.077	0.0103	0.0293	0.0123	0.0418	0.0554	0.0165	0.0307	0.0119	0.0405	0.0595	0.0494	0.0551	0.027	0.0865	0.0662	0.0501	0.0291
lower0_perm_sad	-0.0011	-0.0004	-0.0002	-0.0003	-0.0002	-0.0003	-0.0004	-0.0002	-0.0002	-0.0005	-0.0005	-0.0003	-0.0003	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0005	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0005	-0.0002	-0.0002	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0006	-0.0002	-0.0005	-0.0002	-0.0004	-0.0003	-0.0002	-0.0003	-0.0002	-0.0004	-0.0002	-0.0002	-0.0001	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0005	-0.0002	-0.0001	-0.0002	-0.0002	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0004
