	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0116	0.0033	0.0059	0.0058	-0.0011	-0.0014	0.0026	-0.0013	-0.0017	-0.0016	0.0003	0.0004	-0.0008	0.0021	0.0028	0.0031	-0.0006	0.0035	0.0055	0.0088	0.0039	0.0069	0.0044	0.034	0.0137	0.0066	-0.0009	0.0105	0.0421	0.002	-0.0017	-0.0004	0.0058	-0.0005	0.0029	-0.0014	-0.0016	-0.0017	0.0482	-0.0016	0.0011	0.0053	0.0009	0.0053	0.0015	-0.0011	-0.0013	0.0187	-0.0003	-0.0014	-0.0014	-0.0015	-0.0006	0.013	0.0016	0.022	-0.0003	-0.0012	0.0353	-0.0016	0.0007	0.0214	0.0004	0.0024	-0.0005	0.0038	0.0023	0.0088	0.0149	-0.0003	-0.0015	0.0238	-0.0013	-0.001	0.0016	0.0056	0.0017	0.0083	0.004	-0.0011	0.0007	0.0008	-0.0006	0.0056	-0.0001	0.003	0.0081	0.0047	0.005	-0.0005	0.0059	0.0179	0.0017	-0.0015	-0.0011	0.0004	0.0067	0.0032	0.0008	0.0007
direct_vc_estimate_se	0.0227	0.0104	0.0068	0.0076	0.0066	0.0066	0.0077	0.0079	0.0068	0.0067	0.0064	0.0067	0.0061	0.0066	0.0074	0.0065	0.0076	0.0066	0.0065	0.0065	0.0066	0.0069	0.0067	0.0064	0.0082	0.0068	0.0058	0.0064	0.0064	0.0065	0.0068	0.0058	0.0067	0.0062	0.0069	0.0062	0.0065	0.0072	0.0062	0.0067	0.006	0.0067	0.0067	0.0057	0.0061	0.0057	0.0059	0.0063	0.0062	0.0062	0.0059	0.0061	0.0065	0.0062	0.0059	0.0058	0.0061	0.0056	0.0063	0.0065	0.0062	0.0059	0.0058	0.0067	0.006	0.006	0.0069	0.0063	0.0058	0.0065	0.006	0.006	0.0063	0.0061	0.0062	0.0054	0.0059	0.0057	0.0061	0.0058	0.0062	0.0056	0.0051	0.0058	0.006	0.0054	0.006	0.0062	0.0063	0.006	0.0058	0.0057	0.0054	0.0062	0.0055	0.0065	0.0063	0.0062	0.006	0.0049
direct_vc_pvals	0.468	0.415	0.259	0.214	0.685	0.801	0.532	0.831	0.957	0.884	0.618	0.647	0.702	0.421	0.427	0.427	0.788	0.33	0.455	0.186	0.324	0.244	0.37	0.021	0.373	0.184	0.747	0.15	0.005	0.476	0.992	0.616	0.222	0.654	0.419	0.878	0.997	0.872	0.011	0.943	0.462	0.302	0.494	0.32	0.42	0.825	0.821	0.101	0.634	0.88	0.921	0.965	0.659	0.07	0.398	0.029	0.522	0.844	0.002	0.968	0.589	0.014	0.528	0.47	0.652	0.321	0.529	0.178	0.118	0.704	0.964	0.041	0.875	0.768	0.412	0.164	0.38	0.078	0.265	0.794	0.419	0.463	0.747	0.178	0.538	0.195	0.217	0.296	0.374	0.617	0.276	0.028	0.35	0.934	0.817	0.58	0.155	0.262	0.443	0.54
upper95_perm_direct	0.1011	0.0398	0.0256	0.0212	0.0129	0.0169	0.0517	0.0386	0.0243	0.0237	0.03	0.0348	0.0215	0.0263	0.0298	0.0312	0.0647	0.0197	0.0471	0.025	0.0276	0.0276	0.0267	0.0345	0.0619	0.0213	0.0176	0.0251	0.029	0.0301	0.0173	0.0188	0.0222	0.0216	0.0281	0.0172	0.0269	0.0262	0.0389	0.021	0.0189	0.0286	0.0217	0.0276	0.0241	0.0296	0.0169	0.0314	0.0223	0.0205	0.024	0.0315	0.0229	0.0199	0.0169	0.0228	0.0142	0.0173	0.0217	0.0239	0.034	0.0163	0.0181	0.0336	0.0205	0.0277	0.0322	0.025	0.0278	0.0295	0.0122	0.0267	0.03	0.0214	0.0185	0.0159	0.0171	0.0127	0.0191	0.0232	0.0141	0.0169	0.0242	0.015	0.0178	0.0119	0.0283	0.0227	0.0322	0.0166	0.0278	0.0185	0.0133	0.0191	0.018	0.0295	0.0169	0.0157	0.016	0.0181
lower0_perm_direct	-0.0081	-0.0037	-0.0024	-0.0028	-0.0024	-0.0023	-0.0027	-0.003	-0.0024	-0.0024	-0.0022	-0.0026	-0.0023	-0.0025	-0.0026	-0.0025	-0.0027	-0.0025	-0.0023	-0.0024	-0.0023	-0.0025	-0.0025	-0.0023	-0.0029	-0.0025	-0.0021	-0.0023	-0.0023	-0.0023	-0.0025	-0.0021	-0.0024	-0.0023	-0.0025	-0.0023	-0.0024	-0.0026	-0.0022	-0.0025	-0.0022	-0.0024	-0.0025	-0.0022	-0.0022	-0.0021	-0.0021	-0.0024	-0.0022	-0.0022	-0.0022	-0.0022	-0.0023	-0.0022	-0.0021	-0.0021	-0.0023	-0.002	-0.0024	-0.0023	-0.0024	-0.0022	-0.0022	-0.0024	-0.0021	-0.0022	-0.0026	-0.0023	-0.0021	-0.0024	-0.0021	-0.0023	-0.0023	-0.0022	-0.0024	-0.002	-0.0022	-0.0021	-0.0023	-0.0021	-0.0023	-0.0021	-0.0019	-0.0021	-0.0022	-0.0019	-0.0022	-0.0023	-0.0022	-0.0022	-0.0021	-0.0019	-0.002	-0.0022	-0.002	-0.0023	-0.0023	-0.0024	-0.0021	-0.0018
sad_vc_estimate	0.0867	0.0051	0.038	0.0387	-0.0008	0.0095	0.0087	0.0012	0.007	0.0054	0.0004	-0.0005	0.0017	-0.0002	0.0141	0.022	-0.0012	0.011	0.0027	0.017	0.0124	0.0077	0.0118	0.0601	0.0296	0.0104	-0.0012	0.0209	0.1409	-0.0003	-0.0011	-0.0005	0.0116	-0.0011	0.0077	-0.0015	-0.0014	-0.0003	0.1062	-0.0013	0.0064	0.0103	-0.0015	0.0111	0.0004	0.0003	0.0038	0.0532	-0.0013	-0.0016	0.0018	0.0012	0.0015	0.0179	0.0037	0.0712	0.0111	-0.0007	0.0948	0.0007	0.0025	0.0569	0.0009	0.0139	0.0007	0.0022	0.0179	0.0113	0.0512	-0.0013	-0.0012	0.0614	-0.0003	0.003	0.0063	0.0095	0.0002	0.0138	0.0115	-0.0015	0.0013	-0.0006	0.0083	0.0159	-0.0012	0.018	0.0235	0.0244	0.0068	-0.0009	0.0047	0.0289	0.0133	-0.001	0.0031	0.0134	0.015	0.0009	0.0078	0.006
sad_vc_estimate_se	0.0231	0.0106	0.007	0.0077	0.0067	0.0067	0.0078	0.0081	0.007	0.0068	0.0065	0.0069	0.0062	0.0068	0.0075	0.0066	0.0077	0.0067	0.0066	0.0066	0.0067	0.007	0.0068	0.0065	0.0084	0.0069	0.0059	0.0065	0.0065	0.0066	0.0069	0.0059	0.0068	0.0063	0.007	0.0063	0.0066	0.0073	0.0063	0.0068	0.0061	0.0068	0.0068	0.0058	0.0062	0.0058	0.006	0.0064	0.0063	0.0063	0.006	0.0062	0.0066	0.0063	0.006	0.0059	0.0062	0.0057	0.0064	0.0066	0.0063	0.006	0.0059	0.0068	0.0061	0.0061	0.007	0.0064	0.0059	0.0066	0.0061	0.0061	0.0064	0.0062	0.0063	0.0055	0.006	0.0058	0.0062	0.0059	0.0063	0.0057	0.0052	0.0059	0.0061	0.0055	0.0061	0.0064	0.0064	0.0061	0.0059	0.0058	0.0055	0.0063	0.0056	0.0066	0.0064	0.0063	0.0061	0.005
sad_vc_pvals	0.219	0.542	0.116	0.081	0.759	0.317	0.505	0.689	0.448	0.48	0.747	0.815	0.626	0.732	0.334	0.244	0.893	0.307	0.683	0.235	0.354	0.367	0.333	0.07	0.442	0.313	0.864	0.196	0.001	0.713	0.819	0.754	0.282	0.858	0.461	0.912	0.915	0.752	0.014	0.843	0.399	0.382	0.907	0.347	0.679	0.729	0.455	0.077	0.879	0.972	0.627	0.669	0.618	0.179	0.439	0.006	0.152	0.784	0.005	0.65	0.614	0.01	0.63	0.331	0.656	0.608	0.386	0.325	0.047	0.875	0.831	0.043	0.839	0.536	0.368	0.22	0.649	0.144	0.232	0.973	0.565	0.756	0.384	0.159	0.867	0.09	0.193	0.183	0.472	0.801	0.505	0.074	0.135	0.819	0.492	0.363	0.206	0.643	0.304	0.394
upper95_perm_sad	0.2303	0.098	0.0704	0.0622	0.0407	0.0509	0.1153	0.0941	0.0652	0.0595	0.0736	0.0855	0.0501	0.0587	0.073	0.0731	0.1647	0.0478	0.0937	0.0625	0.062	0.0561	0.076	0.0905	0.156	0.0483	0.04	0.0538	0.0756	0.061	0.0474	0.0401	0.0503	0.0463	0.0619	0.0473	0.0632	0.07	0.0792	0.0496	0.0488	0.0644	0.0522	0.0634	0.0506	0.0673	0.0395	0.0833	0.052	0.0525	0.0608	0.0606	0.054	0.048	0.0379	0.0505	0.0276	0.0457	0.0552	0.053	0.0606	0.0402	0.0472	0.0699	0.0534	0.0594	0.0849	0.0592	0.0567	0.0659	0.031	0.0737	0.0788	0.056	0.0416	0.0324	0.0355	0.0325	0.0448	0.0591	0.0334	0.0389	0.0508	0.0418	0.0457	0.0302	0.0618	0.0614	0.0757	0.0424	0.0613	0.0446	0.0288	0.0495	0.0384	0.0747	0.046	0.0475	0.035	0.0383
lower0_perm_sad	-0.0077	-0.0036	-0.0025	-0.0028	-0.0025	-0.0023	-0.0027	-0.003	-0.0024	-0.0024	-0.0022	-0.0024	-0.0023	-0.0025	-0.0027	-0.0023	-0.0029	-0.0025	-0.0024	-0.0025	-0.0024	-0.0026	-0.0025	-0.0023	-0.0029	-0.0025	-0.002	-0.0023	-0.0023	-0.0024	-0.0025	-0.0021	-0.0026	-0.0022	-0.0025	-0.0023	-0.0024	-0.0026	-0.0023	-0.0024	-0.0023	-0.0023	-0.0023	-0.0022	-0.0022	-0.0021	-0.0021	-0.0024	-0.0023	-0.0024	-0.0023	-0.0023	-0.0024	-0.0023	-0.0022	-0.0021	-0.0023	-0.002	-0.0023	-0.0024	-0.0023	-0.0021	-0.0022	-0.0025	-0.0021	-0.0023	-0.0024	-0.0022	-0.0021	-0.0024	-0.0021	-0.0022	-0.0022	-0.0023	-0.0022	-0.002	-0.0021	-0.0022	-0.0022	-0.0021	-0.0022	-0.002	-0.002	-0.0022	-0.0021	-0.002	-0.0023	-0.0023	-0.0023	-0.0022	-0.0021	-0.002	-0.0021	-0.0022	-0.0021	-0.0023	-0.0024	-0.0022	-0.0023	-0.0017
covar_vc_estimate	-0.0685	-0.0083	-0.0314	-0.0316	0.0019	-0.0002	-0.0101	0.0011	0.0026	0.0051	-0.0008	0.0002	-0.0001	-0.0015	-0.0134	-0.0179	0.0018	-0.0128	-0.0079	-0.0246	-0.0144	-0.0147	-0.0147	-0.0906	-0.0406	-0.0167	0.0036	-0.0298	-0.1547	-0.0013	0.0034	0.0009	-0.0166	0.0017	-0.0098	0.0029	0.0032	0.0027	-0.1434	0.0031	-0.006	-0.0149	0.0021	-0.0155	-0.0019	0.0013	0.0008	-0.0634	0.0018	0.0032	0.0021	0.0034	-0.0003	-0.0305	-0.005	-0.0797	-0.0046	0.0021	-0.1161	0.0029	-0.003	-0.0701	-0.0012	-0.0126	-0.0001	-0.0058	-0.0144	-0.0199	-0.0558	0.002	0.003	-0.0768	0.002	0.0001	-0.0069	-0.0147	-0.0016	-0.0215	-0.014	0.0028	-0.0019	0.0001	-0.0024	-0.0192	0.0016	-0.0157	-0.0281	-0.0223	-0.0118	0.0045	-0.0106	-0.0456	-0.0107	0.0034	0.0007	-0.0078	-0.0202	-0.0038	-0.0063	-0.0049
covar_vc_estimate_se	0.1581	0.1045	0.0842	0.0887	0.0828	0.0825	0.0894	0.0909	0.0843	0.0834	0.0812	0.0837	0.0797	0.0829	0.0876	0.0821	0.0888	0.0825	0.0822	0.0819	0.0827	0.0847	0.0835	0.0816	0.0927	0.0837	0.0772	0.0814	0.0814	0.0819	0.084	0.0774	0.0835	0.0799	0.0845	0.0799	0.0819	0.0862	0.0804	0.0833	0.0787	0.0834	0.0832	0.0769	0.0796	0.0768	0.0781	0.0809	0.0802	0.0803	0.0783	0.0792	0.0819	0.0801	0.0778	0.0776	0.0793	0.0763	0.0808	0.082	0.0803	0.0779	0.0774	0.0834	0.0787	0.0787	0.0845	0.081	0.0774	0.0818	0.0786	0.079	0.0809	0.0794	0.0799	0.0746	0.0781	0.077	0.0793	0.0776	0.0798	0.0757	0.0727	0.0776	0.0788	0.0747	0.0785	0.0804	0.0808	0.0785	0.0773	0.0764	0.0747	0.0799	0.0751	0.082	0.0805	0.0798	0.0786	0.0712
covar_vc_pvals	0.375	0.442	0.178	0.109	0.248	0.318	0.393	0.194	0.191	0.07	0.232	0.19	0.249	0.335	0.411	0.368	0.108	0.337	0.319	0.21	0.373	0.325	0.373	0.025	0.448	0.247	0.106	0.141	0.001	0.284	0.169	0.232	0.256	0.179	0.496	0.119	0.096	0.153	0.003	0.144	0.488	0.386	0.186	0.341	0.352	0.178	0.268	0.073	0.186	0.12	0.14	0.082	0.246	0.104	0.459	0.003	0.378	0.174	0.0	0.114	0.294	0.007	0.331	0.472	0.256	0.425	0.481	0.249	0.051	0.161	0.103	0.032	0.141	0.283	0.416	0.171	0.387	0.099	0.255	0.12	0.433	0.298	0.317	0.155	0.218	0.138	0.204	0.228	0.468	0.077	0.455	0.032	0.229	0.135	0.247	0.434	0.166	0.491	0.411	0.478
