	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0083	-0.0087	-0.0079	0.0184	-0.0089	-0.0017	0.0217	-0.005	0.0155	0.0094	0.0002	-0.0041	-0.0048	-0.006	0.0398	-0.0035	-0.009	0.0172	-0.0042	0.052	-0.0061	0.0806	0.0186	0.0271	0.0617	0.0324	0.0177	0.0063	0.0296	-0.0047	0.0053	0.0507	0.007	-0.0065	0.0139	-0.0071	0.0005	-0.006	-0.0067	0.0153	0.0117	0.016	0.0099	0.1493	-0.0082	0.0123	-0.0069	-0.0018	-0.0068	0.0035	-0.0077	0.0166	0.0201	0.0026	0.0174	0.0024	0.0637	0.0999	-0.0016	0.056	0.0415	-0.0064	-0.0032	-0.0038	-0.0031	0.0219	-0.0063	-0.0079	0.0837	-0.0052	0.0078	-0.0064	0.0769	-0.0009	0.0393	-0.0045	0.0051	0.0016	0.0361	-0.0073	0.0109	0.0168	-0.0017	-0.0075	-0.0058	0.0448	0.0515	-0.0067	-0.0012	-0.0021	0.0294	0.044	0.0089	0.0028	0.0042	-0.0069	-0.0063	0.0681	0.0129	-0.0011
direct_vc_estimate_se	0.0055	0.0023	0.0016	0.0019	0.0019	0.0014	0.0016	0.0016	0.0015	0.0016	0.0016	0.0014	0.0017	0.0013	0.0015	0.0019	0.0019	0.0014	0.0012	0.0014	0.0017	0.0016	0.0018	0.0013	0.0018	0.0016	0.0014	0.0018	0.0013	0.0016	0.0017	0.0017	0.0017	0.0014	0.0012	0.0015	0.0016	0.0014	0.0018	0.0016	0.0016	0.0015	0.0015	0.0013	0.0018	0.0015	0.0015	0.0015	0.0015	0.0018	0.0018	0.0013	0.0015	0.0014	0.0012	0.0014	0.0014	0.0015	0.0014	0.0018	0.0016	0.0014	0.0016	0.0015	0.0015	0.0015	0.0017	0.0017	0.0016	0.0012	0.0014	0.0014	0.0015	0.0013	0.0013	0.0013	0.0016	0.0012	0.0015	0.0016	0.0014	0.0018	0.0018	0.0016	0.0012	0.0016	0.0014	0.0015	0.0013	0.0015	0.0014	0.0014	0.0013	0.0012	0.0015	0.0014	0.0014	0.0014	0.0014	0.0013
direct_vc_pvals	0.539	0.753	0.988	0.325	0.969	0.509	0.216	0.709	0.295	0.33	0.565	0.608	0.674	0.94	0.09	0.667	0.904	0.157	0.638	0.05	0.792	0.013	0.377	0.235	0.077	0.1	0.189	0.429	0.026	0.737	0.369	0.066	0.308	0.923	0.161	0.975	0.446	0.84	0.798	0.154	0.238	0.208	0.277	0.0	0.876	0.188	0.908	0.644	0.918	0.452	0.839	0.156	0.245	0.456	0.256	0.419	0.221	0.041	0.497	0.153	0.138	0.882	0.646	0.793	0.601	0.266	0.762	0.938	0.027	0.844	0.274	0.871	0.026	0.573	0.076	0.696	0.388	0.432	0.086	0.941	0.366	0.399	0.569	0.96	0.898	0.078	0.056	0.864	0.461	0.541	0.103	0.131	0.384	0.354	0.526	0.986	0.875	0.107	0.266	0.652
upper95_perm_direct	0.1578	0.0653	0.0615	0.0927	0.1213	0.0438	0.061	0.0642	0.0604	0.0562	0.063	0.0355	0.0585	0.0373	0.0532	0.1002	0.058	0.0382	0.0222	0.0521	0.0794	0.0445	0.0697	0.0746	0.0731	0.0523	0.0441	0.0689	0.0241	0.0554	0.0577	0.0583	0.047	0.0639	0.031	0.0455	0.0453	0.0536	0.0893	0.0353	0.0441	0.0497	0.051	0.0556	0.0295	0.0372	0.0513	0.0673	0.0695	0.0669	0.0562	0.0341	0.0652	0.0506	0.0593	0.0375	0.1129	0.0924	0.0365	0.1028	0.0712	0.0428	0.0633	0.0876	0.043	0.0738	0.0746	0.0957	0.0709	0.0473	0.0388	0.0535	0.064	0.0481	0.054	0.0358	0.0608	0.037	0.0479	0.0579	0.0628	0.0947	0.062	0.0421	0.0247	0.0547	0.0553	0.0382	0.0294	0.0425	0.0447	0.0759	0.053	0.0336	0.095	0.0575	0.0631	0.0999	0.0533	0.0744
lower0_perm_direct	-0.0289	-0.0124	-0.0091	-0.0108	-0.0103	-0.0082	-0.0085	-0.0089	-0.0081	-0.0089	-0.0085	-0.0079	-0.0094	-0.007	-0.0083	-0.0109	-0.0104	-0.0077	-0.0066	-0.0078	-0.0092	-0.0084	-0.0098	-0.0071	-0.0102	-0.0091	-0.0078	-0.0098	-0.0074	-0.0086	-0.0093	-0.0095	-0.0091	-0.0076	-0.0064	-0.0084	-0.0092	-0.0079	-0.0095	-0.0093	-0.0088	-0.0085	-0.0081	-0.0071	-0.0103	-0.0089	-0.0087	-0.0084	-0.0086	-0.0101	-0.0101	-0.0073	-0.0079	-0.0081	-0.0066	-0.0076	-0.0073	-0.0083	-0.0075	-0.0099	-0.0086	-0.0081	-0.0091	-0.0082	-0.0084	-0.0084	-0.0096	-0.0089	-0.0085	-0.0071	-0.0081	-0.0079	-0.0082	-0.0073	-0.0071	-0.0074	-0.0086	-0.0068	-0.0079	-0.0085	-0.0078	-0.0101	-0.01	-0.0091	-0.0071	-0.0088	-0.0077	-0.0082	-0.0072	-0.0083	-0.0076	-0.0076	-0.0071	-0.007	-0.0084	-0.0081	-0.0083	-0.0077	-0.0073	-0.0072
sad_vc_estimate	-0.0251	-0.0009	-0.0025	0.0593	-0.009	-0.005	0.073	-0.0066	0.0204	0.0183	-0.0003	-0.0017	0.0056	-0.0042	0.0345	0.0092	-0.0082	0.0162	-0.0037	0.1528	-0.0015	0.1522	0.0593	0.0304	0.0607	0.025	0.0292	0.011	0.027	-0.0071	0.0302	0.0522	0.0265	-0.0063	0.0251	-0.0055	0.0144	-0.0067	-0.007	0.0248	0.0167	0.0259	0.0165	0.1786	-0.0082	0.0314	-0.0068	-0.0026	-0.0057	0.0059	-0.0026	0.0434	0.0297	-0.0053	0.0031	0.0282	0.0573	0.1258	0.007	0.0613	0.0423	-0.0002	0.007	-0.0023	-0.0067	-0.0016	-0.0052	-0.0057	0.134	-0.0002	0.0211	-0.0056	0.0432	-0.0016	0.0315	0.013	0.0083	0.0016	0.034	0.0007	0.0139	0.0779	-0.0086	-0.0076	-0.0013	0.0745	0.0535	0.0002	-0.0049	-0.003	0.0505	0.0412	0.0467	-0.0021	0.0026	0.011	-0.0055	0.0842	0.0218	-0.0047
sad_vc_estimate_se	0.0055	0.0023	0.0017	0.0019	0.0019	0.0015	0.0016	0.0017	0.0015	0.0016	0.0016	0.0014	0.0017	0.0013	0.0015	0.0019	0.0019	0.0014	0.0012	0.0014	0.0017	0.0016	0.0018	0.0013	0.0018	0.0016	0.0014	0.0018	0.0013	0.0016	0.0017	0.0017	0.0017	0.0014	0.0012	0.0015	0.0016	0.0014	0.0018	0.0016	0.0016	0.0015	0.0015	0.0013	0.0018	0.0015	0.0015	0.0015	0.0015	0.0019	0.0018	0.0013	0.0015	0.0014	0.0012	0.0014	0.0014	0.0015	0.0014	0.0018	0.0016	0.0014	0.0016	0.0015	0.0015	0.0015	0.0017	0.0017	0.0016	0.0012	0.0014	0.0014	0.0015	0.0013	0.0013	0.0013	0.0016	0.0013	0.0015	0.0016	0.0014	0.0018	0.0018	0.0016	0.0012	0.0016	0.0014	0.0015	0.0013	0.0015	0.0014	0.0014	0.0013	0.0012	0.0015	0.0014	0.0014	0.0014	0.0014	0.0013
sad_vc_pvals	0.902	0.592	0.626	0.192	0.998	0.745	0.058	0.821	0.322	0.403	0.675	0.563	0.478	0.707	0.17	0.489	0.881	0.196	0.639	0.003	0.67	0.003	0.219	0.355	0.179	0.225	0.181	0.441	0.105	0.911	0.184	0.11	0.175	0.904	0.129	0.734	0.324	0.997	0.805	0.21	0.281	0.181	0.279	0.0	0.883	0.105	0.898	0.689	0.833	0.404	0.631	0.052	0.235	0.781	0.526	0.127	0.417	0.024	0.419	0.252	0.2	0.578	0.497	0.785	0.881	0.575	0.751	0.855	0.026	0.653	0.192	0.802	0.065	0.638	0.182	0.321	0.495	0.468	0.163	0.584	0.393	0.214	0.993	0.995	0.6	0.086	0.077	0.531	0.738	0.604	0.117	0.175	0.153	0.628	0.615	0.325	0.815	0.106	0.262	0.847
upper95_perm_sad	0.2599	0.1262	0.0743	0.1576	0.182	0.0622	0.0779	0.0778	0.0927	0.1116	0.0837	0.0588	0.0932	0.0439	0.0734	0.1288	0.1116	0.0451	0.0294	0.0812	0.1211	0.0739	0.1214	0.1224	0.1216	0.0761	0.0669	0.1054	0.0406	0.0933	0.0712	0.0772	0.0684	0.0761	0.0437	0.0458	0.0736	0.0827	0.0967	0.0643	0.0753	0.0643	0.0716	0.0629	0.0378	0.0503	0.0729	0.0997	0.0973	0.0633	0.0764	0.0451	0.0923	0.0722	0.0768	0.0518	0.1458	0.1049	0.0648	0.1547	0.0999	0.0687	0.0966	0.1214	0.0544	0.0652	0.0793	0.1558	0.1143	0.0677	0.0503	0.0583	0.0506	0.0637	0.0733	0.062	0.1112	0.045	0.0718	0.0903	0.0867	0.1578	0.0886	0.0645	0.0386	0.0944	0.0654	0.0527	0.0374	0.0495	0.0828	0.1004	0.0846	0.0555	0.1356	0.0742	0.0928	0.1278	0.0689	0.1071
lower0_perm_sad	-0.0309	-0.013	-0.0088	-0.0104	-0.0103	-0.0079	-0.0088	-0.0089	-0.0081	-0.0089	-0.0088	-0.0078	-0.0094	-0.007	-0.0085	-0.0105	-0.0106	-0.0075	-0.0066	-0.0082	-0.009	-0.0086	-0.0098	-0.0073	-0.0102	-0.009	-0.0076	-0.0103	-0.0077	-0.0088	-0.0094	-0.0098	-0.0092	-0.0073	-0.0066	-0.0083	-0.009	-0.0079	-0.01	-0.0093	-0.0089	-0.0081	-0.008	-0.0073	-0.0097	-0.0083	-0.0086	-0.0082	-0.008	-0.0103	-0.0096	-0.0075	-0.008	-0.0078	-0.0068	-0.0078	-0.0072	-0.0081	-0.0073	-0.0097	-0.0085	-0.0076	-0.0087	-0.008	-0.0083	-0.0083	-0.0095	-0.0096	-0.009	-0.0066	-0.0079	-0.0077	-0.0082	-0.0072	-0.0072	-0.0074	-0.0088	-0.0068	-0.0082	-0.0086	-0.0081	-0.0098	-0.0098	-0.0086	-0.0068	-0.0087	-0.0078	-0.008	-0.0071	-0.008	-0.0073	-0.0077	-0.0072	-0.0068	-0.0086	-0.0082	-0.0079	-0.0079	-0.0075	-0.0068
