	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0506	-0.0048	0.0003	-0.0027	0.0018	-0.0004	-0.0054	0.013	0.0028	-0.0045	-0.0034	0.0103	-0.0001	0.0073	0.0014	0.0039	-0.0027	-0.0102	-0.0036	0.0072	0.01	0.0005	-0.0036	-0.0024	0.0004	0.0051	0.0051	0.0113	0.0017	-0.001	0.008	0.0107	0.0015	0.0013	0.0008	-0.0039	0.0005	-0.0028	-0.0029	-0.0026	-0.0029	0.0104	0.0037	0.0011	-0.0034	0.0032	-0.0025	0.008	-0.0014	0.0015	0.0052	0.0015	-0.0023	0.0029	0.0101	0.0019	-0.0023	0.0015	-0.0014	-0.0019	0.0016	-0.0025	0.0039	0.0094	-0.001	0.0027	-0.0019	-0.0012	0.0086	-0.0015	-0.0026	-0.0014	0.0065	-0.0014	-0.0023	0.0064	0.0002	0.0037	-0.0035	0.0012	-0.0005	0.0006	0.0017	0.0067	-0.0032	-0.0007	-0.0014	-0.0039	0.0025	0.0035	-0.0004	0.007	-0.0028	0.0048	0.0019	0.0004	-0.0023	-0.0025	0.004	0.0173
direct_vc_estimate_se	0.0088	0.0027	0.002	0.002	0.0019	0.0019	0.003	0.0026	0.0015	0.0055	0.0027	0.0053	0.0064	0.0044	0.0021	0.002	0.0015	0.0102	0.0033	0.0031	0.0037	0.0024	0.0022	0.0018	0.0015	0.0019	0.0013	0.002	0.0014	0.0012	0.0017	0.0018	0.0014	0.0013	0.002	0.0023	0.0021	0.0019	0.0016	0.0017	0.0017	0.0015	0.0017	0.0018	0.0021	0.0021	0.0014	0.0018	0.0022	0.0016	0.0013	0.0021	0.0023	0.0018	0.002	0.001	0.0016	0.0009	0.0017	0.0017	0.0022	0.0015	0.0013	0.0026	0.0017	0.0018	0.0013	0.0016	0.0019	0.0009	0.0016	0.0018	0.0021	0.002	0.0014	0.0013	0.0014	0.0015	0.0019	0.0014	0.0017	0.0014	0.0017	0.0016	0.002	0.001	0.0011	0.0022	0.0013	0.0016	0.0012	0.0016	0.0015	0.002	0.0012	0.0018	0.0013	0.0014	0.0016	0.0016
direct_vc_pvals	0.168	0.874	0.539	0.681	0.299	0.408	0.978	0.036	0.172	0.559	0.718	0.297	0.546	0.328	0.205	0.159	0.891	0.629	0.705	0.199	0.198	0.395	0.789	0.731	0.311	0.298	0.217	0.075	0.434	0.441	0.321	0.1	0.315	0.33	0.309	0.827	0.638	0.673	0.914	0.703	0.853	0.107	0.186	0.194	0.757	0.324	0.927	0.118	0.533	0.309	0.225	0.308	0.552	0.136	0.091	0.287	0.669	0.176	0.529	0.601	0.581	0.729	0.241	0.269	0.652	0.341	0.743	0.513	0.254	0.85	0.783	0.548	0.338	0.494	0.779	0.122	0.464	0.19	0.99	0.339	0.323	0.384	0.228	0.254	0.794	0.471	0.56	0.798	0.26	0.147	0.38	0.2	0.99	0.222	0.24	0.288	0.937	0.849	0.089	0.01
upper95_perm_direct	0.2282	0.0329	0.0331	0.0198	0.0271	0.0248	0.0493	0.023	0.0155	0.0751	0.0664	0.1034	0.0881	0.0847	0.015	0.0176	0.0358	0.0927	0.0844	0.0417	0.0444	0.0374	0.0189	0.0496	0.0142	0.0433	0.024	0.0278	0.0323	0.0102	0.0495	0.0286	0.0219	0.0211	0.0247	0.0244	0.0421	0.0235	0.0116	0.0306	0.0159	0.0302	0.0202	0.0119	0.0178	0.0363	0.0216	0.0265	0.0387	0.0192	0.0295	0.0269	0.0268	0.0132	0.0277	0.0171	0.0126	0.0096	0.0257	0.0239	0.0723	0.0074	0.0255	0.0673	0.0662	0.0357	0.0234	0.0162	0.0526	0.0158	0.0235	0.0262	0.0656	0.0257	0.0182	0.0205	0.0232	0.0202	0.0377	0.0244	0.0115	0.0238	0.0209	0.0478	0.0243	0.0114	0.0089	0.0115	0.0214	0.0161	0.0141	0.0299	0.0469	0.0294	0.0168	0.0175	0.024	0.011	0.0109	0.0222
lower0_perm_direct	-0.0482	-0.0148	-0.01	-0.0108	-0.0099	-0.0097	-0.0154	-0.0138	-0.0077	-0.0283	-0.0146	-0.0286	-0.0309	-0.0228	-0.0107	-0.0107	-0.0079	-0.0526	-0.0179	-0.0165	-0.0201	-0.0127	-0.0112	-0.0092	-0.0077	-0.0102	-0.0071	-0.0098	-0.007	-0.006	-0.0087	-0.0094	-0.0075	-0.007	-0.0106	-0.012	-0.0107	-0.0105	-0.0086	-0.009	-0.0088	-0.0079	-0.009	-0.0098	-0.0112	-0.0108	-0.0071	-0.0089	-0.0115	-0.0085	-0.0066	-0.0115	-0.0116	-0.0095	-0.0104	-0.0054	-0.0085	-0.005	-0.0091	-0.0087	-0.0113	-0.0079	-0.0064	-0.0137	-0.0087	-0.0095	-0.007	-0.0083	-0.0104	-0.0048	-0.0087	-0.0093	-0.0112	-0.0105	-0.0073	-0.0067	-0.0072	-0.0079	-0.0101	-0.0072	-0.0092	-0.0075	-0.0085	-0.0083	-0.0103	-0.0054	-0.006	-0.0114	-0.0066	-0.009	-0.0064	-0.0088	-0.0079	-0.0103	-0.0067	-0.0094	-0.0066	-0.0073	-0.0086	-0.0083
sad_vc_estimate	0.0058	0.0098	-0.0022	0.0011	-0.0024	-0.0011	-0.0012	-0.004	0.0123	-0.0007	0.022	-0.0083	-0.0096	-0.0047	-0.0019	0.0017	-0.0005	0.032	-0.0014	-0.0042	-0.0057	-0.004	0.0094	0.0009	-0.0001	0.008	0.015	0.0013	0.0125	-0.0022	0.0314	-0.0008	-0.0025	0.0063	-0.001	0.0015	0.0064	-0.0015	-0.0012	0.0058	-0.0022	0.0222	0.0156	-0.0032	-0.0029	0.016	-0.0025	0.0343	0.008	0.0033	0.0047	0.0085	0.0032	-0.0007	-0.0028	0.0001	0.0002	-0.0011	0.0057	0.0072	-0.0003	0.006	0.0052	-0.002	-0.0024	-0.0027	0.0036	0.0018	0.0125	-0.0001	0.0002	0.0162	-0.0023	0.0006	-0.0024	0.0003	-0.0025	0.0001	0.0079	0.0102	-0.0026	0.0087	0.0037	0.0045	-0.0022	-0.0017	-0.0019	0.0047	0.0024	0.0047	0.0026	0.0087	0.0008	0.0077	0.0102	-0.0032	0.0024	-0.0015	-0.0019	0.0059
sad_vc_estimate_se	0.0089	0.0027	0.002	0.002	0.0019	0.0019	0.003	0.0026	0.0015	0.0056	0.0027	0.0053	0.0064	0.0044	0.0021	0.0021	0.0015	0.0102	0.0033	0.0031	0.0037	0.0024	0.0022	0.0018	0.0015	0.0019	0.0013	0.002	0.0014	0.0012	0.0017	0.0018	0.0014	0.0013	0.002	0.0023	0.0021	0.0019	0.0016	0.0018	0.0017	0.0015	0.0017	0.0019	0.0021	0.0021	0.0014	0.0018	0.0022	0.0016	0.0013	0.0021	0.0023	0.0018	0.002	0.0011	0.0016	0.001	0.0017	0.0017	0.0022	0.0015	0.0013	0.0027	0.0017	0.0018	0.0013	0.0016	0.0019	0.0009	0.0017	0.0018	0.0021	0.002	0.0014	0.0013	0.0014	0.0015	0.0019	0.0014	0.0017	0.0014	0.0017	0.0016	0.002	0.001	0.0011	0.0022	0.0013	0.0017	0.0012	0.0016	0.0015	0.002	0.0012	0.0018	0.0013	0.0014	0.0016	0.0016
sad_vc_pvals	0.537	0.142	0.822	0.202	0.714	0.402	0.515	0.712	0.106	0.384	0.069	0.789	0.721	0.625	0.571	0.399	0.58	0.118	0.598	0.766	0.709	0.833	0.126	0.534	0.453	0.277	0.041	0.405	0.156	0.942	0.069	0.474	0.923	0.215	0.398	0.341	0.539	0.63	0.483	0.183	0.664	0.068	0.084	0.822	0.673	0.081	0.947	0.038	0.22	0.305	0.309	0.126	0.26	0.396	0.708	0.463	0.364	0.642	0.351	0.159	0.737	0.028	0.284	0.682	0.834	0.767	0.304	0.343	0.312	0.538	0.383	0.094	0.775	0.39	0.855	0.531	0.944	0.494	0.176	0.116	0.756	0.152	0.195	0.409	0.633	0.816	0.786	0.21	0.418	0.206	0.294	0.269	0.641	0.221	0.095	0.874	0.337	0.548	0.617	0.114
upper95_perm_sad	0.3226	0.042	0.0497	0.0147	0.047	0.0199	0.045	0.0205	0.0356	0.0623	0.0494	0.106	0.0689	0.0639	0.026	0.0413	0.0365	0.1206	0.1009	0.071	0.0441	0.0543	0.0343	0.0631	0.0215	0.0613	0.0312	0.0429	0.0499	0.0215	0.071	0.0274	0.0493	0.0338	0.02	0.0336	0.0687	0.0486	0.0172	0.0334	0.0254	0.0529	0.0422	0.0178	0.0239	0.0436	0.0269	0.06	0.0488	0.0359	0.0393	0.0339	0.0327	0.0168	0.0323	0.0179	0.0185	0.0123	0.0566	0.032	0.104	0.0083	0.0441	0.0935	0.0786	0.0379	0.0275	0.0282	0.0776	0.0206	0.0226	0.0474	0.0942	0.0353	0.0224	0.0354	0.0331	0.0272	0.0376	0.0328	0.0214	0.0345	0.0211	0.0719	0.0288	0.0176	0.0118	0.0307	0.0443	0.0259	0.0266	0.0502	0.0681	0.0452	0.0285	0.0323	0.0277	0.0144	0.0244	0.0186
lower0_perm_sad	-0.0452	-0.0139	-0.0105	-0.0103	-0.0101	-0.0096	-0.0162	-0.013	-0.0077	-0.0291	-0.0142	-0.0275	-0.0322	-0.0232	-0.0106	-0.0106	-0.0077	-0.0533	-0.0165	-0.0157	-0.019	-0.0126	-0.0113	-0.0092	-0.0079	-0.0099	-0.0067	-0.0106	-0.0071	-0.0061	-0.0085	-0.0094	-0.0071	-0.0067	-0.0101	-0.012	-0.0102	-0.0099	-0.0081	-0.0091	-0.0086	-0.0078	-0.0087	-0.0097	-0.0107	-0.011	-0.0076	-0.0093	-0.0115	-0.0083	-0.0065	-0.0113	-0.0122	-0.0097	-0.0105	-0.0055	-0.0079	-0.0048	-0.0089	-0.0088	-0.011	-0.0076	-0.0069	-0.014	-0.009	-0.0092	-0.0066	-0.0084	-0.0099	-0.0047	-0.0086	-0.0093	-0.0101	-0.0106	-0.0073	-0.0065	-0.0073	-0.0073	-0.0099	-0.0073	-0.009	-0.0074	-0.0085	-0.0081	-0.0103	-0.0052	-0.006	-0.0118	-0.0065	-0.0089	-0.006	-0.0088	-0.0076	-0.0107	-0.0064	-0.0097	-0.0066	-0.0072	-0.0082	-0.0088
