	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1078	-0.0053	-0.0053	0.0719	0.0036	0.0101	-0.0014	-0.004	-0.0044	-0.0015	-0.0023	-0.0015	0.0147	0.0274	-0.0044	-0.0038	-0.0027	-0.0039	0.0051	-0.0015	0.0009	0.0145	0.0089	-0.0015	0.0131	-0.001	-0.0042	-0.0046	-0.0011	-0.0023	-0.0045	-0.0034	-0.0028	-0.0052	0.0341	-0.0045	0.0236	-0.0019	-0.0039	0.011	0.0015	0.0956	0.0296	0.0155	0.0163	0.0008	0.016	-0.0043	0.0099	0.0143	-0.003	-0.0022	0.009	-0.0042	0.0051	0.0281	0.0119	-0.0043	-0.0003	0.0355	-0.005	0.0018	-0.0043	-0.0039	0.0047	-0.0002	0.009	0.0023	0.004	0.0035	-0.0016	-0.0022	0.0023	0.0055	0.0245	0.0004	0.0047	0.1299	-0.0006	0.025	-0.0045	-0.0041	0.0031	0.0022	0.0012	-0.002	0.0078	0.0106	0.0059	-0.0036	-0.0031	0.0053	0.0172	-0.0013	-0.005	0.0143	0.0156	-0.0046	-0.0046	0.007
direct_vc_estimate_se	2.1756	0.9811	0.6894	0.5843	0.5804	0.6161	0.5426	0.5365	0.5321	0.5682	0.5813	0.6391	0.5756	0.5299	0.5335	0.5363	0.5767	0.5509	0.5119	0.5402	0.5143	0.5449	0.5495	0.5479	0.5179	0.5533	0.5256	0.5979	0.5407	0.535	0.5616	0.5511	0.5099	0.6083	0.5368	0.5268	0.5007	0.6005	0.5266	0.5339	0.5399	0.5288	0.5155	0.5248	0.5625	0.5276	0.5369	0.5147	0.5604	0.5285	0.5513	0.5187	0.5301	0.5495	0.5734	0.5444	0.5597	0.5065	0.5113	0.5211	0.584	0.5137	0.5335	0.5395	0.5367	0.6496	0.5303	0.5092	0.5029	0.4941	0.5529	0.543	0.5161	0.6256	0.5312	0.5961	0.649	0.5775	0.5307	0.5448	0.5622	0.5149	0.6104	0.5087	0.5388	0.5262	0.5763	0.5576	0.5112	0.5453	0.5553	0.5175	0.5582	0.5151	0.5955	0.5192	0.5733	0.592	0.535	0.515
direct_vc_pvals	0.085	0.67	0.811	0.008	0.352	0.188	0.537	0.823	0.891	0.521	0.576	0.521	0.167	0.062	0.912	0.774	0.641	0.767	0.303	0.54	0.45	0.157	0.247	0.595	0.153	0.517	0.859	0.796	0.519	0.605	0.842	0.683	0.666	0.957	0.039	0.972	0.075	0.549	0.811	0.19	0.398	0.002	0.047	0.125	0.123	0.435	0.098	0.932	0.191	0.134	0.647	0.583	0.211	0.806	0.276	0.037	0.159	0.956	0.472	0.035	0.966	0.388	0.859	0.791	0.269	0.477	0.218	0.404	0.291	0.304	0.56	0.577	0.369	0.269	0.068	0.398	0.295	0.0	0.488	0.067	0.863	0.839	0.313	0.364	0.374	0.57	0.238	0.201	0.243	0.714	0.655	0.278	0.1	0.535	0.898	0.118	0.123	0.821	0.992	0.22
upper95_perm_direct	0.1802	0.0675	0.0418	0.0444	0.0408	0.0344	0.036	0.0436	0.0457	0.0368	0.043	0.0347	0.0448	0.0382	0.0402	0.0417	0.0417	0.035	0.0337	0.0363	0.0375	0.0347	0.0437	0.0402	0.0415	0.0327	0.0338	0.0385	0.0365	0.0371	0.0402	0.0347	0.0348	0.0386	0.0384	0.039	0.0371	0.0352	0.0396	0.0367	0.0377	0.0407	0.0363	0.0332	0.037	0.039	0.0327	0.0346	0.0341	0.0359	0.0389	0.0339	0.0394	0.0363	0.0368	0.0326	0.0381	0.0355	0.0331	0.0387	0.0349	0.0306	0.0367	0.04	0.0335	0.0377	0.0358	0.0361	0.0314	0.0344	0.0374	0.0313	0.0335	0.0348	0.0387	0.0341	0.0428	0.039	0.0364	0.0373	0.0349	0.0333	0.0354	0.0351	0.0287	0.0313	0.0372	0.0379	0.031	0.0317	0.0351	0.0331	0.0318	0.0354	0.0371	0.0291	0.0319	0.034	0.0288	0.0365
lower0_perm_direct	-0.0274	-0.0126	-0.0086	-0.0074	-0.0073	-0.0078	-0.007	-0.0069	-0.0067	-0.0073	-0.0076	-0.0081	-0.0073	-0.0069	-0.0068	-0.0071	-0.0075	-0.007	-0.0066	-0.0069	-0.0068	-0.0068	-0.0072	-0.0068	-0.0068	-0.007	-0.0067	-0.0076	-0.0067	-0.0072	-0.0071	-0.0071	-0.0064	-0.0077	-0.0068	-0.007	-0.0064	-0.0076	-0.0066	-0.0068	-0.0073	-0.0069	-0.0065	-0.0066	-0.0074	-0.0068	-0.0068	-0.0069	-0.0074	-0.0068	-0.0071	-0.0065	-0.0067	-0.0072	-0.0075	-0.0073	-0.0071	-0.0064	-0.0065	-0.0063	-0.0074	-0.0068	-0.0067	-0.0068	-0.0068	-0.0083	-0.0068	-0.0064	-0.0064	-0.0064	-0.007	-0.007	-0.0065	-0.0084	-0.0069	-0.008	-0.0086	-0.0074	-0.007	-0.0069	-0.0075	-0.0069	-0.0077	-0.0064	-0.0068	-0.0066	-0.0075	-0.0074	-0.0065	-0.0069	-0.007	-0.0068	-0.0073	-0.0065	-0.0075	-0.0066	-0.0074	-0.0074	-0.0068	-0.0065
sad_vc_estimate	0.0526	-0.0042	-0.0012	0.1037	-0.0042	0.011	0.0084	0.0035	-0.003	0.0009	-0.005	-0.005	0.0404	0.058	-0.0048	-0.0042	0.0003	-0.0047	0.0123	0.0081	-0.0037	0.0275	0.0103	-0.0001	-0.0006	-0.0006	-0.0014	0.0001	0.0016	-0.0036	-0.0041	0.0022	0.0189	-0.0045	0.0337	-0.0047	0.0176	0.0051	-0.0005	0.0296	-0.0043	0.1093	0.0322	0.0757	0.0333	0.0196	0.0099	-0.0011	0.0027	0.0305	0.0145	0.0061	-0.0048	-0.0005	-0.0029	0.04	0.0112	0.0015	0.005	0.0409	-0.0053	0.0045	-0.0004	-0.0049	0.0241	0.008	0.0131	0.0111	0.0056	0.0413	-0.004	0.0086	0.0091	0.0241	0.0106	-0.0026	-0.0048	0.1422	-0.002	0.0179	-0.0051	0.0022	0.0058	-0.0022	0.0122	-0.0023	-0.0005	-0.0015	0.0303	-0.0021	-0.0048	0.0055	0.0109	0.0029	-0.0021	0.0021	0.0388	-0.0054	-0.0047	-0.0
sad_vc_estimate_se	2.3302	1.0487	0.7374	0.6292	0.6232	0.657	0.5844	0.5771	0.5725	0.6083	0.6217	0.6787	0.6164	0.5699	0.5741	0.5779	0.6161	0.5905	0.5514	0.5824	0.554	0.5841	0.5894	0.5889	0.5571	0.5928	0.5648	0.6368	0.5803	0.5736	0.6007	0.5903	0.5491	0.6473	0.5757	0.5653	0.5392	0.6405	0.5655	0.5733	0.5798	0.568	0.5541	0.5637	0.6023	0.5665	0.5762	0.5532	0.5992	0.5673	0.5899	0.5581	0.5693	0.5903	0.613	0.5841	0.5989	0.5449	0.5495	0.5603	0.6228	0.5528	0.5725	0.5777	0.5759	0.6892	0.5688	0.547	0.5427	0.5332	0.5912	0.5821	0.5547	0.6636	0.571	0.6343	0.687	0.6169	0.5695	0.5834	0.6009	0.5538	0.6492	0.5468	0.577	0.5654	0.6148	0.5965	0.5497	0.5842	0.5938	0.5561	0.5964	0.5538	0.6334	0.5579	0.6112	0.6308	0.5733	0.5552
sad_vc_pvals	0.231	0.618	0.536	0.004	0.776	0.234	0.266	0.389	0.682	0.466	0.889	0.796	0.052	0.013	0.91	0.818	0.533	0.865	0.217	0.275	0.753	0.07	0.259	0.502	0.544	0.514	0.564	0.48	0.452	0.727	0.767	0.402	0.139	0.767	0.066	0.93	0.141	0.34	0.541	0.085	0.796	0.0	0.061	0.011	0.052	0.149	0.259	0.547	0.393	0.071	0.2	0.318	0.952	0.517	0.642	0.037	0.234	0.441	0.345	0.065	0.986	0.338	0.517	0.996	0.09	0.279	0.209	0.236	0.296	0.037	0.763	0.281	0.246	0.097	0.206	0.62	0.778	0.0	0.613	0.165	0.971	0.42	0.315	0.631	0.181	0.638	0.517	0.576	0.054	0.6	0.86	0.327	0.216	0.394	0.597	0.386	0.049	0.98	0.89	0.487
upper95_perm_sad	0.2503	0.0771	0.0644	0.049	0.0482	0.0524	0.042	0.0475	0.0503	0.0509	0.0531	0.0453	0.0533	0.047	0.0451	0.0477	0.0546	0.0479	0.0482	0.0482	0.0423	0.0424	0.0488	0.046	0.0547	0.0407	0.0435	0.0427	0.0534	0.0438	0.0458	0.0399	0.0457	0.0519	0.0535	0.0547	0.0423	0.0497	0.0514	0.0502	0.0507	0.0511	0.0452	0.052	0.0452	0.0489	0.0508	0.0428	0.0421	0.0495	0.0505	0.045	0.0525	0.0435	0.0438	0.0415	0.0532	0.0466	0.0429	0.0598	0.0458	0.0413	0.0442	0.0548	0.0415	0.0465	0.0461	0.0477	0.0469	0.0475	0.059	0.0474	0.048	0.0461	0.037	0.0425	0.0508	0.0439	0.0446	0.0482	0.0508	0.0484	0.0419	0.052	0.0428	0.0537	0.0545	0.0507	0.0389	0.0412	0.0411	0.0432	0.048	0.042	0.0499	0.0436	0.048	0.0476	0.0417	0.0475
lower0_perm_sad	-0.0297	-0.0138	-0.0094	-0.008	-0.0081	-0.0086	-0.0078	-0.0077	-0.0073	-0.0081	-0.0079	-0.0086	-0.0077	-0.0075	-0.0072	-0.0077	-0.0079	-0.0075	-0.0069	-0.0077	-0.007	-0.0079	-0.0073	-0.0074	-0.0071	-0.0079	-0.0072	-0.008	-0.0074	-0.0077	-0.0076	-0.0075	-0.0069	-0.0084	-0.0073	-0.0071	-0.0073	-0.0086	-0.0073	-0.0074	-0.0072	-0.0071	-0.0068	-0.007	-0.008	-0.0075	-0.0076	-0.0071	-0.0077	-0.0072	-0.0076	-0.0073	-0.0075	-0.0078	-0.0082	-0.0075	-0.0078	-0.0074	-0.0069	-0.0074	-0.0077	-0.007	-0.0073	-0.0073	-0.0076	-0.0089	-0.0074	-0.0069	-0.0068	-0.0068	-0.0076	-0.0074	-0.0074	-0.0086	-0.0073	-0.008	-0.0088	-0.0075	-0.0076	-0.0076	-0.0077	-0.0072	-0.0081	-0.0072	-0.0073	-0.0069	-0.0082	-0.0075	-0.0069	-0.0077	-0.0078	-0.0072	-0.0077	-0.007	-0.0079	-0.0073	-0.0082	-0.008	-0.0077	-0.0069
