	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0342	0.1039	0.005	0.0353	0.0007	0.0019	-0.0	0.0032	0.0015	0.0124	0.0012	-0.0	0.0205	0.0144	0.0036	0.0032	0.0002	0.0001	0.0057	-0.0	0.0011	0.0043	0.0013	0.0003	0.0003	0.0011	0.001	0.0017	0.0028	0.0125	0.0014	0.0001	0.0004	0.0012	0.0022	0.0013	0.0167	0.0	0.0062	0.0001	0.0071	0.0004	0.0002	0.0021	0.0001	0.0016	0.0	0.0247	-0.0	0.003	0.0	0.0013	0.0001	0.0002	0.0139	0.0039	0.0011	0.0003	0.0005	0.0007	-0.0	0.0003	0.0023	0.0	0.0019	0.0068	0.0005	-0.0	0.0004	0.0001	-0.0	0.0093	0.002	0.0002	0.0001	0.0017	0.0002	0.0002	0.0014	0.0267	0.0038	0.0009	-0.0	0.003	0.0066	0.001	0.007	0.0012	0.001	0.0002	0.0022	0.0075	0.0033	0.0021	0.0	0.0	0.0038	0.0019	0.0008	-0.0
direct_vc_estimate_se	0.0005	0.0004	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.175	0.0	0.361	0.0	0.461	0.16	0.91	0.318	0.255	0.003	0.116	0.885	0.019	0.005	0.21	0.068	0.415	0.777	0.005	0.85	0.211	0.1	0.22	0.637	0.556	0.357	0.568	0.134	0.284	0.033	0.531	0.793	0.392	0.21	0.127	0.194	0.067	0.891	0.018	0.494	0.067	0.547	0.625	0.233	0.869	0.384	0.874	0.0	0.959	0.003	0.844	0.466	0.77	0.507	0.04	0.049	0.482	0.72	0.467	0.102	0.997	0.453	0.516	0.836	0.396	0.259	0.597	0.888	0.707	0.757	0.929	0.003	0.245	0.607	0.649	0.515	0.479	0.657	0.183	0.0	0.165	0.327	0.925	0.05	0.058	0.432	0.025	0.405	0.288	0.685	0.345	0.022	0.051	0.104	0.881	0.693	0.226	0.048	0.583	0.729
upper95_perm_direct	0.1137	0.0747	0.0249	0.0361	0.0071	0.007	0.0113	0.0146	0.0065	0.0159	0.0034	0.0084	0.0303	0.0147	0.0119	0.0063	0.0025	0.0096	0.007	0.0034	0.004	0.0098	0.0056	0.0055	0.0047	0.0078	0.0181	0.0049	0.0089	0.0185	0.0184	0.013	0.0039	0.005	0.0053	0.0052	0.0307	0.0165	0.0079	0.002	0.0136	0.0072	0.0062	0.0059	0.0084	0.0126	0.0123	0.0215	0.0051	0.0033	0.0099	0.0128	0.0104	0.002	0.0221	0.0068	0.0113	0.0078	0.0054	0.0015	0.0054	0.0029	0.019	0.0095	0.0157	0.0209	0.0081	0.0043	0.0119	0.0089	0.0121	0.0084	0.0069	0.0067	0.003	0.0155	0.0038	0.0056	0.0046	0.0252	0.0117	0.0055	0.0091	0.0053	0.012	0.0092	0.0102	0.0067	0.0047	0.007	0.0105	0.0111	0.006	0.0049	0.0122	0.0019	0.0129	0.0033	0.0154	0.0018
lower0_perm_direct	-0.0005	-0.0004	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001
sad_vc_estimate	0.1693	0.3963	0.0269	0.1213	0.0057	0.0072	-0.0	0.0115	0.0067	0.0419	0.0051	0.0004	0.078	0.0484	0.0152	0.0112	0.0005	-0.0	0.0242	0.0003	0.0055	0.0122	0.0033	0.0022	0.0002	0.0033	0.0014	0.009	0.0118	0.0479	0.002	0.0006	0.0029	0.003	0.0106	0.0056	0.0602	0.0006	0.0211	0.0007	0.028	0.0008	0.0014	0.0156	0.0006	0.0031	0.0	0.0846	0.0001	0.0116	0.0006	0.0049	0.0001	0.0022	0.0633	0.0159	0.0073	0.001	0.0037	0.0043	0.0	0.002	0.0129	0.0011	0.0083	0.02	0.0031	0.0	0.0021	0.0002	-0.0	0.0393	0.008	0.0031	0.0003	0.0106	0.001	0.0009	0.0058	0.0959	0.0141	0.0037	0.0003	0.0168	0.0254	0.0024	0.0201	0.0058	0.0039	0.0006	0.0094	0.0238	0.0105	0.0071	0.0	0.0	0.0162	0.0046	0.0059	-0.0
sad_vc_estimate_se	0.0005	0.0004	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.156	0.0	0.31	0.001	0.342	0.161	0.958	0.29	0.193	0.01	0.112	0.807	0.027	0.014	0.195	0.095	0.558	0.919	0.011	0.707	0.162	0.152	0.328	0.537	0.786	0.421	0.759	0.07	0.31	0.04	0.673	0.797	0.219	0.276	0.114	0.185	0.08	0.835	0.039	0.409	0.089	0.653	0.547	0.069	0.884	0.534	0.952	0.0	0.844	0.013	0.76	0.483	0.888	0.196	0.017	0.069	0.425	0.777	0.336	0.055	0.846	0.298	0.454	0.708	0.369	0.379	0.49	0.87	0.655	0.826	0.951	0.001	0.301	0.428	0.669	0.421	0.485	0.664	0.13	0.0	0.13	0.364	0.822	0.039	0.078	0.463	0.05	0.403	0.36	0.732	0.358	0.037	0.091	0.142	0.933	0.815	0.256	0.112	0.49	0.883
upper95_perm_sad	0.4421	0.3507	0.1012	0.1435	0.0271	0.0239	0.0407	0.0535	0.0252	0.0573	0.013	0.0394	0.1356	0.0645	0.0499	0.0251	0.009	0.0444	0.0321	0.0165	0.0163	0.035	0.0202	0.0187	0.0208	0.0255	0.0791	0.0177	0.0384	0.0781	0.0724	0.0541	0.0113	0.0171	0.0249	0.0192	0.1221	0.0683	0.0324	0.0077	0.0601	0.0282	0.024	0.0302	0.0365	0.0443	0.0475	0.0831	0.0201	0.0136	0.0432	0.0496	0.044	0.0076	0.0927	0.032	0.0491	0.0326	0.0201	0.0084	0.0167	0.0106	0.0781	0.0383	0.061	0.0829	0.0276	0.0141	0.0423	0.0326	0.0569	0.0387	0.0282	0.0292	0.0119	0.0536	0.0138	0.0259	0.0162	0.1056	0.039	0.0252	0.0358	0.0297	0.0555	0.0297	0.0353	0.031	0.0203	0.0302	0.0474	0.0414	0.0221	0.0198	0.0485	0.0077	0.0578	0.0121	0.0632	0.0085
lower0_perm_sad	-0.0005	-0.0004	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001
