	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0292	0.0057	-0.0007	0.0007	-0.0005	-0.0002	-0.0002	-0.0005	-0.0001	0.0009	-0.0005	0.0155	0.0023	-0.0006	-0.0003	0.0106	-0.0002	0.0023	0.0009	0.0001	-0.0001	0.0064	0.0003	0.003	0.0014	-0.0007	0.0016	0.0132	-0.0004	0.0098	0.0005	0.0018	-0.0003	-0.0004	-0.0006	0.0088	0.0084	0.0005	-0.0003	0.0052	-0.0005	-0.0002	-0.0001	-0.0004	0.0088	-0.0002	0.0011	0.0031	0.0003	0.0188	0.0048	0.0002	0.0004	0.0004	0.0107	0.0	0.0028	-0.0004	-0.0002	-0.0003	-0.0006	-0.0005	0.0005	0.0001	0.0035	-0.0	0.0008	0.0024	0.0065	-0.0006	0.0004	0.0188	0.0123	0.0004	0.0003	0.0031	-0.0002	-0.0005	0.0025	0.0012	-0.0002	0.0003	0.009	-0.0005	0.0001	-0.0001	0.0032	0.0004	0.0041	0.0041	0.0015	0.0007	0.0002	-0.0006	0.0082	0.0135	0.0107	0.0069	0.0009	0.0031
direct_vc_estimate_se	0.013	0.0063	0.005	0.004	0.0038	0.0044	0.0045	0.0051	0.0043	0.0045	0.0045	0.0044	0.0044	0.0045	0.0044	0.0057	0.0044	0.0055	0.0053	0.0051	0.0042	0.0045	0.0044	0.0045	0.0042	0.0047	0.005	0.0045	0.0043	0.0046	0.0043	0.0041	0.0041	0.0037	0.0044	0.0039	0.0055	0.0048	0.0039	0.004	0.004	0.0044	0.004	0.0042	0.0036	0.0044	0.0034	0.0038	0.0042	0.0045	0.0042	0.004	0.0042	0.0041	0.0036	0.0036	0.0044	0.004	0.0044	0.0043	0.0041	0.0038	0.0036	0.0035	0.0038	0.0038	0.0045	0.0043	0.0046	0.0044	0.0049	0.0043	0.0042	0.0039	0.0038	0.0033	0.0037	0.0034	0.0038	0.0043	0.0045	0.005	0.0044	0.0044	0.0038	0.0039	0.0038	0.0038	0.0037	0.0045	0.004	0.0037	0.0038	0.0044	0.0036	0.0041	0.0039	0.0043	0.004	0.0034
direct_vc_pvals	0.059	0.318	0.987	0.423	0.947	0.726	0.75	0.815	0.712	0.492	0.859	0.053	0.341	0.969	0.773	0.16	0.661	0.478	0.608	0.711	0.7	0.273	0.635	0.301	0.412	1.0	0.497	0.029	0.801	0.082	0.73	0.422	0.79	0.781	0.953	0.052	0.311	0.551	0.72	0.137	0.903	0.706	0.683	0.842	0.108	0.718	0.342	0.16	0.658	0.046	0.262	0.646	0.637	0.546	0.083	0.688	0.31	0.816	0.715	0.749	0.939	0.873	0.589	0.515	0.256	0.663	0.532	0.321	0.212	0.987	0.622	0.038	0.065	0.639	0.601	0.27	0.711	0.932	0.385	0.447	0.704	0.664	0.143	0.862	0.647	0.697	0.303	0.485	0.207	0.275	0.517	0.485	0.681	0.969	0.112	0.031	0.017	0.074	0.432	0.199
upper95_perm_direct	0.0299	0.0219	0.012	0.0071	0.0073	0.0116	0.0137	0.0143	0.0126	0.0115	0.018	0.0149	0.0115	0.0093	0.0103	0.02	0.007	0.0178	0.0222	0.0168	0.0096	0.0181	0.0132	0.0099	0.0109	0.0139	0.0159	0.0102	0.0133	0.0112	0.0174	0.0121	0.0134	0.0067	0.0143	0.008	0.0274	0.0118	0.0081	0.0086	0.0108	0.0125	0.0086	0.018	0.0117	0.011	0.0055	0.006	0.0144	0.0173	0.0129	0.0117	0.0168	0.0083	0.0128	0.0101	0.0109	0.0155	0.0102	0.0128	0.0092	0.0113	0.0103	0.0046	0.0102	0.0085	0.0115	0.0104	0.0131	0.0111	0.0169	0.017	0.0131	0.014	0.0106	0.0096	0.0077	0.0073	0.0135	0.0116	0.0096	0.019	0.015	0.0123	0.0083	0.0081	0.0103	0.0073	0.0095	0.0155	0.0151	0.0096	0.0118	0.0161	0.0119	0.0105	0.0065	0.0076	0.0084	0.0076
lower0_perm_direct	-0.0022	-0.001	-0.0008	-0.0006	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0009	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0005
sad_vc_estimate	0.1016	0.0286	0.0008	0.0002	0.0023	0.0006	0.0074	-0.0	0.0033	0.0008	-0.0006	0.0447	0.0043	0.001	0.0012	0.0282	-0.0003	0.0254	0.0185	0.0067	0.0013	0.0176	0.0007	0.0038	0.0016	0.0011	0.0014	0.0388	-0.0006	0.0306	0.0008	0.0123	-0.0003	-0.0005	-0.0007	0.0318	0.0324	0.0105	-0.0005	0.0056	0.0022	0.0008	0.0045	0.0051	0.0294	-0.0006	0.0085	0.0089	0.0093	0.0597	0.0357	0.0024	0.0004	0.0113	0.0433	0.0043	0.0081	0.0023	0.0025	-0.0004	-0.0006	0.0003	0.0034	0.0004	0.0261	-0.0005	0.005	0.0073	0.0153	0.0013	0.012	0.0589	0.0387	0.0004	0.0038	0.0086	0.0002	-0.0005	0.0078	0.0025	0.0008	0.0049	0.0237	-0.0005	0.003	0.0025	0.0038	0.0019	0.0054	0.0179	0.0043	0.0045	0.0057	0.0012	0.0106	0.0673	0.0332	0.0228	0.0085	0.0115
sad_vc_estimate_se	0.0134	0.0066	0.0051	0.0041	0.0039	0.0046	0.0047	0.0053	0.0045	0.0046	0.0047	0.0045	0.0046	0.0046	0.0045	0.0059	0.0046	0.0056	0.0055	0.0053	0.0043	0.0046	0.0046	0.0047	0.0043	0.0048	0.0052	0.0047	0.0044	0.0047	0.0044	0.0042	0.0042	0.0039	0.0045	0.0041	0.0057	0.005	0.004	0.0042	0.0042	0.0046	0.0041	0.0043	0.0037	0.0045	0.0035	0.0039	0.0043	0.0046	0.0043	0.0041	0.0044	0.0043	0.0037	0.0038	0.0046	0.0041	0.0045	0.0044	0.0042	0.0039	0.0037	0.0036	0.0039	0.004	0.0046	0.0044	0.0048	0.0045	0.005	0.0044	0.0043	0.004	0.004	0.0034	0.0038	0.0035	0.004	0.0044	0.0047	0.0052	0.0045	0.0045	0.0039	0.0041	0.004	0.0039	0.0038	0.0047	0.0041	0.0038	0.0039	0.0045	0.0038	0.0042	0.004	0.0044	0.0042	0.0035
sad_vc_pvals	0.067	0.249	0.721	0.761	0.546	0.754	0.406	0.84	0.588	0.758	0.962	0.066	0.485	0.708	0.714	0.215	0.847	0.222	0.34	0.52	0.679	0.356	0.736	0.527	0.648	0.726	0.736	0.043	0.937	0.121	0.797	0.318	0.873	0.946	0.986	0.033	0.285	0.355	0.949	0.418	0.664	0.73	0.439	0.596	0.117	0.97	0.229	0.277	0.415	0.054	0.074	0.603	0.811	0.245	0.083	0.518	0.408	0.694	0.554	0.886	0.936	0.799	0.533	0.657	0.108	0.902	0.495	0.376	0.296	0.687	0.332	0.061	0.084	0.793	0.542	0.312	0.784	0.959	0.405	0.594	0.751	0.588	0.22	0.919	0.519	0.561	0.541	0.586	0.406	0.235	0.578	0.476	0.465	0.721	0.323	0.015	0.029	0.075	0.346	0.192
upper95_perm_sad	0.1084	0.08	0.0427	0.0274	0.025	0.044	0.0437	0.0524	0.0438	0.0418	0.0548	0.0483	0.0409	0.0358	0.0365	0.0628	0.0289	0.0613	0.0735	0.0532	0.0359	0.061	0.0389	0.0379	0.0361	0.0464	0.0636	0.0351	0.05	0.0437	0.0547	0.0417	0.0403	0.0247	0.0531	0.0257	0.089	0.0424	0.0308	0.0319	0.0405	0.0421	0.0307	0.0568	0.0437	0.0352	0.0196	0.0277	0.047	0.0578	0.0385	0.0368	0.0543	0.0338	0.0536	0.0419	0.0437	0.0507	0.0391	0.0511	0.0288	0.0385	0.0353	0.0184	0.0356	0.0287	0.0413	0.0337	0.0531	0.0372	0.047	0.0614	0.0451	0.0433	0.0369	0.0324	0.0316	0.0255	0.0406	0.0398	0.0379	0.0618	0.0542	0.0418	0.0284	0.0296	0.0383	0.0237	0.028	0.0445	0.0531	0.0328	0.0417	0.0541	0.039	0.0413	0.0262	0.0262	0.0316	0.0254
lower0_perm_sad	-0.0023	-0.001	-0.0008	-0.0007	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0009	-0.0007	-0.0009	-0.0008	-0.0009	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.001	-0.0008	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0005	-0.0006	-0.0005	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006
