	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1519	-0.117	-0.0287	-0.0175	-0.0137	0.0004	-0.0047	-0.0046	-0.0025	-0.0012	0.0135	-0.0044	0.0029	0.0005	-0.0004	-0.0015	-0.0028	-0.0027	-0.0032	0.013	-0.0026	0.0163	-0.0019	0.0258	-0.0029	0.0112	-0.0027	-0.0003	0.0069	-0.0002	-0.0026	-0.003	0.0005	0.005	-0.0031	-0.0029	-0.0029	0.0087	-0.0002	-0.0022	-0.0016	-0.0026	-0.003	0.0009	0.0196	-0.0029	0.0014	0.0043	-0.0026	0.0033	-0.0028	0.0304	-0.003	-0.0025	0.0125	0.015	-0.0005	0.0037	0.0009	-0.003	0.0096	0.0021	-0.0023	0.0014	0.0087	0.008	-0.0009	-0.0029	0.0011	-0.0026	-0.0006	-0.0031	0.0008	-0.0011	0.0246	0.0042	0.001	0.0236	0.0088	0.0034	0.0039	-0.0023	-0.0031	-0.0007	0.0121	0.0308	-0.0003	0.0012	-0.0021	-0.0019	0.0048	-0.0007	0.0145	-0.0016	-0.003	-0.0029	0.002	-0.0012	-0.003	0.0038
direct_vc_estimate_se	3.0571	2.3844	0.9568	0.6874	0.2696	0.1206	0.0927	0.112	0.0856	0.0738	0.0873	0.0859	0.0683	0.0633	0.0649	0.0616	0.0581	0.0677	0.0712	0.0579	0.0673	0.0702	0.0572	0.0628	0.0601	0.0665	0.0629	0.0627	0.0617	0.0643	0.0621	0.0649	0.0618	0.0599	0.0621	0.0613	0.0596	0.0647	0.0632	0.0636	0.0593	0.063	0.0682	0.0613	0.0627	0.0647	0.0676	0.0601	0.0603	0.0613	0.0592	0.0623	0.0591	0.063	0.0611	0.0601	0.067	0.0654	0.0665	0.0586	0.0635	0.0605	0.0598	0.0631	0.0603	0.0577	0.0612	0.0613	0.059	0.0618	0.0631	0.0627	0.0589	0.0581	0.0577	0.0614	0.0623	0.0576	0.0597	0.0595	0.0591	0.0593	0.0608	0.0635	0.0643	0.0583	0.0625	0.062	0.0602	0.0632	0.0625	0.0645	0.0606	0.06	0.0602	0.0618	0.0645	0.0602	0.0599	0.0664
direct_vc_pvals	0.901	0.871	0.621	0.554	0.994	0.384	0.951	0.737	0.606	0.508	0.118	0.985	0.303	0.358	0.439	0.527	0.893	0.72	0.792	0.088	0.724	0.078	0.648	0.023	0.837	0.118	0.787	0.511	0.2	0.498	0.74	0.835	0.447	0.23	0.924	0.885	0.884	0.147	0.458	0.699	0.626	0.742	0.769	0.416	0.049	0.799	0.374	0.279	0.772	0.311	0.873	0.019	0.937	0.738	0.098	0.07	0.49	0.272	0.421	0.982	0.143	0.366	0.746	0.398	0.122	0.183	0.524	0.856	0.419	0.726	0.469	0.918	0.422	0.541	0.03	0.265	0.396	0.037	0.143	0.275	0.292	0.708	0.942	0.499	0.113	0.013	0.485	0.396	0.677	0.639	0.246	0.53	0.093	0.645	0.913	0.85	0.372	0.565	0.992	0.275
upper95_perm_direct	0.6745	0.5173	0.2619	0.2038	0.1106	0.0253	0.0181	0.0401	0.0254	0.0181	0.0284	0.0304	0.021	0.0166	0.019	0.0153	0.0151	0.0151	0.0202	0.0203	0.0227	0.0246	0.0172	0.0215	0.0197	0.024	0.0229	0.0232	0.0224	0.0222	0.0238	0.0229	0.0222	0.0235	0.0257	0.0231	0.0211	0.0196	0.0222	0.0237	0.0229	0.0204	0.022	0.0229	0.0213	0.0237	0.0226	0.0236	0.0239	0.0201	0.0207	0.0218	0.02	0.0244	0.0226	0.0195	0.0214	0.0203	0.0198	0.0211	0.0218	0.0235	0.0208	0.0233	0.0192	0.0232	0.0217	0.0218	0.0218	0.0221	0.0208	0.0248	0.0214	0.0193	0.0222	0.0221	0.02	0.0231	0.0224	0.0199	0.0233	0.024	0.0224	0.021	0.0238	0.0206	0.0209	0.0209	0.0231	0.021	0.0233	0.0238	0.0225	0.0216	0.0215	0.0187	0.0197	0.0203	0.0208	0.0249
lower0_perm_direct	-0.199	-0.1526	-0.0625	-0.0433	-0.0177	-0.0077	-0.006	-0.0071	-0.0056	-0.0047	-0.0056	-0.0056	-0.0044	-0.0041	-0.0042	-0.0041	-0.0038	-0.0043	-0.0045	-0.0037	-0.0043	-0.0045	-0.0037	-0.0041	-0.0039	-0.0042	-0.004	-0.004	-0.004	-0.0041	-0.004	-0.0042	-0.004	-0.0039	-0.0041	-0.0039	-0.0039	-0.0041	-0.0041	-0.0041	-0.0038	-0.0041	-0.0045	-0.004	-0.0041	-0.0042	-0.0044	-0.0039	-0.0039	-0.0039	-0.0038	-0.004	-0.0039	-0.004	-0.0039	-0.0039	-0.0044	-0.0042	-0.0042	-0.0038	-0.0042	-0.0039	-0.0039	-0.0039	-0.0039	-0.0038	-0.0038	-0.004	-0.0037	-0.0039	-0.004	-0.004	-0.0038	-0.0038	-0.0037	-0.004	-0.004	-0.0037	-0.0038	-0.0038	-0.0038	-0.0037	-0.0038	-0.0041	-0.0041	-0.0038	-0.0041	-0.0039	-0.004	-0.0041	-0.004	-0.0041	-0.0039	-0.0039	-0.0038	-0.004	-0.0043	-0.0039	-0.0037	-0.0042
sad_vc_estimate	-0.1492	-0.1174	-0.0177	-0.0287	-0.0127	0.0134	-0.0043	-0.0048	0.004	-0.001	-0.0	-0.0043	0.0055	0.0107	0.001	-0.0006	-0.0028	0.001	-0.0014	0.0233	-0.0024	0.0303	-0.0006	0.0179	-0.0032	0.0089	-0.0022	0.0082	0.0095	0.0043	-0.0018	-0.0027	-0.0012	0.0135	-0.0005	0.0014	0.0015	0.0062	0.0065	-0.0028	-0.0031	-0.0027	0.0018	0.0004	0.012	-0.003	-0.0027	0.007	-0.0016	0.0022	-0.0028	0.0412	-0.0029	-0.0029	0.0014	0.0249	0.0027	0.0014	0.008	-0.0031	0.0121	0.0041	0.01	0.0054	0.0397	0.0174	-0.0008	-0.0032	0.0023	-0.0031	0.0181	-0.0026	0.004	-0.0028	0.0183	0.0072	0.0062	0.0389	0.0066	0.0003	0.0039	-0.0013	-0.0002	-0.0017	0.0168	0.0402	0.0046	0.0009	-0.0029	0.0033	0.0028	-0.0003	0.0161	-0.0014	-0.0028	-0.0032	0.0082	0.0032	0.0022	0.0051
sad_vc_estimate_se	3.2037	2.484	0.9912	0.713	0.2789	0.1248	0.0961	0.1162	0.0888	0.0769	0.0904	0.0889	0.0709	0.0657	0.0671	0.0638	0.0603	0.0701	0.0739	0.06	0.0698	0.0727	0.0594	0.0652	0.0624	0.0688	0.0652	0.065	0.0641	0.0667	0.0643	0.0672	0.064	0.0622	0.0643	0.0636	0.0618	0.0669	0.0655	0.0659	0.0615	0.0652	0.0704	0.0635	0.0651	0.0669	0.0698	0.0624	0.0626	0.0635	0.0615	0.0645	0.0613	0.0652	0.0634	0.0624	0.0692	0.0676	0.0688	0.0608	0.0657	0.0627	0.062	0.0654	0.0625	0.0599	0.0634	0.0636	0.0613	0.064	0.0653	0.0649	0.0611	0.0603	0.0599	0.0637	0.0645	0.0599	0.0619	0.0617	0.0613	0.0616	0.063	0.0657	0.0665	0.0605	0.0648	0.0641	0.0623	0.0654	0.0648	0.0667	0.0629	0.0622	0.0624	0.0639	0.0667	0.0623	0.0621	0.0686
sad_vc_pvals	0.811	0.838	0.544	0.765	0.847	0.182	0.776	0.784	0.322	0.485	0.481	0.904	0.243	0.138	0.382	0.461	0.814	0.403	0.587	0.032	0.707	0.034	0.53	0.085	0.999	0.176	0.709	0.248	0.198	0.341	0.664	0.774	0.599	0.165	0.569	0.423	0.396	0.249	0.268	0.769	0.91	0.788	0.416	0.5	0.156	0.838	0.719	0.266	0.66	0.371	0.817	0.011	0.836	0.818	0.431	0.045	0.384	0.426	0.212	0.936	0.138	0.355	0.173	0.281	0.013	0.102	0.553	0.95	0.434	0.899	0.09	0.766	0.326	0.85	0.077	0.229	0.28	0.028	0.275	0.485	0.348	0.626	0.53	0.645	0.09	0.007	0.265	0.457	0.852	0.351	0.358	0.529	0.093	0.632	0.836	0.961	0.214	0.365	0.372	0.279
upper95_perm_sad	0.9368	0.6499	0.3515	0.2612	0.1325	0.0365	0.0224	0.05	0.0301	0.0246	0.0346	0.0346	0.0233	0.023	0.0228	0.0195	0.0214	0.0199	0.0312	0.0221	0.031	0.0273	0.0223	0.0293	0.0283	0.0275	0.0336	0.0306	0.0305	0.0356	0.0301	0.0278	0.0294	0.0318	0.0289	0.0297	0.0275	0.0315	0.0298	0.0289	0.0284	0.0284	0.0329	0.0288	0.0294	0.0309	0.0278	0.0301	0.0363	0.0303	0.0272	0.026	0.0239	0.0304	0.029	0.0256	0.0318	0.028	0.0281	0.0286	0.0253	0.0306	0.0242	0.029	0.0276	0.0282	0.0262	0.0288	0.0356	0.0286	0.0281	0.0266	0.0278	0.0268	0.0258	0.0285	0.0342	0.0293	0.0316	0.0264	0.0301	0.0282	0.0296	0.0312	0.0257	0.0274	0.0245	0.0272	0.0342	0.0327	0.0261	0.029	0.0237	0.0275	0.0292	0.0246	0.0286	0.0269	0.0302	0.0276
lower0_perm_sad	-0.2081	-0.1634	-0.0624	-0.0449	-0.018	-0.0081	-0.0062	-0.0074	-0.0057	-0.0049	-0.0058	-0.0059	-0.0046	-0.0042	-0.0043	-0.0041	-0.0038	-0.0045	-0.0047	-0.0039	-0.0045	-0.0047	-0.0038	-0.0042	-0.004	-0.0045	-0.0042	-0.0042	-0.0041	-0.0042	-0.0041	-0.0043	-0.004	-0.004	-0.004	-0.0042	-0.0041	-0.0043	-0.0041	-0.0043	-0.004	-0.0043	-0.0045	-0.0042	-0.0041	-0.0043	-0.0045	-0.004	-0.0039	-0.0042	-0.004	-0.004	-0.0039	-0.0042	-0.0042	-0.004	-0.0044	-0.0044	-0.0044	-0.0039	-0.0043	-0.0041	-0.0039	-0.0043	-0.0041	-0.0038	-0.0041	-0.0042	-0.0039	-0.0041	-0.0043	-0.0041	-0.004	-0.0039	-0.004	-0.004	-0.0041	-0.0039	-0.0039	-0.0039	-0.0039	-0.004	-0.004	-0.0042	-0.0043	-0.0039	-0.0042	-0.0041	-0.004	-0.0042	-0.0042	-0.0044	-0.0041	-0.004	-0.0041	-0.0041	-0.0042	-0.004	-0.0041	-0.0043
