	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0422	0.0223	-0.01	-0.0102	0.003	-0.0011	0.0004	-0.0009	0.0001	0.0048	-0.0006	-0.0007	0.0092	0.0107	0.0006	0.0045	0.0478	0.3937	0.1044	0.0629	-0.0006	-0.0007	0.0014	0.0145	0.0005	0.008	0.0013	0.0218	0.0092	-0.0006	0.002	0.0097	0.0027	0.0034	0.0054	-0.0009	0.0166	-0.0	0.0018	0.001	0.0	-0.0005	0.0003	0.0005	0.0123	0.0012	-0.0006	0.0	0.0021	-0.0004	0.0078	0.0035	0.0017	-0.0009	-0.0007	-0.0007	0.0018	-0.0005	-0.0009	0.0018	0.0038	0.001	0.0002	-0.0004	0.0086	0.0077	-0.0007	-0.0006	-0.0001	0.0001	0.0041	0.0014	-0.0006	0.0021	0.0006	-0.0006	0.0025	0.0007	0.0017	0.0019	-0.0002	-0.0007	-0.0007	-0.0011	-0.0002	0.0	-0.0006	-0.0006	-0.0006	0.0044	0.0015	0.0067	0.0017	-0.0004	-0.0009	0.0036	0.0018	-0.0003	-0.0007	-0.0003
direct_vc_estimate_se	1.0918	0.4474	0.1589	0.1299	0.0394	0.0205	0.0193	0.0125	0.0132	0.0147	0.0125	0.0126	0.012	0.0123	0.0098	0.0101	0.0133	0.0379	0.0167	0.0128	0.0088	0.011	0.0085	0.0106	0.0095	0.0088	0.0092	0.0099	0.0099	0.0089	0.01	0.0185	0.0089	0.0093	0.0092	0.0121	0.0097	0.0095	0.0091	0.0087	0.0089	0.0084	0.009	0.0094	0.0088	0.0094	0.0085	0.0085	0.0083	0.0084	0.0086	0.0082	0.01	0.0115	0.0085	0.0087	0.0082	0.0084	0.012	0.008	0.0084	0.0102	0.0085	0.0103	0.0157	0.0083	0.0096	0.0087	0.0087	0.0081	0.0083	0.0118	0.008	0.0134	0.0085	0.0092	0.0108	0.0082	0.0078	0.0085	0.0081	0.0118	0.0093	0.0137	0.0087	0.0095	0.0085	0.0083	0.0089	0.008	0.0138	0.0075	0.0084	0.0093	0.0107	0.009	0.0104	0.008	0.0098	0.0082
direct_vc_pvals	0.522	0.36	0.746	0.923	0.469	0.657	0.384	0.849	0.415	0.169	0.722	0.694	0.157	0.154	0.344	0.118	0.095	0.006	0.049	0.027	0.846	0.726	0.415	0.076	0.532	0.088	0.356	0.024	0.032	0.78	0.258	0.053	0.249	0.202	0.126	0.899	0.018	0.566	0.263	0.307	0.557	0.724	0.418	0.48	0.016	0.348	0.832	0.535	0.274	0.698	0.045	0.085	0.278	0.921	0.998	0.992	0.247	0.708	0.892	0.193	0.07	0.303	0.512	0.569	0.024	0.034	0.813	0.827	0.494	0.453	0.135	0.239	0.888	0.198	0.39	0.777	0.207	0.35	0.219	0.157	0.605	0.682	0.873	0.941	0.543	0.517	0.814	0.895	0.803	0.09	0.229	0.007	0.173	0.685	0.997	0.131	0.254	0.664	0.777	0.62
upper95_perm_direct	0.4835	0.2894	0.1126	0.0826	0.0511	0.0142	0.0104	0.0088	0.0079	0.0135	0.0145	0.0096	0.0233	0.0268	0.0069	0.009	0.0756	0.4488	0.1345	0.073	0.0071	0.0095	0.0148	0.0224	0.0145	0.0132	0.0111	0.0227	0.0106	0.0071	0.0101	0.0137	0.0122	0.0109	0.0116	0.0065	0.0147	0.0099	0.0093	0.0065	0.0081	0.0066	0.0077	0.0104	0.0108	0.0088	0.0072	0.0084	0.0092	0.0086	0.0093	0.0065	0.0084	0.0079	0.005	0.0061	0.0087	0.0064	0.0064	0.0065	0.0066	0.0079	0.0081	0.0061	0.0082	0.0084	0.0058	0.0128	0.0066	0.0063	0.0094	0.0066	0.0075	0.0075	0.0085	0.0053	0.0088	0.0077	0.0071	0.006	0.0079	0.0069	0.0062	0.0064	0.0053	0.0074	0.0065	0.0054	0.0051	0.0076	0.007	0.0045	0.0056	0.0076	0.0066	0.0088	0.0086	0.0079	0.0055	0.0069
lower0_perm_direct	-0.1372	-0.0578	-0.0194	-0.0161	-0.0049	-0.0025	-0.0024	-0.0015	-0.0017	-0.0019	-0.0016	-0.0016	-0.0015	-0.0016	-0.0012	-0.0013	-0.0016	-0.0007	-0.0021	-0.0017	-0.0011	-0.0014	-0.0011	-0.0013	-0.0011	-0.0011	-0.0011	-0.0012	-0.0012	-0.0011	-0.0012	-0.0023	-0.0011	-0.0011	-0.0011	-0.0015	-0.0012	-0.0012	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.0012	-0.0011	-0.0012	-0.0011	-0.0011	-0.001	-0.001	-0.001	-0.001	-0.0012	-0.0015	-0.001	-0.001	-0.001	-0.001	-0.0015	-0.001	-0.001	-0.0013	-0.001	-0.0013	-0.002	-0.001	-0.0012	-0.001	-0.0011	-0.001	-0.001	-0.0014	-0.001	-0.0017	-0.001	-0.0011	-0.0013	-0.0011	-0.001	-0.001	-0.001	-0.0014	-0.0011	-0.0017	-0.0011	-0.0012	-0.001	-0.001	-0.0011	-0.001	-0.0017	-0.0009	-0.001	-0.0012	-0.0013	-0.0011	-0.0013	-0.001	-0.0013	-0.001
sad_vc_estimate	0.1643	0.0725	-0.0056	-0.0025	-0.0023	0.0007	0.0046	-0.001	0.0026	0.0105	-0.0004	0.0	0.022	0.0133	0.0018	0.0142	0.1184	0.9086	0.266	0.1434	-0.0007	0.0	0.002	0.0349	0.0031	0.0162	0.0023	0.0418	0.0174	-0.0005	0.0076	0.0095	0.0046	0.0086	0.0066	-0.0006	0.0343	0.0002	0.0037	-0.0002	0.0005	0.0002	0.0097	0.0011	0.0254	0.0081	-0.0005	0.0032	0.0088	-0.0001	0.014	0.0115	0.006	0.0	-0.0004	0.0008	0.0061	0.0011	-0.0009	0.0013	0.0069	0.0036	0.006	-0.0006	0.0221	0.0153	-0.0006	-0.0003	-0.0003	0.0026	0.0076	0.0128	-0.0006	0.0048	0.0046	-0.0007	0.006	0.0002	0.0023	0.001	-0.0007	0.0005	-0.0007	-0.0008	0.0002	0.0002	0.0002	0.0001	0.0001	0.001	0.0003	0.0109	0.0015	0.0001	0.0005	0.0106	0.005	0.002	-0.0003	-0.0006
sad_vc_estimate_se	1.1078	0.4566	0.1623	0.1326	0.0401	0.021	0.0196	0.0128	0.0135	0.0149	0.0128	0.0129	0.0122	0.0125	0.01	0.0103	0.0136	0.0386	0.0171	0.013	0.009	0.0112	0.0087	0.0108	0.0097	0.009	0.0094	0.0101	0.0101	0.0091	0.0102	0.0187	0.0091	0.0095	0.0094	0.0123	0.0099	0.0097	0.0093	0.0089	0.0091	0.0086	0.0092	0.0096	0.009	0.0096	0.0086	0.0087	0.0084	0.0086	0.0088	0.0084	0.0101	0.0117	0.0087	0.0089	0.0084	0.0085	0.0122	0.0082	0.0086	0.0104	0.0087	0.0105	0.0159	0.0085	0.0098	0.0089	0.0089	0.0082	0.0085	0.0119	0.0082	0.0136	0.0086	0.0093	0.011	0.0084	0.008	0.0087	0.0083	0.012	0.0095	0.0138	0.0089	0.0097	0.0087	0.0085	0.009	0.0082	0.014	0.0077	0.0085	0.0095	0.0109	0.0092	0.0105	0.0082	0.01	0.0083
sad_vc_pvals	0.209	0.367	0.713	0.634	0.868	0.542	0.304	0.886	0.306	0.162	0.797	0.659	0.181	0.246	0.346	0.062	0.057	0.009	0.015	0.028	0.961	0.653	0.569	0.04	0.47	0.087	0.396	0.025	0.054	0.799	0.146	0.169	0.327	0.166	0.293	0.685	0.017	0.616	0.267	0.697	0.539	0.585	0.075	0.514	0.021	0.133	0.801	0.306	0.128	0.677	0.076	0.06	0.244	0.599	0.701	0.505	0.175	0.455	0.904	0.438	0.111	0.269	0.167	0.739	0.02	0.055	0.795	0.802	0.677	0.319	0.173	0.04	0.883	0.244	0.211	0.963	0.184	0.663	0.38	0.455	0.965	0.468	0.856	0.746	0.57	0.641	0.585	0.59	0.545	0.493	0.559	0.033	0.351	0.619	0.51	0.097	0.206	0.385	0.69	0.92
upper95_perm_sad	0.6521	0.6345	0.2351	0.1554	0.1212	0.0264	0.0245	0.0195	0.0151	0.0267	0.035	0.022	0.0541	0.0514	0.0132	0.0213	0.158	1.0149	0.2956	0.174	0.0149	0.02	0.0348	0.0411	0.0333	0.0282	0.0197	0.0457	0.023	0.0146	0.0207	0.0265	0.022	0.0241	0.0287	0.012	0.0301	0.0195	0.0167	0.0148	0.0173	0.0141	0.0164	0.0198	0.0239	0.0195	0.0146	0.0197	0.0191	0.019	0.0213	0.0172	0.0235	0.0143	0.0123	0.0156	0.0174	0.0143	0.0143	0.0145	0.0149	0.0176	0.0153	0.0135	0.0223	0.0202	0.0104	0.0237	0.0121	0.0151	0.0235	0.0155	0.016	0.0172	0.015	0.0133	0.0158	0.0179	0.0155	0.0132	0.0174	0.0129	0.0156	0.0138	0.0108	0.0201	0.0125	0.0133	0.0122	0.0158	0.015	0.0106	0.0111	0.0189	0.0149	0.0189	0.0157	0.0162	0.0132	0.0153
lower0_perm_sad	-0.1424	-0.0575	-0.0198	-0.0165	-0.005	-0.0027	-0.0025	-0.0016	-0.0017	-0.0018	-0.0016	-0.0016	-0.0015	-0.0016	-0.0013	-0.0013	-0.0016	-0.0033	-0.0021	-0.0015	-0.0011	-0.0013	-0.0011	-0.0014	-0.0012	-0.0011	-0.0011	-0.0012	-0.0012	-0.0012	-0.0013	-0.0022	-0.0011	-0.0012	-0.0012	-0.0015	-0.0012	-0.0012	-0.0012	-0.0011	-0.0011	-0.0011	-0.0011	-0.0012	-0.0011	-0.0012	-0.0011	-0.001	-0.0011	-0.0011	-0.0011	-0.001	-0.0012	-0.0015	-0.0011	-0.0011	-0.0011	-0.0011	-0.0015	-0.001	-0.001	-0.0013	-0.001	-0.0013	-0.0021	-0.001	-0.0012	-0.0011	-0.0011	-0.001	-0.001	-0.0015	-0.0011	-0.0017	-0.0011	-0.0012	-0.0014	-0.001	-0.001	-0.0011	-0.001	-0.0015	-0.0011	-0.0018	-0.0011	-0.0012	-0.0011	-0.0011	-0.0011	-0.001	-0.0017	-0.0009	-0.001	-0.0012	-0.0013	-0.0011	-0.0013	-0.001	-0.0012	-0.001
covar_vc_estimate	-0.039	-0.0875	0.0165	0.0236	0.0015	0.0009	-0.0038	0.0021	-0.0021	-0.0143	0.001	0.0008	-0.0287	-0.0239	-0.0023	-0.0163	-0.1508	-1.1968	-0.3337	-0.1901	0.0014	0.0008	-0.0034	-0.0451	-0.0028	-0.0229	-0.0036	-0.0606	-0.0254	0.0011	-0.0082	-0.0193	-0.0071	-0.0109	-0.012	0.0021	-0.0478	-0.0002	-0.0053	-0.0005	-0.0005	0.0005	-0.0051	-0.0015	-0.0355	-0.0068	0.0011	-0.002	-0.0089	0.0005	-0.0209	-0.0129	-0.0067	0.0015	0.0014	0.0014	-0.0068	0.0001	0.0019	-0.0031	-0.0104	-0.0041	-0.0036	0.001	-0.0278	-0.0218	0.0013	0.001	0.0003	-0.0018	-0.0113	-0.0095	0.0012	-0.0064	-0.0039	0.0015	-0.0078	-0.0009	-0.004	-0.0029	0.0012	0.0006	0.0014	0.0021	0.0001	-0.0002	0.0008	0.0011	0.0009	-0.0045	-0.0016	-0.0172	-0.0032	0.0004	0.0017	-0.0125	-0.0061	-0.0006	0.0011	0.0011
covar_vc_estimate_se	2.2634	0.9732	0.3912	0.3316	0.1381	0.0917	0.0882	0.0688	0.0709	0.075	0.0687	0.069	0.067	0.068	0.06	0.061	0.0712	0.1346	0.0812	0.0695	0.0566	0.0639	0.0556	0.0625	0.0589	0.0565	0.0579	0.0603	0.0603	0.0568	0.0607	0.0858	0.0567	0.0583	0.058	0.0672	0.0596	0.0589	0.0577	0.056	0.0569	0.055	0.0573	0.0584	0.0565	0.0585	0.0553	0.0554	0.0546	0.0552	0.0559	0.0545	0.0604	0.0653	0.0556	0.056	0.0543	0.0549	0.0669	0.0537	0.055	0.0613	0.0554	0.0614	0.0779	0.0548	0.0591	0.056	0.0563	0.0538	0.0548	0.0662	0.0537	0.0712	0.0553	0.0577	0.0632	0.0545	0.0528	0.0556	0.054	0.0663	0.0582	0.0719	0.0561	0.059	0.0553	0.0546	0.0567	0.0537	0.0724	0.0519	0.0549	0.0582	0.0629	0.0571	0.0617	0.0536	0.0598	0.0542
covar_vc_pvals	0.413	0.39	0.192	0.079	0.212	0.304	0.38	0.099	0.406	0.134	0.172	0.26	0.148	0.181	0.383	0.06	0.038	0.001	0.009	0.01	0.118	0.237	0.428	0.025	0.406	0.056	0.417	0.01	0.016	0.16	0.166	0.062	0.3	0.162	0.212	0.09	0.008	0.319	0.268	0.404	0.368	0.262	0.232	0.418	0.011	0.208	0.143	0.484	0.169	0.227	0.038	0.053	0.266	0.133	0.162	0.125	0.205	0.329	0.112	0.326	0.071	0.311	0.359	0.261	0.011	0.022	0.172	0.145	0.339	0.437	0.148	0.088	0.113	0.222	0.313	0.107	0.183	0.413	0.31	0.315	0.114	0.35	0.139	0.141	0.368	0.354	0.214	0.176	0.25	0.287	0.43	0.009	0.254	0.248	0.096	0.096	0.231	0.369	0.221	0.154
upper975_perm_covar	0.2724	0.1495	0.0537	0.0437	0.0176	0.0081	0.0061	0.0052	0.0045	0.0049	0.0048	0.0046	0.0055	0.0043	0.0034	0.0035	0.0083	0.0264	0.0132	0.0103	0.0035	0.0048	0.0043	0.0043	0.004	0.0038	0.0036	0.0035	0.0038	0.0034	0.0038	0.0053	0.0031	0.0036	0.0044	0.0041	0.0041	0.0037	0.0033	0.0038	0.0033	0.0037	0.0039	0.0038	0.0035	0.0037	0.0034	0.0035	0.0034	0.0032	0.0037	0.0035	0.0043	0.0035	0.0041	0.0038	0.0036	0.0036	0.0041	0.0033	0.0034	0.0044	0.0036	0.004	0.0057	0.0031	0.0035	0.004	0.0037	0.0034	0.0037	0.004	0.0034	0.0044	0.0032	0.0036	0.004	0.0034	0.0031	0.0039	0.0035	0.0039	0.0039	0.005	0.0032	0.005	0.003	0.0039	0.0035	0.0035	0.0045	0.0035	0.0032	0.0032	0.0038	0.0041	0.0039	0.0041	0.0039	0.004
lower025_perm_covar	-1.0604	-0.9214	-0.3234	-0.2219	-0.1699	-0.0385	-0.0301	-0.0297	-0.0214	-0.0368	-0.0489	-0.0309	-0.0749	-0.073	-0.0197	-0.0294	-0.217	-1.3638	-0.393	-0.2221	-0.0211	-0.0286	-0.0476	-0.0579	-0.0493	-0.0406	-0.0281	-0.0638	-0.0298	-0.0199	-0.0314	-0.038	-0.0304	-0.0335	-0.0426	-0.0179	-0.0474	-0.0302	-0.0242	-0.022	-0.0244	-0.0193	-0.0222	-0.0305	-0.034	-0.0264	-0.0208	-0.0264	-0.0316	-0.0264	-0.0318	-0.0222	-0.0315	-0.021	-0.0163	-0.021	-0.027	-0.0202	-0.0215	-0.019	-0.0207	-0.0247	-0.0223	-0.0186	-0.029	-0.0279	-0.0152	-0.0377	-0.0183	-0.0226	-0.0338	-0.023	-0.0237	-0.0231	-0.0242	-0.0179	-0.0218	-0.024	-0.0223	-0.0194	-0.025	-0.0178	-0.0206	-0.0196	-0.0159	-0.026	-0.0194	-0.0188	-0.0154	-0.0225	-0.0213	-0.0156	-0.0168	-0.0279	-0.0198	-0.028	-0.0213	-0.0221	-0.0165	-0.02
