	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0706	0.0363	-0.0013	0.0203	0.0014	-0.0003	0.0068	0.0004	0.0009	0.0058	0.0037	0.0017	0.0043	0.0041	-0.0001	-0.0	0.0406	0.1945	0.0708	0.0325	0.0001	-0.0001	0.0008	0.0061	0.0023	0.0036	0.0025	0.0089	0.0027	0.0004	-0.0001	0.0019	0.0047	0.0017	0.0069	0.0002	0.0051	0.0	0.0012	0.0	0.0049	0.0002	0.0006	0.0006	0.0089	0.0014	0.0002	-0.0001	0.0048	0.0005	0.0025	0.0012	0.0023	0.0009	0.0	-0.0001	0.0015	0.0004	0.0004	0.0001	0.0011	-0.0	-0.0	-0.0001	0.0017	0.0045	-0.0001	0.0003	-0.0	0.0003	0.0018	0.0059	0.0002	0.0089	0.0003	0.0003	0.0024	-0.0001	-0.0001	0.0008	0.0018	0.0002	0.0002	-0.0001	0.0016	-0.0001	-0.0001	0.0	0.0018	0.0017	0.0006	-0.0001	0.0003	-0.0001	0.0003	0.0003	-0.0001	-0.0001	0.0002	-0.0001
direct_vc_estimate_se	0.0709	0.044	0.0144	0.0128	0.0037	0.0021	0.002	0.0011	0.0012	0.0014	0.0013	0.0012	0.0017	0.0017	0.0011	0.001	0.0042	0.0218	0.0074	0.0043	0.0008	0.001	0.0013	0.0013	0.0013	0.0012	0.001	0.0015	0.0011	0.0007	0.001	0.0013	0.0011	0.0011	0.001	0.0008	0.0013	0.0009	0.0008	0.0008	0.001	0.0009	0.001	0.001	0.0012	0.001	0.0008	0.0009	0.001	0.0008	0.0009	0.0009	0.0009	0.0009	0.0009	0.0008	0.0008	0.0008	0.0009	0.0009	0.0008	0.0008	0.0008	0.0009	0.0009	0.0012	0.0008	0.001	0.0009	0.0008	0.0008	0.0009	0.0007	0.001	0.0009	0.0007	0.0009	0.0009	0.0008	0.0009	0.0008	0.0008	0.0008	0.0009	0.0007	0.0009	0.0008	0.0008	0.0008	0.001	0.0009	0.0007	0.0009	0.0009	0.0008	0.0009	0.0009	0.0009	0.0008	0.0009
direct_vc_pvals	0.261	0.341	0.828	0.067	0.702	0.975	0.116	0.444	0.208	0.108	0.204	0.335	0.394	0.42	0.847	0.776	0.101	0.416	0.147	0.29	0.582	0.938	0.753	0.273	0.301	0.255	0.244	0.143	0.235	0.382	0.982	0.433	0.178	0.288	0.024	0.455	0.188	0.693	0.185	0.632	0.006	0.452	0.217	0.564	0.03	0.343	0.545	0.981	0.091	0.299	0.171	0.149	0.264	0.322	0.695	0.957	0.276	0.53	0.395	0.462	0.157	0.703	0.899	0.634	0.16	0.096	0.968	0.502	0.767	0.392	0.198	0.001	0.482	0.003	0.377	0.452	0.191	0.88	0.926	0.158	0.212	0.434	0.396	0.798	0.071	0.828	0.768	0.663	0.03	0.181	0.419	0.849	0.469	0.92	0.444	0.603	0.814	0.968	0.59	0.854
upper95_perm_direct	0.2879	0.1849	0.0601	0.0329	0.0388	0.0045	0.0124	0.004	0.0032	0.0106	0.0106	0.0085	0.0225	0.0173	0.0037	0.0068	0.064	0.3679	0.1172	0.0657	0.0025	0.0059	0.0129	0.0171	0.0086	0.0096	0.0073	0.018	0.0069	0.0034	0.0057	0.0101	0.0103	0.0057	0.0083	0.0021	0.0133	0.0052	0.0035	0.0026	0.0043	0.0022	0.0026	0.0074	0.0115	0.0061	0.0033	0.0045	0.0085	0.0031	0.0062	0.0031	0.0075	0.0051	0.003	0.0031	0.0055	0.0035	0.0038	0.0022	0.0027	0.0027	0.0036	0.0014	0.0047	0.0077	0.0045	0.0042	0.0036	0.0023	0.005	0.0039	0.0027	0.0084	0.0022	0.0028	0.0062	0.005	0.0044	0.0023	0.0054	0.0025	0.0024	0.0042	0.0026	0.0043	0.003	0.0029	0.0022	0.0054	0.0046	0.0017	0.0034	0.0059	0.0028	0.0053	0.0045	0.0033	0.0042	0.0027
lower0_perm_direct	-0.0188	-0.0117	-0.0036	-0.0031	-0.001	-0.0005	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0002	0.0004	0.0295	0.005	0.0011	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002
sad_vc_estimate	0.5645	0.0629	0.0026	0.0838	0.0014	-0.0002	0.0237	0.0015	0.004	0.0163	0.013	0.0082	0.0141	0.0101	-0.0002	0.0003	0.112	0.5419	0.1918	0.0879	0.0003	0.0003	0.0007	0.0131	0.0037	0.0091	0.0052	0.0211	0.0069	0.0019	-0.0001	0.0028	0.0166	0.0041	0.0196	0.0009	0.0155	0.0006	0.0028	-0.0	0.0113	0.0018	0.0047	0.0008	0.0284	0.0049	0.0006	-0.0001	0.0144	0.0038	0.0058	0.005	0.004	0.0027	0.0002	0.0001	0.0034	0.0003	0.0008	0.0004	0.0024	0.0001	0.0002	-0.0	0.0028	0.017	-0.0001	0.0018	-0.0001	-0.0001	0.0048	0.0215	0.0009	0.0258	0.0015	0.0002	0.0066	-0.0001	0.0005	0.0008	0.0053	0.0004	0.0015	0.0003	0.0059	0.0006	0.0	0.0003	0.0072	0.005	0.0008	0.0	0.0001	0.0002	0.0026	0.0028	-0.0001	0.0001	0.0003	0.0
sad_vc_estimate_se	0.0735	0.0456	0.015	0.0132	0.0039	0.0022	0.0021	0.0011	0.0012	0.0014	0.0013	0.0013	0.0018	0.0017	0.0012	0.001	0.0043	0.0226	0.0076	0.0044	0.0008	0.001	0.0013	0.0014	0.0013	0.0012	0.0011	0.0016	0.0012	0.0007	0.001	0.0013	0.0012	0.0012	0.001	0.0009	0.0014	0.0009	0.0008	0.0008	0.001	0.001	0.001	0.001	0.0012	0.001	0.0008	0.001	0.0011	0.0008	0.0009	0.0009	0.001	0.0009	0.001	0.0008	0.0009	0.0009	0.001	0.0009	0.0009	0.0008	0.0009	0.0009	0.0009	0.0013	0.0009	0.001	0.0009	0.0008	0.0008	0.0009	0.0007	0.001	0.0009	0.0007	0.0009	0.0009	0.0008	0.001	0.0009	0.0008	0.0008	0.0009	0.0007	0.001	0.0008	0.0008	0.0008	0.001	0.001	0.0007	0.0009	0.001	0.0008	0.0009	0.0009	0.0009	0.0008	0.0009
sad_vc_pvals	0.079	0.451	0.734	0.057	0.832	0.849	0.071	0.438	0.165	0.073	0.147	0.182	0.338	0.437	0.912	0.758	0.09	0.331	0.139	0.26	0.605	0.737	0.891	0.4	0.472	0.3	0.308	0.211	0.361	0.3	0.931	0.576	0.089	0.38	0.029	0.387	0.177	0.64	0.228	0.783	0.012	0.291	0.115	0.716	0.018	0.243	0.551	0.879	0.071	0.138	0.2	0.066	0.316	0.335	0.753	0.784	0.28	0.721	0.47	0.543	0.213	0.735	0.809	0.745	0.358	0.036	0.996	0.492	0.885	0.846	0.259	0.0	0.426	0.002	0.29	0.66	0.176	0.951	0.746	0.498	0.207	0.57	0.309	0.664	0.04	0.621	0.769	0.622	0.014	0.159	0.646	0.739	0.757	0.746	0.224	0.367	0.947	0.737	0.718	0.746
upper95_perm_sad	0.9383	0.573	0.1779	0.1269	0.1041	0.0164	0.0372	0.0135	0.011	0.0258	0.0292	0.0235	0.0615	0.0479	0.0111	0.0182	0.1745	0.9797	0.3252	0.1693	0.0093	0.0169	0.0396	0.0458	0.0261	0.0278	0.0208	0.0483	0.0246	0.0095	0.0156	0.0288	0.0278	0.0187	0.0251	0.0069	0.0385	0.0189	0.01	0.0072	0.0116	0.0075	0.0098	0.0185	0.0317	0.0157	0.01	0.0125	0.024	0.0088	0.0167	0.0084	0.0194	0.0135	0.0121	0.0099	0.0158	0.0104	0.0116	0.0075	0.0086	0.0093	0.0109	0.0056	0.016	0.0212	0.0128	0.0162	0.0111	0.0076	0.0162	0.0129	0.0086	0.0201	0.0075	0.0094	0.0148	0.0155	0.0145	0.01	0.0163	0.0088	0.0085	0.0119	0.0074	0.0148	0.0089	0.0086	0.0069	0.0138	0.0165	0.0057	0.0116	0.0139	0.0096	0.017	0.0117	0.0126	0.0127	0.0093
lower0_perm_sad	-0.0186	-0.0114	-0.0036	-0.0035	-0.0009	-0.0006	-0.0005	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0002	0.0028	0.0917	0.019	0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002
