	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0201	-0.0098	-0.001	-0.0018	0.0159	-0.0004	0.002	0.0007	0.0019	0.0023	0.0043	0.0011	0.0007	0.0017	0.0	-0.0002	-0.0002	-0.0001	-0.0002	0.002	0.0066	0.0023	0.0012	0.0008	-0.0001	-0.0002	0.0005	0.0	-0.0002	0.0049	0.0029	-0.0002	0.0027	0.0015	0.0004	0.0059	0.0068	0.0009	0.0002	-0.0002	-0.0002	0.0073	0.0027	0.0041	-0.0001	0.0044	0.0096	0.0002	0.0003	0.0003	0.0012	0.0015	-0.0001	0.0004	0.0008	0.0013	0.0003	0.0	0.0003	0.0	-0.0002	0.0014	0.0014	0.0048	0.0037	0.0021	0.0001	0.0	-0.0002	0.0005	0.0009	0.0006	0.0024	-0.0001	-0.0001	0.0005	0.0006	-0.0002	0.002	0.0003	0.0002	0.003	0.0009	0.0009	0.0015	0.0003	0.0007	-0.0002	0.0011	0.0003	0.0009	-0.0001	-0.0001	0.0004	-0.0001	0.0006	0.0001	-0.0001	0.0046	0.0008
direct_vc_estimate_se	0.0093	0.0046	0.0018	0.0014	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.909	0.93	0.741	0.761	0.131	0.784	0.11	0.498	0.138	0.129	0.13	0.491	0.268	0.136	0.61	0.927	0.839	0.825	0.92	0.075	0.017	0.111	0.376	0.218	0.794	0.857	0.505	0.698	0.911	0.069	0.122	0.997	0.116	0.291	0.579	0.047	0.126	0.272	0.559	0.87	0.977	0.013	0.156	0.055	0.759	0.014	0.011	0.571	0.558	0.437	0.284	0.326	0.748	0.506	0.362	0.405	0.509	0.638	0.554	0.687	0.871	0.17	0.335	0.016	0.111	0.167	0.604	0.583	0.897	0.417	0.372	0.487	0.235	0.79	0.761	0.375	0.449	0.886	0.121	0.378	0.588	0.179	0.15	0.354	0.255	0.487	0.423	1.0	0.122	0.543	0.232	0.699	0.795	0.399	0.663	0.342	0.598	0.819	0.023	0.39
upper95_perm_direct	0.281	0.1482	0.1012	0.0495	0.0256	0.0072	0.0035	0.0108	0.0038	0.0042	0.0079	0.0087	0.0028	0.0032	0.0032	0.0027	0.0023	0.0051	0.0048	0.0026	0.0051	0.0036	0.0072	0.0025	0.0067	0.004	0.007	0.0073	0.0069	0.0064	0.0056	0.0085	0.0045	0.0055	0.0069	0.0064	0.0128	0.0037	0.0047	0.0064	0.0051	0.0061	0.0054	0.0049	0.0038	0.0035	0.0062	0.0063	0.0059	0.0028	0.0055	0.0074	0.0042	0.0057	0.0043	0.008	0.0042	0.0038	0.0069	0.005	0.0106	0.0032	0.0065	0.0037	0.006	0.0056	0.0043	0.0032	0.0024	0.0045	0.0054	0.0061	0.0074	0.0053	0.0038	0.0034	0.004	0.0033	0.0034	0.0028	0.0047	0.0076	0.0021	0.0049	0.0048	0.0043	0.0056	0.0044	0.0021	0.0045	0.0029	0.0048	0.0081	0.0032	0.0038	0.003	0.004	0.0058	0.0039	0.0045
lower0_perm_direct	-0.0283	-0.0139	-0.0052	-0.0039	-0.001	-0.0007	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002
sad_vc_estimate	-0.0073	0.0813	-0.004	-0.0015	0.0784	-0.0003	0.0068	0.0015	0.0045	0.014	0.0215	0.0032	0.0009	0.0059	0.0028	-0.0001	-0.0001	-0.0002	0.0	0.0053	0.0131	0.0077	0.004	0.0025	0.0003	0.0	0.0027	0.0024	0.0001	0.0091	0.0062	-0.0002	0.007	0.0117	0.0046	0.0207	0.0191	0.0091	0.0039	-0.0001	-0.0002	0.0241	0.0061	0.0087	0.0001	0.0138	0.0341	0.0068	0.0019	0.0005	0.0022	0.0058	0.0013	0.0008	0.0039	0.0061	0.0024	0.0	0.0004	0.0003	-0.0001	0.0043	0.0033	0.0184	0.008	0.0044	0.0011	0.0007	-0.0002	0.003	0.0028	0.0021	0.0079	0.0	0.0007	0.0059	0.0026	-0.0001	0.0071	0.0036	0.0015	0.0119	0.0059	0.0016	0.0049	0.0002	0.0039	-0.0001	0.0018	0.0004	0.003	0.0001	0.0012	0.0023	-0.0001	0.0027	0.0007	0.0001	0.014	0.0021
sad_vc_estimate_se	0.0095	0.0047	0.0018	0.0014	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.815	0.445	0.985	0.846	0.05	0.82	0.115	0.621	0.23	0.05	0.073	0.454	0.475	0.113	0.254	0.821	0.779	0.936	0.776	0.095	0.066	0.091	0.311	0.261	0.76	0.79	0.448	0.469	0.862	0.185	0.256	0.99	0.201	0.103	0.327	0.058	0.22	0.077	0.32	0.861	0.927	0.015	0.274	0.096	0.746	0.023	0.011	0.227	0.501	0.605	0.408	0.314	0.486	0.652	0.272	0.303	0.382	0.749	0.728	0.721	0.893	0.142	0.489	0.016	0.207	0.295	0.563	0.543	0.99	0.367	0.403	0.49	0.266	0.826	0.57	0.12	0.364	0.835	0.098	0.141	0.443	0.172	0.058	0.507	0.259	0.752	0.324	0.816	0.252	0.66	0.296	0.768	0.716	0.295	0.844	0.289	0.656	0.827	0.031	0.488
upper95_perm_sad	0.9449	0.5195	0.3144	0.1805	0.0888	0.0224	0.0121	0.0317	0.0136	0.0157	0.0292	0.0206	0.0093	0.0103	0.0094	0.0097	0.0068	0.0177	0.0147	0.0083	0.0163	0.0118	0.0182	0.0084	0.0189	0.0114	0.0251	0.0213	0.0239	0.025	0.0197	0.0307	0.0168	0.0168	0.023	0.024	0.0467	0.012	0.0176	0.0202	0.0164	0.0214	0.0208	0.0139	0.0132	0.0111	0.0233	0.0203	0.019	0.0099	0.0171	0.0209	0.0131	0.0212	0.016	0.0255	0.0137	0.0101	0.0262	0.0168	0.0323	0.0085	0.0206	0.0128	0.0214	0.0165	0.014	0.0103	0.0065	0.0156	0.0168	0.0221	0.0276	0.0159	0.012	0.0098	0.0131	0.0129	0.0102	0.0072	0.0108	0.0266	0.0071	0.0164	0.0155	0.0169	0.0169	0.0135	0.0066	0.0131	0.0115	0.0129	0.0279	0.0092	0.0116	0.0107	0.0146	0.0174	0.0135	0.0153
lower0_perm_sad	-0.0273	-0.0136	-0.0053	-0.0041	-0.001	-0.0007	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0004	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002
