	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.221	-0.0244	0.0628	-0.0089	-0.002	0.0126	0.0006	0.0001	0.0014	-0.0004	0.0002	0.0015	0.0013	0.003	0.0003	0.0022	0.0025	0.0005	0.0004	0.0003	0.0021	-0.0006	-0.0002	0.0004	0.0018	-0.0001	0.0024	-0.0002	0.0023	-0.0005	0.0192	0.0106	0.0007	-0.0002	0.0008	-0.0004	-0.0003	0.0052	-0.0006	-0.0006	-0.0004	-0.0002	-0.0005	-0.0004	0.0055	0.0257	0.002	0.0001	-0.0003	-0.0005	0.025	0.0016	0.003	-0.0006	0.0085	0.0001	0.0068	0.0023	0.0015	0.0001	-0.0004	0.0002	0.0095	-0.0005	0.0007	0.0029	-0.0001	0.0051	-0.0005	0.0004	-0.0005	0.0053	0.0007	-0.0005	0.0111	0.0012	0.0036	0.0003	-0.0	0.0049	0.0104	0.0044	0.0006	0.0027	0.0086	0.0039	0.0002	-0.0004	-0.0003	0.0049	0.0007	0.0012	-0.0009	0.0073	-0.0003	-0.0	-0.0003	0.0007	0.0005	0.0028
direct_vc_estimate_se	0.3146	0.1821	0.0686	0.0596	0.0201	0.0093	0.0057	0.005	0.007	0.0044	0.0043	0.0044	0.0044	0.0038	0.0035	0.004	0.0035	0.0033	0.0042	0.003	0.0041	0.0039	0.0032	0.003	0.0039	0.0034	0.0036	0.004	0.0036	0.0031	0.0037	0.0034	0.0036	0.0043	0.0044	0.005	0.0038	0.0034	0.0036	0.0037	0.0037	0.0033	0.0035	0.0039	0.004	0.0033	0.0033	0.0031	0.0039	0.0031	0.0033	0.0036	0.0031	0.0048	0.0061	0.003	0.0037	0.0046	0.0029	0.0036	0.0033	0.0037	0.0038	0.0033	0.0034	0.0044	0.0029	0.0037	0.0031	0.0035	0.0032	0.0034	0.0039	0.0035	0.0033	0.0042	0.0045	0.0029	0.0035	0.0044	0.0034	0.0034	0.0027	0.005	0.0039	0.0031	0.0029	0.003	0.0027	0.003	0.0035	0.0034	0.0054	0.004	0.0026	0.0038	0.0029	0.0029	0.003	0.0034
direct_vc_pvals	0.146	0.805	0.198	0.878	0.67	0.055	0.375	0.632	0.404	0.778	0.574	0.321	0.233	0.228	0.464	0.164	0.221	0.504	0.519	0.484	0.287	0.849	0.609	0.479	0.295	0.657	0.255	0.673	0.291	0.938	0.018	0.05	0.388	0.675	0.538	0.722	0.788	0.195	0.986	0.895	0.822	0.73	0.855	0.8	0.187	0.002	0.175	0.62	0.711	0.969	0.002	0.373	0.147	0.794	0.067	0.607	0.102	0.234	0.347	0.562	0.838	0.481	0.068	0.917	0.486	0.188	0.646	0.266	0.894	0.47	0.907	0.124	0.423	0.864	0.012	0.342	0.185	0.525	0.613	0.219	0.054	0.205	0.371	0.231	0.069	0.191	0.519	0.881	0.802	0.111	0.35	0.348	0.978	0.055	0.841	0.64	0.77	0.429	0.455	0.155
upper95_perm_direct	0.5615	0.3204	0.1858	0.0987	0.0301	0.0175	0.0088	0.0173	0.0145	0.0133	0.0132	0.0083	0.0067	0.0108	0.0071	0.0062	0.0103	0.0111	0.0106	0.0073	0.0098	0.0067	0.0055	0.0073	0.0099	0.009	0.0094	0.0126	0.0108	0.0097	0.0178	0.0133	0.0069	0.0123	0.02	0.0103	0.0179	0.0145	0.0069	0.0073	0.0144	0.0139	0.0109	0.0098	0.016	0.0124	0.0063	0.0112	0.0111	0.0096	0.0136	0.0127	0.0079	0.0081	0.0125	0.0085	0.0138	0.0103	0.0104	0.0104	0.0101	0.0062	0.0139	0.0078	0.0132	0.0096	0.0065	0.022	0.0063	0.0088	0.0091	0.0096	0.0096	0.0143	0.0087	0.0083	0.0102	0.0086	0.0088	0.0156	0.014	0.0131	0.0068	0.0131	0.0136	0.0114	0.0068	0.0064	0.0086	0.0102	0.0067	0.0088	0.0108	0.0095	0.0075	0.0112	0.0101	0.0082	0.0079	0.0074
lower0_perm_direct	-0.0751	-0.0419	-0.0158	-0.0145	-0.0046	-0.0022	-0.0013	-0.0012	-0.0016	-0.001	-0.001	-0.001	-0.0011	-0.0009	-0.0008	-0.0009	-0.0008	-0.0008	-0.001	-0.0007	-0.0009	-0.0009	-0.0008	-0.0007	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0007	-0.0008	-0.0008	-0.0009	-0.001	-0.001	-0.0012	-0.0009	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0007	-0.0009	-0.0007	-0.0008	-0.0008	-0.0007	-0.0011	-0.0014	-0.0007	-0.0008	-0.0011	-0.0007	-0.0009	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0011	-0.0007	-0.0009	-0.0007	-0.0008	-0.0007	-0.0008	-0.0009	-0.0009	-0.0007	-0.001	-0.0011	-0.0007	-0.0008	-0.0011	-0.0008	-0.0008	-0.0006	-0.0012	-0.0009	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0008	-0.0013	-0.0009	-0.0006	-0.0009	-0.0007	-0.0007	-0.0007	-0.0008
sad_vc_estimate	0.912	0.001	0.1129	-0.0033	-0.0032	0.022	0.002	0.0037	0.0005	-0.0006	-0.0003	0.0019	0.0046	0.0083	0.0019	0.0031	0.0076	0.002	0.0017	0.0015	0.0053	-0.0006	0.0002	0.0024	0.0099	0.0021	0.0019	-0.0005	0.0056	-0.0003	0.0553	0.0152	0.0001	0.0011	0.0069	-0.0007	0.0013	0.0196	0.0008	-0.0006	-0.0006	0.0001	0.0028	0.0013	0.0033	0.0785	0.0024	0.0039	0.0002	-0.0004	0.0464	0.003	0.0046	-0.0006	0.0107	-0.0004	0.0163	0.003	0.0027	-0.0005	0.0026	0.0018	0.0227	0.0032	0.0002	0.0056	-0.0001	0.0096	-0.0005	0.0001	-0.0005	0.006	0.0027	-0.0005	0.024	0.0022	0.0062	0.0003	0.0	0.0076	0.0108	0.0054	0.0016	0.0108	0.0282	0.0026	0.003	0.0004	-0.0004	0.0019	0.0078	0.001	-0.0007	0.0177	-0.0003	0.0001	0.0004	0.0027	0.0034	0.0045
sad_vc_estimate_se	0.3193	0.1843	0.0696	0.0603	0.0202	0.0094	0.0058	0.005	0.0071	0.0045	0.0044	0.0045	0.0045	0.0039	0.0035	0.0041	0.0036	0.0033	0.0043	0.003	0.0041	0.004	0.0032	0.0031	0.0039	0.0034	0.0037	0.004	0.0037	0.0032	0.0037	0.0035	0.0037	0.0043	0.0045	0.0051	0.0039	0.0034	0.0036	0.0038	0.0038	0.0034	0.0035	0.004	0.004	0.0033	0.0033	0.0031	0.0039	0.0032	0.0033	0.0037	0.0031	0.0048	0.0061	0.0031	0.0037	0.0046	0.003	0.0037	0.0034	0.0038	0.0038	0.0034	0.0034	0.0045	0.003	0.0038	0.0031	0.0035	0.0032	0.0034	0.004	0.0036	0.0033	0.0043	0.0045	0.003	0.0036	0.0045	0.0034	0.0035	0.0027	0.0051	0.004	0.0032	0.003	0.003	0.0027	0.003	0.0035	0.0034	0.0055	0.004	0.0027	0.0038	0.003	0.0029	0.0031	0.0035
sad_vc_pvals	0.049	0.646	0.255	0.693	0.988	0.112	0.391	0.446	0.629	0.886	0.785	0.424	0.189	0.203	0.363	0.31	0.157	0.478	0.491	0.46	0.289	0.959	0.613	0.381	0.128	0.414	0.495	0.903	0.314	0.85	0.008	0.124	0.657	0.594	0.345	0.871	0.639	0.107	0.521	0.994	0.99	0.761	0.483	0.499	0.461	0.001	0.332	0.407	0.719	0.888	0.004	0.422	0.256	0.803	0.11	0.908	0.079	0.352	0.428	0.916	0.428	0.448	0.062	0.341	0.685	0.243	0.718	0.271	0.947	0.67	0.972	0.248	0.364	0.952	0.01	0.435	0.261	0.634	0.687	0.253	0.186	0.301	0.443	0.17	0.026	0.484	0.308	0.615	0.942	0.44	0.109	0.566	0.867	0.049	0.874	0.743	0.689	0.384	0.284	0.203
upper95_perm_sad	1.1371	0.6322	0.4401	0.2049	0.0656	0.0446	0.0182	0.0324	0.0343	0.0288	0.0273	0.02	0.0146	0.0246	0.0146	0.0156	0.019	0.0223	0.0228	0.0163	0.0268	0.0145	0.0136	0.0179	0.0216	0.0175	0.0215	0.0244	0.0269	0.0223	0.0391	0.0296	0.017	0.0299	0.0361	0.0225	0.0354	0.035	0.0137	0.0139	0.0285	0.0343	0.0272	0.0201	0.0337	0.029	0.0159	0.0285	0.0256	0.0218	0.0307	0.0262	0.0179	0.0139	0.0208	0.0187	0.0278	0.022	0.0261	0.0189	0.0216	0.0193	0.0312	0.0177	0.0264	0.0209	0.0166	0.0445	0.0151	0.0189	0.0199	0.0221	0.0193	0.0301	0.0184	0.0205	0.0248	0.0175	0.0198	0.0335	0.0302	0.0286	0.0165	0.0278	0.0282	0.0264	0.0152	0.0148	0.0172	0.0233	0.0151	0.0193	0.0231	0.0233	0.0173	0.0287	0.0255	0.0197	0.0171	0.0147
lower0_perm_sad	-0.0747	-0.0421	-0.0167	-0.0142	-0.0046	-0.0022	-0.0013	-0.0011	-0.0016	-0.0011	-0.0011	-0.001	-0.0011	-0.0009	-0.0008	-0.0009	-0.0008	-0.0008	-0.001	-0.0007	-0.0009	-0.001	-0.0007	-0.0007	-0.001	-0.0008	-0.0009	-0.0009	-0.0008	-0.0007	-0.0009	-0.0008	-0.0009	-0.001	-0.0011	-0.0012	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0007	-0.0009	-0.0007	-0.0008	-0.0008	-0.0007	-0.0011	-0.0014	-0.0007	-0.0009	-0.001	-0.0007	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.001	-0.0007	-0.0009	-0.0007	-0.0008	-0.0008	-0.0008	-0.001	-0.0009	-0.0008	-0.001	-0.0011	-0.0007	-0.0008	-0.001	-0.0008	-0.0008	-0.0006	-0.0012	-0.0009	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0008	-0.0013	-0.0009	-0.0006	-0.0009	-0.0007	-0.0007	-0.0007	-0.0008
