	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2321	-0.0184	-0.0016	0.3409	0.038	-0.0028	-0.0013	-0.002	-0.0034	-0.0036	-0.0021	0.0003	-0.0016	-0.0033	0.0099	-0.0006	-0.0021	-0.0014	0.031	-0.0007	-0.0014	-0.0007	-0.0028	-0.0014	-0.0028	0.0006	-0.0021	0.0012	0.0271	0.0026	-0.0022	-0.0003	-0.0022	-0.0029	0.0025	-0.0014	-0.0003	-0.0006	0.0103	-0.0	0.0041	0.0223	0.0159	0.0028	0.0056	0.0152	-0.0021	0.0647	-0.0013	-0.0027	-0.0021	0.0039	0.0352	0.014	0.0039	-0.0011	-0.0022	0.0048	-0.0023	0.0288	-0.0018	0.0206	-0.0005	-0.0021	0.0033	-0.0014	-0.002	-0.0006	-0.0032	-0.0027	0.0005	0.0125	-0.0022	0.001	0.0041	-0.0023	-0.0003	-0.0025	0.0052	-0.0022	0.0005	-0.0021	0.0271	-0.0024	0.0055	0.0002	-0.0021	0.0009	0.0182	0.0024	-0.0023	-0.0	-0.002	-0.0018	-0.0022	-0.0025	-0.0027	-0.0021	-0.0025	-0.0015
direct_vc_estimate_se	0.0444	0.0178	0.008	0.0073	0.0015	0.0009	0.0007	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0005	0.0005	0.0004	0.0003	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0004	0.0003	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0005
direct_vc_pvals	0.717	0.466	0.4	0.026	0.072	0.537	0.411	0.564	0.91	0.813	0.632	0.391	0.508	0.927	0.131	0.43	0.703	0.604	0.002	0.573	0.58	0.471	0.945	0.704	0.89	0.405	0.908	0.355	0.013	0.32	0.733	0.506	0.841	0.861	0.261	0.539	0.388	0.564	0.198	0.42	0.396	0.047	0.045	0.267	0.309	0.051	0.923	0.001	0.569	0.897	0.761	0.182	0.007	0.059	0.182	0.574	0.765	0.244	0.961	0.009	0.663	0.039	0.476	0.932	0.315	0.61	0.671	0.508	0.883	0.86	0.46	0.042	0.81	0.338	0.289	0.862	0.393	0.986	0.21	0.92	0.422	0.82	0.031	0.852	0.136	0.456	0.848	0.34	0.061	0.241	0.904	0.486	0.738	0.619	0.991	0.869	0.788	0.791	0.889	0.598
upper95_perm_direct	1.0169	0.5743	0.2182	0.2922	0.0538	0.028	0.0135	0.0228	0.0234	0.0193	0.0176	0.0162	0.0131	0.0157	0.0211	0.0137	0.0061	0.0196	0.0175	0.024	0.0125	0.0131	0.0138	0.0318	0.0281	0.0143	0.0151	0.0152	0.0181	0.0221	0.0182	0.0138	0.0114	0.0234	0.0144	0.0153	0.0094	0.0206	0.0293	0.016	0.0382	0.0256	0.0182	0.0161	0.0275	0.018	0.0143	0.0265	0.0144	0.0137	0.0273	0.0134	0.024	0.0178	0.015	0.0193	0.0239	0.0212	0.0133	0.0181	0.0135	0.0218	0.0133	0.0147	0.0248	0.0229	0.0163	0.0164	0.0183	0.0133	0.0198	0.0127	0.022	0.0136	0.0215	0.0119	0.0091	0.0116	0.017	0.0129	0.0189	0.025	0.0271	0.0107	0.0127	0.0189	0.013	0.0146	0.0228	0.0108	0.0122	0.0181	0.0141	0.0144	0.0143	0.0183	0.0143	0.0141	0.0187	0.0197
lower0_perm_direct	-0.3844	-0.1436	-0.0673	-0.0609	-0.0129	-0.0074	-0.006	-0.0054	-0.0047	-0.0052	-0.0046	-0.004	-0.0046	-0.0045	-0.0038	-0.0041	-0.0032	-0.0039	-0.0031	-0.0038	-0.0033	-0.0036	-0.0039	-0.0037	-0.0039	-0.0034	-0.0031	-0.0037	-0.0043	-0.004	-0.0037	-0.0028	-0.0031	-0.004	-0.0036	-0.0041	-0.0032	-0.0035	-0.0041	-0.0033	-0.0043	-0.0035	-0.0037	-0.0037	-0.0037	-0.0036	-0.0029	-0.0039	-0.0035	-0.0037	-0.0036	-0.0031	-0.0031	-0.0038	-0.0042	-0.0037	-0.0039	-0.003	-0.0032	-0.0035	-0.0036	-0.0034	-0.003	-0.0029	-0.004	-0.0042	-0.004	-0.0034	-0.0045	-0.0038	-0.0031	-0.0037	-0.0035	-0.0033	-0.0038	-0.0033	-0.003	-0.0033	-0.0036	-0.0031	-0.0031	-0.0035	-0.0039	-0.0033	-0.0032	-0.0035	-0.0029	-0.0037	-0.0031	-0.0032	-0.0033	-0.0034	-0.0034	-0.0036	-0.003	-0.0035	-0.004	-0.0031	-0.0037	-0.0039
sad_vc_estimate	-0.2697	0.1682	0.0144	0.7197	0.0106	0.0064	-0.0005	0.0011	-0.0035	-0.0037	-0.0029	-0.0004	-0.0024	-0.0034	0.0121	0.0002	-0.0017	0.0003	0.0455	0.0038	0.0031	-0.001	-0.0028	-0.0021	-0.0019	0.0019	-0.002	-0.0022	0.0435	0.0012	-0.0022	0.0066	-0.0023	-0.0029	-0.0008	-0.0014	0.0022	0.001	0.0154	-0.0009	-0.0013	0.0291	0.0277	0.0074	0.0149	0.0338	-0.0022	0.0674	0.0035	-0.0027	-0.0013	0.0044	0.0589	0.0258	-0.0006	-0.0027	-0.0029	0.0015	-0.0023	0.0389	0.0008	0.0375	-0.0001	-0.0021	0.0058	-0.0024	-0.0028	0.0007	-0.0033	-0.0009	-0.0001	0.0131	0.0048	-0.0005	-0.0007	-0.0024	0.0042	-0.0016	0.0128	-0.0023	0.0037	-0.0025	0.0434	-0.0024	0.0056	0.0007	-0.0015	0.0027	0.0174	-0.0022	-0.0011	-0.002	-0.0014	0.0052	-0.002	-0.0017	-0.0027	-0.002	-0.0019	-0.002
sad_vc_estimate_se	0.0447	0.0179	0.0081	0.0073	0.0015	0.0009	0.0007	0.0006	0.0006	0.0006	0.0005	0.0005	0.0006	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0005	0.0005	0.0004	0.0003	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0005	0.0004	0.0004	0.0003	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0004	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0005	0.0004	0.0004	0.0005
sad_vc_pvals	0.894	0.282	0.432	0.006	0.405	0.317	0.409	0.455	0.986	0.862	0.794	0.495	0.627	0.971	0.138	0.474	0.592	0.521	0.0	0.416	0.261	0.536	0.929	0.829	0.724	0.403	0.835	0.733	0.007	0.462	0.77	0.214	0.925	0.881	0.584	0.676	0.273	0.501	0.23	0.672	0.704	0.039	0.023	0.252	0.177	0.035	0.965	0.003	0.254	0.916	0.687	0.235	0.002	0.018	0.564	0.903	0.95	0.459	0.945	0.014	0.444	0.016	0.486	0.885	0.312	0.764	0.886	0.433	0.976	0.51	0.614	0.095	0.348	0.544	0.622	0.954	0.259	0.652	0.131	0.96	0.362	0.974	0.015	0.865	0.184	0.502	0.717	0.324	0.122	0.856	0.58	0.792	0.606	0.21	0.852	0.638	0.821	0.815	0.75	0.786
upper95_perm_sad	1.604	0.8016	0.3819	0.3836	0.0899	0.0431	0.0181	0.0347	0.0281	0.0283	0.0242	0.0225	0.0164	0.0253	0.0271	0.0207	0.0097	0.0292	0.021	0.041	0.0159	0.0189	0.0167	0.0392	0.0277	0.0218	0.0228	0.0221	0.0293	0.0296	0.0265	0.0201	0.0119	0.0385	0.0229	0.0272	0.0142	0.0293	0.0443	0.0289	0.0435	0.0301	0.023	0.03	0.0321	0.0342	0.0173	0.0335	0.016	0.0198	0.0378	0.017	0.0353	0.02	0.0266	0.0351	0.0397	0.0263	0.017	0.0277	0.0211	0.0317	0.0184	0.0193	0.032	0.0289	0.0275	0.022	0.0218	0.0148	0.0361	0.0217	0.0312	0.0189	0.0295	0.0178	0.0181	0.0168	0.026	0.0196	0.0251	0.0306	0.0368	0.017	0.0152	0.026	0.0184	0.0214	0.0304	0.0115	0.0162	0.0251	0.0161	0.0175	0.0158	0.0165	0.0179	0.0221	0.0226	0.0311
lower0_perm_sad	-0.3812	-0.1508	-0.0674	-0.0602	-0.0126	-0.0074	-0.0061	-0.0056	-0.0046	-0.0054	-0.0046	-0.004	-0.0046	-0.0045	-0.004	-0.0041	-0.0033	-0.004	-0.0031	-0.0037	-0.0032	-0.0036	-0.0038	-0.0037	-0.0041	-0.0033	-0.003	-0.0038	-0.0042	-0.0038	-0.0037	-0.0029	-0.0032	-0.0041	-0.0035	-0.0041	-0.0031	-0.0036	-0.0041	-0.0032	-0.0043	-0.0035	-0.0036	-0.0038	-0.0036	-0.0037	-0.0029	-0.0042	-0.0035	-0.0038	-0.0037	-0.003	-0.0032	-0.0037	-0.0043	-0.0038	-0.004	-0.003	-0.0033	-0.0035	-0.0036	-0.0033	-0.003	-0.0029	-0.0041	-0.0042	-0.0039	-0.0034	-0.0044	-0.0037	-0.0032	-0.0037	-0.0035	-0.0032	-0.0037	-0.0032	-0.003	-0.0034	-0.0036	-0.0031	-0.0031	-0.0035	-0.0039	-0.0033	-0.0032	-0.0035	-0.0029	-0.0037	-0.0031	-0.0031	-0.0033	-0.0033	-0.0034	-0.0036	-0.0029	-0.0035	-0.0039	-0.0031	-0.0037	-0.0039
