	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.3747	0.6947	0.7646	-0.1418	0.2582	0.013	0.0224	-0.0009	-0.0011	-0.0156	-0.0104	0.0034	-0.0091	-0.0086	0.0153	0.0031	-0.0051	0.0286	0.0152	-0.0071	-0.0013	-0.0075	-0.0092	0.0092	-0.0031	-0.0019	-0.0074	0.0226	-0.0073	0.0819	-0.002	-0.0068	0.0224	0.0106	-0.0043	-0.0049	-0.0112	-0.0031	0.0003	-0.004	0.0006	0.0163	-0.0044	0.0196	-0.0089	-0.0064	-0.0093	0.0111	0.0196	-0.0044	-0.0045	0.0086	-0.0033	0.0028	-0.0022	-0.0067	-0.002	0.0009	-0.004	0.029	0.0241	-0.0067	0.0106	0.0018	0.0036	-0.0027	0.0028	0.0022	0.0062	0.0513	0.0076	-0.0041	-0.0071	-0.0025	-0.0028	-0.0072	0.0301	0.0103	-0.0004	-0.0064	0.0363	-0.0039	0.0001	0.0076	-0.0054	-0.0088	-0.0053	-0.0032	-0.0057	0.0545	0.0107	0.0003	0.0047	0.0024	-0.0009	0.0002	-0.0036	0.0266	-0.0037	-0.0053
direct_vc_estimate_se	0.0896	0.0688	0.0151	0.02	0.0061	0.0035	0.0019	0.002	0.0008	0.0022	0.0015	0.0009	0.0013	0.0018	0.0011	0.0013	0.0008	0.0012	0.0006	0.001	0.0013	0.0014	0.0021	0.0011	0.0014	0.0008	0.0011	0.0009	0.0014	0.0014	0.0009	0.0012	0.0013	0.0014	0.0013	0.001	0.0017	0.0008	0.0018	0.001	0.0012	0.0019	0.0011	0.0016	0.0015	0.001	0.0017	0.0011	0.0011	0.0011	0.0013	0.0007	0.0005	0.001	0.0011	0.0013	0.0014	0.0009	0.0008	0.001	0.0014	0.001	0.0011	0.0008	0.001	0.0018	0.0014	0.0014	0.0012	0.0014	0.0012	0.0007	0.0013	0.0011	0.001	0.0013	0.0008	0.0009	0.0011	0.0016	0.0011	0.0006	0.001	0.0016	0.0009	0.0015	0.0008	0.0011	0.0009	0.0013	0.0007	0.0014	0.0006	0.001	0.0008	0.0011	0.0005	0.0008	0.0008	0.0012
direct_vc_pvals	0.645	0.202	0.025	0.966	0.031	0.271	0.348	0.292	0.526	0.983	0.947	0.499	0.994	0.593	0.604	0.456	0.777	0.123	0.045	0.917	0.418	0.627	0.597	0.401	0.438	0.35	0.839	0.027	0.693	0.038	0.415	0.638	0.128	0.103	0.882	0.755	0.833	0.622	0.474	0.535	0.354	0.482	0.54	0.2	0.687	0.955	0.593	0.346	0.139	0.603	0.694	0.156	0.756	0.225	0.483	0.575	0.457	0.295	0.585	0.061	0.277	0.725	0.308	0.392	0.347	0.327	0.207	0.607	0.334	0.247	0.369	0.638	0.605	0.506	0.333	0.652	0.165	0.162	0.281	0.59	0.145	0.714	0.666	0.15	0.617	0.672	0.87	0.789	0.717	0.231	0.284	0.653	0.158	0.554	0.76	0.66	0.828	0.11	0.574	0.53
upper95_perm_direct	3.1707	1.9085	0.6733	0.4176	0.2283	0.0893	0.1009	0.0367	0.0311	0.0533	0.0575	0.0321	0.0439	0.0427	0.069	0.0589	0.0168	0.0528	0.015	0.0158	0.0377	0.0289	0.0514	0.0486	0.037	0.0073	0.02	0.0178	0.0513	0.0833	0.0155	0.0216	0.0403	0.0182	0.0636	0.0548	0.0964	0.0302	0.0565	0.0222	0.0285	0.1387	0.0226	0.0549	0.0327	0.0368	0.0142	0.037	0.0386	0.0239	0.0469	0.0191	0.0137	0.0143	0.0321	0.0165	0.0368	0.0167	0.0133	0.0338	0.0608	0.0124	0.0507	0.0246	0.0328	0.0305	0.0198	0.0766	0.0459	0.0896	0.053	0.0101	0.0122	0.032	0.0113	0.0331	0.055	0.0257	0.0153	0.0496	0.0713	0.012	0.0369	0.0234	0.01	0.0307	0.0376	0.0567	0.0126	0.0989	0.0374	0.0447	0.0112	0.0674	0.0272	0.0624	0.0118	0.0416	0.0182	0.0267
lower0_perm_direct	-0.7838	-0.6251	-0.1351	-0.18	-0.0535	-0.0311	-0.0169	-0.0182	-0.0068	-0.0198	-0.0131	-0.0076	-0.011	-0.0158	-0.0087	-0.011	-0.0071	-0.0103	-0.0056	-0.0091	-0.0111	-0.0129	-0.018	-0.0098	-0.0124	-0.0067	-0.0103	-0.0076	-0.0128	-0.0119	-0.0078	-0.0111	-0.0112	-0.0121	-0.0115	-0.0093	-0.0157	-0.0069	-0.0153	-0.0086	-0.0101	-0.0167	-0.0093	-0.0145	-0.0132	-0.0085	-0.015	-0.0094	-0.0101	-0.0097	-0.0114	-0.0067	-0.0045	-0.0086	-0.0096	-0.0122	-0.0124	-0.0083	-0.007	-0.0089	-0.0119	-0.0094	-0.01	-0.0069	-0.0087	-0.0165	-0.0126	-0.0127	-0.0104	-0.0106	-0.011	-0.0063	-0.0112	-0.0098	-0.0093	-0.0122	-0.0073	-0.0078	-0.0097	-0.0142	-0.0095	-0.0058	-0.0092	-0.0144	-0.0082	-0.0132	-0.0068	-0.0095	-0.0079	-0.0106	-0.0061	-0.0115	-0.0059	-0.0093	-0.0069	-0.0099	-0.0047	-0.0074	-0.0073	-0.011
sad_vc_estimate	-0.4197	1.8168	0.7488	-0.1407	0.1633	0.0424	0.0419	0.0169	-0.0036	-0.0149	-0.0104	-0.0018	-0.0088	-0.0095	0.0287	-0.0059	-0.0056	0.0176	0.0224	-0.0067	0.0043	-0.005	-0.0146	0.006	0.0006	-0.0031	-0.0078	0.0162	-0.0014	0.0681	0.0076	-0.0087	0.0424	0.0199	-0.0023	-0.0024	-0.0123	-0.0039	-0.0061	-0.0029	-0.002	0.0206	-0.0062	-0.0033	-0.0103	-0.0047	-0.0023	0.0097	0.0144	-0.0072	-0.0025	0.0176	-0.0037	0.0155	-0.0054	-0.0094	-0.0037	0.0058	-0.0026	0.0192	0.0441	-0.0034	0.019	0.0071	0.0163	-0.0084	0.0025	0.0045	0.0106	0.067	0.013	-0.0047	0.0036	-0.0026	-0.0023	-0.0057	0.0406	0.0058	0.0105	-0.0003	0.0391	-0.004	0.0097	0.0276	-0.0066	-0.0106	-0.0057	-0.0005	-0.0063	0.0659	0.0099	0.0014	0.0084	0.0054	0.0021	0.0021	-0.0035	0.0396	-0.0016	-0.0085
sad_vc_estimate_se	0.0897	0.0689	0.0151	0.0201	0.0061	0.0035	0.0019	0.002	0.0008	0.0022	0.0015	0.0009	0.0013	0.0018	0.0011	0.0013	0.0008	0.0012	0.0006	0.001	0.0013	0.0014	0.0021	0.0011	0.0014	0.0008	0.0011	0.0009	0.0014	0.0014	0.0009	0.0012	0.0013	0.0014	0.0013	0.001	0.0017	0.0008	0.0018	0.001	0.0012	0.0019	0.0011	0.0016	0.0015	0.001	0.0017	0.0011	0.0011	0.0011	0.0013	0.0007	0.0005	0.001	0.0011	0.0013	0.0014	0.0009	0.0008	0.001	0.0014	0.001	0.0011	0.0008	0.001	0.0018	0.0014	0.0014	0.0012	0.0014	0.0012	0.0007	0.0013	0.0011	0.001	0.0013	0.0008	0.0009	0.0011	0.0016	0.0011	0.0006	0.001	0.0016	0.0009	0.0015	0.0008	0.0011	0.0009	0.0013	0.0007	0.0014	0.0006	0.001	0.0008	0.0011	0.0005	0.0008	0.0008	0.0013
sad_vc_pvals	0.751	0.09	0.056	0.914	0.116	0.195	0.275	0.181	0.74	0.843	0.951	0.754	0.894	0.649	0.483	0.713	0.977	0.253	0.033	0.811	0.366	0.55	0.969	0.534	0.433	0.4	0.924	0.075	0.57	0.108	0.179	0.953	0.064	0.066	0.907	0.718	0.948	0.698	0.662	0.513	0.484	0.543	0.752	0.59	0.895	0.872	0.324	0.476	0.214	0.869	0.675	0.089	0.967	0.068	0.662	0.928	0.51	0.18	0.424	0.178	0.161	0.439	0.281	0.307	0.167	0.549	0.247	0.64	0.289	0.279	0.348	0.803	0.108	0.575	0.245	0.593	0.177	0.232	0.077	0.41	0.144	0.777	0.494	0.015	0.989	0.913	0.978	0.77	0.864	0.258	0.368	0.72	0.097	0.565	0.746	0.649	0.846	0.08	0.44	0.844
upper95_perm_sad	3.1757	2.4527	0.8506	0.3245	0.2531	0.1114	0.1387	0.053	0.0353	0.0769	0.0638	0.0373	0.0512	0.0419	0.0824	0.0822	0.019	0.0525	0.0207	0.0244	0.0522	0.0444	0.0742	0.0699	0.0557	0.0076	0.0197	0.0219	0.0742	0.0913	0.021	0.0307	0.0462	0.0243	0.0785	0.0726	0.1272	0.0384	0.0687	0.0271	0.0383	0.1857	0.0287	0.06	0.033	0.0517	0.0165	0.0399	0.0471	0.029	0.0582	0.0249	0.0165	0.0184	0.0316	0.0185	0.0424	0.0183	0.0124	0.04	0.0724	0.0142	0.0669	0.0301	0.036	0.0334	0.0204	0.0863	0.0529	0.125	0.0795	0.0143	0.009	0.038	0.0054	0.041	0.0726	0.0247	0.0153	0.0491	0.0655	0.0189	0.0451	0.0175	0.0095	0.0327	0.0422	0.0655	0.0137	0.1332	0.0508	0.0526	0.0129	0.0849	0.0351	0.068	0.0122	0.0491	0.0199	0.0239
lower0_perm_sad	-0.8133	-0.6208	-0.1309	-0.1755	-0.0514	-0.0311	-0.0166	-0.0175	-0.0067	-0.0198	-0.0132	-0.0078	-0.0114	-0.0159	-0.0086	-0.0113	-0.007	-0.0102	-0.0053	-0.0091	-0.0114	-0.0129	-0.018	-0.0098	-0.0124	-0.0068	-0.0104	-0.0077	-0.0128	-0.0119	-0.0077	-0.0108	-0.0111	-0.0121	-0.0118	-0.0091	-0.0152	-0.0067	-0.0157	-0.0085	-0.0102	-0.0169	-0.0093	-0.0144	-0.0133	-0.0086	-0.0151	-0.0091	-0.01	-0.0091	-0.0107	-0.0066	-0.0046	-0.0087	-0.0098	-0.0119	-0.0123	-0.0083	-0.007	-0.0089	-0.012	-0.0094	-0.0102	-0.007	-0.0088	-0.0165	-0.0129	-0.0122	-0.0106	-0.0099	-0.0108	-0.0063	-0.0111	-0.0097	-0.0092	-0.0117	-0.0072	-0.0079	-0.0095	-0.0139	-0.0099	-0.0056	-0.0086	-0.0144	-0.0083	-0.0137	-0.0069	-0.0093	-0.008	-0.011	-0.0063	-0.0118	-0.0058	-0.0091	-0.0065	-0.0099	-0.0048	-0.0073	-0.0071	-0.0111
