	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.2144	-0.1103	-0.0278	0.1995	-0.0067	-0.0046	0.0074	0.0022	0.016	0.0021	0.0039	0.0049	0.0014	-0.0028	0.0026	0.0056	-0.0027	0.0058	0.0005	0.0255	-0.0012	-0.0019	0.0062	0.0064	-0.0016	0.0022	-0.0019	0.0043	-0.001	-0.0012	-0.0016	0.0036	0.03	0.0094	0.0022	0.0081	0.0005	0.0004	-0.002	-0.0029	0.0098	0.0018	0.0058	0.0082	-0.0016	0.0042	-0.0026	0.0011	-0.0016	0.018	-0.002	0.0007	-0.0009	-0.0023	-0.0008	0.0093	-0.0018	-0.0017	-0.0014	-0.0027	-0.0023	-0.0	-0.0023	-0.0019	0.0002	0.0031	-0.0012	-0.0012	-0.001	-0.0019	-0.0025	0.0062	0.0223	0.0098	-0.0021	-0.0023	-0.0014	0.0083	0.0071	0.0001	0.0122	-0.0022	-0.0024	-0.0003	-0.0026	0.0173	-0.0005	0.0054	-0.0004	-0.0035	-0.0004	0.0049	0.0163	-0.0019	-0.0007	-0.0017	-0.002	0.0352	0.0121	0.0121
direct_vc_estimate_se	0.6187	0.4466	0.1306	0.1094	0.0422	0.0174	0.0154	0.0169	0.0162	0.0108	0.0152	0.013	0.0121	0.0123	0.0099	0.0098	0.0109	0.0091	0.0099	0.0103	0.0098	0.0092	0.0084	0.0111	0.0089	0.0133	0.0099	0.0111	0.0139	0.0107	0.0091	0.0098	0.011	0.0104	0.0107	0.0095	0.0092	0.0098	0.0096	0.0113	0.0101	0.0091	0.0093	0.0102	0.0091	0.0091	0.01	0.0124	0.0096	0.0101	0.0097	0.009	0.0096	0.0091	0.0095	0.0097	0.0092	0.0093	0.0098	0.0101	0.0099	0.01	0.0092	0.011	0.0098	0.0103	0.0095	0.009	0.0085	0.0099	0.0095	0.0106	0.0105	0.009	0.0113	0.0087	0.013	0.0095	0.0101	0.0109	0.0096	0.0092	0.0099	0.0094	0.0112	0.0094	0.0094	0.0093	0.0096	0.014	0.0087	0.0096	0.0094	0.0082	0.0099	0.0091	0.0094	0.0097	0.0113	0.0112
direct_vc_pvals	0.162	0.783	0.72	0.031	0.636	0.991	0.083	0.341	0.061	0.222	0.264	0.209	0.302	0.752	0.233	0.118	0.784	0.137	0.393	0.015	0.545	0.704	0.123	0.165	0.642	0.297	0.7	0.233	0.457	0.564	0.657	0.221	0.01	0.106	0.327	0.135	0.447	0.43	0.729	0.915	0.094	0.34	0.186	0.124	0.667	0.228	0.973	0.356	0.645	0.029	0.723	0.401	0.565	0.842	0.528	0.088	0.702	0.678	0.594	0.993	0.773	0.468	0.877	0.627	0.462	0.256	0.567	0.578	0.59	0.71	0.994	0.133	0.015	0.078	0.677	0.951	0.512	0.119	0.154	0.429	0.084	0.823	0.8	0.479	0.802	0.038	0.46	0.145	0.466	0.88	0.49	0.198	0.047	0.8	0.535	0.666	0.729	0.004	0.086	0.069
upper95_perm_direct	0.6756	0.3409	0.2134	0.1708	0.0862	0.0212	0.0124	0.026	0.0206	0.0128	0.022	0.0213	0.0185	0.0144	0.0141	0.0125	0.0132	0.0156	0.0145	0.0188	0.0176	0.0163	0.0137	0.0196	0.0147	0.0225	0.0205	0.0204	0.0171	0.0203	0.0168	0.0169	0.0202	0.0187	0.018	0.0203	0.0204	0.0197	0.0179	0.0177	0.0173	0.0183	0.0202	0.02	0.015	0.017	0.0178	0.0192	0.0191	0.0171	0.0183	0.0167	0.0171	0.0164	0.0173	0.014	0.0168	0.0169	0.0164	0.0191	0.0176	0.0194	0.0177	0.0178	0.0231	0.0198	0.0163	0.0162	0.016	0.0193	0.0196	0.016	0.0169	0.0158	0.0186	0.0181	0.0203	0.0189	0.0199	0.0181	0.0204	0.0172	0.0167	0.0167	0.0194	0.0181	0.0187	0.0154	0.0138	0.0223	0.0156	0.0174	0.0185	0.0166	0.0188	0.0152	0.0149	0.0179	0.0186	0.0174
lower0_perm_direct	-0.2278	-0.1607	-0.0477	-0.0412	-0.0159	-0.0064	-0.0056	-0.0062	-0.0059	-0.0039	-0.0055	-0.0049	-0.0045	-0.0045	-0.0037	-0.0035	-0.004	-0.0033	-0.0038	-0.0037	-0.0035	-0.0033	-0.0032	-0.004	-0.0032	-0.0047	-0.0036	-0.004	-0.0052	-0.0038	-0.0033	-0.0035	-0.004	-0.0038	-0.0038	-0.0035	-0.0033	-0.0035	-0.0034	-0.004	-0.0036	-0.0034	-0.0034	-0.0037	-0.0033	-0.0033	-0.0037	-0.0047	-0.0035	-0.0037	-0.0035	-0.0033	-0.0034	-0.0033	-0.0034	-0.0036	-0.0034	-0.0034	-0.0036	-0.0037	-0.0035	-0.0036	-0.0033	-0.0042	-0.0035	-0.0037	-0.0035	-0.0033	-0.0031	-0.0035	-0.0035	-0.0038	-0.0037	-0.0033	-0.0041	-0.0031	-0.0047	-0.0035	-0.0036	-0.0041	-0.0034	-0.0033	-0.0035	-0.0034	-0.0041	-0.0034	-0.0034	-0.0035	-0.0036	-0.005	-0.0032	-0.0034	-0.0033	-0.003	-0.0036	-0.0033	-0.0033	-0.0035	-0.0041	-0.004
sad_vc_estimate	0.1493	-0.088	-0.036	0.149	-0.0089	-0.0048	0.0034	-0.0002	0.0248	-0.0006	0.0125	-0.0026	-0.0026	-0.0024	-0.0008	0.0059	-0.0009	0.0202	-0.0026	0.0448	0.0036	-0.0025	0.003	0.0004	-0.0025	0.0013	-0.0027	0.0014	0.0039	-0.002	0.0091	0.0005	0.0164	0.0123	0.006	0.005	0.0009	-0.002	-0.0027	-0.0029	0.0107	0.0135	0.0106	0.0204	-0.0022	0.0036	0.0023	0.0017	-0.0011	0.0179	-0.0022	0.0046	0.0026	-0.0026	-0.001	0.0113	-0.0012	-0.0025	-0.0024	-0.0026	-0.0028	0.0034	-0.0026	-0.0015	0.0036	-0.0004	0.0057	0.0047	0.0025	-0.0016	-0.0022	0.0128	0.0501	0.0083	-0.0031	-0.0021	0.0007	0.0186	0.0198	-0.0019	0.0106	-0.0016	-0.0026	-0.0008	-0.0027	0.016	0.0028	0.0045	-0.0024	0.0	-0.0009	0.0357	0.0101	-0.002	0.007	0.0044	-0.0026	0.021	0.032	0.0144
sad_vc_estimate_se	0.6525	0.4698	0.1387	0.1157	0.0444	0.0184	0.0162	0.0178	0.0169	0.0115	0.0159	0.0137	0.0127	0.0128	0.0105	0.0103	0.0114	0.0096	0.0105	0.0108	0.0104	0.0098	0.0089	0.0117	0.0094	0.0139	0.0104	0.0116	0.0145	0.0112	0.0096	0.0103	0.0115	0.011	0.0112	0.0101	0.0098	0.0103	0.0101	0.0118	0.0106	0.0096	0.0098	0.0107	0.0096	0.0096	0.0105	0.013	0.0101	0.0106	0.0102	0.0095	0.0102	0.0097	0.01	0.0103	0.0097	0.0098	0.0104	0.0107	0.0104	0.0105	0.0098	0.0115	0.0103	0.0108	0.01	0.0096	0.009	0.0104	0.01	0.0111	0.011	0.0095	0.0118	0.0092	0.0135	0.01	0.0106	0.0114	0.0101	0.0097	0.0105	0.0099	0.0117	0.01	0.0099	0.0098	0.0101	0.0145	0.0092	0.0101	0.0099	0.0087	0.0104	0.0096	0.0099	0.0102	0.0118	0.0117
sad_vc_pvals	0.218	0.58	0.896	0.074	0.759	0.907	0.19	0.475	0.046	0.47	0.13	0.689	0.733	0.657	0.507	0.14	0.479	0.05	0.864	0.011	0.292	0.899	0.23	0.469	0.933	0.383	0.934	0.371	0.23	0.691	0.14	0.453	0.064	0.095	0.23	0.27	0.426	0.727	0.958	0.849	0.122	0.092	0.115	0.035	0.779	0.285	0.35	0.349	0.576	0.05	0.765	0.232	0.32	0.969	0.559	0.096	0.59	0.903	0.797	0.832	0.988	0.275	0.978	0.613	0.305	0.518	0.186	0.24	0.334	0.661	0.782	0.101	0.001	0.148	0.905	0.823	0.395	0.045	0.047	0.637	0.134	0.666	0.857	0.554	0.759	0.053	0.298	0.243	0.803	0.424	0.588	0.004	0.131	0.8	0.187	0.241	0.961	0.031	0.009	0.086
upper95_perm_sad	0.8111	0.4792	0.2445	0.2241	0.1139	0.028	0.0166	0.0348	0.0283	0.0168	0.0322	0.0267	0.0232	0.0202	0.0186	0.0147	0.0156	0.0241	0.023	0.0346	0.0223	0.0203	0.0141	0.0252	0.0179	0.0263	0.0244	0.0227	0.0212	0.0239	0.0215	0.022	0.0212	0.0223	0.0238	0.0241	0.0211	0.018	0.0227	0.0224	0.0228	0.024	0.0206	0.0205	0.0194	0.0217	0.0261	0.0218	0.0233	0.0219	0.0244	0.0205	0.0233	0.0196	0.0198	0.0193	0.0214	0.0192	0.022	0.0193	0.0203	0.021	0.0189	0.0253	0.025	0.0213	0.0201	0.0215	0.0203	0.0241	0.0209	0.0234	0.0207	0.0216	0.0221	0.0224	0.0262	0.0203	0.0241	0.0224	0.0229	0.0229	0.02	0.0237	0.0195	0.0198	0.0185	0.0204	0.0177	0.0246	0.0214	0.0217	0.0223	0.0203	0.0234	0.0211	0.0211	0.0204	0.0205	0.0231
lower0_perm_sad	-0.2318	-0.1702	-0.0493	-0.0413	-0.016	-0.0066	-0.006	-0.0065	-0.0063	-0.0041	-0.006	-0.0049	-0.0046	-0.0046	-0.0039	-0.0038	-0.0042	-0.0035	-0.0038	-0.004	-0.0037	-0.0035	-0.0033	-0.0041	-0.0034	-0.005	-0.0037	-0.0043	-0.0053	-0.0041	-0.0036	-0.0036	-0.0041	-0.004	-0.0041	-0.0035	-0.0035	-0.0038	-0.0036	-0.0042	-0.0038	-0.0034	-0.0036	-0.004	-0.0035	-0.0034	-0.0039	-0.0046	-0.0037	-0.0037	-0.0036	-0.0034	-0.0036	-0.0034	-0.0036	-0.0036	-0.0036	-0.0037	-0.0037	-0.0039	-0.0038	-0.0039	-0.0035	-0.0044	-0.0037	-0.0038	-0.0036	-0.0034	-0.0033	-0.0037	-0.0036	-0.004	-0.004	-0.0034	-0.0043	-0.0034	-0.005	-0.0036	-0.0039	-0.0042	-0.0037	-0.0035	-0.0036	-0.0036	-0.0043	-0.0036	-0.0035	-0.0036	-0.0037	-0.0053	-0.0033	-0.0036	-0.0037	-0.0031	-0.0038	-0.0036	-0.0036	-0.0037	-0.0044	-0.0042
