	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0046	0.0466	0.0443	0.0881	0.039	0.0009	-0.0002	0.0585	0.002	-0.0	0.0033	0.0003	0.0003	0.0021	0.0009	0.0001	0.0	0.0003	0.0002	0.0132	0.0	0.0029	0.0006	0.0003	0.0038	0.0025	0.0003	0.0009	0.004	0.0	0.0016	0.0004	0.0	0.0004	0.0015	0.0035	0.0033	-0.0	0.01	0.0	0.0011	0.0019	0.0004	0.0001	0.0005	0.0026	0.0039	0.0	0.0029	0.0027	0.0015	0.0039	-0.0	-0.0	-0.0	0.0001	0.0038	0.0	0.0001	0.0012	0.0006	0.0002	0.0001	0.0048	0.0002	0.0009	0.0022	0.0038	0.0006	-0.0	0.0009	0.0007	0.0012	0.0025	0.0001	0.0001	-0.0	0.0002	0.0003	0.003	0.0001	-0.0	0.0009	0.0003	0.0003	0.0012	0.0005	0.0033	0.0005	0.0021	0.0017	0.0068	0.0	0.0014	0.0017	0.0009	0.0005	0.0062	0.003	0.0
direct_vc_estimate_se	0.0077	0.0025	0.0008	0.0006	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0
direct_vc_pvals	0.859	0.054	0.001	0.0	0.05	0.509	0.965	0.0	0.056	0.751	0.017	0.643	0.381	0.061	0.007	0.632	0.758	0.534	0.379	0.0	0.639	0.033	0.337	0.241	0.053	0.073	0.158	0.185	0.112	0.885	0.162	0.383	0.836	0.376	0.024	0.099	0.027	0.889	0.035	0.743	0.255	0.111	0.314	0.606	0.625	0.078	0.095	0.786	0.007	0.148	0.161	0.141	0.953	0.887	0.989	0.408	0.026	0.737	0.571	0.065	0.31	0.506	0.587	0.18	0.614	0.084	0.049	0.133	0.105	0.966	0.139	0.248	0.249	0.0	0.728	0.595	0.859	0.391	0.37	0.06	0.652	0.993	0.116	0.369	0.462	0.196	0.145	0.262	0.358	0.019	0.01	0.098	0.835	0.074	0.1	0.055	0.392	0.066	0.118	0.527
upper95_perm_direct	0.1218	0.0746	0.0275	0.0474	0.0635	0.01	0.0026	0.0437	0.0032	0.0015	0.0038	0.0055	0.002	0.0037	0.0008	0.0022	0.0029	0.0047	0.0014	0.011	0.0019	0.0042	0.0029	0.0012	0.0065	0.0044	0.0009	0.0028	0.0087	0.0024	0.0043	0.0033	0.0048	0.0026	0.002	0.0072	0.0045	0.0021	0.0149	0.0013	0.0043	0.0043	0.0021	0.0028	0.0074	0.0047	0.0083	0.0034	0.0024	0.0076	0.0041	0.0097	0.005	0.0046	0.0026	0.0011	0.0051	0.0028	0.0034	0.0022	0.0032	0.0023	0.0024	0.0133	0.0067	0.0018	0.0036	0.0083	0.0013	0.0082	0.0022	0.0023	0.0047	0.0015	0.0045	0.0027	0.0016	0.0016	0.0022	0.0051	0.0024	0.0065	0.0023	0.0017	0.0033	0.0031	0.0012	0.0105	0.0031	0.0026	0.0017	0.0142	0.0039	0.0026	0.0035	0.0015	0.0021	0.0104	0.0071	0.0009
lower0_perm_direct	-0.011	-0.0039	-0.0012	-0.0008	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0	-0.0001	-0.0	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001
sad_vc_estimate	0.0085	0.1159	0.2231	0.3558	0.1678	0.0078	0.0008	0.2186	0.007	0.001	0.0111	0.0017	0.0005	0.0066	0.0041	0.001	0.0002	0.0002	0.0012	0.043	0.0005	0.0113	0.0032	0.0012	0.0116	0.0085	0.0009	0.0036	0.0142	0.0006	0.0052	0.0021	0.0001	0.0021	0.0036	0.0152	0.0113	-0.0	0.0372	0.0001	0.0041	0.0047	0.0022	0.0003	0.0012	0.0086	0.0139	0.0001	0.0081	0.0101	0.0061	0.0164	-0.0	0.0003	0.0001	0.0005	0.0155	-0.0	0.0002	0.0047	0.003	0.0016	0.0004	0.0156	0.0004	0.0021	0.0095	0.0156	0.0032	0.0004	0.0016	0.0041	0.007	0.0102	0.0002	0.0002	0.0002	0.0004	0.0006	0.0133	0.0003	0.0007	0.0028	0.0004	0.0018	0.0042	0.0005	0.0125	0.0027	0.0072	0.0039	0.024	0.0001	0.0045	0.0063	0.0031	0.0015	0.0229	0.0139	0.0001
sad_vc_estimate_se	0.0078	0.0026	0.0008	0.0006	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0
sad_vc_pvals	0.74	0.173	0.0	0.0	0.037	0.367	0.598	0.0	0.052	0.501	0.032	0.555	0.507	0.091	0.01	0.449	0.74	0.789	0.343	0.001	0.495	0.03	0.279	0.197	0.077	0.08	0.172	0.179	0.098	0.762	0.196	0.359	0.843	0.406	0.069	0.078	0.045	0.961	0.091	0.685	0.239	0.161	0.198	0.646	0.654	0.159	0.09	0.854	0.009	0.193	0.169	0.154	0.954	0.732	0.881	0.441	0.026	0.958	0.719	0.072	0.247	0.379	0.621	0.222	0.663	0.272	0.04	0.11	0.048	0.769	0.319	0.098	0.183	0.0	0.817	0.741	0.718	0.518	0.464	0.03	0.705	0.971	0.159	0.533	0.398	0.214	0.385	0.229	0.304	0.02	0.045	0.116	0.89	0.07	0.105	0.115	0.529	0.054	0.113	0.568
upper95_perm_sad	0.5106	0.3326	0.1053	0.1995	0.2483	0.0464	0.0119	0.1649	0.0113	0.0076	0.0148	0.0235	0.0063	0.0134	0.0039	0.0085	0.0103	0.0183	0.0068	0.0403	0.0068	0.0154	0.0119	0.0039	0.0229	0.0159	0.0027	0.0119	0.0295	0.0086	0.0165	0.0136	0.0166	0.0115	0.0068	0.0272	0.018	0.0066	0.0683	0.0042	0.0137	0.0131	0.008	0.0096	0.0228	0.0205	0.0277	0.0138	0.0081	0.0302	0.0173	0.0405	0.0177	0.0164	0.0101	0.0054	0.0203	0.01	0.0117	0.0086	0.0123	0.0099	0.0087	0.0504	0.0272	0.0081	0.0137	0.0315	0.0053	0.0327	0.009	0.0077	0.0229	0.0058	0.0201	0.0103	0.0068	0.0057	0.0067	0.0182	0.0085	0.0271	0.0085	0.0054	0.0119	0.0125	0.0033	0.035	0.0136	0.0079	0.0062	0.0538	0.0165	0.0081	0.0132	0.0073	0.0092	0.0389	0.0298	0.0032
lower0_perm_sad	-0.0118	-0.0036	-0.0012	-0.0008	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0	-0.0001	-0.0001	-0.0001	-0.0001
