	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1372	-0.0054	0.0099	0.0277	0.0032	0.0069	0.0055	0.0014	0.0023	0.0006	0.0115	-0.0001	0.006	-0.0006	-0.0006	0.0005	-0.0005	0.0004	-0.0003	0.0001	-0.0008	0.001	-0.0004	0.0014	-0.0003	-0.0004	0.0026	0.0068	0.0009	-0.0002	0.0014	-0.0004	0.0072	0.0104	0.0022	0.0015	0.0012	0.0143	0.0021	-0.0002	-0.0	-0.0006	-0.0005	0.0013	-0.0002	0.0193	-0.0005	0.0	-0.0005	-0.0006	0.001	-0.0	0.0047	-0.0004	0.0002	-0.0003	0.0008	-0.0005	-0.0002	-0.0002	0.0041	0.002	0.0004	0.001	0.0037	-0.0004	0.0001	0.0075	0.0018	0.0004	0.0001	0.0148	0.0011	0.0019	-0.0001	-0.0001	0.0048	-0.0003	-0.0003	0.0023	-0.0005	0.0002	-0.0005	-0.0004	-0.0003	-0.0001	0.004	-0.0004	-0.0006	0.0012	-0.0004	0.0015	-0.0003	0.0031	0.0025	0.0	0.0	0.0031	0.0006	0.0002
direct_vc_estimate_se	0.3974	0.1875	0.0851	0.0629	0.013	0.0101	0.0068	0.0063	0.0064	0.0053	0.0051	0.0054	0.0048	0.0048	0.0044	0.0045	0.0043	0.0049	0.0046	0.0047	0.0066	0.0048	0.0039	0.0038	0.004	0.0041	0.004	0.0042	0.005	0.005	0.0037	0.0042	0.0044	0.0047	0.0039	0.0048	0.0035	0.0045	0.0035	0.0037	0.0039	0.0053	0.0041	0.0038	0.0039	0.0037	0.0039	0.004	0.0039	0.0049	0.0038	0.0036	0.0041	0.0046	0.0038	0.0039	0.004	0.0057	0.0035	0.0036	0.0039	0.0047	0.0038	0.0045	0.0042	0.0035	0.0035	0.0038	0.0056	0.0038	0.0037	0.0048	0.0036	0.0064	0.0041	0.0047	0.0065	0.0038	0.0032	0.0037	0.0038	0.0036	0.0041	0.0035	0.0052	0.0036	0.0045	0.0038	0.0046	0.0038	0.0035	0.0033	0.0034	0.0037	0.0038	0.0036	0.0035	0.0045	0.0038	0.0035
direct_vc_pvals	0.25	0.601	0.44	0.231	0.302	0.161	0.069	0.387	0.302	0.407	0.034	0.614	0.038	0.903	0.993	0.353	0.898	0.501	0.722	0.551	0.871	0.349	0.855	0.253	0.687	0.711	0.239	0.061	0.496	0.742	0.331	0.813	0.125	0.021	0.169	0.474	0.328	0.01	0.24	0.723	0.637	0.902	0.865	0.313	0.7	0.0	0.859	0.528	0.898	0.991	0.328	0.675	0.136	0.683	0.592	0.687	0.445	0.758	0.61	0.723	0.089	0.284	0.508	0.348	0.171	0.982	0.531	0.043	0.29	0.433	0.539	0.012	0.375	0.305	0.623	0.638	0.106	0.679	0.7	0.164	0.998	0.535	1.0	0.909	0.667	0.673	0.171	0.849	0.946	0.341	0.943	0.23	0.735	0.154	0.119	0.654	0.595	0.119	0.556	0.553
upper95_perm_direct	0.5125	0.2749	0.1263	0.104	0.0188	0.015	0.0073	0.0108	0.0124	0.0073	0.0107	0.0092	0.0058	0.0103	0.0052	0.0045	0.0071	0.0078	0.0084	0.0083	0.0104	0.0085	0.0053	0.0057	0.006	0.0048	0.0072	0.0084	0.0125	0.0135	0.0072	0.0113	0.0123	0.0072	0.006	0.018	0.0069	0.0084	0.0077	0.0076	0.0066	0.0087	0.0062	0.0068	0.0071	0.0072	0.0064	0.0054	0.0068	0.0068	0.006	0.0087	0.0093	0.005	0.0088	0.0051	0.0094	0.0085	0.0038	0.0075	0.0059	0.0074	0.0088	0.0072	0.0092	0.0061	0.0055	0.0079	0.0079	0.0049	0.0067	0.0096	0.0067	0.0091	0.008	0.0082	0.0082	0.0056	0.0041	0.0055	0.006	0.0055	0.0077	0.0078	0.0067	0.007	0.0104	0.0069	0.0059	0.0068	0.007	0.005	0.0056	0.0071	0.0048	0.0102	0.0063	0.0062	0.0127	0.0074
lower0_perm_direct	-0.0661	-0.0307	-0.0138	-0.0105	-0.0021	-0.0017	-0.0011	-0.001	-0.001	-0.0009	-0.0009	-0.0009	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0008	-0.0011	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0007	-0.0008	-0.0006	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0009	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0006	-0.0006	-0.0006	-0.0008	-0.0007	-0.0006	-0.0007	-0.0009	-0.0006	-0.0006	-0.0006	-0.0008	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0009	-0.0006	-0.0006	-0.0008	-0.0006	-0.001	-0.0007	-0.0008	-0.001	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0009	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006
sad_vc_estimate	0.5044	-0.0158	0.024	0.0613	0.0054	0.0059	0.0052	0.0078	0.0053	0.0001	0.0241	-0.0006	0.0138	0.0015	0.0001	0.0059	-0.0005	0.0009	-0.0	0.0001	-0.0008	0.009	-0.0005	0.0037	0.0028	0.0007	0.0083	0.0144	0.0027	0.0012	0.0084	-0.0003	0.0219	0.0266	0.0084	0.0152	0.0065	0.0352	0.0129	0.0006	0.0005	-0.0001	0.003	0.0043	0.0004	0.0406	-0.0005	-0.0003	-0.0001	-0.0005	0.0018	0.0007	0.0053	-0.0003	0.003	-0.0005	0.0043	-0.0002	-0.0002	0.0002	0.0037	0.0105	0.0001	0.0023	0.0058	-0.0004	0.0003	0.0195	0.001	0.0034	0.0026	0.0195	0.0017	0.0072	0.0001	-0.0003	0.0082	0.0028	0.0001	0.006	-0.0	-0.0004	-0.0005	0.0002	0.0004	0.0017	0.005	0.0021	0.0012	0.0059	0.0005	0.0081	-0.0004	0.0183	0.0053	0.0016	0.0008	0.0067	0.0011	0.0014
sad_vc_estimate_se	0.4049	0.1909	0.0867	0.064	0.0133	0.0103	0.0069	0.0065	0.0066	0.0054	0.0052	0.0055	0.0049	0.0049	0.0045	0.0045	0.0044	0.005	0.0046	0.0048	0.0067	0.0049	0.0039	0.0039	0.004	0.0042	0.0041	0.0043	0.0051	0.0051	0.0038	0.0043	0.0045	0.0047	0.004	0.0049	0.0036	0.0046	0.0036	0.0038	0.004	0.0054	0.0042	0.0039	0.004	0.0038	0.004	0.0041	0.004	0.0049	0.0038	0.0037	0.0042	0.0047	0.0039	0.0039	0.0041	0.0057	0.0036	0.0036	0.004	0.0048	0.0039	0.0046	0.0043	0.0036	0.0036	0.0039	0.0057	0.0039	0.0037	0.0049	0.0037	0.0065	0.0042	0.0048	0.0065	0.0039	0.0033	0.0038	0.0039	0.0037	0.0042	0.0036	0.0053	0.0037	0.0046	0.0039	0.0046	0.0039	0.0036	0.0033	0.0034	0.0037	0.0038	0.0037	0.0036	0.0046	0.0039	0.0036
sad_vc_pvals	0.168	0.809	0.51	0.261	0.414	0.447	0.231	0.259	0.365	0.679	0.043	0.897	0.058	0.541	0.659	0.168	0.934	0.606	0.749	0.722	0.967	0.158	0.963	0.274	0.328	0.57	0.18	0.073	0.486	0.64	0.16	0.813	0.072	0.012	0.122	0.229	0.221	0.006	0.111	0.639	0.571	0.727	0.368	0.293	0.657	0.0	0.945	0.798	0.736	0.867	0.424	0.635	0.283	0.754	0.4	0.917	0.368	0.712	0.768	0.709	0.342	0.13	0.736	0.41	0.255	0.907	0.622	0.036	0.548	0.274	0.407	0.044	0.467	0.197	0.692	0.815	0.164	0.389	0.662	0.176	0.75	0.887	0.929	0.719	0.598	0.507	0.296	0.454	0.466	0.233	0.64	0.076	0.905	0.036	0.149	0.533	0.582	0.151	0.652	0.561
upper95_perm_sad	1.1923	0.5126	0.275	0.2084	0.045	0.0452	0.0163	0.0294	0.0286	0.0175	0.0251	0.0209	0.0158	0.0229	0.0146	0.0136	0.0143	0.0215	0.0222	0.0197	0.0273	0.018	0.0144	0.0144	0.013	0.0141	0.0188	0.0187	0.0266	0.0349	0.0189	0.0269	0.0287	0.0189	0.0164	0.044	0.0168	0.021	0.021	0.0175	0.016	0.0225	0.0162	0.0176	0.0204	0.0186	0.0175	0.0164	0.0158	0.0174	0.0148	0.0186	0.0216	0.0137	0.0238	0.0158	0.023	0.0192	0.0099	0.0199	0.0186	0.0191	0.0205	0.018	0.019	0.0162	0.0132	0.0191	0.0186	0.0127	0.0171	0.0217	0.0144	0.0187	0.0163	0.0177	0.0188	0.0148	0.0102	0.0153	0.0172	0.0138	0.0218	0.0204	0.0147	0.0203	0.0232	0.0183	0.0116	0.0185	0.0189	0.0113	0.0123	0.0183	0.0126	0.0227	0.0146	0.0137	0.03	0.0194
lower0_perm_sad	-0.0664	-0.0311	-0.0137	-0.0101	-0.0022	-0.0017	-0.0011	-0.0011	-0.001	-0.0009	-0.0008	-0.0009	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0011	-0.0008	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0009	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0006	-0.0007	-0.001	-0.0006	-0.0006	-0.0007	-0.0008	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0009	-0.0006	-0.0006	-0.0008	-0.0006	-0.0011	-0.0007	-0.0008	-0.0011	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0009	-0.0006	-0.0008	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006
