	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0517	0.1049	0.0078	-0.0257	0.0193	-0.0035	0.0008	-0.002	-0.0	0.0025	0.0028	-0.002	0.0052	0.0035	0.0009	0.0072	-0.0018	0.0008	-0.0016	0.0016	0.001	0.0115	-0.0012	-0.0007	0.0007	0.0021	0.0046	0.006	-0.0016	-0.0016	-0.0011	0.004	0.0008	-0.0017	0.0093	-0.0005	0.0045	-0.0002	-0.0016	0.0096	0.0023	0.0039	0.0031	0.0006	0.0034	0.0054	0.0029	0.0041	0.0105	0.0044	0.0013	0.0104	0.0033	-0.0003	0.0134	-0.0013	-0.0012	-0.0015	-0.0015	0.006	-0.0012	0.0039	-0.0014	0.0008	0.0121	-0.0018	0.0096	-0.0012	-0.0014	0.0014	-0.0003	-0.0009	0.0004	-0.0011	-0.0003	0.0015	0.0039	-0.0013	-0.0	0.004	0.0016	0.0012	0.0021	0.0011	0.0071	0.0005	0.0119	0.0068	0.006	0.0003	-0.0002	0.0015	-0.0003	-0.0016	0.0015	0.0023	-0.0008	0.0123	-0.0016	0.0016
direct_vc_estimate_se	0.1096	0.0658	0.0235	0.0227	0.0044	0.0032	0.0025	0.0018	0.002	0.0016	0.0014	0.0017	0.0017	0.0015	0.0014	0.0014	0.0015	0.0013	0.0014	0.0016	0.0014	0.0014	0.0013	0.0011	0.0016	0.0013	0.0015	0.0015	0.0015	0.0014	0.0012	0.0014	0.0014	0.0015	0.0015	0.0013	0.0017	0.0015	0.0014	0.0015	0.0014	0.0013	0.0017	0.0013	0.0014	0.0014	0.0014	0.0014	0.0011	0.0017	0.0014	0.0015	0.0016	0.0017	0.0014	0.0012	0.0013	0.0013	0.0013	0.0014	0.0013	0.0013	0.0016	0.0014	0.0017	0.0015	0.0018	0.001	0.0015	0.0013	0.0012	0.001	0.0012	0.0013	0.0014	0.0012	0.0013	0.0016	0.0011	0.0015	0.0013	0.0013	0.0011	0.0012	0.0013	0.0013	0.0014	0.0014	0.0009	0.0012	0.0013	0.0015	0.0012	0.0015	0.0013	0.0012	0.0011	0.0013	0.0014	0.0012
direct_vc_pvals	0.34	0.325	0.482	0.918	0.237	0.854	0.39	0.917	0.517	0.229	0.279	0.94	0.188	0.215	0.351	0.082	0.977	0.489	0.982	0.318	0.327	0.019	0.757	0.647	0.468	0.279	0.262	0.101	0.897	0.951	0.719	0.226	0.416	0.871	0.22	0.595	0.22	0.477	0.975	0.212	0.359	0.172	0.358	0.549	0.187	0.152	0.213	0.206	0.013	0.287	0.334	0.138	0.276	0.55	0.07	0.858	0.682	0.987	0.888	0.13	0.72	0.233	0.777	0.465	0.127	0.975	0.104	0.996	0.796	0.298	0.514	0.699	0.473	0.794	0.52	0.332	0.135	0.652	0.441	0.277	0.438	0.592	0.426	0.337	0.123	0.454	0.082	0.164	0.032	0.492	0.515	0.235	0.647	0.899	0.367	0.295	0.689	0.044	0.969	0.342
upper95_perm_direct	0.8861	0.7856	0.289	0.4052	0.0744	0.0327	0.0185	0.0224	0.0245	0.014	0.0158	0.0228	0.0198	0.0146	0.0117	0.0136	0.0115	0.0213	0.0163	0.0135	0.0116	0.0106	0.0125	0.0164	0.0222	0.014	0.0252	0.0138	0.0168	0.0126	0.0091	0.0168	0.0166	0.0158	0.0327	0.0166	0.0192	0.0142	0.011	0.0315	0.0188	0.0128	0.0249	0.0179	0.0133	0.0154	0.0148	0.0155	0.0087	0.0262	0.0139	0.0233	0.0165	0.0165	0.0223	0.0117	0.0096	0.0113	0.0122	0.0172	0.012	0.0173	0.0184	0.0195	0.0298	0.0138	0.0204	0.0107	0.0201	0.0112	0.0124	0.0089	0.0155	0.0176	0.0167	0.0117	0.0116	0.0116	0.0092	0.0221	0.0204	0.0251	0.0189	0.0122	0.0147	0.0139	0.0232	0.0187	0.0074	0.0151	0.0118	0.0124	0.0233	0.0243	0.0176	0.0141	0.014	0.016	0.0158	0.0142
lower0_perm_direct	-0.2159	-0.1358	-0.0451	-0.045	-0.0088	-0.0065	-0.0051	-0.0035	-0.0041	-0.0032	-0.0028	-0.0034	-0.0033	-0.003	-0.0029	-0.0028	-0.0031	-0.0025	-0.0028	-0.0031	-0.0026	-0.0028	-0.0026	-0.0022	-0.0031	-0.0027	-0.0029	-0.003	-0.0028	-0.0027	-0.0023	-0.0028	-0.0027	-0.003	-0.003	-0.0025	-0.0034	-0.003	-0.0028	-0.0028	-0.0028	-0.0025	-0.0033	-0.0026	-0.0027	-0.0027	-0.0029	-0.0027	-0.0022	-0.0033	-0.0029	-0.0028	-0.0032	-0.0033	-0.0027	-0.0023	-0.0027	-0.0026	-0.0026	-0.0028	-0.0026	-0.0026	-0.0032	-0.0028	-0.0033	-0.003	-0.0036	-0.002	-0.0029	-0.0025	-0.0024	-0.002	-0.0023	-0.0025	-0.0029	-0.0024	-0.0026	-0.0031	-0.0021	-0.0029	-0.0027	-0.0026	-0.0022	-0.0024	-0.0026	-0.0025	-0.0028	-0.0027	-0.0018	-0.0024	-0.0027	-0.003	-0.0024	-0.0028	-0.0025	-0.0023	-0.0022	-0.0026	-0.0028	-0.0023
sad_vc_estimate	0.6547	0.255	0.1107	0.0053	0.0217	-0.0028	-0.0018	-0.0013	-0.0022	0.007	-0.0002	-0.002	0.0028	0.0052	0.0044	0.0168	-0.0001	0.0011	-0.001	0.0005	0.0035	0.0275	0.0006	-0.0013	0.0036	0.0085	0.0084	0.0034	0.0016	-0.0007	-0.0014	0.0012	0.0025	-0.0013	0.0093	0.0004	0.0273	0.0009	-0.0007	0.0128	0.0012	0.0048	0.0088	0.0051	-0.0014	0.0051	0.0216	-0.0002	0.0098	0.0206	0.0019	0.0204	0.0105	-0.0019	0.0159	-0.0012	-0.0013	-0.0015	-0.0011	0.02	-0.0015	0.0064	0.0006	-0.0014	0.0252	-0.0016	0.0112	-0.001	-0.0014	-0.0012	-0.0012	0.0019	-0.0004	0.0001	-0.001	-0.0005	0.0109	-0.001	0.0001	0.013	0.0051	0.0024	0.0013	-0.0006	0.0228	0.0008	0.031	0.0099	0.0062	0.0008	-0.0015	0.0041	0.0008	-0.0002	0.0057	0.0018	-0.0012	0.0142	-0.0015	0.0001
sad_vc_estimate_se	0.1103	0.0662	0.0237	0.0228	0.0044	0.0033	0.0025	0.0018	0.002	0.0016	0.0014	0.0018	0.0017	0.0015	0.0015	0.0014	0.0015	0.0013	0.0014	0.0016	0.0014	0.0014	0.0013	0.0011	0.0016	0.0013	0.0015	0.0015	0.0015	0.0014	0.0012	0.0014	0.0014	0.0015	0.0015	0.0013	0.0017	0.0015	0.0014	0.0015	0.0014	0.0013	0.0017	0.0013	0.0014	0.0014	0.0014	0.0014	0.0011	0.0017	0.0014	0.0015	0.0016	0.0017	0.0014	0.0012	0.0013	0.0013	0.0013	0.0014	0.0013	0.0013	0.0016	0.0014	0.0017	0.0015	0.0018	0.001	0.0015	0.0013	0.0013	0.001	0.0012	0.0013	0.0014	0.0013	0.0013	0.0016	0.0011	0.0015	0.0013	0.0013	0.0011	0.0012	0.0013	0.0013	0.0015	0.0014	0.0009	0.0012	0.0013	0.0015	0.0012	0.0015	0.0013	0.0012	0.0011	0.0013	0.0014	0.0012
sad_vc_pvals	0.097	0.252	0.24	0.616	0.341	0.757	0.662	0.777	0.877	0.148	0.642	0.927	0.366	0.191	0.213	0.045	0.532	0.529	0.751	0.52	0.274	0.006	0.521	0.955	0.409	0.138	0.301	0.233	0.496	0.625	0.897	0.493	0.427	0.772	0.326	0.587	0.086	0.448	0.636	0.283	0.53	0.245	0.257	0.372	0.836	0.283	0.023	0.578	0.051	0.121	0.391	0.089	0.207	0.982	0.103	0.847	0.757	0.943	0.73	0.068	0.951	0.226	0.658	0.825	0.104	0.872	0.164	0.814	0.851	0.768	0.818	0.291	0.663	0.598	0.753	0.621	0.065	0.734	0.492	0.192	0.345	0.566	0.557	0.65	0.024	0.502	0.03	0.196	0.103	0.487	0.92	0.243	0.621	0.719	0.215	0.462	0.86	0.1	0.875	0.567
upper95_perm_sad	1.5231	1.3083	0.4324	0.5267	0.1237	0.0445	0.0298	0.038	0.0379	0.0207	0.0276	0.0334	0.0269	0.0177	0.0193	0.0215	0.017	0.0343	0.0252	0.0279	0.0195	0.0203	0.022	0.0196	0.0364	0.0221	0.0465	0.0161	0.0348	0.0183	0.0114	0.0267	0.0299	0.0263	0.0547	0.0284	0.0508	0.019	0.019	0.0494	0.0365	0.0213	0.0397	0.0301	0.0238	0.0235	0.0242	0.0227	0.0134	0.0461	0.022	0.0387	0.0383	0.0339	0.0329	0.0177	0.013	0.0187	0.0177	0.0316	0.0151	0.0288	0.0459	0.0352	0.0515	0.0243	0.0333	0.0147	0.0296	0.015	0.0216	0.0136	0.0244	0.0259	0.0263	0.0202	0.0183	0.0236	0.0151	0.0402	0.0325	0.0373	0.0267	0.0188	0.0262	0.0226	0.0364	0.034	0.0139	0.0225	0.0168	0.0221	0.0341	0.0468	0.0236	0.0223	0.0172	0.0281	0.0288	0.0194
lower0_perm_sad	-0.2146	-0.1323	-0.0465	-0.0458	-0.0088	-0.0066	-0.005	-0.0036	-0.004	-0.0031	-0.0029	-0.0034	-0.0033	-0.0029	-0.0028	-0.0028	-0.0031	-0.0026	-0.0027	-0.0031	-0.0027	-0.0028	-0.0025	-0.0022	-0.003	-0.0026	-0.0029	-0.0031	-0.0029	-0.0028	-0.0024	-0.0027	-0.0027	-0.003	-0.003	-0.0025	-0.0034	-0.003	-0.0027	-0.003	-0.0028	-0.0025	-0.0033	-0.0026	-0.0026	-0.0027	-0.0029	-0.0027	-0.0022	-0.0033	-0.0028	-0.0028	-0.0032	-0.0033	-0.0028	-0.0023	-0.0026	-0.0026	-0.0025	-0.0029	-0.0025	-0.0026	-0.0032	-0.0027	-0.0033	-0.0029	-0.0037	-0.002	-0.0029	-0.0025	-0.0024	-0.0021	-0.0023	-0.0025	-0.0029	-0.0025	-0.0026	-0.0031	-0.0021	-0.0029	-0.0027	-0.0026	-0.0022	-0.0024	-0.0026	-0.0026	-0.0029	-0.0028	-0.0019	-0.0024	-0.0025	-0.0029	-0.0023	-0.0029	-0.0025	-0.0023	-0.0022	-0.0026	-0.0027	-0.0024
