	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0133	0.0382	0.0044	-0.0013	0.0159	-0.0033	0.0033	0.0007	0.013	0.061	0.0228	-0.0034	-0.0035	-0.0029	0.02	-0.0034	0.0088	0.0009	0.0131	0.0123	0.0045	-0.0028	0.0403	0.0605	0.0031	-0.0033	0.0132	-0.003	0.0465	-0.0035	-0.0005	0.0229	-0.0029	-0.0036	-0.0032	-0.0037	0.0166	-0.0039	-0.0036	-0.0033	0.0306	0.0011	-0.0037	0.0185	-0.0033	0.0106	-0.0037	-0.0036	-0.0023	0.0066	-0.0037	-0.0034	-0.0032	0.0041	-0.0035	-0.0037	0.035	0.0097	-0.0026	0.0075	0.0028	0.0062	-0.0007	0.0001	0.0004	0.0009	-0.0017	0.0036	-0.0031	0.0014	0.0124	0.0128	-0.0015	0.0171	0.032	0.0089	-0.0035	-0.0037	-0.0037	0.0003	0.0059	0.0041	-0.0037	-0.0029	-0.0037	0.0405	0.0649	0.0127	0.0433	-0.0035	-0.0029	0.0002	0.0041	0.0177	-0.0037	-0.0032	0.0119	0.0056	-0.0024	0.055
direct_vc_estimate_se	0.1234	0.052	0.0398	0.0369	0.0348	0.0345	0.033	0.0323	0.0326	0.0328	0.0316	0.0319	0.0323	0.0328	0.0317	0.0308	0.0325	0.0312	0.0319	0.0323	0.0321	0.0322	0.0325	0.0312	0.032	0.0325	0.0312	0.031	0.0306	0.0307	0.0325	0.0326	0.0304	0.0314	0.0325	0.0318	0.0335	0.0342	0.0305	0.0302	0.0308	0.0334	0.0314	0.0325	0.0308	0.0308	0.0314	0.0337	0.0306	0.031	0.0305	0.0307	0.0312	0.0309	0.0298	0.0304	0.0315	0.0321	0.0304	0.0311	0.03	0.0308	0.0309	0.0313	0.031	0.0317	0.0308	0.0302	0.0296	0.0315	0.0311	0.0317	0.03	0.032	0.0302	0.032	0.031	0.0308	0.0319	0.0301	0.0298	0.0294	0.0306	0.0319	0.0343	0.0305	0.0312	0.0324	0.0311	0.032	0.032	0.0305	0.0311	0.0319	0.0318	0.0318	0.0319	0.0301	0.0305	0.0307
direct_vc_pvals	0.812	0.072	0.29	0.538	0.107	0.724	0.334	0.423	0.129	0.011	0.086	0.817	0.817	0.715	0.072	0.803	0.21	0.447	0.133	0.152	0.303	0.685	0.017	0.002	0.329	0.773	0.119	0.714	0.008	0.876	0.54	0.055	0.733	0.847	0.718	0.866	0.108	0.837	0.894	0.813	0.025	0.399	0.897	0.086	0.808	0.172	0.907	0.802	0.664	0.225	0.962	0.854	0.789	0.279	0.889	0.985	0.025	0.168	0.685	0.215	0.366	0.262	0.537	0.509	0.474	0.399	0.55	0.327	0.779	0.408	0.127	0.115	0.597	0.104	0.031	0.182	0.836	0.976	0.886	0.458	0.25	0.31	0.997	0.704	0.808	0.007	0.004	0.118	0.007	0.771	0.691	0.459	0.303	0.102	0.887	0.768	0.138	0.249	0.659	0.006
upper95_perm_direct	0.1277	0.0597	0.0326	0.0371	0.0351	0.0313	0.0291	0.0329	0.0323	0.0372	0.0376	0.0336	0.0334	0.0334	0.0315	0.0254	0.035	0.0278	0.0354	0.0316	0.037	0.0332	0.0328	0.0302	0.0306	0.0345	0.0269	0.0301	0.0302	0.0339	0.0345	0.031	0.0298	0.034	0.0306	0.0374	0.0384	0.0303	0.0307	0.0287	0.0306	0.0313	0.0336	0.0314	0.0337	0.0328	0.0317	0.031	0.0372	0.0294	0.035	0.0319	0.0359	0.028	0.0325	0.0302	0.0335	0.0323	0.0333	0.033	0.0313	0.0351	0.0343	0.0304	0.0291	0.0269	0.0326	0.0323	0.0336	0.0302	0.028	0.0277	0.0273	0.0317	0.0317	0.0317	0.0313	0.0327	0.0346	0.0333	0.0324	0.0271	0.0311	0.0331	0.0322	0.0298	0.0331	0.0301	0.0257	0.0313	0.0308	0.0318	0.0299	0.0334	0.0287	0.0327	0.0296	0.0312	0.0309	0.0281
lower0_perm_direct	-0.0225	-0.0099	-0.0078	-0.0068	-0.0066	-0.0064	-0.0065	-0.0063	-0.0061	-0.0058	-0.0057	-0.0056	-0.0059	-0.0064	-0.006	-0.006	-0.0057	-0.0057	-0.0056	-0.0058	-0.0062	-0.0061	-0.0062	-0.0054	-0.0058	-0.0059	-0.0058	-0.0055	-0.0055	-0.0054	-0.0063	-0.006	-0.0058	-0.0057	-0.0061	-0.0062	-0.006	-0.0064	-0.0059	-0.0055	-0.0056	-0.0064	-0.0059	-0.0058	-0.0055	-0.0055	-0.006	-0.006	-0.0056	-0.0056	-0.0056	-0.0057	-0.0056	-0.0054	-0.0054	-0.0055	-0.0061	-0.0058	-0.0055	-0.0057	-0.0056	-0.0055	-0.0056	-0.0055	-0.006	-0.0058	-0.0055	-0.0058	-0.0057	-0.0061	-0.006	-0.0058	-0.0058	-0.0061	-0.0059	-0.0058	-0.0057	-0.0057	-0.0055	-0.0053	-0.0055	-0.0053	-0.0055	-0.0059	-0.0063	-0.0055	-0.0059	-0.0057	-0.0061	-0.0056	-0.0061	-0.0056	-0.0059	-0.0058	-0.006	-0.0057	-0.0059	-0.0057	-0.006	-0.0056
sad_vc_estimate	0.0342	0.1378	-0.0009	-0.0043	0.0182	-0.0045	-0.0005	-0.0039	0.01	0.0838	0.0204	-0.004	0.0007	-0.0003	0.0212	-0.0037	0.0043	0.0209	0.0327	0.017	0.0327	0.006	0.0386	0.0595	-0.0042	-0.0006	0.0048	-0.0035	0.0599	-0.0006	-0.0043	0.0499	-0.0023	-0.0021	-0.0008	0.0022	0.0121	0.0015	-0.001	-0.0025	0.0252	0.0049	-0.0042	0.0568	-0.0022	0.012	-0.0032	-0.0045	-0.0015	0.0064	-0.0031	0.0074	0.0012	0.0095	0.0021	-0.004	0.0224	0.0169	-0.0033	-0.002	0.0082	0.0445	-0.0002	-0.0036	-0.0028	-0.0015	-0.0028	-0.0002	-0.0023	-0.004	0.0193	0.0064	-0.0013	0.0132	0.0339	0.0236	-0.0034	-0.0034	-0.0014	0.0143	0.0204	0.0041	-0.004	-0.0042	-0.0028	0.0425	0.0931	0.0088	0.0518	-0.0015	-0.0038	-0.0037	0.006	0.0299	-0.0024	-0.0025	0.0118	0.0129	-0.0032	0.0289
sad_vc_estimate_se	0.1372	0.0573	0.0436	0.0406	0.0383	0.0378	0.0362	0.0356	0.0357	0.0359	0.0347	0.0352	0.0356	0.0359	0.0348	0.0338	0.0356	0.0346	0.035	0.0354	0.0352	0.0354	0.0358	0.0344	0.0351	0.0356	0.0346	0.0341	0.0337	0.0337	0.0355	0.036	0.0334	0.0345	0.0357	0.0348	0.0366	0.0373	0.0336	0.0332	0.034	0.0367	0.0346	0.0356	0.0338	0.034	0.0345	0.0368	0.0338	0.034	0.0335	0.0337	0.0342	0.0341	0.0332	0.0333	0.0345	0.0351	0.0335	0.034	0.033	0.0339	0.034	0.0343	0.034	0.0353	0.0338	0.0332	0.0326	0.0346	0.0343	0.0346	0.0332	0.0353	0.0332	0.035	0.0341	0.034	0.035	0.0332	0.0329	0.0324	0.0337	0.0348	0.0373	0.0335	0.0343	0.0354	0.0343	0.035	0.0351	0.0335	0.0342	0.0349	0.0349	0.0349	0.0348	0.0331	0.0335	0.0337
sad_vc_pvals	0.282	0.004	0.531	0.811	0.14	0.909	0.525	0.82	0.225	0.005	0.13	0.873	0.492	0.524	0.103	0.844	0.342	0.114	0.057	0.169	0.054	0.279	0.033	0.01	0.957	0.528	0.345	0.799	0.009	0.558	0.993	0.012	0.664	0.63	0.544	0.435	0.197	0.452	0.58	0.711	0.068	0.336	0.985	0.014	0.657	0.179	0.727	0.985	0.58	0.31	0.756	0.262	0.447	0.196	0.42	0.936	0.09	0.145	0.789	0.613	0.283	0.026	0.554	0.799	0.69	0.574	0.729	0.52	0.649	0.865	0.125	0.294	0.599	0.194	0.038	0.077	0.776	0.761	0.581	0.159	0.105	0.323	0.916	0.928	0.686	0.024	0.001	0.211	0.009	0.597	0.831	0.834	0.289	0.052	0.623	0.665	0.208	0.16	0.771	0.056
upper95_perm_sad	0.1994	0.0718	0.0469	0.0437	0.049	0.0479	0.0479	0.0449	0.044	0.0551	0.0495	0.0431	0.0505	0.0408	0.0421	0.0379	0.0403	0.0419	0.0436	0.0557	0.0452	0.0464	0.0407	0.0435	0.0458	0.0435	0.0436	0.0405	0.0407	0.0426	0.0441	0.0403	0.0401	0.042	0.0411	0.0447	0.0417	0.0428	0.0414	0.045	0.0388	0.0439	0.0365	0.0422	0.0428	0.0403	0.0407	0.0415	0.0398	0.0461	0.0397	0.0392	0.0396	0.0359	0.0433	0.041	0.0394	0.0427	0.0355	0.0387	0.0379	0.0447	0.0448	0.0424	0.0398	0.0416	0.0388	0.0375	0.0337	0.0429	0.043	0.0426	0.0412	0.0417	0.0398	0.04	0.039	0.0401	0.0393	0.0437	0.0414	0.0424	0.0487	0.038	0.0397	0.0401	0.0416	0.0355	0.0357	0.0434	0.0371	0.0426	0.0383	0.04	0.0343	0.0378	0.0445	0.037	0.0408	0.0394
lower0_perm_sad	-0.0255	-0.011	-0.0078	-0.0075	-0.0071	-0.0072	-0.007	-0.0064	-0.0066	-0.0067	-0.0063	-0.0069	-0.0065	-0.0064	-0.0065	-0.0061	-0.0064	-0.0062	-0.0068	-0.0064	-0.0065	-0.0067	-0.0063	-0.0067	-0.0063	-0.0068	-0.006	-0.0063	-0.0066	-0.006	-0.0064	-0.0067	-0.0061	-0.0063	-0.0065	-0.0067	-0.0066	-0.0073	-0.0062	-0.0065	-0.006	-0.0065	-0.0062	-0.0068	-0.0061	-0.0065	-0.0062	-0.0069	-0.0063	-0.0063	-0.0062	-0.0061	-0.0062	-0.0059	-0.0062	-0.0065	-0.0067	-0.0063	-0.006	-0.0061	-0.0059	-0.006	-0.0061	-0.0065	-0.006	-0.0064	-0.0061	-0.006	-0.0061	-0.0062	-0.0062	-0.0063	-0.0061	-0.0066	-0.006	-0.0067	-0.0062	-0.006	-0.0067	-0.0064	-0.006	-0.0064	-0.0064	-0.0061	-0.0067	-0.0065	-0.0065	-0.0066	-0.0062	-0.0063	-0.0062	-0.0065	-0.0067	-0.0065	-0.0061	-0.0068	-0.0065	-0.0064	-0.0062	-0.006
