	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.014	-0.0103	-0.0051	0.0014	0.017	-0.0006	-0.0022	-0.0051	0.0049	0.0112	-0.0065	-0.0016	-0.0054	-0.0062	0.0091
direct_vc_estimate_se	0.2656	0.1128	0.0765	0.0727	0.067	0.0719	0.0721	0.0633	0.0635	0.0627	0.0661	0.0631	0.0623	0.0674	0.0695
direct_vc_pvals	0.404	0.82	0.664	0.442	0.182	0.491	0.515	0.77	0.347	0.204	0.925	0.542	0.806	0.828	0.257
upper95_perm_direct	0.2172	0.0808	0.0519	0.0661	0.0512	0.0561	0.0593	0.0506	0.0485	0.0473	0.053	0.0519	0.0529	0.0544	0.0503
lower0_perm_direct	-0.0411	-0.0176	-0.0113	-0.0106	-0.01	-0.0107	-0.0111	-0.0091	-0.0094	-0.0091	-0.0099	-0.0092	-0.0093	-0.0097	-0.01
sad_vc_estimate	0.0314	0.027	0.0042	0.0098	0.025	-0.005	0.0304	-0.0007	0.0443	0.0163	-0.0043	0.0117	-0.0061	-0.0061	0.0074
sad_vc_estimate_se	0.2802	0.1191	0.081	0.077	0.071	0.0758	0.076	0.0671	0.0674	0.0666	0.0699	0.0669	0.0662	0.0712	0.0733
sad_vc_pvals	0.328	0.228	0.367	0.333	0.155	0.694	0.125	0.533	0.07	0.198	0.674	0.27	0.861	0.805	0.318
upper95_perm_sad	0.2942	0.1185	0.0612	0.0797	0.0682	0.0729	0.0667	0.0644	0.0652	0.0587	0.0712	0.0566	0.0563	0.0784	0.0665
lower0_perm_sad	-0.0409	-0.018	-0.0125	-0.0111	-0.0111	-0.0106	-0.0117	-0.0099	-0.0098	-0.01	-0.0102	-0.0099	-0.0097	-0.0103	-0.0114
covar_vc_estimate	-0.045	0.0103	0.0041	-0.0102	-0.0418	0.0061	-0.0132	0.0071	-0.0353	-0.0275	0.012	-0.0059	0.0111	0.012	-0.0168
covar_vc_estimate_se	0.6279	0.3139	0.2362	0.2279	0.2152	0.2257	0.2263	0.2071	0.2075	0.2058	0.2132	0.2066	0.2049	0.2159	0.2205
covar_vc_pvals	0.4	0.272	0.37	0.447	0.138	0.286	0.35	0.239	0.172	0.185	0.1	0.463	0.101	0.121	0.306
upper975_perm_covar	0.0801	0.0348	0.0216	0.0222	0.0218	0.0205	0.0213	0.02	0.0194	0.0206	0.021	0.0196	0.0183	0.0205	0.0214
lower025_perm_covar	-0.5062	-0.1936	-0.1162	-0.1277	-0.1102	-0.1121	-0.1106	-0.1167	-0.1119	-0.107	-0.1159	-0.1001	-0.0941	-0.1222	-0.102
