	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0038	0.0041	-0.0014	0.0261	0.0022	-0.0008	0.0547	0.0035	0.0143	0.015	0.0151	-0.0023	-0.0022	0.028	-0.0023	0.0072	-0.0024	0.0002	-0.0006	0.005	0.0068	0.0221	0.0471	0.0292	0.0021	-0.002	-0.0023	-0.0017	0.0124	-0.0031	0.013	-0.0023	0.005	0.001	0.0004	0.0369	-0.0021	0.0075	0.0	-0.0022	-0.0019	0.0003	-0.0028	0.0111	-0.0007	-0.0017	-0.0016	0.0058	-0.0003	0.0003	-0.0006	-0.0001	-0.0005	0.0014	-0.0021	0.0011	0.0045	-0.0025	0.0041	-0.0021	0.0017	0.0033	0.012	-0.0024	-0.0019	-0.0019	0.0049	0.0058	0.0142	-0.0021	0.0176	0.0011	0.0026	-0.0023	0.0037	0.0121	0.0033	0.0007	-0.0024	0.0175	0.0033	0.0044	-0.0003	0.0019	0.0042	-0.0021	0.0002	0.0336	0.0173	0.0071	-0.001	0.0272	0.0157	0.0044	0.0061	0.009	-0.0018	0.0057	-0.0022	0.0145
direct_vc_estimate_se	0.0585	0.0263	0.02	0.0186	0.0181	0.0174	0.0176	0.0186	0.0172	0.0175	0.0171	0.0186	0.0168	0.0166	0.0181	0.0176	0.0172	0.0237	0.0175	0.0172	0.0167	0.0164	0.0166	0.017	0.0163	0.017	0.0175	0.0164	0.0163	0.0217	0.0173	0.0164	0.0173	0.0167	0.0177	0.0174	0.0167	0.0168	0.016	0.0158	0.017	0.0183	0.02	0.0166	0.0172	0.016	0.0174	0.0167	0.0167	0.016	0.016	0.0171	0.0168	0.0155	0.018	0.0165	0.019	0.018	0.0162	0.0165	0.016	0.0157	0.0155	0.0174	0.0161	0.0161	0.0246	0.0153	0.0156	0.0154	0.0185	0.0159	0.0157	0.0156	0.0158	0.0166	0.0157	0.0164	0.017	0.0167	0.0167	0.0166	0.0167	0.0168	0.0161	0.0169	0.0155	0.017	0.0154	0.0218	0.0171	0.0178	0.015	0.0162	0.0161	0.0154	0.015	0.0165	0.0155	0.0157
direct_vc_pvals	0.492	0.389	0.752	0.041	0.38	0.598	0.006	0.45	0.142	0.12	0.142	0.824	0.88	0.049	0.85	0.182	0.924	0.513	0.582	0.284	0.195	0.074	0.011	0.042	0.368	0.792	0.855	0.731	0.112	0.958	0.14	0.94	0.373	0.461	0.523	0.009	0.846	0.229	0.524	0.912	0.778	0.539	0.928	0.12	0.599	0.777	0.74	0.281	0.549	0.525	0.607	0.571	0.594	0.486	0.786	0.487	0.305	0.902	0.302	0.834	0.421	0.372	0.13	0.897	0.797	0.801	0.254	0.239	0.096	0.869	0.054	0.424	0.36	0.996	0.278	0.158	0.352	0.48	0.922	0.087	0.345	0.304	0.547	0.381	0.279	0.826	0.51	0.027	0.071	0.183	0.647	0.034	0.059	0.303	0.247	0.181	0.797	0.253	0.938	0.079
upper95_perm_direct	0.1154	0.0465	0.0578	0.0292	0.0266	0.0251	0.0357	0.0433	0.0356	0.0309	0.034	0.0317	0.0319	0.0351	0.0413	0.0258	0.0312	0.0381	0.0288	0.0282	0.0244	0.0354	0.0366	0.0347	0.0267	0.032	0.0339	0.0269	0.0234	0.0254	0.0303	0.0247	0.0366	0.0252	0.0294	0.0283	0.0304	0.0323	0.0264	0.0224	0.0301	0.0304	0.0278	0.0241	0.0295	0.0315	0.0256	0.0259	0.0258	0.0274	0.0269	0.0312	0.0261	0.0342	0.0228	0.0278	0.0297	0.0292	0.0284	0.0274	0.0278	0.0294	0.0284	0.0281	0.0332	0.0317	0.0285	0.0235	0.0255	0.0324	0.0239	0.0252	0.0308	0.0278	0.0248	0.0325	0.0275	0.0299	0.029	0.031	0.0274	0.0291	0.0257	0.0285	0.0227	0.0317	0.026	0.0319	0.0253	0.0237	0.0262	0.0294	0.0219	0.0276	0.0272	0.0261	0.0238	0.0262	0.0229	0.0216
lower0_perm_direct	-0.0126	-0.0056	-0.0042	-0.0038	-0.0038	-0.0037	-0.0038	-0.004	-0.0037	-0.0037	-0.0038	-0.0039	-0.0035	-0.0035	-0.0039	-0.0037	-0.0038	-0.0053	-0.0037	-0.0039	-0.0036	-0.0035	-0.0034	-0.0036	-0.0035	-0.0037	-0.0037	-0.0035	-0.0035	-0.0047	-0.0038	-0.0035	-0.0039	-0.0035	-0.0038	-0.0037	-0.0037	-0.0035	-0.0033	-0.0034	-0.0036	-0.0038	-0.0045	-0.0037	-0.0038	-0.0034	-0.0036	-0.0036	-0.0037	-0.0035	-0.0034	-0.0036	-0.0036	-0.0032	-0.0038	-0.0035	-0.0041	-0.0038	-0.0035	-0.0035	-0.0034	-0.0033	-0.0031	-0.0037	-0.0034	-0.0033	-0.0051	-0.0032	-0.0035	-0.0032	-0.0039	-0.0034	-0.0033	-0.0033	-0.0035	-0.0037	-0.0034	-0.0034	-0.0037	-0.0035	-0.0036	-0.0036	-0.0036	-0.0036	-0.0034	-0.0035	-0.0033	-0.0037	-0.0033	-0.0047	-0.0037	-0.0038	-0.0032	-0.0034	-0.0033	-0.0033	-0.0032	-0.0035	-0.0034	-0.0034
sad_vc_estimate	0.038	-0.0014	-0.0029	0.028	-0.0014	-0.0021	0.1629	0.0066	0.0523	0.0075	0.0383	0.0043	-0.0023	0.051	0.0028	0.0099	-0.0025	0.0097	0.0001	0.0249	0.0178	0.0438	0.0865	0.0756	-0.0024	-0.0019	-0.0025	0.0022	0.0114	-0.0019	0.0171	0.0054	0.0063	0.0063	0.0069	0.0876	-0.0024	0.035	0.0056	-0.0022	0.0012	-0.0019	-0.0015	0.0189	-0.001	0.0105	0.0003	0.0156	-0.001	-0.0022	-0.0012	0.0102	0.0151	0.0058	0.0032	0.0059	0.0275	-0.0012	0.0125	-0.0	0.0047	0.0	0.0058	-0.0014	-0.0005	-0.0023	0.0075	0.0262	0.044	-0.0022	0.0159	0.0041	0.0177	-0.0015	0.0152	0.0205	-0.0007	0.0141	-0.0006	0.0217	-0.0023	0.0077	-0.0024	0.0133	0.0256	-0.0018	0.01	0.0978	0.0361	0.0105	-0.0014	0.0436	0.032	0.0096	0.0273	0.0217	-0.0022	0.0195	0.0127	0.0471
sad_vc_estimate_se	0.0594	0.0267	0.0203	0.0189	0.0184	0.0177	0.0179	0.0189	0.0175	0.0177	0.0174	0.0189	0.017	0.0169	0.0183	0.0179	0.0175	0.024	0.0177	0.0175	0.017	0.0167	0.0168	0.0173	0.0166	0.0173	0.0178	0.0167	0.0166	0.022	0.0176	0.0166	0.0176	0.0169	0.018	0.0177	0.017	0.017	0.0163	0.0161	0.0173	0.0186	0.0203	0.0168	0.0174	0.0162	0.0177	0.0169	0.017	0.0163	0.0163	0.0174	0.0171	0.0157	0.0182	0.0168	0.0193	0.0182	0.0165	0.0167	0.0162	0.016	0.0158	0.0176	0.0164	0.0163	0.0249	0.0155	0.0158	0.0156	0.0187	0.0162	0.016	0.0159	0.016	0.0168	0.016	0.0166	0.0173	0.017	0.017	0.0168	0.017	0.0171	0.0164	0.0171	0.0158	0.0172	0.0156	0.0221	0.0174	0.018	0.0152	0.0164	0.0164	0.0156	0.0152	0.0167	0.0157	0.016
sad_vc_pvals	0.311	0.723	0.984	0.12	0.788	0.844	0.001	0.501	0.055	0.402	0.108	0.486	0.922	0.046	0.567	0.302	0.979	0.339	0.696	0.166	0.21	0.081	0.01	0.031	0.99	0.853	0.963	0.553	0.272	0.75	0.18	0.426	0.472	0.399	0.449	0.009	0.955	0.107	0.372	0.914	0.606	0.813	0.741	0.161	0.751	0.328	0.608	0.257	0.728	0.898	0.758	0.312	0.292	0.442	0.507	0.432	0.141	0.75	0.296	0.65	0.455	0.655	0.397	0.733	0.724	0.963	0.346	0.104	0.051	0.961	0.221	0.444	0.216	0.777	0.198	0.176	0.724	0.249	0.69	0.146	0.925	0.377	0.997	0.228	0.12	0.808	0.289	0.003	0.076	0.242	0.778	0.044	0.052	0.347	0.103	0.156	0.975	0.15	0.194	0.031
upper95_perm_sad	0.2248	0.1047	0.1072	0.0554	0.0717	0.0503	0.0779	0.1003	0.0687	0.0692	0.0735	0.0629	0.058	0.0656	0.0827	0.0545	0.0563	0.0704	0.0713	0.0637	0.0559	0.0722	0.0688	0.0806	0.0489	0.0769	0.0679	0.0565	0.0564	0.0566	0.0549	0.0582	0.0788	0.056	0.061	0.0627	0.0587	0.0651	0.0495	0.0543	0.0665	0.0657	0.0577	0.0487	0.063	0.0524	0.0547	0.068	0.0497	0.0531	0.0554	0.0596	0.0662	0.0592	0.0589	0.0682	0.0585	0.0605	0.0602	0.0501	0.0629	0.0611	0.0554	0.0458	0.0602	0.0604	0.0529	0.0519	0.0556	0.055	0.0555	0.0525	0.0578	0.055	0.0499	0.0625	0.0562	0.055	0.0617	0.0584	0.051	0.0614	0.0623	0.0526	0.0535	0.0646	0.0539	0.0531	0.0565	0.0465	0.0594	0.0518	0.0421	0.0607	0.0521	0.0561	0.0544	0.0521	0.0419	0.049
lower0_perm_sad	-0.0129	-0.0057	-0.0042	-0.0042	-0.0039	-0.0037	-0.0037	-0.004	-0.0036	-0.0038	-0.0036	-0.0039	-0.0036	-0.0036	-0.0041	-0.0038	-0.0037	-0.0051	-0.004	-0.0037	-0.0036	-0.0036	-0.0036	-0.0035	-0.0036	-0.0037	-0.0038	-0.0034	-0.0036	-0.0046	-0.0039	-0.0036	-0.0037	-0.0038	-0.0038	-0.0038	-0.0036	-0.0035	-0.0034	-0.0034	-0.0037	-0.004	-0.0044	-0.0036	-0.0037	-0.0035	-0.0037	-0.0035	-0.0036	-0.0034	-0.0035	-0.0038	-0.0036	-0.0033	-0.0037	-0.0037	-0.0043	-0.0041	-0.0036	-0.0035	-0.0034	-0.0035	-0.0033	-0.0038	-0.0035	-0.0036	-0.0053	-0.0033	-0.0034	-0.0034	-0.0042	-0.0034	-0.0033	-0.0033	-0.0034	-0.0035	-0.0034	-0.0034	-0.0037	-0.0038	-0.0035	-0.0038	-0.0037	-0.0037	-0.0036	-0.0037	-0.0033	-0.0038	-0.0034	-0.0047	-0.0036	-0.0039	-0.0032	-0.0035	-0.0034	-0.0033	-0.0031	-0.0035	-0.0035	-0.0034
