	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0029	-0.0022	0.0005	0.001	0.0045	0.0011	0.0362	-0.0015	-0.0012	-0.0013	-0.0014	0.0008	-0.0009	0.0214	-0.0003	0.0002	-0.0009	0.0047	-0.0	0.0069	0.004	0.015	0.0129	0.0697	-0.0002	-0.001	-0.0007	-0.0009	0.0022	-0.0002	0.0019	-0.0012	-0.0007	-0.0013	-0.0014	0.0315	0.0036	-0.0013	-0.0013	-0.0005	-0.0011	-0.0014	0.0033	0.0005	-0.0014	0.0106	0.0037	0.0066	0.0098	0.0038	0.0006	-0.0013	0.0019	0.019	0.0066	0.01	0.0147	-0.0012	0.0247	-0.0002	-0.0013	0.0005	0.0002	0.0001	0.0045	-0.0013	0.0022	0.0061	0.0272	-0.0005	0.0074	0.0199	0.0035	-0.0012	-0.0009	0.0135	0.0161	0.0106	-0.0013	0.0149	-0.0009	-0.0006	-0.0013	0.0048	0.0037	-0.001	0.0004	0.0166	0.0013	0.003	0.0142	0.018	0.002	0.0238	-0.0013	-0.0012	-0.0012	-0.0012	0.0078	0.0004
direct_vc_estimate_se	0.0196	0.0094	0.0074	0.0066	0.0062	0.006	0.006	0.0068	0.0063	0.0062	0.0062	0.0061	0.0055	0.0059	0.0062	0.0061	0.0065	0.0061	0.0061	0.0062	0.0059	0.0058	0.0061	0.0066	0.0058	0.0062	0.0061	0.0055	0.0057	0.0059	0.0065	0.0053	0.0061	0.0055	0.0061	0.006	0.0058	0.0059	0.0057	0.0058	0.0062	0.0061	0.0056	0.0058	0.0062	0.0057	0.0059	0.006	0.0056	0.0053	0.0054	0.0057	0.0059	0.0057	0.0059	0.0056	0.0061	0.0058	0.0058	0.0057	0.0056	0.0054	0.0054	0.0055	0.0057	0.0057	0.0056	0.0052	0.0056	0.0053	0.0058	0.0054	0.0058	0.0055	0.0055	0.0057	0.0058	0.0055	0.0055	0.0059	0.0058	0.0054	0.0057	0.0054	0.0059	0.0054	0.0058	0.0057	0.0054	0.0053	0.0055	0.0051	0.0051	0.0057	0.0055	0.0054	0.0051	0.0054	0.0049	0.0057
direct_vc_pvals	0.705	0.991	0.62	0.53	0.279	0.469	0.012	0.964	0.858	0.908	0.957	0.542	0.802	0.061	0.718	0.582	0.765	0.392	0.602	0.251	0.302	0.111	0.142	0.001	0.647	0.801	0.755	0.803	0.4	0.64	0.445	0.988	0.753	0.964	0.928	0.01	0.295	0.937	0.922	0.64	0.819	0.977	0.417	0.533	0.95	0.114	0.353	0.239	0.131	0.353	0.53	0.938	0.491	0.087	0.199	0.175	0.136	0.892	0.035	0.675	0.991	0.557	0.609	0.573	0.341	0.957	0.429	0.222	0.018	0.726	0.201	0.037	0.349	0.921	0.774	0.108	0.097	0.158	0.979	0.109	0.766	0.706	0.986	0.237	0.284	0.817	0.543	0.086	0.484	0.311	0.139	0.023	0.427	0.051	0.958	0.896	0.968	0.973	0.099	0.524
upper95_perm_direct	0.0513	0.0423	0.0381	0.0226	0.0202	0.0179	0.0268	0.0445	0.0242	0.0239	0.0272	0.0245	0.0178	0.0271	0.0296	0.0212	0.0241	0.0297	0.0208	0.0227	0.0191	0.0264	0.0267	0.0317	0.0206	0.0292	0.0321	0.0208	0.0201	0.023	0.0229	0.017	0.0284	0.0219	0.0281	0.0194	0.0159	0.0351	0.0186	0.0144	0.0216	0.019	0.0219	0.0185	0.0321	0.0169	0.0232	0.0222	0.0182	0.023	0.0174	0.0308	0.0255	0.0266	0.0201	0.0236	0.0297	0.0221	0.0239	0.0227	0.0234	0.0222	0.0218	0.019	0.0253	0.0245	0.0211	0.0178	0.0192	0.0231	0.0205	0.0191	0.0204	0.017	0.0203	0.0221	0.024	0.0241	0.0256	0.0256	0.0206	0.0204	0.0213	0.0163	0.0162	0.0224	0.0171	0.0218	0.0186	0.0147	0.026	0.0129	0.0195	0.0262	0.0225	0.0209	0.0134	0.0149	0.0128	0.0168
lower0_perm_direct	-0.0062	-0.0029	-0.0022	-0.002	-0.0019	-0.0018	-0.0018	-0.0021	-0.0019	-0.0019	-0.0019	-0.0019	-0.0017	-0.0018	-0.0019	-0.0019	-0.0019	-0.0018	-0.0019	-0.0019	-0.0018	-0.0017	-0.0018	-0.002	-0.0018	-0.0018	-0.0018	-0.0017	-0.0017	-0.0018	-0.0019	-0.0016	-0.0018	-0.0016	-0.0019	-0.0018	-0.0018	-0.0019	-0.0017	-0.0018	-0.0019	-0.0018	-0.0018	-0.0018	-0.0019	-0.0017	-0.0018	-0.0019	-0.0017	-0.0016	-0.0016	-0.0016	-0.0017	-0.0017	-0.0018	-0.0018	-0.0019	-0.0018	-0.0018	-0.0017	-0.0016	-0.0016	-0.0016	-0.0017	-0.0017	-0.0017	-0.0018	-0.0016	-0.0017	-0.0016	-0.0018	-0.0017	-0.0018	-0.0017	-0.0016	-0.0017	-0.0018	-0.0017	-0.0017	-0.0019	-0.0017	-0.0017	-0.0017	-0.0016	-0.0018	-0.0016	-0.0017	-0.0018	-0.0016	-0.0016	-0.0017	-0.0016	-0.0016	-0.0017	-0.0016	-0.0016	-0.0016	-0.0017	-0.0015	-0.0018
sad_vc_estimate	-0.0024	-0.0015	0.0009	-0.0007	-0.0012	0.0021	0.1164	-0.0013	-0.0005	0.0008	-0.0005	0.0133	-0.0009	0.0386	0.0032	0.0043	-0.0013	0.0114	0.002	0.0533	0.0199	0.0281	0.0392	0.1721	-0.0013	-0.0014	0.0015	0.0092	-0.0004	0.009	0.0143	-0.001	0.0015	0.0037	-0.0012	0.0728	0.0018	-0.0005	-0.0007	-0.001	-0.0013	-0.0009	0.0085	0.002	0.0001	0.0512	0.0047	0.0247	0.0201	0.0013	0.0012	0.0047	0.0251	0.0342	0.0166	0.028	0.0417	0.0011	0.0492	0.0094	-0.0011	0.0003	-0.0008	0.0075	0.0097	-0.0003	0.0027	0.0208	0.0676	-0.0008	0.0005	0.0438	0.0077	-0.0001	0.0007	0.039	0.0098	0.0326	0.0005	0.0333	-0.0014	0.0033	0.0002	0.0113	0.0331	-0.0005	0.0092	0.0454	0.0035	0.0135	0.0329	0.0275	0.007	0.0716	-0.0007	-0.0009	-0.0012	-0.0005	0.0361	0.0061
sad_vc_estimate_se	0.0199	0.0096	0.0075	0.0067	0.0063	0.0061	0.0061	0.0069	0.0064	0.0063	0.0064	0.0062	0.0056	0.006	0.0063	0.0062	0.0066	0.0062	0.0062	0.0063	0.006	0.0059	0.0062	0.0067	0.0059	0.0063	0.0062	0.0056	0.0058	0.006	0.0066	0.0054	0.0062	0.0056	0.0062	0.0061	0.0059	0.006	0.0059	0.0059	0.0064	0.0062	0.0057	0.0059	0.0063	0.0058	0.006	0.0061	0.0057	0.0054	0.0055	0.0058	0.006	0.0058	0.006	0.0057	0.0062	0.0059	0.0059	0.0058	0.0057	0.0055	0.0055	0.0056	0.0059	0.0058	0.0057	0.0053	0.0057	0.0054	0.0059	0.0056	0.0059	0.0056	0.0056	0.0058	0.0059	0.0056	0.0056	0.006	0.006	0.0055	0.0058	0.0055	0.006	0.0055	0.0059	0.0058	0.0055	0.0054	0.0056	0.0052	0.0052	0.0058	0.0056	0.0055	0.0052	0.0055	0.005	0.0058
sad_vc_pvals	0.808	0.876	0.762	0.825	0.904	0.559	0.004	0.906	0.832	0.685	0.832	0.337	0.839	0.125	0.62	0.507	0.918	0.362	0.614	0.071	0.173	0.19	0.095	0.002	0.953	0.96	0.701	0.35	0.772	0.371	0.264	0.883	0.69	0.554	0.904	0.014	0.597	0.827	0.788	0.842	0.913	0.813	0.373	0.602	0.784	0.035	0.488	0.228	0.171	0.619	0.629	0.544	0.214	0.137	0.238	0.149	0.128	0.69	0.042	0.375	0.898	0.761	0.833	0.367	0.387	0.753	0.579	0.166	0.015	0.855	0.699	0.047	0.383	0.76	0.711	0.084	0.375	0.128	0.736	0.098	0.998	0.573	0.732	0.25	0.097	0.807	0.306	0.07	0.524	0.211	0.148	0.091	0.37	0.022	0.829	0.839	0.967	0.774	0.028	0.374
upper95_perm_sad	0.1378	0.1008	0.0909	0.056	0.0575	0.0461	0.0707	0.1044	0.0721	0.0531	0.0687	0.0637	0.0465	0.0668	0.0836	0.0559	0.0662	0.0643	0.0558	0.0721	0.049	0.0634	0.0627	0.0848	0.0514	0.0679	0.0733	0.0489	0.0552	0.0551	0.0519	0.0409	0.0747	0.0531	0.0709	0.054	0.0465	0.0773	0.0408	0.0393	0.059	0.0519	0.0548	0.052	0.0743	0.0494	0.0524	0.0679	0.0458	0.0457	0.0397	0.0601	0.0705	0.0613	0.0517	0.0577	0.0805	0.0606	0.0522	0.0519	0.0602	0.0521	0.0575	0.0397	0.0603	0.0497	0.0529	0.0471	0.0509	0.0561	0.0533	0.0473	0.0564	0.0494	0.0501	0.0592	0.0618	0.0614	0.0613	0.0551	0.0466	0.0637	0.0492	0.0366	0.0498	0.0455	0.0429	0.0564	0.0457	0.0364	0.072	0.0386	0.0446	0.0577	0.0474	0.0526	0.0435	0.0409	0.0316	0.0399
lower0_perm_sad	-0.0064	-0.003	-0.0023	-0.002	-0.0019	-0.0018	-0.0018	-0.0021	-0.0019	-0.0019	-0.002	-0.0018	-0.0017	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0019	-0.0018	-0.0018	-0.0019	-0.002	-0.0018	-0.0019	-0.0019	-0.0016	-0.0018	-0.0018	-0.002	-0.0017	-0.0019	-0.0017	-0.0019	-0.0019	-0.0018	-0.0018	-0.0017	-0.0018	-0.0019	-0.0019	-0.0018	-0.0018	-0.002	-0.0017	-0.0018	-0.0018	-0.0017	-0.0016	-0.0017	-0.0016	-0.0019	-0.0017	-0.0019	-0.0018	-0.0019	-0.0018	-0.0017	-0.0018	-0.0017	-0.0017	-0.0016	-0.0016	-0.0017	-0.0018	-0.0017	-0.0015	-0.0018	-0.0016	-0.0017	-0.0017	-0.0018	-0.0016	-0.0016	-0.0017	-0.0017	-0.0017	-0.0017	-0.0019	-0.0018	-0.0016	-0.0018	-0.0018	-0.0018	-0.0016	-0.0017	-0.0018	-0.0017	-0.0017	-0.0018	-0.0016	-0.0016	-0.0017	-0.0017	-0.0016	-0.0016	-0.0017	-0.0015	-0.0018
