	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0058	0.0	0.0014	-0.0004	0.0059	0.0405	0.1601	0.0735	0.0122	0.052	0.0017	0.0775	0.0004	0.0106	0.0079	0.0254	0.0209	0.0003	-0.0006	0.0003	0.031	0.0046	0.0101	0.0174	0.0167	0.0017	0.0059	0.0011	-0.0004	-0.0005	0.0086	0.0003	-0.0001	-0.0005	0.0005	0.0014	-0.0001	0.0328	-0.0005	-0.0003	0.02	-0.0003	0.0134	-0.0007	0.001	0.0046	0.0023	0.014	0.0072	0.0173	0.0025	-0.0	0.0175	-0.0001	0.0011	0.0032	-0.0001	-0.0006	-0.0	-0.0006	-0.0005	-0.0006	0.0087	0.0008	0.0163	0.0011	0.0011	-0.0006	0.0146	0.008	-0.0003	0.0018	0.0054	-0.0005	0.0	0.0009	0.0051	-0.0004	0.008	0.0089	0.0023	-0.0006	0.0002	0.0007	0.0005	0.0033	-0.0004	0.0179	0.0018	0.0037	0.0007	0.0021	0.0017	0.0071	0.004	0.0048	-0.0005	-0.0005	0.0161	0.0022
direct_vc_estimate_se	0.0315	0.0115	0.0087	0.0079	0.0104	0.0109	0.0188	0.0148	0.0081	0.0119	0.0071	0.0101	0.0078	0.0083	0.0095	0.0088	0.0086	0.0072	0.0077	0.0079	0.0091	0.0079	0.0083	0.0082	0.0071	0.008	0.0075	0.0081	0.0078	0.0082	0.0079	0.0073	0.0076	0.0065	0.0069	0.0072	0.0077	0.0083	0.0067	0.0078	0.0072	0.0073	0.008	0.0081	0.0074	0.0077	0.0066	0.007	0.0077	0.0075	0.0069	0.0073	0.0075	0.007	0.0069	0.0072	0.007	0.008	0.0066	0.0071	0.0066	0.0073	0.0079	0.0081	0.007	0.0072	0.0076	0.007	0.0077	0.0064	0.0064	0.0073	0.0069	0.0068	0.0067	0.007	0.0072	0.0066	0.0077	0.0075	0.0072	0.0076	0.0066	0.0061	0.0079	0.0066	0.0074	0.0071	0.0068	0.007	0.0062	0.0073	0.0072	0.0067	0.007	0.0065	0.0071	0.0075	0.0073	0.007
direct_vc_pvals	0.611	0.609	0.428	0.79	0.277	0.128	0.068	0.146	0.129	0.123	0.348	0.004	0.523	0.193	0.301	0.111	0.03	0.484	0.917	0.64	0.041	0.325	0.11	0.066	0.047	0.483	0.138	0.451	0.844	0.785	0.046	0.623	0.711	0.944	0.584	0.349	0.655	0.023	0.946	0.771	0.017	0.735	0.046	0.946	0.555	0.165	0.224	0.054	0.04	0.024	0.289	0.628	0.009	0.653	0.379	0.157	0.696	0.881	0.574	0.946	0.994	0.935	0.115	0.488	0.032	0.34	0.417	0.988	0.099	0.03	0.671	0.372	0.122	0.938	0.589	0.465	0.114	0.867	0.068	0.072	0.251	0.991	0.594	0.473	0.52	0.175	0.752	0.02	0.545	0.172	0.465	0.391	0.402	0.034	0.168	0.093	0.894	0.76	0.017	0.196
upper95_perm_direct	0.2034	0.0232	0.0172	0.0172	0.0302	0.0952	0.2687	0.1666	0.0306	0.1215	0.013	0.0707	0.0138	0.0312	0.0425	0.0547	0.0273	0.0093	0.015	0.0208	0.042	0.0284	0.0222	0.031	0.0245	0.0235	0.0161	0.0149	0.0232	0.0195	0.0118	0.0175	0.018	0.0119	0.0178	0.0131	0.0146	0.041	0.012	0.0176	0.0215	0.0122	0.0197	0.011	0.0216	0.0141	0.0112	0.0205	0.0097	0.0194	0.0125	0.0121	0.0162	0.0122	0.0115	0.0094	0.0163	0.0118	0.0085	0.0095	0.0112	0.014	0.0196	0.0172	0.0217	0.0098	0.0136	0.0084	0.0307	0.009	0.0072	0.0146	0.0128	0.0094	0.0099	0.0144	0.0123	0.0139	0.0139	0.0152	0.0127	0.0129	0.0118	0.0115	0.0141	0.011	0.012	0.0203	0.0227	0.0109	0.0117	0.0152	0.0149	0.0099	0.0125	0.01	0.0139	0.0116	0.0146	0.0094
lower0_perm_direct	-0.0049	-0.0018	-0.0015	-0.0012	-0.0017	-0.0017	-0.0029	-0.0021	-0.0012	-0.0018	-0.0012	-0.0016	-0.0013	-0.0013	-0.0014	-0.0014	-0.0014	-0.0012	-0.0012	-0.0013	-0.0014	-0.0012	-0.0013	-0.0013	-0.0011	-0.0013	-0.0012	-0.0013	-0.0013	-0.0013	-0.0012	-0.0012	-0.0012	-0.001	-0.0011	-0.0012	-0.0012	-0.0013	-0.001	-0.0012	-0.0011	-0.0012	-0.0012	-0.0012	-0.0011	-0.0012	-0.0011	-0.0011	-0.0012	-0.0011	-0.0011	-0.0012	-0.0012	-0.0012	-0.0011	-0.0012	-0.0011	-0.0012	-0.001	-0.0011	-0.0011	-0.0012	-0.0012	-0.0013	-0.0011	-0.0012	-0.0012	-0.0012	-0.0012	-0.001	-0.001	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.001	-0.0012	-0.0012	-0.0011	-0.0011	-0.001	-0.001	-0.0012	-0.0011	-0.0012	-0.0011	-0.001	-0.0011	-0.001	-0.0012	-0.0012	-0.0011	-0.0011	-0.001	-0.0011	-0.0012	-0.0012	-0.0012
sad_vc_estimate	0.0077	0.0146	0.0196	0.0027	0.01	0.0965	0.4479	0.2143	0.0291	0.116	0.004	0.2173	-0.0003	0.036	0.0091	0.0715	0.0436	0.001	0.0067	-0.0003	0.0915	0.0164	0.0401	0.0236	0.0542	0.0014	0.0259	0.0094	-0.0006	-0.0001	0.0374	0.0003	-0.0005	0.0012	0.0104	0.0131	-0.0002	0.1015	0.0005	0.0005	0.05	-0.0005	0.0398	0.0021	0.0073	0.0184	0.0105	0.0699	0.0259	0.0487	0.0187	-0.0006	0.0632	-0.0005	0.0082	0.0085	0.0012	0.0001	0.0015	0.0009	0.0022	-0.0006	0.0322	0.0009	0.0383	0.0059	0.0023	0.0015	0.0578	0.017	0.0027	0.011	0.0136	-0.0006	-0.0004	0.0002	0.0166	-0.0003	0.0212	0.0266	0.0082	0.0023	0.0017	0.0021	-0.0001	0.0171	0.0015	0.0478	0.0178	0.0106	0.0069	0.0088	0.0014	0.0135	0.0035	0.0097	0.0002	-0.0002	0.0281	0.0134
sad_vc_estimate_se	0.0326	0.0119	0.009	0.0082	0.0108	0.0113	0.0194	0.0153	0.0084	0.0123	0.0073	0.0104	0.008	0.0085	0.0098	0.0091	0.0088	0.0075	0.0079	0.0081	0.0094	0.0081	0.0086	0.0085	0.0074	0.0082	0.0077	0.0084	0.008	0.0085	0.0082	0.0076	0.0078	0.0067	0.0071	0.0074	0.008	0.0085	0.0069	0.008	0.0074	0.0075	0.0082	0.0084	0.0076	0.0079	0.0068	0.0072	0.008	0.0078	0.0071	0.0075	0.0077	0.0073	0.0072	0.0074	0.0072	0.0083	0.0068	0.0073	0.0069	0.0076	0.0081	0.0084	0.0072	0.0074	0.0078	0.0072	0.008	0.0066	0.0066	0.0075	0.0071	0.007	0.0069	0.0073	0.0074	0.0068	0.0079	0.0078	0.0074	0.0078	0.0068	0.0063	0.0081	0.0069	0.0076	0.0073	0.007	0.0073	0.0064	0.0076	0.0074	0.0069	0.0072	0.0067	0.0073	0.0078	0.0076	0.0072
sad_vc_pvals	0.758	0.202	0.199	0.522	0.442	0.156	0.037	0.114	0.208	0.146	0.453	0.006	0.824	0.153	0.498	0.133	0.066	0.593	0.326	0.884	0.021	0.314	0.049	0.194	0.042	0.728	0.078	0.327	0.976	0.787	0.035	0.729	0.91	0.583	0.273	0.142	0.803	0.015	0.664	0.75	0.029	0.895	0.046	0.503	0.411	0.134	0.16	0.005	0.037	0.02	0.116	0.999	0.002	0.894	0.251	0.217	0.626	0.718	0.505	0.592	0.494	0.936	0.06	0.692	0.058	0.257	0.528	0.546	0.045	0.082	0.413	0.263	0.189	0.959	0.855	0.753	0.09	0.876	0.086	0.047	0.283	0.53	0.535	0.46	0.772	0.069	0.573	0.03	0.18	0.192	0.258	0.331	0.659	0.097	0.471	0.14	0.768	0.8	0.037	0.108
upper95_perm_sad	0.5376	0.0526	0.068	0.052	0.0881	0.258	0.6668	0.4016	0.0848	0.2866	0.0419	0.2069	0.0453	0.0866	0.1072	0.1593	0.0754	0.0308	0.0454	0.0676	0.1051	0.0768	0.0597	0.0745	0.0743	0.0661	0.0484	0.0526	0.0626	0.0419	0.0486	0.0462	0.0472	0.038	0.0433	0.034	0.045	0.1011	0.033	0.0513	0.0621	0.0355	0.0618	0.0374	0.0634	0.0502	0.032	0.0545	0.0328	0.0531	0.0433	0.0401	0.0485	0.0316	0.0318	0.0316	0.0425	0.0359	0.0274	0.0293	0.035	0.0419	0.0534	0.0549	0.0613	0.0264	0.0379	0.031	0.0828	0.0331	0.029	0.0536	0.0441	0.0293	0.0314	0.0411	0.0351	0.0472	0.0408	0.0391	0.037	0.044	0.0308	0.029	0.039	0.0304	0.0344	0.0609	0.0491	0.0335	0.0266	0.0503	0.0483	0.0271	0.045	0.0264	0.0445	0.037	0.0356	0.0296
lower0_perm_sad	-0.0052	-0.0019	-0.0014	-0.0013	-0.0017	-0.0018	-0.0029	-0.0022	-0.0013	-0.0018	-0.0011	-0.0016	-0.0012	-0.0013	-0.0015	-0.0014	-0.0014	-0.0012	-0.0013	-0.0013	-0.0014	-0.0012	-0.0013	-0.0014	-0.0011	-0.0012	-0.0012	-0.0013	-0.0012	-0.0015	-0.0012	-0.0011	-0.0012	-0.0011	-0.0011	-0.0011	-0.0012	-0.0013	-0.0012	-0.0012	-0.0011	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.001	-0.0011	-0.0012	-0.0012	-0.0012	-0.0011	-0.0012	-0.0012	-0.0012	-0.0012	-0.0011	-0.0013	-0.001	-0.0011	-0.001	-0.0011	-0.0013	-0.0013	-0.0011	-0.0011	-0.0013	-0.0011	-0.0013	-0.001	-0.001	-0.0012	-0.0011	-0.0011	-0.0011	-0.0013	-0.0011	-0.001	-0.0012	-0.0012	-0.0012	-0.0013	-0.001	-0.001	-0.0013	-0.001	-0.0011	-0.0012	-0.0011	-0.0011	-0.001	-0.0011	-0.0011	-0.0011	-0.0011	-0.0011	-0.0012	-0.0012	-0.0012	-0.0012
