	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0902	-0.0036	-0.0031	0.0059	0.0062	-0.0013	0.003	0.0091	-0.0009	0.006	0.0053	-0.0015	-0.0022	-0.0021	-0.001	0.0016	-0.0036	-0.0016	-0.0004	-0.0011	0.0083	0.0173	-0.0028	0.0026	-0.0028	0.0158	-0.0016	-0.0018	-0.0021	-0.0023	0.0004	-0.0023	0.014	0.0024	-0.0012	0.0098	-0.0013	-0.0001	0.0041	-0.0037	0.0019	-0.0038	-0.0024	0.0023	-0.0037	0.0098	0.0087	-0.0007	0.0119	0.0016	-0.0026	-0.0005	0.0108	0.0039	-0.0029	0.002	-0.0004	-0.0024	0.0124	0.0124	0.0028	-0.0013	-0.0003	-0.0012	0.0185	-0.0018	0.0062	-0.0017	-0.0033	0.0096	-0.0016	-0.0021	-0.0022	-0.0019	0.0017	0.0062	0.0005	0.0097	0.0155	-0.0017	-0.0019	0.0013	-0.0029	0.0118	0.0145	-0.0005	-0.0035	-0.0017	-0.0004	0.0014	-0.002	-0.0024	-0.0022	-0.0008	0.0077	-0.0014	-0.0021	0.0112	0.0007	-0.0015
direct_vc_estimate_se	0.0112	0.0049	0.0048	0.0028	0.0027	0.0037	0.0061	0.0027	0.0031	0.0038	0.0062	0.003	0.0033	0.003	0.0033	0.0025	0.0051	0.0026	0.003	0.0032	0.0025	0.0037	0.004	0.0032	0.0039	0.0025	0.0025	0.0041	0.0029	0.0033	0.0024	0.0036	0.0026	0.0025	0.0024	0.0028	0.0025	0.0032	0.0028	0.0052	0.0025	0.0071	0.0038	0.0029	0.0053	0.0023	0.0023	0.0023	0.0034	0.0028	0.0036	0.0026	0.0025	0.0027	0.004	0.0029	0.0029	0.0065	0.0045	0.0025	0.0045	0.0023	0.0026	0.0035	0.0028	0.0025	0.0023	0.0023	0.0045	0.0046	0.0038	0.0057	0.0031	0.0026	0.0037	0.0022	0.0056	0.0025	0.0034	0.0025	0.0026	0.0023	0.0051	0.0025	0.003	0.0022	0.0066	0.0027	0.0028	0.003	0.0028	0.0032	0.0033	0.0028	0.0024	0.0026	0.0028	0.0024	0.0023	0.0028
direct_vc_pvals	0.016	0.963	0.767	0.171	0.165	0.561	0.329	0.18	0.585	0.203	0.257	0.715	0.805	0.87	0.58	0.438	0.891	0.813	0.549	0.577	0.16	0.074	0.896	0.281	0.929	0.049	0.823	0.689	0.882	0.899	0.484	0.807	0.052	0.333	0.725	0.086	0.722	0.549	0.261	0.897	0.377	0.644	0.753	0.348	0.857	0.096	0.118	0.603	0.088	0.383	0.91	0.563	0.08	0.273	0.951	0.332	0.492	0.604	0.065	0.048	0.308	0.754	0.521	0.573	0.046	0.935	0.16	0.982	0.931	0.151	0.63	0.589	0.913	0.938	0.368	0.119	0.397	0.091	0.05	0.86	0.899	0.448	0.746	0.062	0.049	0.58	0.642	0.808	0.535	0.315	0.99	0.999	0.826	0.6	0.123	0.715	0.981	0.105	0.47	0.729
upper95_perm_direct	0.0774	0.0439	0.0196	0.0198	0.0218	0.0237	0.032	0.0278	0.0258	0.0222	0.0313	0.0248	0.0203	0.0222	0.0219	0.0242	0.031	0.0216	0.0225	0.0201	0.0238	0.0292	0.0214	0.0192	0.0181	0.0211	0.0197	0.0302	0.0184	0.0283	0.0201	0.0211	0.0198	0.0226	0.0202	0.0193	0.0218	0.0237	0.0209	0.0265	0.0228	0.026	0.0229	0.0235	0.0275	0.0177	0.0204	0.0185	0.0216	0.0245	0.0209	0.0205	0.0186	0.0208	0.0232	0.0211	0.0181	0.0308	0.0211	0.0172	0.0256	0.0171	0.0188	0.0189	0.025	0.0178	0.0188	0.0163	0.019	0.0283	0.0231	0.0245	0.0212	0.0174	0.0261	0.0152	0.0209	0.019	0.0222	0.018	0.0176	0.0259	0.0316	0.0182	0.02	0.0175	0.0225	0.0178	0.0181	0.0161	0.0178	0.0187	0.017	0.0215	0.0182	0.0165	0.0225	0.024	0.0182	0.0183
lower0_perm_direct	-0.0139	-0.0059	-0.0061	-0.0035	-0.0032	-0.0044	-0.0074	-0.0032	-0.0039	-0.0047	-0.0078	-0.0036	-0.0042	-0.0036	-0.004	-0.003	-0.0061	-0.0031	-0.0037	-0.0038	-0.0029	-0.0044	-0.0049	-0.0038	-0.0047	-0.0031	-0.0029	-0.0048	-0.0037	-0.004	-0.003	-0.0045	-0.0032	-0.0031	-0.0029	-0.0033	-0.0031	-0.0041	-0.0034	-0.0063	-0.003	-0.0088	-0.0048	-0.0036	-0.0063	-0.003	-0.0028	-0.0028	-0.0041	-0.0033	-0.0047	-0.0031	-0.003	-0.0035	-0.0046	-0.0036	-0.0037	-0.0079	-0.0053	-0.0031	-0.0057	-0.0029	-0.0031	-0.0042	-0.0035	-0.0029	-0.0027	-0.0027	-0.0054	-0.0057	-0.0046	-0.0072	-0.0039	-0.0033	-0.0046	-0.0026	-0.0067	-0.003	-0.004	-0.003	-0.0031	-0.003	-0.006	-0.003	-0.0038	-0.0027	-0.0079	-0.0032	-0.0036	-0.0036	-0.0034	-0.004	-0.004	-0.0033	-0.0031	-0.0031	-0.0034	-0.0029	-0.0027	-0.0032
sad_vc_estimate	0.4252	0.0098	0.0135	-0.001	0.0177	-0.0022	0.0036	0.014	0.0016	0.0205	0.0188	0.0016	-0.0016	-0.0012	0.0029	0.0132	-0.0027	0.0023	0.0025	0.0002	0.006	0.0112	0.0001	0.0088	-0.0024	0.032	-0.0018	0.0295	-0.0022	-0.0021	0.0052	0.0013	0.0262	-0.0013	-0.0014	0.0125	-0.0018	-0.0	0.0111	-0.0023	0.003	0.0091	-0.0023	0.0088	0.0056	0.0101	0.0229	0.0182	0.0224	0.0081	-0.0025	-0.0019	0.0214	0.0096	-0.0028	0.005	0.005	-0.0041	0.0162	0.0278	0.0016	0.0008	0.0052	-0.0004	0.0391	0.0064	0.0093	0.001	-0.0033	0.0549	0.0066	-0.0041	-0.0023	-0.0018	0.0051	-0.0001	0.0039	-0.0002	0.0331	-0.0015	-0.0007	-0.0012	-0.0029	0.0354	0.0404	0.0005	0.0065	-0.0013	0.0002	0.0017	-0.002	-0.002	-0.0004	-0.0018	0.0258	0.0146	0.0012	0.0384	-0.0017	-0.0021
sad_vc_estimate_se	0.0113	0.005	0.0049	0.0029	0.0027	0.0037	0.0062	0.0027	0.0032	0.0038	0.0062	0.003	0.0034	0.0031	0.0033	0.0026	0.0051	0.0026	0.003	0.0033	0.0025	0.0038	0.004	0.0033	0.004	0.0026	0.0025	0.0041	0.003	0.0033	0.0025	0.0037	0.0027	0.0026	0.0024	0.0028	0.0025	0.0033	0.0029	0.0052	0.0025	0.0072	0.0039	0.003	0.0054	0.0024	0.0024	0.0023	0.0035	0.0028	0.0037	0.0027	0.0025	0.0028	0.004	0.003	0.003	0.0065	0.0046	0.0025	0.0045	0.0024	0.0027	0.0036	0.0029	0.0025	0.0023	0.0024	0.0046	0.0046	0.0038	0.0058	0.0031	0.0027	0.0037	0.0022	0.0057	0.0025	0.0034	0.0025	0.0026	0.0024	0.0052	0.0026	0.0031	0.0022	0.0067	0.0027	0.0029	0.0031	0.0028	0.0033	0.0033	0.0028	0.0024	0.0027	0.0029	0.0025	0.0024	0.0028
sad_vc_pvals	0.001	0.375	0.144	0.722	0.142	0.8	0.427	0.288	0.567	0.149	0.232	0.584	0.765	0.724	0.448	0.266	0.771	0.475	0.516	0.575	0.375	0.308	0.578	0.242	0.818	0.054	0.935	0.11	0.987	0.858	0.408	0.499	0.065	0.808	0.826	0.215	0.956	0.658	0.227	0.697	0.506	0.298	0.834	0.309	0.398	0.218	0.115	0.15	0.125	0.349	0.888	0.97	0.113	0.286	0.908	0.383	0.357	0.839	0.126	0.045	0.537	0.549	0.311	0.628	0.055	0.303	0.293	0.546	0.887	0.015	0.323	0.903	0.944	0.89	0.357	0.663	0.376	0.659	0.048	0.804	0.72	0.831	0.786	0.027	0.032	0.611	0.291	0.765	0.619	0.45	0.969	0.832	0.665	0.872	0.054	0.141	0.621	0.05	0.918	0.984
upper95_perm_sad	0.216	0.0938	0.0346	0.0436	0.0468	0.0519	0.0639	0.0655	0.0542	0.058	0.0829	0.0562	0.0543	0.0402	0.0475	0.0587	0.0641	0.0417	0.0463	0.0443	0.0533	0.0715	0.0467	0.04	0.0472	0.0465	0.05	0.0687	0.0393	0.05	0.0471	0.0494	0.0418	0.0504	0.0435	0.0468	0.051	0.0612	0.0482	0.0439	0.0541	0.0557	0.0467	0.0495	0.0675	0.0403	0.0501	0.0481	0.0539	0.0556	0.0439	0.0462	0.047	0.0566	0.0434	0.0451	0.0424	0.0595	0.0381	0.0383	0.0602	0.0399	0.0352	0.0448	0.0562	0.0374	0.0439	0.0428	0.0357	0.05	0.0462	0.0489	0.0425	0.0391	0.0438	0.0396	0.0468	0.0404	0.0436	0.0292	0.042	0.0512	0.0662	0.0373	0.0465	0.0376	0.0437	0.0368	0.0394	0.0377	0.0386	0.0403	0.0442	0.0482	0.0367	0.0421	0.0631	0.0536	0.0425	0.0425
lower0_perm_sad	-0.0135	-0.0058	-0.0061	-0.0033	-0.0032	-0.0045	-0.0072	-0.0032	-0.0038	-0.0045	-0.0074	-0.0035	-0.0042	-0.0038	-0.004	-0.0031	-0.0061	-0.0031	-0.0038	-0.004	-0.003	-0.0045	-0.005	-0.0041	-0.0051	-0.003	-0.003	-0.0052	-0.0035	-0.004	-0.003	-0.0047	-0.0033	-0.0029	-0.0028	-0.0035	-0.003	-0.0042	-0.0034	-0.0062	-0.003	-0.0092	-0.0046	-0.0036	-0.0064	-0.003	-0.003	-0.0028	-0.0042	-0.0033	-0.0047	-0.0032	-0.0032	-0.0031	-0.0048	-0.0036	-0.0038	-0.0081	-0.0057	-0.003	-0.0057	-0.0028	-0.0033	-0.0045	-0.0036	-0.0029	-0.0027	-0.0028	-0.0054	-0.0055	-0.0048	-0.0073	-0.0037	-0.0032	-0.0043	-0.0026	-0.0067	-0.0031	-0.004	-0.0029	-0.0031	-0.003	-0.0065	-0.0032	-0.0038	-0.0026	-0.0076	-0.0032	-0.0035	-0.0036	-0.0033	-0.0038	-0.0039	-0.0033	-0.0031	-0.0031	-0.0035	-0.003	-0.0028	-0.0034
