	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0171	0.0008	-0.0026	0.0046	-0.0047	0.0005	0.0379	0.0107	-0.0001	-0.0048	0.0093	-0.0139	-0.0072	0.0019	-0.0046	-0.004	-0.0007	-0.007	-0.0037	-0.005	0.0285	-0.0052	-0.0135	-0.0028	0.0011	-0.0076	-0.0062	-0.0055	0.0262	-0.0051	-0.0062	0.0036	0.0109	0.0231	-0.0042	0.0232	-0.0079	-0.008	-0.0045	0.0082	0.0027	0.0184	-0.0095	-0.0052	-0.0086	0.0236	-0.0056	-0.0112	0.0068	-0.0037	-0.0086	0.0117	0.0274	0.0394	0.0014	0.0	-0.0035	-0.0046	0.045	-0.0071	-0.0045	0.0082	0.0188	0.0032	0.0034	-0.0052	0.0245	0.0206	0.0386	-0.009	-0.0105	0.0263	-0.0062	-0.0027	-0.004	-0.0019	-0.007	0.0077	-0.0056	0.0088	-0.0045	0.0265	-0.0106	0.0106	-0.0049	0.0003	0.0029	0.0047	-0.0086	-0.0054	0.0007	0.0083	0.0017	0.0127	-0.0043	0.0015	0.0342	-0.006	-0.0089	-0.0083
direct_vc_estimate_se	0.1259	0.0434	0.0729	0.0679	0.0398	0.0424	0.076	0.0322	0.0373	0.0312	0.0409	0.0929	0.0501	0.0591	0.0325	0.0655	0.037	0.0536	0.0289	0.0329	0.059	0.0337	0.1075	0.0416	0.0397	0.0489	0.0424	0.0368	0.0396	0.0399	0.0652	0.0287	0.0577	0.0498	0.0321	0.0529	0.0586	0.0706	0.0534	0.0533	0.0386	0.0304	0.0659	0.0349	0.0599	0.0388	0.0405	0.0727	0.0918	0.0491	0.0645	0.0337	0.0344	0.0796	0.0287	0.0443	0.0274	0.0313	0.0737	0.1237	0.0294	0.0267	0.0278	0.0319	0.0568	0.0364	0.0692	0.1743	0.0451	0.0679	0.0811	0.0469	0.0504	0.0419	0.0396	0.0278	0.0458	0.0405	0.04	0.044	0.0292	0.0393	0.0687	0.0343	0.0408	0.1203	0.041	0.0665	0.0628	0.0377	0.026	0.0328	0.128	0.043	0.0457	0.0433	0.0665	0.0407	0.0574	0.068
direct_vc_pvals	0.785	0.458	0.524	0.264	0.678	0.451	0.072	0.217	0.449	0.948	0.197	0.854	0.856	0.34	0.836	0.543	0.567	0.742	0.783	0.897	0.091	0.942	0.771	0.541	0.453	0.993	0.857	0.887	0.082	0.706	0.529	0.32	0.264	0.141	0.74	0.103	0.715	0.61	0.558	0.268	0.351	0.121	0.813	0.882	0.782	0.106	0.825	0.966	0.372	0.594	0.75	0.155	0.067	0.036	0.412	0.416	0.749	0.883	0.072	0.624	0.949	0.168	0.1	0.375	0.286	0.853	0.072	0.295	0.047	0.757	0.778	0.071	0.704	0.503	0.602	0.566	0.92	0.172	0.797	0.218	0.923	0.074	0.94	0.19	0.689	0.44	0.355	0.264	0.783	0.848	0.408	0.221	0.428	0.116	0.568	0.318	0.058	0.858	0.975	0.726
upper95_perm_direct	0.126	0.0558	0.0581	0.0376	0.0351	0.0439	0.0549	0.043	0.0429	0.037	0.0359	0.0344	0.0456	0.0379	0.0369	0.0583	0.0588	0.0507	0.0353	0.0376	0.0457	0.0416	0.0635	0.0316	0.052	0.0417	0.0387	0.0452	0.0411	0.0322	0.0343	0.0346	0.0514	0.0526	0.0318	0.0437	0.0344	0.0363	0.0387	0.0472	0.0389	0.0398	0.0318	0.0343	0.0258	0.0425	0.0444	0.0461	0.0637	0.0421	0.0427	0.0357	0.0408	0.0421	0.0284	0.0432	0.0289	0.0343	0.0644	0.0652	0.0389	0.0287	0.0355	0.0439	0.0435	0.0386	0.039	0.098	0.045	0.0521	0.0633	0.0385	0.0407	0.0242	0.0296	0.03	0.027	0.0259	0.0335	0.0358	0.0314	0.0403	0.0344	0.0387	0.0337	0.0631	0.0388	0.0359	0.0451	0.0439	0.0292	0.0319	0.0617	0.0297	0.029	0.0272	0.0426	0.0384	0.0374	0.0517
lower0_perm_direct	-0.028	-0.0096	-0.0156	-0.015	-0.0091	-0.0092	-0.016	-0.0069	-0.008	-0.0071	-0.009	-0.0212	-0.0109	-0.0132	-0.0071	-0.0149	-0.0084	-0.0118	-0.0063	-0.007	-0.0128	-0.0074	-0.0233	-0.0091	-0.0086	-0.0104	-0.0091	-0.0081	-0.009	-0.0088	-0.0142	-0.0063	-0.0124	-0.011	-0.007	-0.0112	-0.0128	-0.0158	-0.0116	-0.0114	-0.0086	-0.0065	-0.0144	-0.0079	-0.013	-0.0086	-0.0092	-0.0162	-0.0208	-0.0107	-0.0143	-0.0076	-0.0077	-0.0174	-0.0064	-0.0098	-0.006	-0.0067	-0.0166	-0.0277	-0.0063	-0.0058	-0.0061	-0.0073	-0.0126	-0.0077	-0.0155	-0.0368	-0.0099	-0.015	-0.0184	-0.0103	-0.0107	-0.0092	-0.0085	-0.0061	-0.0103	-0.0086	-0.009	-0.0098	-0.0064	-0.0088	-0.0156	-0.0078	-0.0089	-0.0254	-0.009	-0.0146	-0.0139	-0.008	-0.0055	-0.0072	-0.0274	-0.0092	-0.01	-0.0092	-0.0146	-0.0089	-0.0129	-0.0147
sad_vc_estimate	-0.0163	0.0185	-0.0105	0.0329	-0.0054	-0.0063	0.0947	0.0409	0.0002	0.0017	0.0067	-0.0118	-0.0078	0.0171	0.0013	-0.0019	-0.0053	-0.0068	-0.004	-0.0051	0.0891	-0.0053	0.0008	-0.0022	0.0053	-0.0019	-0.0036	-0.0044	0.1143	0.0022	0.0013	0.0015	0.0099	0.047	-0.0015	0.0553	-0.0075	-0.0102	0.0019	0.0048	0.0033	0.0143	-0.0102	-0.0015	-0.0093	0.0215	0.0019	-0.0074	0.0108	-0.006	-0.004	0.0038	0.0513	0.0588	-0.0004	0.022	-0.0033	-0.0049	0.1448	0.0068	-0.004	0.0484	0.0178	0.0052	0.0174	-0.0057	0.0259	0.0211	0.0845	-0.007	-0.0111	0.0268	-0.0075	-0.0008	-0.0005	0.0004	-0.007	0.0014	-0.0059	0.0213	-0.004	0.0307	-0.0072	0.0196	-0.0062	0.0289	0.0117	0.0267	-0.0096	-0.0057	-0.0028	0.0217	-0.0063	0.0588	0.0211	0.022	0.0363	-0.0063	-0.0063	-0.0066
sad_vc_estimate_se	0.1271	0.044	0.0734	0.0683	0.0401	0.0428	0.0764	0.0326	0.0377	0.0315	0.0413	0.0932	0.0504	0.0594	0.0329	0.0659	0.0374	0.0539	0.0293	0.0333	0.0594	0.0341	0.1079	0.0419	0.0401	0.0493	0.0428	0.0371	0.04	0.0403	0.0655	0.0291	0.0581	0.0502	0.0325	0.0532	0.059	0.0709	0.0537	0.0537	0.0389	0.0308	0.0663	0.0352	0.0602	0.0392	0.0408	0.073	0.0922	0.0495	0.0649	0.0341	0.0348	0.08	0.029	0.0447	0.0278	0.0317	0.074	0.124	0.0298	0.027	0.0282	0.0323	0.0572	0.0368	0.0696	0.1746	0.0455	0.0682	0.0815	0.0473	0.0508	0.0422	0.0399	0.0281	0.0462	0.0408	0.0403	0.0443	0.0296	0.0396	0.0691	0.0347	0.0412	0.1207	0.0414	0.0668	0.0631	0.0381	0.0264	0.0331	0.1283	0.0433	0.046	0.0436	0.0669	0.041	0.0578	0.0684
sad_vc_pvals	0.845	0.319	0.87	0.134	0.82	0.881	0.058	0.104	0.594	0.532	0.342	0.698	0.977	0.247	0.516	0.514	0.873	0.809	0.867	0.953	0.028	0.965	0.417	0.586	0.486	0.548	0.652	0.807	0.013	0.463	0.404	0.535	0.327	0.106	0.614	0.059	0.717	0.838	0.429	0.393	0.428	0.306	0.946	0.629	0.976	0.191	0.512	0.654	0.337	0.744	0.555	0.415	0.059	0.035	0.558	0.17	0.77	0.993	0.015	0.408	0.833	0.04	0.189	0.449	0.244	0.961	0.145	0.333	0.017	0.704	0.82	0.156	0.898	0.52	0.515	0.56	0.92	0.448	0.873	0.179	0.802	0.11	0.65	0.188	0.931	0.197	0.296	0.142	0.911	0.903	0.732	0.176	0.566	0.036	0.137	0.176	0.097	0.998	0.7	0.67
upper95_perm_sad	0.2242	0.1126	0.1074	0.071	0.0552	0.0759	0.1266	0.0773	0.0781	0.0693	0.062	0.0591	0.0696	0.0788	0.0733	0.0855	0.1055	0.0944	0.0853	0.0731	0.0817	0.0639	0.0847	0.0675	0.0888	0.0633	0.0576	0.0741	0.0742	0.066	0.056	0.0588	0.0665	0.0825	0.0699	0.071	0.0532	0.0746	0.0709	0.0687	0.0533	0.0666	0.0537	0.0694	0.0581	0.0582	0.0747	0.0826	0.0906	0.0775	0.0727	0.066	0.0685	0.0634	0.0483	0.0667	0.0453	0.0622	0.0923	0.0897	0.0605	0.0541	0.0556	0.0766	0.0664	0.0685	0.0612	0.1174	0.0718	0.0855	0.0866	0.0809	0.0682	0.0529	0.0496	0.0467	0.0442	0.0453	0.0615	0.0614	0.0481	0.0584	0.0543	0.067	0.0579	0.082	0.0696	0.0617	0.0848	0.0657	0.0512	0.0623	0.0825	0.0617	0.0545	0.0587	0.0642	0.0598	0.062	0.0766
lower0_perm_sad	-0.0271	-0.01	-0.0163	-0.015	-0.0084	-0.0092	-0.0167	-0.007	-0.0083	-0.007	-0.0093	-0.0202	-0.011	-0.0127	-0.0074	-0.0147	-0.0082	-0.0116	-0.0064	-0.007	-0.0133	-0.0075	-0.0228	-0.0091	-0.0087	-0.011	-0.0091	-0.0079	-0.0089	-0.0089	-0.0144	-0.0063	-0.0122	-0.0108	-0.007	-0.0115	-0.0134	-0.0159	-0.0115	-0.0118	-0.0083	-0.0067	-0.014	-0.0078	-0.0135	-0.0083	-0.0086	-0.0163	-0.0199	-0.0108	-0.0137	-0.0074	-0.0077	-0.0172	-0.0064	-0.0099	-0.0061	-0.0069	-0.0168	-0.0274	-0.0066	-0.0058	-0.0063	-0.007	-0.0124	-0.0078	-0.0149	-0.0371	-0.0103	-0.0145	-0.0179	-0.0105	-0.0114	-0.0094	-0.0085	-0.0063	-0.0102	-0.0087	-0.0088	-0.0095	-0.0065	-0.0088	-0.015	-0.0076	-0.0089	-0.0262	-0.0088	-0.0147	-0.0139	-0.0084	-0.006	-0.0074	-0.0292	-0.0096	-0.01	-0.0098	-0.0149	-0.009	-0.0128	-0.0151
