	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0594	0.0818	0.0029	-0.0038	0.0347	-0.0034	0.0177	-0.0015	0.0008	0.0062	0.0292	-0.0033	0.0017	-0.0032	0.0146	0.0011	-0.0027	-0.0032	-0.0031	0.0038	0.0004	0.0002	-0.0015	0.0036	0.0092	-0.0019	-0.0028	0.0012	0.0003	0.0111	-0.0019	0.0007	0.022	-0.0029	-0.001	0.0044	0.003	0.0465	-0.0022	0.0137	-0.0003	-0.0021	-0.002	0.0232	-0.0033	-0.0031	0.0449	0.007	0.015	0.0023	0.002	-0.0033	-0.0028	-0.0028	0.0042	-0.002	0.0545	-0.0026	0.0097	0.0232	0.0245	-0.0015	-0.0029	-0.0024	0.0044	0.0096	0.0148	-0.0	0.0083	0.0028	0.0114	0.0158	0.0057	-0.003	-0.0033	-0.0027	-0.0013	-0.0021	0.0022	0.0158	-0.0018	0.002	-0.0025	0.0181	0.0025	0.0108	0.0034	0.0035	-0.002	0.0056	0.0093	0.0026	0.0028	-0.003	0.0204	-0.0005	-0.0002	0.001	0.0085	-0.0032
direct_vc_estimate_se	0.626	0.265	0.2003	0.1845	0.1645	0.1665	0.1679	0.1519	0.164	0.1628	0.1526	0.1595	0.1561	0.1548	0.1649	0.1549	0.1542	0.1538	0.1613	0.1601	0.1591	0.1571	0.159	0.162	0.1562	0.1601	0.1574	0.1727	0.1536	0.1563	0.1647	0.1683	0.1601	0.1558	0.1564	0.1551	0.1529	0.1532	0.1538	0.1585	0.1523	0.172	0.1651	0.1645	0.1631	0.1529	0.1635	0.1565	0.1525	0.1555	0.1634	0.1605	0.1523	0.1586	0.165	0.1618	0.1554	0.1684	0.155	0.1554	0.1583	0.1549	0.1551	0.1671	0.1556	0.1579	0.1551	0.1572	0.1528	0.1476	0.1602	0.1625	0.1512	0.1485	0.1602	0.1617	0.155	0.1623	0.1556	0.1571	0.1536	0.1606	0.1568	0.1536	0.1539	0.1498	0.1479	0.1598	0.154	0.1572	0.1555	0.1578	0.1481	0.1498	0.156	0.1472	0.1542	0.1593	0.1513	0.1606
direct_vc_pvals	0.119	0.011	0.36	0.924	0.027	0.945	0.076	0.666	0.431	0.248	0.035	0.947	0.42	0.991	0.102	0.436	0.802	0.999	0.851	0.313	0.448	0.43	0.631	0.319	0.156	0.659	0.775	0.411	0.506	0.162	0.627	0.425	0.062	0.837	0.574	0.272	0.379	0.005	0.724	0.117	0.536	0.67	0.648	0.052	0.886	0.902	0.01	0.233	0.089	0.352	0.375	0.945	0.818	0.778	0.282	0.67	0.004	0.698	0.177	0.037	0.042	0.641	0.826	0.685	0.308	0.176	0.09	0.497	0.2	0.362	0.134	0.094	0.238	0.893	0.957	0.755	0.577	0.656	0.392	0.089	0.637	0.356	0.721	0.061	0.366	0.133	0.316	0.305	0.634	0.235	0.158	0.352	0.346	0.888	0.052	0.53	0.499	0.42	0.191	0.906
upper95_perm_direct	0.1671	0.0739	0.0492	0.0454	0.0426	0.0386	0.0382	0.0401	0.0441	0.0438	0.0423	0.0392	0.0438	0.0401	0.039	0.0387	0.0395	0.0427	0.0396	0.0405	0.0358	0.0363	0.0432	0.0473	0.0413	0.037	0.0365	0.044	0.0413	0.0435	0.0318	0.0385	0.0398	0.04	0.04	0.0346	0.0488	0.0407	0.0353	0.0381	0.045	0.0367	0.0391	0.0417	0.0417	0.0327	0.039	0.0423	0.034	0.0347	0.037	0.0454	0.0447	0.0333	0.0396	0.0433	0.0341	0.0387	0.0399	0.034	0.0383	0.0415	0.0376	0.0414	0.0452	0.0379	0.0374	0.0496	0.0391	0.043	0.041	0.0382	0.0345	0.0358	0.0399	0.0375	0.041	0.0362	0.0382	0.0408	0.0337	0.0454	0.0361	0.0356	0.0401	0.0336	0.0332	0.0404	0.0337	0.035	0.034	0.039	0.0388	0.0312	0.0361	0.0391	0.0378	0.0375	0.0373	0.0411
lower0_perm_direct	-0.0261	-0.0109	-0.0087	-0.0076	-0.0066	-0.0067	-0.0071	-0.006	-0.0067	-0.007	-0.0066	-0.0065	-0.0067	-0.0061	-0.0068	-0.0065	-0.0064	-0.0063	-0.007	-0.0066	-0.0066	-0.0065	-0.0065	-0.0067	-0.0063	-0.0067	-0.0066	-0.007	-0.0064	-0.0065	-0.0067	-0.0069	-0.0064	-0.0065	-0.0067	-0.0067	-0.0067	-0.0063	-0.0063	-0.0065	-0.0064	-0.0068	-0.0069	-0.0069	-0.0071	-0.0065	-0.0066	-0.0065	-0.0063	-0.0064	-0.0066	-0.0065	-0.0062	-0.0064	-0.0068	-0.0066	-0.0063	-0.007	-0.0068	-0.0063	-0.0064	-0.0063	-0.0064	-0.0069	-0.0061	-0.0063	-0.0064	-0.0064	-0.0063	-0.0061	-0.0065	-0.0067	-0.0063	-0.0063	-0.0065	-0.0066	-0.0062	-0.0067	-0.0063	-0.0064	-0.006	-0.0066	-0.0064	-0.0063	-0.0062	-0.0059	-0.006	-0.0064	-0.0064	-0.0065	-0.0064	-0.0065	-0.0061	-0.006	-0.0067	-0.0063	-0.0063	-0.0064	-0.0063	-0.0065
sad_vc_estimate	0.4971	0.2198	0.0787	-0.0033	0.0211	-0.0036	0.027	0.0056	0.0019	0.0074	0.0412	-0.003	-0.0029	-0.003	0.0196	-0.0033	-0.0033	-0.0033	-0.0001	0.0001	0.0027	0.0079	0.0011	-0.0034	0.0138	-0.0019	-0.0024	0.0072	0.0222	0.0169	-0.0015	0.0147	0.0331	-0.0032	0.006	0.0194	0.0042	0.0874	0.0079	0.0385	-0.003	0.0017	-0.0017	0.0315	-0.0021	-0.0028	0.0648	0.0197	0.0096	-0.0011	-0.0035	-0.003	-0.0032	0.0001	0.0059	0.0042	0.0352	0.0024	0.0152	0.0308	0.0356	-0.0013	-0.0013	-0.0001	-0.0012	0.0189	0.0237	0.0068	-0.0019	0.0021	0.0137	0.0188	0.0165	-0.0028	0.0068	-0.0019	0.0001	0.0005	0.008	0.0167	-0.002	0.0021	-0.0033	0.0144	-0.0003	0.0229	0.0134	0.008	-0.0026	0.0022	0.0223	0.0062	0.0005	-0.002	0.0435	-0.0013	-0.0005	0.0032	0.015	0.0008
sad_vc_estimate_se	0.6478	0.2745	0.2072	0.1909	0.1705	0.1724	0.1738	0.1578	0.1701	0.1685	0.1583	0.1652	0.1618	0.1605	0.1705	0.1605	0.1598	0.1596	0.1669	0.1658	0.1647	0.1629	0.1646	0.1678	0.1618	0.1658	0.163	0.1784	0.1592	0.1619	0.1704	0.1739	0.1657	0.1613	0.1619	0.1607	0.1586	0.1588	0.1593	0.164	0.1579	0.1776	0.1706	0.17	0.1687	0.1587	0.1691	0.1621	0.1581	0.161	0.169	0.1661	0.1578	0.1641	0.1706	0.1673	0.1611	0.174	0.1605	0.161	0.1639	0.1605	0.1606	0.1728	0.1611	0.1638	0.1606	0.1629	0.1584	0.153	0.1657	0.1681	0.1568	0.1539	0.1657	0.1672	0.1605	0.1677	0.161	0.1626	0.1592	0.1661	0.1624	0.159	0.1594	0.1555	0.1533	0.1653	0.1595	0.1626	0.1612	0.1635	0.1536	0.1552	0.1616	0.1526	0.1596	0.1647	0.1568	0.166
sad_vc_pvals	0.0	0.0	0.007	0.812	0.132	0.999	0.089	0.375	0.513	0.296	0.04	0.832	0.845	0.857	0.171	0.957	0.955	0.962	0.582	0.554	0.422	0.268	0.547	0.923	0.182	0.687	0.76	0.325	0.162	0.135	0.632	0.157	0.035	0.925	0.359	0.139	0.415	0.007	0.272	0.027	0.853	0.457	0.686	0.054	0.725	0.833	0.006	0.145	0.228	0.643	0.957	0.843	0.954	0.562	0.357	0.403	0.049	0.438	0.17	0.043	0.053	0.652	0.664	0.569	0.651	0.141	0.095	0.344	0.721	0.486	0.188	0.132	0.15	0.828	0.317	0.665	0.557	0.561	0.28	0.132	0.721	0.48	0.951	0.168	0.568	0.104	0.176	0.257	0.779	0.441	0.092	0.336	0.52	0.698	0.035	0.646	0.591	0.407	0.171	0.558
upper95_perm_sad	0.247	0.123	0.0634	0.0658	0.0719	0.0625	0.0624	0.073	0.07	0.0634	0.0652	0.0623	0.0682	0.0534	0.0679	0.0717	0.0628	0.0719	0.07	0.063	0.0591	0.0532	0.062	0.0568	0.0578	0.0576	0.0646	0.0663	0.0736	0.0568	0.0543	0.0606	0.0497	0.0557	0.0713	0.0675	0.0762	0.0674	0.0591	0.0485	0.0722	0.0587	0.0595	0.0555	0.062	0.062	0.0581	0.06	0.0563	0.058	0.0569	0.0548	0.0623	0.0626	0.0629	0.0693	0.0598	0.0547	0.0643	0.0501	0.0617	0.0655	0.0612	0.0662	0.0635	0.0605	0.0571	0.0667	0.0623	0.0652	0.058	0.061	0.0634	0.0522	0.0633	0.0543	0.067	0.0592	0.0549	0.0516	0.0518	0.0524	0.0599	0.0522	0.057	0.0609	0.0569	0.0535	0.0494	0.0585	0.055	0.0563	0.0583	0.0595	0.0626	0.0525	0.0509	0.0519	0.0523	0.0649
lower0_perm_sad	-0.0269	-0.0111	-0.0085	-0.0079	-0.007	-0.0071	-0.0071	-0.0063	-0.0069	-0.0073	-0.0065	-0.0068	-0.0066	-0.0064	-0.0069	-0.0065	-0.0063	-0.0064	-0.0069	-0.0069	-0.0069	-0.0067	-0.0067	-0.0069	-0.0066	-0.0066	-0.0069	-0.007	-0.0064	-0.0065	-0.007	-0.007	-0.0072	-0.0066	-0.0067	-0.0068	-0.0064	-0.0065	-0.0069	-0.0067	-0.0064	-0.0072	-0.007	-0.0073	-0.0069	-0.0066	-0.0071	-0.0067	-0.0067	-0.0065	-0.0068	-0.0067	-0.0063	-0.0068	-0.0073	-0.0069	-0.0065	-0.0072	-0.0064	-0.0068	-0.0068	-0.0065	-0.0065	-0.0069	-0.0066	-0.0068	-0.0068	-0.0067	-0.0064	-0.0063	-0.0067	-0.007	-0.0062	-0.0062	-0.0068	-0.0068	-0.0068	-0.0069	-0.0067	-0.0067	-0.0067	-0.0069	-0.0067	-0.0064	-0.0067	-0.0063	-0.0063	-0.0072	-0.0069	-0.0069	-0.0066	-0.0071	-0.0063	-0.0065	-0.0066	-0.0062	-0.0066	-0.0068	-0.0064	-0.0066
covar_vc_estimate	-0.3585	-0.2697	-0.04	0.0081	-0.0544	0.0069	-0.044	-0.0014	-0.0028	-0.0136	-0.0696	0.0069	0.0093	0.0065	-0.0339	0.0059	0.0066	0.0064	0.0084	-0.0034	-0.0029	-0.006	0.0009	0.0049	-0.0227	0.0036	0.0051	-0.0073	-0.0125	-0.0276	0.0034	-0.0106	-0.0542	0.0061	-0.0028	-0.0198	-0.0073	-0.128	-0.0003	-0.0469	0.0082	0.0016	0.0036	-0.0543	0.0076	0.0068	-0.1081	-0.0243	-0.0243	-0.0006	0.006	0.0069	0.0066	0.0039	-0.0101	0.0002	-0.0879	0.0023	-0.0246	-0.0536	-0.0593	0.0027	0.0048	0.0031	-0.0016	-0.0273	-0.0377	-0.0049	-0.0016	-0.005	-0.0251	-0.0345	-0.0201	0.0066	0.0058	0.0088	0.0013	0.0023	-0.0092	-0.0326	0.0037	-0.0042	0.0062	-0.0324	-0.0019	-0.0319	-0.0146	-0.0111	0.0045	-0.0076	-0.0294	-0.0084	-0.0031	0.0055	-0.06	0.0017	0.0005	-0.004	-0.0229	0.0054
covar_vc_estimate_se	1.2733	0.5511	0.4215	0.39	0.3498	0.3538	0.3567	0.3246	0.3489	0.3464	0.3261	0.3399	0.333	0.3304	0.3505	0.3306	0.3291	0.3284	0.3433	0.3411	0.339	0.3351	0.3388	0.3448	0.3333	0.3411	0.3357	0.3661	0.328	0.3334	0.3502	0.3574	0.3409	0.3323	0.3335	0.331	0.3266	0.3272	0.3284	0.3377	0.3255	0.3647	0.351	0.3498	0.347	0.3266	0.3477	0.3339	0.3259	0.3318	0.3476	0.3419	0.3254	0.3379	0.3508	0.3443	0.3316	0.3576	0.3307	0.3316	0.3375	0.3306	0.331	0.355	0.3319	0.3367	0.331	0.3352	0.3264	0.3159	0.3412	0.3458	0.3233	0.3177	0.3411	0.3442	0.3308	0.3453	0.332	0.335	0.328	0.3419	0.3344	0.328	0.3286	0.3205	0.3166	0.3404	0.3288	0.3352	0.3319	0.3364	0.317	0.3203	0.3329	0.3152	0.3291	0.3393	0.3234	0.3419
covar_vc_pvals	0.004	0.0	0.078	0.058	0.041	0.086	0.056	0.395	0.444	0.275	0.012	0.063	0.013	0.089	0.101	0.108	0.074	0.061	0.049	0.495	0.498	0.414	0.321	0.162	0.158	0.233	0.162	0.414	0.335	0.12	0.283	0.312	0.014	0.104	0.43	0.192	0.454	0.0	0.386	0.032	0.035	0.343	0.26	0.03	0.065	0.058	0.0	0.171	0.125	0.414	0.104	0.077	0.077	0.215	0.357	0.372	0.002	0.329	0.157	0.018	0.023	0.25	0.167	0.266	0.424	0.128	0.06	0.495	0.42	0.486	0.13	0.074	0.18	0.056	0.108	0.025	0.319	0.287	0.371	0.079	0.205	0.48	0.1	0.077	0.428	0.095	0.226	0.299	0.197	0.374	0.087	0.405	0.491	0.134	0.021	0.306	0.365	0.491	0.146	0.137
upper975_perm_covar	0.0647	0.0281	0.0209	0.0178	0.0153	0.0167	0.0192	0.0179	0.0166	0.0153	0.0157	0.0168	0.0144	0.0161	0.0182	0.0154	0.016	0.0138	0.0182	0.0151	0.0145	0.0152	0.0163	0.0155	0.0153	0.0166	0.0171	0.0161	0.0198	0.0161	0.0166	0.0154	0.0146	0.0159	0.0146	0.0172	0.0146	0.0149	0.0145	0.015	0.0163	0.0163	0.0166	0.0156	0.0168	0.016	0.0157	0.0151	0.0156	0.0148	0.0144	0.0172	0.0143	0.0162	0.0167	0.0162	0.0138	0.0171	0.0136	0.0153	0.0163	0.0153	0.0149	0.0159	0.0146	0.0146	0.0149	0.0144	0.0163	0.0167	0.0157	0.0175	0.014	0.014	0.0142	0.0148	0.0159	0.0155	0.0152	0.0148	0.0148	0.016	0.015	0.0143	0.0159	0.014	0.013	0.0152	0.0153	0.0155	0.014	0.0144	0.0148	0.0142	0.0148	0.0148	0.014	0.0159	0.0139	0.0142
lower025_perm_covar	-0.3895	-0.179	-0.1044	-0.1021	-0.1103	-0.1089	-0.1002	-0.1127	-0.107	-0.1022	-0.0928	-0.0944	-0.1153	-0.0964	-0.1066	-0.1029	-0.0902	-0.1108	-0.1068	-0.0943	-0.085	-0.0784	-0.1118	-0.0932	-0.0809	-0.0974	-0.098	-0.0962	-0.1087	-0.0871	-0.0777	-0.095	-0.08	-0.0877	-0.1064	-0.0964	-0.1174	-0.1059	-0.0988	-0.087	-0.1152	-0.0918	-0.0926	-0.1009	-0.1016	-0.096	-0.0868	-0.0915	-0.0842	-0.0839	-0.0889	-0.1063	-0.0979	-0.0913	-0.0979	-0.1025	-0.0891	-0.0859	-0.0969	-0.0801	-0.0982	-0.1075	-0.1032	-0.1035	-0.1043	-0.0904	-0.0925	-0.0912	-0.0923	-0.0949	-0.0956	-0.0938	-0.0896	-0.0841	-0.0884	-0.0846	-0.1004	-0.0983	-0.0882	-0.0932	-0.0798	-0.0904	-0.0878	-0.0876	-0.0859	-0.1002	-0.0764	-0.0808	-0.0789	-0.0886	-0.0832	-0.0872	-0.0868	-0.0834	-0.0945	-0.0981	-0.0816	-0.0806	-0.0823	-0.0971
