	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0104	0.0246	0.0215	-0.0002	0.0057	-0.0003	0.0008	0.0012	0.001	0.0012	0.0035	-0.0004	0.0045	-0.0003	0.0045	0.0018	0.0017	-0.0003	0.0015	0.0036	0.0018	-0.0	-0.0005	0.0016	-0.0004	0.0109	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	0.0042	0.0009	-0.0003	0.0142	0.0137	0.0007	0.0147	0.0054	0.0021	0.0098	0.0023	-0.0003	0.0069	-0.0004	0.0006	0.0068	0.0011	-0.0004	0.0	0.0012	-0.0001	0.0036	0.001	-0.0003	0.0017	0.0016	0.0014	0.001	0.0042	-0.0003	-0.0003	-0.0001	0.0096	-0.0003	0.03	0.0029	0.0028	0.0011	-0.0002	0.0007	0.0057	0.0009	-0.0003	0.0	-0.0003	0.0018	0.004	-0.0004	0.0006	0.0002	0.0047	-0.0003	-0.0002	0.0071	0.0009	0.006	0.0011	0.0003	0.0042	0.0003	0.0025	-0.0001	-0.0004	0.0012	0.0017	-0.0005	0.0148	0.007	0.0055
direct_vc_estimate_se	0.0283	0.0118	0.0106	0.0102	0.0072	0.0089	0.0135	0.0118	0.0076	0.0085	0.0075	0.0083	0.0072	0.0074	0.0102	0.0073	0.0079	0.0067	0.0084	0.0107	0.0078	0.0069	0.0117	0.0072	0.0073	0.0071	0.0104	0.0085	0.0081	0.009	0.007	0.0084	0.0071	0.0065	0.0084	0.0079	0.0069	0.0079	0.0091	0.0063	0.0095	0.0084	0.0074	0.0069	0.0118	0.0077	0.0074	0.0083	0.0085	0.0062	0.0073	0.0104	0.008	0.0101	0.0072	0.0072	0.0067	0.0082	0.0072	0.0087	0.008	0.0066	0.007	0.0112	0.0105	0.0153	0.0077	0.0067	0.0065	0.007	0.0096	0.0068	0.0075	0.007	0.013	0.0095	0.0109	0.0068	0.0121	0.0073	0.0073	0.0103	0.0064	0.0079	0.0064	0.0075	0.0061	0.0074	0.0066	0.0086	0.008	0.0063	0.007	0.0076	0.0067	0.0066	0.0139	0.0083	0.0072	0.0068
direct_vc_pvals	0.236	0.027	0.017	0.734	0.159	0.815	0.508	0.528	0.468	0.494	0.255	0.865	0.189	0.893	0.328	0.421	0.387	0.864	0.428	0.185	0.296	0.692	0.883	0.394	0.952	0.083	0.765	0.916	0.908	0.818	0.93	0.173	0.462	0.975	0.02	0.033	0.533	0.015	0.085	0.323	0.08	0.284	0.867	0.072	0.767	0.543	0.059	0.45	0.995	0.655	0.431	0.645	0.221	0.457	0.864	0.388	0.354	0.431	0.42	0.209	0.835	0.921	0.777	0.083	0.764	0.0	0.189	0.276	0.487	0.798	0.515	0.136	0.481	0.888	0.588	0.78	0.343	0.157	0.814	0.526	0.574	0.202	0.994	0.734	0.082	0.4	0.1	0.429	0.546	0.196	0.641	0.27	0.743	0.908	0.386	0.473	0.737	0.013	0.065	0.143
upper95_perm_direct	0.0419	0.0268	0.0184	0.0146	0.0157	0.0113	0.0181	0.0195	0.0116	0.0188	0.0157	0.0112	0.0135	0.0168	0.0229	0.018	0.0138	0.0158	0.0147	0.0104	0.0109	0.012	0.0186	0.0141	0.014	0.0202	0.0167	0.0131	0.0162	0.015	0.0101	0.0137	0.0113	0.0127	0.0134	0.0161	0.0142	0.0135	0.01	0.0125	0.0175	0.0119	0.0173	0.0123	0.0115	0.0128	0.0106	0.0165	0.013	0.01	0.0144	0.0096	0.0154	0.0157	0.0134	0.0136	0.0127	0.0143	0.0117	0.0143	0.0109	0.012	0.0155	0.0177	0.0178	0.0139	0.0097	0.0132	0.0138	0.0144	0.017	0.0139	0.0153	0.0144	0.0122	0.0127	0.0162	0.0116	0.0136	0.0132	0.0092	0.0177	0.0128	0.0091	0.0128	0.0102	0.0122	0.0106	0.0088	0.0132	0.0131	0.0125	0.0122	0.013	0.0106	0.0178	0.0106	0.0117	0.0118	0.0155
lower0_perm_direct	-0.0027	-0.0011	-0.0009	-0.0009	-0.0007	-0.0008	-0.0012	-0.0011	-0.0007	-0.0008	-0.0007	-0.0008	-0.0006	-0.0006	-0.0009	-0.0006	-0.0007	-0.0006	-0.0007	-0.001	-0.0007	-0.0006	-0.0011	-0.0006	-0.0007	-0.0007	-0.001	-0.0007	-0.0008	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0006	-0.0009	-0.0007	-0.0007	-0.0006	-0.0011	-0.0007	-0.0007	-0.0007	-0.0008	-0.0006	-0.0006	-0.0009	-0.0007	-0.0009	-0.0007	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0006	-0.0006	-0.001	-0.0009	-0.0013	-0.0007	-0.0006	-0.0006	-0.0006	-0.0009	-0.0006	-0.0007	-0.0006	-0.0012	-0.0008	-0.0011	-0.0006	-0.0011	-0.0006	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0007	-0.0005	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0013	-0.0007	-0.0006	-0.0006
sad_vc_estimate	0.115	0.0914	0.0913	0.0029	0.0145	-0.0004	0.0043	0.0044	-0.0002	0.0058	0.0128	0.0003	0.0276	-0.0004	0.0097	0.0154	0.0007	-0.0002	0.0164	0.0088	0.0041	-0.0002	-0.0003	0.0171	0.0001	0.0204	0.0037	0.0008	0.0039	-0.0002	0.0	0.0282	0.0033	0.0004	0.0486	0.063	0.0012	0.052	0.0141	0.0184	0.033	0.0137	0.0022	0.0072	0.0007	0.0002	0.0287	0.0007	0.0013	0.0045	0.0054	-0.0006	0.0149	0.0037	0.0016	0.016	0.0031	0.0088	-0.0002	0.0069	0.002	-0.0002	-0.0002	0.01	0.0003	0.0762	0.0045	0.006	0.0075	-0.0004	0.001	0.0347	0.0059	0.0004	0.0051	0.0027	0.0075	0.0183	0.001	0.0043	-0.0	0.0209	0.0007	-0.0003	0.0174	0.0061	0.0239	0.0028	0.0011	0.0073	-0.0002	0.0101	0.0024	0.0	0.006	0.0038	-0.0007	0.0306	0.0171	0.0155
sad_vc_estimate_se	0.0289	0.012	0.0108	0.0104	0.0074	0.0091	0.0137	0.0121	0.0078	0.0087	0.0076	0.0085	0.0074	0.0076	0.0104	0.0074	0.0081	0.0068	0.0085	0.0108	0.008	0.0071	0.0119	0.0074	0.0075	0.0073	0.0106	0.0087	0.0083	0.0091	0.0072	0.0086	0.0073	0.0067	0.0086	0.0081	0.0071	0.0081	0.0093	0.0065	0.0096	0.0086	0.0075	0.007	0.012	0.0078	0.0076	0.0085	0.0087	0.0063	0.0075	0.0105	0.0082	0.0103	0.0074	0.0074	0.0069	0.0083	0.0074	0.0088	0.0082	0.0068	0.0072	0.0113	0.0107	0.0154	0.0079	0.0069	0.0067	0.0072	0.0098	0.0069	0.0077	0.0072	0.0132	0.0097	0.0111	0.007	0.0122	0.0075	0.0075	0.0105	0.0066	0.0081	0.0066	0.0076	0.0063	0.0075	0.0067	0.0088	0.0082	0.0065	0.0072	0.0077	0.0068	0.0068	0.014	0.0084	0.0073	0.007
sad_vc_pvals	0.04	0.028	0.003	0.594	0.209	0.928	0.524	0.597	0.877	0.424	0.245	0.782	0.082	0.966	0.478	0.25	0.751	0.87	0.215	0.209	0.415	0.856	0.879	0.156	0.823	0.166	0.503	0.728	0.552	0.852	0.808	0.056	0.454	0.739	0.005	0.016	0.66	0.01	0.16	0.119	0.073	0.178	0.62	0.308	0.641	0.809	0.049	0.706	0.619	0.365	0.404	0.995	0.193	0.54	0.661	0.192	0.508	0.281	0.83	0.367	0.559	0.892	0.9	0.37	0.78	0.002	0.394	0.409	0.341	0.991	0.689	0.054	0.397	0.751	0.383	0.55	0.316	0.115	0.642	0.423	0.83	0.127	0.676	0.884	0.098	0.314	0.067	0.496	0.645	0.347	0.842	0.278	0.551	0.826	0.313	0.499	0.981	0.044	0.138	0.191
upper95_perm_sad	0.1531	0.1015	0.0621	0.0527	0.0519	0.0408	0.0582	0.0775	0.0464	0.0537	0.0463	0.0392	0.0466	0.051	0.0798	0.0598	0.0451	0.0463	0.0529	0.0325	0.0362	0.0349	0.0521	0.0478	0.0519	0.0579	0.0513	0.0529	0.0609	0.0467	0.0307	0.0423	0.0347	0.0375	0.0379	0.0592	0.0456	0.0504	0.0423	0.0395	0.0572	0.0412	0.0556	0.0364	0.0444	0.0519	0.0401	0.0468	0.0395	0.0328	0.0427	0.0349	0.0466	0.0542	0.048	0.0518	0.0408	0.0468	0.0352	0.0465	0.041	0.0415	0.046	0.0595	0.0506	0.039	0.0357	0.0503	0.0499	0.0488	0.0539	0.0512	0.0446	0.0431	0.0375	0.0432	0.0465	0.0408	0.0416	0.0407	0.0297	0.0502	0.0349	0.0304	0.0341	0.0316	0.0378	0.039	0.0286	0.0469	0.045	0.0502	0.0438	0.0384	0.0333	0.0483	0.0306	0.0399	0.044	0.0515
lower0_perm_sad	-0.0025	-0.0011	-0.0009	-0.0009	-0.0007	-0.0009	-0.0012	-0.0011	-0.0007	-0.0008	-0.0006	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0007	-0.001	-0.0007	-0.0007	-0.0011	-0.0006	-0.0006	-0.0007	-0.0009	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0008	-0.0006	-0.0009	-0.0008	-0.0006	-0.0006	-0.0011	-0.0007	-0.0007	-0.0008	-0.0008	-0.0005	-0.0006	-0.001	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0008	-0.0008	-0.0006	-0.0006	-0.001	-0.0009	-0.0014	-0.0007	-0.0007	-0.0006	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0012	-0.0008	-0.001	-0.0006	-0.0011	-0.0006	-0.0007	-0.0009	-0.0006	-0.0007	-0.0006	-0.0007	-0.0005	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0013	-0.0008	-0.0007	-0.0006
