	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.002	-0.0004	-0.0014	0.0032	0.0011	0.0026	0.0056	0.0	-0.0003	0.004	0.0361	0.0021	0.0026	-0.0009	-0.0009	-0.0005	0.0119	0.0206	0.0076	0.0042	0.0027	0.0031	0.0011	-0.0003	0.0015	-0.0004	0.0035	0.0009	0.0144	0.0035	0.0007	-0.0002	-0.0005	0.002	0.0005	-0.0008	0.0001	0.005	-0.0002	0.0164	-0.0003	-0.0006	0.0011	-0.0007	0.0014	0.0027	0.0	0.0008	-0.0004	0.0031	0.0028	0.0011	0.008	0.005	-0.0	0.0132	0.0009	-0.0002	0.0007	0.0032	0.003	0.0002	0.0063	0.0035	0.0019	0.0037	-0.0005	0.0003	0.014	-0.0004	0.0002	0.0049	0.0025	0.0096	-0.0005	0.0038	0.0002	-0.0004	0.014	0.0013	0.0027	-0.0002	-0.0006	0.0014	0.0129	0.0007	0.0057	0.0176	0.0038	0.0019	0.0023	-0.0	0.0	0.0063	0.0003	-0.0004	-0.0	0.0046	0.0026	0.0
direct_vc_estimate_se	0.0137	0.0058	0.0099	0.0069	0.0035	0.0035	0.0047	0.0036	0.0066	0.0033	0.005	0.0036	0.0041	0.006	0.0069	0.0065	0.0031	0.0039	0.0042	0.0047	0.0034	0.0036	0.0039	0.0042	0.0031	0.0056	0.0035	0.0051	0.0051	0.0048	0.0036	0.0087	0.0036	0.0051	0.0041	0.0066	0.0034	0.0097	0.0032	0.004	0.0032	0.0062	0.0055	0.0051	0.0039	0.0053	0.0044	0.0046	0.0032	0.0076	0.0037	0.0032	0.0033	0.0038	0.0032	0.0039	0.0066	0.0035	0.0049	0.0035	0.0064	0.0033	0.0048	0.0054	0.0076	0.0045	0.0042	0.0032	0.0037	0.0032	0.0035	0.0032	0.0065	0.004	0.0036	0.0042	0.0035	0.0034	0.0032	0.0042	0.0029	0.0032	0.0044	0.0033	0.0044	0.003	0.0035	0.0072	0.0039	0.0028	0.0037	0.0041	0.0032	0.0071	0.0075	0.0029	0.0029	0.0035	0.0098	0.0057
direct_vc_pvals	0.983	0.819	0.981	0.288	0.355	0.365	0.167	0.695	0.668	0.181	0.006	0.378	0.506	0.971	0.869	0.695	0.004	0.035	0.185	0.258	0.389	0.318	0.545	0.732	0.442	0.753	0.267	0.477	0.037	0.302	0.544	0.634	0.957	0.464	0.604	0.863	0.696	0.243	0.781	0.03	0.846	0.782	0.431	0.945	0.46	0.39	0.63	0.521	0.868	0.349	0.325	0.42	0.062	0.215	0.721	0.156	0.456	0.728	0.572	0.227	0.239	0.644	0.135	0.209	0.485	0.349	0.869	0.63	0.045	0.929	0.64	0.125	0.348	0.213	0.931	0.484	0.664	0.81	0.007	0.469	0.305	0.772	0.936	0.365	0.042	0.504	0.13	0.052	0.407	0.252	0.28	0.668	0.603	0.181	0.534	0.996	0.644	0.174	0.334	0.595
upper95_perm_direct	0.0389	0.0341	0.018	0.0135	0.0069	0.0147	0.0137	0.0117	0.0113	0.0089	0.0205	0.0118	0.0168	0.0153	0.0141	0.01	0.0063	0.0196	0.0188	0.0143	0.015	0.0115	0.0166	0.0092	0.0125	0.018	0.0122	0.0115	0.0132	0.0144	0.0142	0.0166	0.0082	0.0185	0.016	0.0119	0.012	0.0135	0.0111	0.0142	0.0137	0.0132	0.0119	0.0171	0.0114	0.019	0.0112	0.0125	0.0108	0.0158	0.012	0.0101	0.0094	0.0132	0.0132	0.0238	0.0111	0.0101	0.0139	0.0086	0.009	0.0116	0.0132	0.0107	0.0185	0.0176	0.0146	0.0116	0.0147	0.0101	0.0108	0.0097	0.0125	0.0293	0.0113	0.0273	0.0135	0.0085	0.0082	0.0128	0.0107	0.0104	0.0121	0.0087	0.0119	0.0101	0.0097	0.0189	0.0178	0.0059	0.0089	0.0118	0.0069	0.0149	0.0089	0.0089	0.0075	0.0092	0.0144	0.0103
lower0_perm_direct	-0.0025	-0.0011	-0.0018	-0.0013	-0.0006	-0.0006	-0.0008	-0.0007	-0.0012	-0.0006	-0.0009	-0.0006	-0.0007	-0.0011	-0.0013	-0.0012	-0.0006	-0.0007	-0.0007	-0.0009	-0.0006	-0.0007	-0.0007	-0.0008	-0.0006	-0.0011	-0.0006	-0.001	-0.0009	-0.0009	-0.0006	-0.0016	-0.0007	-0.0009	-0.0007	-0.0012	-0.0006	-0.0018	-0.0006	-0.0007	-0.0006	-0.0011	-0.001	-0.0009	-0.0007	-0.0009	-0.0008	-0.0008	-0.0006	-0.0014	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0012	-0.0007	-0.0009	-0.0006	-0.0011	-0.0006	-0.0008	-0.001	-0.0013	-0.0008	-0.0007	-0.0006	-0.0007	-0.0006	-0.0007	-0.0006	-0.0011	-0.0007	-0.0006	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0005	-0.0006	-0.0008	-0.0006	-0.0008	-0.0006	-0.0006	-0.0013	-0.0007	-0.0005	-0.0007	-0.0008	-0.0006	-0.0012	-0.0014	-0.0005	-0.0006	-0.0006	-0.0018	-0.0011
sad_vc_estimate	0.0006	-0.0005	0.0009	0.0092	0.0105	0.0018	0.0464	-0.0005	0.0086	0.0195	0.1405	0.0069	0.0079	0.0002	-0.0006	0.0015	0.0241	0.064	0.0197	0.0284	0.0047	0.0202	0.0125	0.0058	0.0076	0.0002	0.0035	0.0015	0.0426	0.0306	0.0027	-0.0006	-0.0004	0.0118	-0.0005	-0.0003	0.0002	0.0061	0.0022	0.0323	0.0005	0.004	0.0086	-0.0004	0.0143	0.003	0.0105	0.006	-0.0005	0.0079	0.0091	0.0198	0.016	0.0192	0.0032	0.0608	-0.0009	0.007	0.0106	0.0135	0.0054	-0.0005	0.0237	0.0144	0.0015	0.01	-0.0004	0.0004	0.0338	-0.0005	0.0059	0.017	0.0122	0.0196	-0.0	0.0339	-0.0	-0.0004	0.0362	0.0048	0.0002	-0.0005	0.0009	0.0021	0.0239	0.0018	0.0197	0.0457	0.0299	0.0004	0.0011	-0.0003	-0.0	0.0139	0.0004	-0.0001	-0.0004	0.0036	-0.0008	0.0047
sad_vc_estimate_se	0.0141	0.0059	0.01	0.007	0.0036	0.0036	0.0048	0.0037	0.0067	0.0034	0.0051	0.0037	0.0042	0.0061	0.0071	0.0066	0.0032	0.004	0.0043	0.0048	0.0035	0.0037	0.004	0.0043	0.0032	0.0057	0.0036	0.0052	0.0053	0.0049	0.0037	0.0088	0.0037	0.0052	0.0042	0.0067	0.0035	0.0098	0.0032	0.0041	0.0033	0.0063	0.0056	0.0052	0.004	0.0055	0.0045	0.0047	0.0033	0.0077	0.0038	0.0033	0.0034	0.0039	0.0033	0.004	0.0067	0.0036	0.005	0.0036	0.0065	0.0034	0.0049	0.0055	0.0077	0.0046	0.0043	0.0033	0.0038	0.0033	0.0036	0.0033	0.0066	0.0041	0.0037	0.0044	0.0036	0.0035	0.0033	0.0044	0.003	0.0033	0.0045	0.0034	0.0045	0.0031	0.0036	0.0073	0.004	0.0028	0.0038	0.0042	0.0033	0.0072	0.0076	0.003	0.003	0.0036	0.0099	0.0058
sad_vc_pvals	0.806	0.928	0.692	0.366	0.188	0.697	0.067	0.991	0.39	0.11	0.001	0.408	0.559	0.763	0.839	0.618	0.047	0.06	0.265	0.15	0.539	0.22	0.326	0.435	0.408	0.78	0.554	0.598	0.018	0.127	0.584	0.772	0.885	0.412	0.938	0.747	0.785	0.34	0.587	0.172	0.798	0.465	0.314	0.886	0.222	0.596	0.199	0.417	0.99	0.388	0.353	0.085	0.217	0.163	0.614	0.109	0.959	0.397	0.354	0.215	0.293	0.998	0.131	0.163	0.628	0.377	0.887	0.765	0.091	0.991	0.43	0.167	0.231	0.355	0.835	0.217	0.892	0.914	0.016	0.46	0.814	0.947	0.683	0.572	0.081	0.573	0.166	0.065	0.19	0.699	0.706	0.851	0.797	0.236	0.608	0.81	0.992	0.484	0.819	0.357
upper95_perm_sad	0.1351	0.1059	0.047	0.0495	0.0257	0.0537	0.0543	0.0379	0.042	0.0337	0.0577	0.0426	0.0547	0.0515	0.0465	0.0337	0.0251	0.0712	0.0554	0.0539	0.0485	0.0551	0.0507	0.0416	0.0445	0.0569	0.0425	0.0337	0.0336	0.0494	0.0386	0.0353	0.0262	0.0556	0.0533	0.0219	0.044	0.0288	0.0362	0.0731	0.0474	0.0301	0.0352	0.0514	0.0412	0.0591	0.0272	0.0426	0.0352	0.0359	0.0407	0.0267	0.0368	0.0396	0.0525	0.0896	0.0303	0.0457	0.046	0.0349	0.0226	0.0423	0.0417	0.0298	0.0373	0.0508	0.0401	0.0381	0.0457	0.0353	0.0338	0.0346	0.0337	0.0822	0.0338	0.0846	0.0561	0.0294	0.0261	0.0375	0.0357	0.0363	0.0368	0.0318	0.033	0.0282	0.0398	0.0546	0.0615	0.0212	0.0372	0.0381	0.0238	0.0354	0.0223	0.0279	0.0215	0.0295	0.0397	0.0241
lower0_perm_sad	-0.0026	-0.001	-0.0018	-0.0013	-0.0007	-0.0006	-0.0009	-0.0007	-0.0012	-0.0006	-0.0009	-0.0006	-0.0008	-0.0012	-0.0012	-0.0011	-0.0006	-0.0007	-0.0008	-0.0009	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.001	-0.0007	-0.0009	-0.0009	-0.0009	-0.0007	-0.0016	-0.0007	-0.001	-0.0007	-0.0012	-0.0006	-0.0017	-0.0005	-0.0007	-0.0006	-0.0012	-0.001	-0.001	-0.0007	-0.001	-0.0008	-0.0009	-0.0006	-0.0014	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0012	-0.0006	-0.0009	-0.0007	-0.0012	-0.0006	-0.0009	-0.001	-0.0014	-0.0008	-0.0008	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0012	-0.0007	-0.0006	-0.0008	-0.0006	-0.0006	-0.0006	-0.0008	-0.0005	-0.0006	-0.0008	-0.0006	-0.0008	-0.0005	-0.0006	-0.0013	-0.0007	-0.0005	-0.0006	-0.0008	-0.0006	-0.0013	-0.0013	-0.0005	-0.0006	-0.0007	-0.0018	-0.0011
