	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.023	0.0652	-0.0094	0.0065	-0.0041	0.0082	0.0201	0.0639	-0.0088	0.0172	-0.0093	0.0429	0.0374	0.0971	-0.007	0.0011	-0.0087	0.0872	-0.0088	0.0185	-0.0089	-0.003	0.0044	-0.0084	0.0186	-0.0052	0.0156	0.037	0.0207	0.0138	0.0416	0.0266	-0.0024	-0.0076	0.0785	0.0286	0.0064	-0.0038	0.0042	0.0491	0.0163	0.1541	0.0293	0.0018	-0.0058	0.0165	0.0007	-0.0083	0.0362	-0.0066	0.0326	0.0857	-0.0045	0.0086	-0.0083	0.1328	-0.0084	-0.0083	-0.0078	-0.0087	0.0497	0.0106	0.0274	0.0734	0.0008	0.0276	0.0527	0.0404	-0.0086	-0.0045	-0.0066	-0.0085	-0.0084	0.0058	0.0078	0.0288	0.2081	0.0125	-0.0082	-0.0082	0.0084	-0.0073	0.0282	0.0129	-0.0066	0.0085	-0.0078	0.0562	0.0043	-0.0028	-0.0083	-0.0062	0.0078	-0.0006	0.0004	-0.0081	0.0017	-0.0035	0.0174	0.0256
direct_vc_estimate_se	0.9031	0.421	0.2861	0.2682	0.2641	0.2592	0.2468	0.2299	0.2454	0.2462	0.2562	0.2353	0.2273	0.2467	0.24	0.2379	0.2418	0.2318	0.2391	0.2491	0.2431	0.2412	0.2402	0.2406	0.2345	0.2344	0.2346	0.2585	0.2345	0.2265	0.2555	0.237	0.2385	0.236	0.2288	0.241	0.2301	0.2328	0.2286	0.2425	0.2429	0.2277	0.23	0.2354	0.2352	0.2295	0.2626	0.2345	0.2343	0.2334	0.2406	0.2339	0.2289	0.2267	0.2311	0.2367	0.2448	0.229	0.2256	0.2327	0.2385	0.2308	0.2271	0.2359	0.2308	0.2345	0.2357	0.2286	0.237	0.2352	0.2356	0.2376	0.246	0.2308	0.2316	0.223	0.222	0.2311	0.2212	0.2271	0.2321	0.239	0.2323	0.2247	0.2314	0.2305	0.2295	0.234	0.2255	0.2313	0.2255	0.2364	0.2297	0.2248	0.2266	0.2174	0.2269	0.2314	0.2325	0.2299
direct_vc_pvals	0.369	0.105	0.796	0.352	0.59	0.337	0.193	0.032	0.881	0.218	0.895	0.078	0.083	0.016	0.778	0.438	0.896	0.021	0.947	0.194	0.924	0.558	0.4	0.855	0.204	0.652	0.249	0.141	0.184	0.254	0.085	0.156	0.532	0.788	0.017	0.149	0.374	0.572	0.398	0.061	0.253	0.0	0.133	0.435	0.677	0.201	0.448	0.87	0.096	0.733	0.12	0.026	0.651	0.32	0.895	0.003	0.848	0.887	0.859	0.998	0.084	0.289	0.14	0.024	0.477	0.138	0.051	0.075	0.906	0.643	0.714	0.886	0.818	0.378	0.324	0.139	0.0	0.239	0.93	0.895	0.309	0.768	0.125	0.249	0.748	0.299	0.823	0.043	0.34	0.554	0.922	0.703	0.38	0.506	0.455	0.977	0.438	0.586	0.234	0.175
upper95_perm_direct	0.2472	0.1118	0.0699	0.0668	0.0661	0.0681	0.0682	0.0591	0.0622	0.0669	0.0625	0.0588	0.0586	0.0653	0.0542	0.0643	0.0516	0.0624	0.0612	0.0586	0.0651	0.0622	0.0623	0.0713	0.0523	0.058	0.0617	0.0693	0.052	0.0602	0.0637	0.0606	0.0689	0.055	0.0532	0.0644	0.069	0.0534	0.0588	0.0595	0.0672	0.0653	0.0668	0.0589	0.0665	0.0609	0.0653	0.0688	0.0654	0.0578	0.0611	0.0625	0.0613	0.0568	0.067	0.0661	0.0654	0.064	0.0607	0.0574	0.0777	0.0639	0.0554	0.0595	0.0662	0.0604	0.0558	0.0558	0.0575	0.067	0.049	0.0679	0.0645	0.0587	0.0559	0.0564	0.0611	0.0618	0.0625	0.056	0.0616	0.0626	0.0533	0.0564	0.0516	0.0488	0.054	0.0541	0.054	0.0556	0.0581	0.065	0.0669	0.0559	0.0542	0.0532	0.0666	0.0562	0.0658	0.0684
lower0_perm_direct	-0.0434	-0.0191	-0.0139	-0.0131	-0.0129	-0.0124	-0.0122	-0.0108	-0.0115	-0.0114	-0.0119	-0.0109	-0.0109	-0.012	-0.0117	-0.0114	-0.0109	-0.011	-0.0113	-0.0119	-0.0112	-0.011	-0.0112	-0.0113	-0.0113	-0.0108	-0.0112	-0.0125	-0.0114	-0.0107	-0.0117	-0.0109	-0.0112	-0.0114	-0.0109	-0.0119	-0.0106	-0.0111	-0.0109	-0.0115	-0.0113	-0.0106	-0.0108	-0.0111	-0.0107	-0.011	-0.0123	-0.0114	-0.0113	-0.0115	-0.0114	-0.0116	-0.0105	-0.0104	-0.0111	-0.0111	-0.0118	-0.0104	-0.0104	-0.0113	-0.0111	-0.0106	-0.011	-0.011	-0.0106	-0.0113	-0.0114	-0.0107	-0.0116	-0.0114	-0.0107	-0.0109	-0.0113	-0.0105	-0.0112	-0.0103	-0.0102	-0.0113	-0.0108	-0.0111	-0.0108	-0.0114	-0.0115	-0.011	-0.0107	-0.0108	-0.0105	-0.0107	-0.0108	-0.0111	-0.0103	-0.0109	-0.0106	-0.011	-0.0107	-0.01	-0.0105	-0.0112	-0.0111	-0.0111
sad_vc_estimate	0.0179	0.0235	0.0004	0.0637	-0.0045	0.0098	0.0363	0.1311	-0.0095	0.0255	0.0044	0.0354	0.042	0.061	-0.0089	0.0042	-0.0055	0.1012	-0.0055	-0.0002	-0.0057	0.009	0.0061	-0.0091	0.0183	0.0021	0.0174	0.092	0.0231	0.0129	0.0446	-0.0008	-0.0092	-0.0091	0.0966	0.0425	0.0279	0.0131	0.0059	0.0644	0.0222	0.1674	0.0307	-0.0031	0.0135	0.0216	-0.0059	-0.009	0.0502	-0.0044	0.0413	0.0696	0.0404	0.0458	-0.0085	0.1556	-0.0081	-0.0051	-0.007	-0.0089	0.034	0.0307	0.0135	0.0578	0.016	0.0079	0.0507	0.0686	-0.0089	-0.0089	0.0084	-0.0092	-0.0023	0.0279	0.0166	0.0109	0.206	0.0399	-0.0024	-0.0089	-0.0041	-0.0092	0.0457	0.0046	-0.0077	0.0218	-0.0078	0.032	0.0052	-0.0065	-0.0056	-0.0038	0.0084	-0.0052	0.0038	-0.007	0.0092	-0.0028	0.0501	0.0443
sad_vc_estimate_se	0.9518	0.439	0.2995	0.2815	0.2762	0.2703	0.2584	0.2414	0.2564	0.2575	0.2673	0.2463	0.238	0.2579	0.2508	0.2487	0.2524	0.2427	0.2502	0.2601	0.2541	0.252	0.2513	0.2517	0.2452	0.2454	0.2454	0.2694	0.2452	0.2374	0.2663	0.2481	0.2493	0.2467	0.2398	0.2522	0.2412	0.2433	0.2394	0.254	0.2535	0.2386	0.2408	0.2459	0.2461	0.2402	0.2733	0.245	0.245	0.245	0.2512	0.2445	0.2397	0.2388	0.2418	0.2472	0.2554	0.2398	0.2361	0.2431	0.2495	0.2424	0.2379	0.2467	0.2413	0.2456	0.2466	0.2395	0.2475	0.2456	0.2466	0.2483	0.2567	0.2414	0.2423	0.2333	0.2325	0.2416	0.2316	0.2377	0.2429	0.2495	0.2426	0.2351	0.2422	0.2415	0.24	0.2442	0.2369	0.2416	0.2359	0.2471	0.2407	0.2353	0.2371	0.2279	0.2373	0.2422	0.2428	0.2412
sad_vc_pvals	0.394	0.316	0.495	0.064	0.61	0.35	0.133	0.011	0.97	0.181	0.444	0.127	0.09	0.061	0.879	0.453	0.639	0.021	0.654	0.488	0.681	0.331	0.403	0.911	0.217	0.447	0.242	0.026	0.177	0.291	0.109	0.497	0.939	0.926	0.02	0.116	0.176	0.302	0.382	0.056	0.211	0.0	0.184	0.569	0.266	0.197	0.649	0.932	0.072	0.61	0.097	0.047	0.111	0.081	0.869	0.005	0.803	0.69	0.784	0.927	0.155	0.155	0.275	0.061	0.269	0.384	0.074	0.047	0.892	0.916	0.348	0.959	0.57	0.139	0.257	0.307	0.0	0.111	0.555	0.977	0.585	0.94	0.085	0.397	0.8	0.189	0.808	0.135	0.378	0.69	0.684	0.634	0.356	0.666	0.412	0.788	0.315	0.551	0.074	0.106
upper95_perm_sad	0.3378	0.1294	0.0743	0.0863	0.0892	0.0888	0.0711	0.075	0.0697	0.0662	0.0737	0.0712	0.0632	0.0727	0.0753	0.0881	0.0704	0.0707	0.0673	0.0767	0.0729	0.0802	0.0743	0.0735	0.0644	0.0751	0.0773	0.0831	0.0669	0.0794	0.0738	0.067	0.0757	0.0798	0.0729	0.0847	0.0768	0.0739	0.0605	0.0714	0.0643	0.0731	0.0812	0.0769	0.0699	0.0607	0.0689	0.0684	0.0643	0.0722	0.0696	0.0712	0.0735	0.0678	0.0718	0.0673	0.0797	0.0792	0.0843	0.0758	0.0776	0.074	0.0709	0.0677	0.07	0.0829	0.0687	0.0707	0.0658	0.0731	0.0675	0.0768	0.0823	0.0689	0.0688	0.0659	0.0736	0.0756	0.0683	0.0551	0.075	0.0664	0.0661	0.063	0.0712	0.0587	0.0689	0.0626	0.0603	0.0591	0.0691	0.0846	0.066	0.0721	0.0678	0.0693	0.071	0.0665	0.0667	0.0716
lower0_perm_sad	-0.0446	-0.0217	-0.0139	-0.0134	-0.0129	-0.0124	-0.0119	-0.0114	-0.0123	-0.0121	-0.013	-0.0119	-0.0108	-0.0119	-0.0124	-0.012	-0.0118	-0.0117	-0.0124	-0.0121	-0.0121	-0.0117	-0.0116	-0.012	-0.0115	-0.0114	-0.0113	-0.013	-0.0111	-0.0108	-0.0129	-0.0115	-0.0116	-0.0115	-0.011	-0.0114	-0.0111	-0.0113	-0.0113	-0.0122	-0.0119	-0.011	-0.0111	-0.0114	-0.0119	-0.0112	-0.0133	-0.0116	-0.0112	-0.0113	-0.0122	-0.0116	-0.0117	-0.0118	-0.0112	-0.0114	-0.0122	-0.0116	-0.0112	-0.0112	-0.0114	-0.0113	-0.0109	-0.0115	-0.0111	-0.0111	-0.0115	-0.0118	-0.0119	-0.0116	-0.0115	-0.012	-0.0124	-0.0112	-0.0115	-0.0112	-0.0112	-0.0119	-0.0108	-0.0114	-0.0112	-0.012	-0.0115	-0.011	-0.0116	-0.0109	-0.0113	-0.011	-0.011	-0.0116	-0.011	-0.0114	-0.011	-0.011	-0.0113	-0.0112	-0.0107	-0.0118	-0.0117	-0.0117
