	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1728	0.0048	0.0321	-0.0041	-0.0036	-0.0078	0.0216	0.0007	0.0073	-0.004	0.0571	-0.0076	-0.007	-0.0106	-0.0099	0.0048	-0.0034	-0.01	-0.0053	-0.0038	-0.0039	-0.0117	-0.0076	-0.0064	-0.0083	0.0392	0.0106	-0.0018	0.0176	-0.001	0.0423	0.0087	0.0251	0.0023	-0.0085	-0.0138	0.0353	-0.0093	-0.0067	0.0055	-0.0001	0.0342	0.0077	-0.0067	-0.0089	0.0104	-0.0011	0.0137	0.022	0.0348	0.0164	0.0243	-0.0072	0.004	0.004	-0.0031	-0.0054	-0.0016	-0.0065	0.0117	0.0033	-0.0026	0.0353	0.0159	-0.009	-0.0043	0.0095	-0.0063	0.0168	-0.0011	-0.0018	0.0158	-0.0055	-0.0101	-0.0076	0.0252	0.0008	0.018	0.0207	-0.0041	-0.0044	0.0049	0.0124	0.0721	-0.001	-0.0022	-0.0001	-0.0092	0.0011	-0.0028	-0.0018	0.0191	0.0049	0.0133	0.0172	0.0171	-0.0015	-0.0043	0.0347	0.0193
direct_vc_estimate_se	0.0159	0.0028	0.0031	0.0025	0.003	0.0023	0.0025	0.0029	0.0021	0.0024	0.0021	0.0023	0.0022	0.0029	0.0033	0.0028	0.0019	0.0038	0.0031	0.0044	0.0017	0.0032	0.0029	0.0025	0.0024	0.0027	0.0023	0.0017	0.0018	0.0018	0.0025	0.0015	0.0013	0.0018	0.0026	0.0038	0.0034	0.003	0.0022	0.0018	0.0023	0.0021	0.0025	0.0027	0.0031	0.003	0.002	0.0029	0.0029	0.0025	0.0019	0.0034	0.0021	0.0024	0.0022	0.0013	0.0023	0.0013	0.0019	0.0018	0.0036	0.0015	0.0018	0.0024	0.0025	0.0015	0.0018	0.0024	0.0028	0.0012	0.0016	0.0027	0.0028	0.003	0.0022	0.0014	0.0018	0.0021	0.0014	0.0017	0.0023	0.0021	0.0018	0.0023	0.0028	0.0011	0.0017	0.0026	0.0016	0.0021	0.0018	0.0019	0.0018	0.003	0.0019	0.0024	0.0018	0.0021	0.0019	0.0017
direct_vc_pvals	0.182	0.219	0.182	0.381	0.552	0.833	0.216	0.211	0.224	0.52	0.04	0.834	0.755	0.992	0.686	0.283	0.593	0.555	0.675	0.461	0.603	0.978	0.655	0.732	0.819	0.133	0.325	0.532	0.259	0.374	0.238	0.169	0.117	0.326	0.741	0.962	0.233	0.753	0.67	0.325	0.252	0.107	0.323	0.518	0.656	0.337	0.517	0.254	0.17	0.046	0.286	0.126	0.893	0.207	0.357	0.728	0.404	0.448	0.888	0.153	0.66	0.394	0.102	0.425	0.985	0.8	0.316	0.682	0.425	0.558	0.514	0.214	0.774	0.826	0.821	0.067	0.595	0.136	0.093	0.694	0.527	0.332	0.114	0.058	0.448	0.591	0.266	0.847	0.453	0.515	0.484	0.295	0.625	0.296	0.144	0.156	0.577	0.448	0.005	0.071
upper95_perm_direct	0.3687	0.0277	0.0578	0.0162	0.0469	0.0248	0.0487	0.015	0.0299	0.0274	0.053	0.0755	0.0252	0.0621	0.0262	0.0342	0.039	0.0288	0.0814	0.0638	0.0208	0.0458	0.0381	0.085	0.0176	0.0708	0.0369	0.0257	0.055	0.0209	0.0792	0.021	0.0374	0.0277	0.0193	0.0352	0.0645	0.0422	0.0196	0.0338	0.0149	0.0493	0.041	0.0198	0.0337	0.0452	0.0315	0.0508	0.0459	0.0316	0.052	0.0425	0.0321	0.0217	0.035	0.0206	0.0084	0.0123	0.0426	0.0234	0.1228	0.0082	0.0477	0.0878	0.0928	0.0396	0.0397	0.0267	0.0751	0.0244	0.017	0.0424	0.0896	0.0475	0.0203	0.0275	0.0399	0.037	0.0246	0.0213	0.0236	0.0334	0.0233	0.0767	0.0321	0.0168	0.013	0.0273	0.0366	0.0345	0.0262	0.0545	0.0482	0.0608	0.0322	0.0357	0.0414	0.0125	0.016	0.0236
lower0_perm_direct	-0.0627	-0.0113	-0.0121	-0.0102	-0.0123	-0.0092	-0.0102	-0.012	-0.0082	-0.0097	-0.0083	-0.0092	-0.009	-0.0116	-0.0136	-0.0116	-0.0074	-0.0155	-0.0124	-0.0178	-0.0067	-0.0128	-0.0118	-0.01	-0.0096	-0.0107	-0.0092	-0.007	-0.0073	-0.0074	-0.0094	-0.006	-0.0053	-0.0074	-0.0104	-0.0151	-0.0132	-0.0121	-0.0089	-0.0072	-0.009	-0.0084	-0.0102	-0.011	-0.0124	-0.012	-0.0079	-0.0114	-0.012	-0.0101	-0.0077	-0.0137	-0.0083	-0.0098	-0.0088	-0.0054	-0.0095	-0.0052	-0.0079	-0.0071	-0.0148	-0.0062	-0.0069	-0.0096	-0.0099	-0.0061	-0.0075	-0.0096	-0.0112	-0.0049	-0.0064	-0.0109	-0.0109	-0.0119	-0.009	-0.0057	-0.0069	-0.0088	-0.0057	-0.007	-0.0095	-0.0087	-0.0072	-0.0091	-0.0115	-0.0046	-0.0071	-0.0106	-0.0066	-0.0083	-0.0073	-0.0079	-0.0073	-0.012	-0.0076	-0.0095	-0.0075	-0.0085	-0.0075	-0.007
sad_vc_estimate	0.0386	0.0184	0.0051	0.0113	-0.0103	-0.004	0.0057	-0.0087	0.0148	-0.0062	0.1062	-0.0083	-0.0073	0.0092	-0.0121	0.0141	-0.0019	0.0205	-0.0033	-0.0109	-0.006	-0.0093	0.0188	-0.0011	-0.0086	0.0367	0.0411	-0.0025	0.0362	-0.0052	0.0895	0.0153	0.0141	0.03	-0.0094	-0.0013	0.0817	-0.0018	-0.0081	0.0074	0.0128	0.0482	0.0165	-0.0073	-0.0113	0.0457	-0.0062	0.0661	0.0216	0.0416	0.0161	0.0514	-0.0056	-0.0067	-0.0015	-0.0034	-0.0077	-0.0045	-0.0068	0.0101	0.0075	0.0056	0.0413	0.0272	-0.0054	-0.0056	0.0252	0.0032	0.0571	0.0079	0.0052	0.0543	-0.0074	-0.0033	-0.007	0.0267	-0.0006	0.0196	0.0444	0.0025	-0.0084	0.0231	0.0187	0.082	-0.0067	-0.002	-0.0052	-0.0018	-0.0034	0.0046	0.0093	0.0532	0.0254	0.013	0.0433	0.0153	0.0057	0.0144	0.0337	0.0257
sad_vc_estimate_se	0.0159	0.0028	0.0031	0.0025	0.003	0.0023	0.0026	0.0029	0.0021	0.0024	0.0021	0.0023	0.0022	0.0029	0.0033	0.0028	0.0019	0.0038	0.0031	0.0044	0.0017	0.0032	0.0029	0.0025	0.0024	0.0027	0.0023	0.0017	0.0018	0.0018	0.0025	0.0015	0.0013	0.0018	0.0026	0.0038	0.0034	0.003	0.0022	0.0018	0.0023	0.0021	0.0026	0.0027	0.0032	0.003	0.002	0.0029	0.003	0.0025	0.0019	0.0034	0.0021	0.0024	0.0022	0.0013	0.0023	0.0013	0.0019	0.0018	0.0036	0.0015	0.0018	0.0024	0.0025	0.0015	0.0019	0.0024	0.0028	0.0012	0.0016	0.0027	0.0028	0.003	0.0022	0.0014	0.0018	0.0022	0.0014	0.0017	0.0023	0.0021	0.0018	0.0023	0.0028	0.0011	0.0017	0.0026	0.0016	0.0021	0.0018	0.0019	0.0018	0.003	0.0019	0.0024	0.0018	0.0021	0.0019	0.0017
sad_vc_pvals	0.497	0.172	0.677	0.139	0.876	0.525	0.499	0.694	0.271	0.69	0.015	0.971	0.804	0.428	0.957	0.294	0.609	0.135	0.719	0.687	0.912	0.764	0.255	0.643	0.96	0.262	0.111	0.638	0.24	0.751	0.112	0.188	0.342	0.1	0.944	0.502	0.121	0.605	0.994	0.363	0.18	0.144	0.32	0.644	0.915	0.155	0.833	0.125	0.253	0.085	0.326	0.061	0.737	0.685	0.587	0.741	0.727	0.866	0.931	0.309	0.729	0.113	0.138	0.416	0.815	0.988	0.191	0.462	0.279	0.361	0.354	0.118	0.858	0.537	0.784	0.169	0.715	0.171	0.018	0.483	0.937	0.179	0.165	0.084	0.683	0.657	0.698	0.524	0.721	0.406	0.271	0.163	0.41	0.357	0.082	0.208	0.471	0.087	0.029	0.106
upper95_perm_sad	0.6124	0.048	0.0851	0.0242	0.0796	0.0258	0.0851	0.0288	0.0616	0.0434	0.0862	0.1109	0.0348	0.0912	0.0473	0.0736	0.0655	0.0446	0.1584	0.0963	0.0337	0.0782	0.0667	0.1101	0.0176	0.1074	0.0537	0.043	0.0878	0.0337	0.1138	0.0367	0.0544	0.0421	0.0276	0.0517	0.1075	0.0817	0.0213	0.0442	0.0331	0.096	0.06	0.0345	0.0422	0.0702	0.0532	0.1055	0.0693	0.0539	0.0749	0.0585	0.0431	0.0257	0.059	0.028	0.0137	0.0266	0.0878	0.0365	0.2017	0.0124	0.0657	0.1262	0.1455	0.053	0.0553	0.0457	0.1351	0.0358	0.0293	0.079	0.1495	0.0617	0.041	0.0461	0.0655	0.0408	0.0369	0.0282	0.0358	0.046	0.0405	0.1053	0.0461	0.0256	0.0198	0.0528	0.0504	0.0501	0.04	0.0821	0.0752	0.0834	0.0527	0.042	0.0571	0.0193	0.0263	0.0328
lower0_perm_sad	-0.0644	-0.0113	-0.0121	-0.0101	-0.0123	-0.0092	-0.01	-0.0119	-0.0083	-0.0095	-0.0085	-0.0092	-0.0092	-0.0114	-0.0135	-0.0116	-0.0075	-0.0151	-0.0127	-0.0177	-0.0068	-0.013	-0.0119	-0.0103	-0.0098	-0.0107	-0.0088	-0.0069	-0.0074	-0.0074	-0.0097	-0.0061	-0.0053	-0.0074	-0.0105	-0.0153	-0.0131	-0.012	-0.0089	-0.007	-0.0093	-0.0081	-0.0103	-0.0108	-0.0129	-0.0125	-0.008	-0.0114	-0.0117	-0.0101	-0.0077	-0.0137	-0.0085	-0.0097	-0.0088	-0.0054	-0.0096	-0.0052	-0.0079	-0.0073	-0.0147	-0.0062	-0.0072	-0.0095	-0.0096	-0.0062	-0.0075	-0.0095	-0.0111	-0.0048	-0.0064	-0.0108	-0.011	-0.0121	-0.0091	-0.0058	-0.0072	-0.0087	-0.0057	-0.007	-0.0095	-0.0087	-0.0073	-0.0094	-0.0114	-0.0046	-0.0071	-0.0107	-0.0065	-0.0085	-0.0074	-0.0079	-0.007	-0.0119	-0.0076	-0.0094	-0.0075	-0.0084	-0.0077	-0.0069
