	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0181	0.0332	0.0054	-0.0023	0.0297	-0.0037	-0.0003	0.0648	-0.0061	-0.0072	0.0159	0.0283	0.0131	-0.0046	0.0089	-0.0059	0.0056	0.0029	0.0103	-0.0055	0.0476	-0.0014	0.0132	0.0131	0.0492	0.0055	0.0026	-0.0058	-0.0049	0.0022	0.0233	-0.0048	0.0658	0.0203	0.0334	0.0046	-0.0057	0.0374	0.0136	-0.0042	0.0318	-0.0062	0.001	0.0057	0.0189	-0.0057	-0.0033	-0.0041	0.0355	-0.0054	0.0051	0.0028	0.0208	-0.0035	-0.0063	-0.006	-0.0048	-0.0047	-0.0041	-0.0043	-0.0025	0.0029	0.0072	-0.0066	0.0135	-0.0047	-0.0013	-0.0052	0.0416	0.0246	-0.0028	0.0319	0.0201	0.023	-0.0051	-0.0066	-0.0049	0.0091	0.0042	-0.0015	0.0147	0.0224	0.0011	0.0011	0.0723	-0.0016	0.0621	0.0046	0.0015	0.0077	0.0005	-0.0062	0.0015	-0.0051	0.0484	-0.0048	0.0579	-0.0052	-0.0051	-0.0055
direct_vc_estimate_se	0.1368	0.0582	0.0411	0.0359	0.0405	0.0356	0.0314	0.0318	0.0384	0.0405	0.0352	0.034	0.0314	0.0327	0.0337	0.0367	0.0317	0.0341	0.0342	0.0313	0.0383	0.0332	0.0472	0.0355	0.0316	0.0336	0.0319	0.0328	0.0302	0.032	0.0376	0.0321	0.0354	0.0329	0.0302	0.0312	0.0322	0.033	0.031	0.0342	0.0338	0.0359	0.032	0.0356	0.0332	0.0347	0.0328	0.0307	0.0348	0.034	0.0343	0.0341	0.0336	0.038	0.0353	0.0336	0.0325	0.0303	0.0379	0.0312	0.0332	0.0354	0.033	0.0385	0.0322	0.0322	0.0305	0.032	0.0355	0.0312	0.0314	0.0296	0.0326	0.0382	0.0311	0.0373	0.0326	0.032	0.0327	0.0387	0.0317	0.0304	0.0319	0.0317	0.032	0.0346	0.0331	0.0371	0.0369	0.0329	0.0384	0.035	0.0347	0.0333	0.0304	0.0342	0.0329	0.0304	0.0313	0.0308
direct_vc_pvals	0.718	0.112	0.313	0.573	0.091	0.661	0.499	0.011	0.82	0.973	0.18	0.069	0.202	0.715	0.27	0.797	0.326	0.371	0.246	0.939	0.039	0.548	0.207	0.171	0.015	0.324	0.405	0.914	0.812	0.39	0.112	0.779	0.009	0.115	0.043	0.3	0.95	0.047	0.177	0.66	0.07	0.893	0.431	0.309	0.128	0.84	0.62	0.715	0.055	0.808	0.326	0.381	0.097	0.599	0.988	0.992	0.768	0.77	0.628	0.724	0.586	0.367	0.261	0.873	0.193	0.758	0.528	0.842	0.023	0.08	0.619	0.048	0.127	0.122	0.821	0.97	0.779	0.23	0.312	0.492	0.158	0.112	0.374	0.408	0.009	0.525	0.014	0.323	0.403	0.233	0.429	0.956	0.415	0.752	0.023	0.719	0.019	0.858	0.821	0.957
upper95_perm_direct	0.2069	0.0697	0.0583	0.0422	0.0555	0.0478	0.0466	0.0442	0.0552	0.0472	0.0469	0.0402	0.04	0.0468	0.0525	0.044	0.0486	0.0466	0.0521	0.0498	0.0508	0.0552	0.0537	0.0374	0.036	0.0464	0.0414	0.0424	0.0402	0.0467	0.0443	0.0446	0.0478	0.0417	0.0407	0.0357	0.0434	0.0439	0.0403	0.0392	0.0469	0.0473	0.0446	0.0497	0.0429	0.0466	0.0422	0.0411	0.0448	0.0408	0.0488	0.0417	0.0361	0.0483	0.0383	0.04	0.0447	0.0446	0.0467	0.0411	0.0371	0.0402	0.0402	0.0432	0.0417	0.0413	0.0446	0.0373	0.04	0.041	0.0396	0.0377	0.0418	0.0495	0.035	0.0436	0.042	0.0453	0.0418	0.0508	0.0373	0.0446	0.0387	0.0411	0.0448	0.0513	0.0487	0.0468	0.049	0.0338	0.0513	0.0481	0.0439	0.041	0.043	0.0432	0.0481	0.0374	0.04	0.0368
lower0_perm_direct	-0.0354	-0.0147	-0.0103	-0.0102	-0.0103	-0.0091	-0.0079	-0.009	-0.0096	-0.0104	-0.0089	-0.0083	-0.0085	-0.0084	-0.0086	-0.0096	-0.0083	-0.0087	-0.0087	-0.0081	-0.0098	-0.0086	-0.0123	-0.0091	-0.008	-0.0094	-0.0083	-0.0087	-0.0076	-0.0082	-0.0099	-0.0088	-0.0089	-0.0086	-0.0077	-0.0086	-0.0082	-0.0086	-0.0088	-0.0085	-0.0089	-0.01	-0.0091	-0.0092	-0.0084	-0.009	-0.0094	-0.0078	-0.009	-0.0086	-0.0087	-0.0088	-0.0088	-0.0109	-0.009	-0.0087	-0.0085	-0.0079	-0.0098	-0.0081	-0.0095	-0.009	-0.0083	-0.0097	-0.0081	-0.0082	-0.0079	-0.0082	-0.0091	-0.0081	-0.0077	-0.0077	-0.0084	-0.0096	-0.0079	-0.0103	-0.0083	-0.0082	-0.0083	-0.0098	-0.0082	-0.0087	-0.0084	-0.0082	-0.0081	-0.0088	-0.0091	-0.0095	-0.0094	-0.0085	-0.0098	-0.0089	-0.0088	-0.0085	-0.0078	-0.0088	-0.0085	-0.0078	-0.009	-0.0088
sad_vc_estimate	-0.018	0.0593	-0.0018	0.0107	0.0146	0.0001	0.0247	0.0401	-0.0067	0.0009	0.0156	0.0246	0.0426	-0.0026	0.0176	-0.0054	-0.0031	0.0117	0.004	-0.0011	0.0626	0.0001	0.025	-0.0066	0.045	0.0081	0.0135	-0.0058	-0.0057	0.0338	0.0492	-0.0061	0.0973	0.0313	0.0555	0.0316	0.0052	0.0449	0.0272	-0.0054	0.0514	-0.004	0.0256	-0.0007	0.0196	-0.0065	0.0103	-0.0044	0.0226	-0.0011	0.0076	0.0104	0.0285	0.0221	-0.0066	-0.0061	0.0076	-0.0056	-0.0062	-0.0032	-0.0061	0.0216	0.0023	-0.0071	0.0432	-0.0061	-0.0048	-0.0029	0.039	0.0234	-0.0059	0.0206	0.0843	0.0048	-0.0049	0.0061	-0.0061	-0.0006	0.0107	-0.0055	0.0045	0.0235	0.0114	0.0072	0.0823	-0.0065	0.1065	0.0049	0.0051	0.0496	0.0004	-0.0049	0.0046	-0.0024	0.0612	-0.0063	0.0438	-0.0056	-0.0059	-0.0045
sad_vc_estimate_se	0.1445	0.0615	0.0435	0.0382	0.0427	0.0377	0.0335	0.0338	0.0404	0.0426	0.0372	0.036	0.0334	0.0347	0.0357	0.0386	0.0337	0.036	0.0362	0.0333	0.0403	0.0352	0.0492	0.0375	0.0336	0.0357	0.0339	0.0347	0.0321	0.034	0.0396	0.034	0.0374	0.0348	0.0322	0.0332	0.0342	0.0349	0.0329	0.0361	0.0358	0.0378	0.034	0.0375	0.0352	0.0367	0.0348	0.0326	0.0367	0.036	0.0363	0.0361	0.0355	0.0399	0.0373	0.0356	0.0345	0.0323	0.0399	0.0331	0.0351	0.0373	0.0349	0.0404	0.0342	0.0342	0.0324	0.0339	0.0374	0.0331	0.0334	0.0315	0.0345	0.0401	0.0331	0.0393	0.0345	0.0339	0.0347	0.0406	0.0337	0.0323	0.0338	0.0336	0.0339	0.0365	0.035	0.039	0.0388	0.0349	0.0403	0.0369	0.0366	0.0353	0.0323	0.0361	0.0348	0.0323	0.0332	0.0327
sad_vc_pvals	0.723	0.081	0.555	0.215	0.256	0.505	0.142	0.071	0.879	0.416	0.218	0.114	0.057	0.595	0.203	0.746	0.689	0.27	0.375	0.538	0.022	0.497	0.159	0.943	0.047	0.303	0.207	0.858	0.965	0.069	0.063	0.964	0.013	0.059	0.037	0.09	0.377	0.047	0.1	0.78	0.043	0.634	0.141	0.522	0.17	0.967	0.258	0.733	0.14	0.544	0.317	0.267	0.069	0.131	0.966	0.894	0.316	0.914	0.819	0.621	0.917	0.143	0.382	0.94	0.068	0.998	0.772	0.589	0.047	0.14	0.937	0.165	0.014	0.395	0.755	0.315	0.928	0.499	0.248	0.718	0.372	0.111	0.238	0.296	0.008	0.954	0.004	0.374	0.348	0.029	0.429	0.729	0.363	0.581	0.015	0.911	0.043	0.9	0.981	0.728
upper95_perm_sad	0.2324	0.0963	0.0571	0.0554	0.0683	0.0596	0.0622	0.0613	0.0766	0.06	0.0612	0.0517	0.0558	0.0516	0.0631	0.0489	0.0649	0.0615	0.0513	0.0528	0.0565	0.0632	0.074	0.0508	0.0532	0.0545	0.0505	0.06	0.0523	0.0498	0.067	0.0557	0.0579	0.0463	0.0589	0.0554	0.0578	0.0548	0.0502	0.0557	0.0584	0.0548	0.0583	0.0564	0.0622	0.0575	0.046	0.0541	0.0556	0.0516	0.0657	0.0535	0.0412	0.0546	0.051	0.0434	0.0647	0.0441	0.0606	0.0485	0.0464	0.0595	0.0513	0.0565	0.0614	0.0548	0.0584	0.043	0.048	0.0508	0.0547	0.0518	0.0645	0.0575	0.0481	0.0572	0.0559	0.0544	0.047	0.0583	0.0538	0.048	0.0545	0.0498	0.051	0.0549	0.0601	0.0582	0.0528	0.045	0.056	0.0631	0.0546	0.0563	0.0461	0.055	0.051	0.0492	0.0494	0.0465
lower0_perm_sad	-0.0366	-0.0156	-0.0125	-0.0109	-0.0108	-0.0098	-0.0086	-0.0095	-0.0101	-0.0111	-0.0096	-0.0091	-0.0084	-0.01	-0.0102	-0.01	-0.0087	-0.0094	-0.0099	-0.0085	-0.0105	-0.0087	-0.0122	-0.0092	-0.0085	-0.0087	-0.0086	-0.0087	-0.0079	-0.0089	-0.0113	-0.0088	-0.0094	-0.0095	-0.0083	-0.0085	-0.0088	-0.009	-0.0087	-0.0092	-0.0091	-0.0109	-0.0096	-0.0096	-0.009	-0.0104	-0.009	-0.0082	-0.0094	-0.0093	-0.0091	-0.0092	-0.0091	-0.0102	-0.0105	-0.0091	-0.0087	-0.009	-0.0099	-0.0083	-0.0091	-0.0094	-0.0088	-0.0105	-0.0086	-0.0086	-0.0081	-0.0087	-0.0096	-0.0085	-0.0086	-0.0078	-0.0088	-0.0098	-0.0086	-0.0101	-0.0099	-0.0086	-0.009	-0.0104	-0.0084	-0.0081	-0.0085	-0.0085	-0.009	-0.0092	-0.0088	-0.0098	-0.01	-0.0089	-0.0103	-0.0096	-0.0094	-0.0089	-0.0083	-0.0092	-0.0097	-0.0083	-0.0084	-0.0083
