	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0635	-0.0421	-0.0194	-0.0215	-0.0196	-0.0213	0.0396	-0.0168	-0.0209	-0.019	-0.008	-0.0163	-0.022	-0.0202	-0.0131	0.0875	-0.0145	-0.022	-0.0241	-0.0152	-0.0211	0.0073	-0.0156	-0.017	-0.0167	0.0162	0.0421	-0.0116	0.0043	-0.0147	-0.0175	0.002	0.0192	-0.0205	-0.0151	0.0059	0.0775	-0.0186	0.132	0.0014	0.0384	-0.0182	0.0024	-0.0087	-0.0173	-0.0195	0.0619	-0.0169	0.0792	-0.0093	0.0172	-0.0168	0.0178	-0.0013	0.0006	-0.0159	-0.0104	-0.0153	-0.0174	0.0055	-0.0271	-0.0116	-0.004	-0.0153	-0.0196	0.0228	0.0217	-0.0183	-0.0123	-0.0235	-0.0133	-0.0101	-0.0164	-0.0249	-0.0168	-0.0087	-0.0152	-0.0203	0.0228	0.0546	0.0009	0.0174	0.052	0.014	-0.0007	0.004	0.0252	-0.0148	-0.0236	0.0371	-0.0124	0.0605	0.0077	-0.0074	-0.0174	-0.0188	-0.0168	-0.017	-0.0145	-0.0215
direct_vc_estimate_se	1.1382	0.5892	0.272	0.301	0.2814	0.3198	0.2953	0.2689	0.3363	0.3189	0.29	0.2819	0.311	0.3105	0.3073	0.3272	0.2641	0.3081	0.3424	0.241	0.3005	0.336	0.2483	0.2646	0.2549	0.2597	0.2684	0.239	0.2405	0.2508	0.2455	0.2546	0.2564	0.2873	0.2401	0.269	0.247	0.2649	0.2783	0.3096	0.2653	0.2556	0.2701	0.2901	0.2639	0.2849	0.2432	0.2379	0.2403	0.2672	0.2725	0.2814	0.2673	0.2334	0.2972	0.2216	0.32	0.3037	0.2929	0.2827	0.4985	0.2417	0.2666	0.2627	0.2752	0.3481	0.2953	0.2803	0.2669	0.3358	0.2617	0.2556	0.2539	0.3623	0.2703	0.2516	0.2534	0.3557	0.3068	0.2786	0.2504	0.2749	0.248	0.2678	0.278	0.2398	0.2469	0.2285	0.338	0.2378	0.2404	0.2697	0.2414	0.2559	0.2593	0.2757	0.2595	0.3377	0.2167	0.3215
direct_vc_pvals	0.191	0.969	0.989	0.984	0.883	0.807	0.119	0.74	0.751	0.715	0.468	0.689	0.922	0.774	0.577	0.023	0.645	0.997	0.905	0.738	0.898	0.282	0.734	0.773	0.77	0.176	0.094	0.589	0.298	0.696	0.968	0.366	0.183	0.982	0.725	0.288	0.07	0.906	0.037	0.345	0.088	0.974	0.301	0.484	0.773	0.852	0.054	0.927	0.022	0.508	0.189	0.723	0.172	0.374	0.345	0.995	0.489	0.626	0.688	0.317	0.672	0.585	0.432	0.71	0.975	0.151	0.17	0.795	0.6	0.882	0.633	0.562	0.797	0.854	0.72	0.506	0.742	0.678	0.191	0.089	0.326	0.198	0.063	0.246	0.379	0.335	0.158	0.765	0.877	0.144	0.614	0.049	0.246	0.475	0.817	0.856	0.774	0.599	0.831	0.814
upper95_perm_direct	0.282	0.1101	0.0666	0.0875	0.0584	0.0836	0.0806	0.0642	0.0882	0.0808	0.0673	0.0761	0.0682	0.0689	0.0792	0.0662	0.075	0.0695	0.0793	0.0505	0.0844	0.0752	0.0584	0.0781	0.0719	0.0596	0.0779	0.0445	0.0627	0.0766	0.0624	0.0837	0.0666	0.0677	0.0641	0.0716	0.0963	0.0802	0.1135	0.0814	0.0545	0.074	0.0618	0.0709	0.0604	0.0718	0.0679	0.0522	0.0548	0.0735	0.065	0.0857	0.0576	0.058	0.074	0.0535	0.0738	0.0732	0.0826	0.086	0.1043	0.0611	0.0566	0.0754	0.0832	0.0687	0.0719	0.0905	0.0686	0.073	0.082	0.0708	0.0727	0.0779	0.0588	0.0611	0.0737	0.09	0.0758	0.0873	0.0574	0.0701	0.0617	0.0764	0.0688	0.0758	0.0655	0.0553	0.0912	0.0897	0.0617	0.0621	0.0589	0.0741	0.0576	0.0919	0.0686	0.0781	0.0586	0.1029
lower0_perm_direct	-0.1001	-0.0513	-0.0246	-0.0268	-0.0242	-0.0294	-0.0261	-0.0231	-0.0306	-0.0279	-0.025	-0.0252	-0.0267	-0.0274	-0.0287	-0.0289	-0.0228	-0.0264	-0.0299	-0.021	-0.0275	-0.0305	-0.0222	-0.0234	-0.0233	-0.0237	-0.0246	-0.021	-0.0211	-0.0219	-0.022	-0.0231	-0.0224	-0.0252	-0.0218	-0.0236	-0.0221	-0.0231	-0.026	-0.0263	-0.023	-0.0218	-0.0234	-0.0261	-0.0232	-0.025	-0.0218	-0.0215	-0.0219	-0.0249	-0.0232	-0.0244	-0.0235	-0.0197	-0.026	-0.0186	-0.0279	-0.0264	-0.0266	-0.0245	-0.0427	-0.0208	-0.0245	-0.0237	-0.0257	-0.0324	-0.0261	-0.024	-0.0228	-0.0305	-0.0239	-0.0232	-0.022	-0.0311	-0.0236	-0.023	-0.0227	-0.0311	-0.0265	-0.0256	-0.0224	-0.0248	-0.0212	-0.0228	-0.0252	-0.0216	-0.0211	-0.0199	-0.0288	-0.0214	-0.0207	-0.024	-0.022	-0.0238	-0.0235	-0.0232	-0.0227	-0.0304	-0.0199	-0.0286
sad_vc_estimate	0.1276	-0.0276	-0.0104	-0.0122	-0.019	-0.0224	0.0672	-0.0146	-0.0203	-0.0179	-0.0056	-0.0103	-0.016	-0.0197	0.0069	0.1282	-0.0188	-0.0217	-0.0228	-0.0155	-0.0199	0.029	-0.0162	0.0055	-0.0096	0.0415	0.0203	-0.0171	0.005	-0.0171	-0.0165	0.0153	-0.0034	-0.0096	-0.0116	0.0229	0.0645	-0.0185	0.1684	0.0001	0.0621	-0.0152	-0.0039	0.0201	-0.0069	-0.018	0.0329	-0.0168	0.0759	-0.0033	-0.0005	-0.0181	0.0052	-0.0077	0.0008	-0.0148	-0.0173	-0.0192	-0.0063	-0.0083	-0.0322	-0.0048	0.006	-0.0129	-0.0198	0.0142	-0.0176	-0.0146	-0.009	-0.024	0.0008	-0.0014	-0.0051	-0.0252	-0.0146	-0.0012	-0.0112	-0.0241	0.0301	0.053	-0.0056	0.005	0.0971	0.0241	-0.0006	0.0115	0.0472	-0.0124	-0.024	0.0185	-0.0128	0.047	-0.0117	-0.008	-0.0169	-0.0132	-0.0148	-0.0033	-0.0152	-0.0231
sad_vc_estimate_se	1.1456	0.5918	0.2736	0.3026	0.283	0.3213	0.297	0.2705	0.3379	0.3205	0.2915	0.2835	0.3126	0.3123	0.309	0.329	0.2656	0.3096	0.3442	0.2424	0.302	0.3379	0.2497	0.2661	0.2564	0.2611	0.2698	0.2404	0.2419	0.2523	0.2469	0.256	0.2578	0.2889	0.2415	0.2704	0.2485	0.2663	0.2798	0.311	0.2669	0.2569	0.2715	0.2915	0.2654	0.2863	0.2446	0.2392	0.2417	0.2685	0.2739	0.2828	0.2687	0.2348	0.2987	0.2229	0.3217	0.3053	0.2945	0.2842	0.5001	0.2431	0.2679	0.264	0.2768	0.3497	0.2967	0.2819	0.2683	0.3372	0.2632	0.257	0.2553	0.3638	0.2718	0.253	0.2548	0.3572	0.3084	0.28	0.2519	0.2763	0.2494	0.2691	0.2794	0.2412	0.2484	0.2299	0.3394	0.2392	0.2418	0.2711	0.2428	0.2573	0.2607	0.277	0.261	0.3394	0.2179	0.323
sad_vc_pvals	0.132	0.568	0.575	0.56	0.822	0.889	0.087	0.696	0.728	0.685	0.419	0.565	0.667	0.764	0.343	0.015	0.945	0.913	0.805	0.779	0.791	0.206	0.785	0.349	0.573	0.096	0.238	0.941	0.338	0.851	0.824	0.214	0.445	0.519	0.619	0.198	0.098	0.895	0.018	0.385	0.065	0.724	0.422	0.24	0.473	0.741	0.194	0.917	0.037	0.449	0.361	0.794	0.297	0.549	0.358	0.79	0.658	0.768	0.423	0.512	0.772	0.469	0.356	0.653	0.997	0.221	0.717	0.689	0.537	0.951	0.441	0.413	0.506	0.849	0.667	0.374	0.627	0.838	0.183	0.1	0.456	0.315	0.031	0.203	0.388	0.276	0.093	0.639	0.935	0.242	0.652	0.096	0.622	0.532	0.785	0.656	0.68	0.416	0.887	0.972
upper95_perm_sad	0.2819	0.1144	0.0854	0.103	0.0693	0.0883	0.0925	0.0895	0.0955	0.1046	0.0777	0.0977	0.0844	0.0845	0.1028	0.0826	0.0908	0.1047	0.0974	0.076	0.1025	0.0935	0.0636	0.0883	0.0723	0.0673	0.0957	0.0566	0.0846	0.0854	0.0746	0.0775	0.0791	0.0828	0.0793	0.0873	0.0919	0.0956	0.117	0.0943	0.0722	0.0899	0.0674	0.0858	0.0897	0.0775	0.0874	0.0676	0.0653	0.0855	0.0729	0.0979	0.0683	0.0785	0.0795	0.0678	0.1067	0.0917	0.0845	0.0853	0.1184	0.0701	0.0881	0.0931	0.0954	0.0763	0.0975	0.1019	0.0815	0.0802	0.0879	0.0958	0.0926	0.0975	0.0777	0.0752	0.0973	0.0958	0.096	0.0844	0.0722	0.0915	0.0816	0.0861	0.0801	0.0857	0.0744	0.0686	0.0845	0.092	0.0848	0.0754	0.0629	0.0711	0.0834	0.0928	0.0781	0.0913	0.0674	0.1127
lower0_perm_sad	-0.1069	-0.0527	-0.0232	-0.0269	-0.0241	-0.0278	-0.0273	-0.0234	-0.0293	-0.0285	-0.0269	-0.0239	-0.0277	-0.028	-0.0283	-0.03	-0.0243	-0.0267	-0.0294	-0.0221	-0.0271	-0.03	-0.0228	-0.0232	-0.0219	-0.024	-0.0235	-0.0203	-0.0212	-0.0223	-0.022	-0.0228	-0.0234	-0.0262	-0.0204	-0.0239	-0.0219	-0.0236	-0.0253	-0.028	-0.0244	-0.0236	-0.0241	-0.0265	-0.0239	-0.0241	-0.0212	-0.0216	-0.0218	-0.0244	-0.0245	-0.0244	-0.0241	-0.0199	-0.0264	-0.0196	-0.0273	-0.0278	-0.0265	-0.0249	-0.0443	-0.0226	-0.0235	-0.0241	-0.0252	-0.0308	-0.0252	-0.0248	-0.0237	-0.0292	-0.0235	-0.0229	-0.0221	-0.0325	-0.0245	-0.0217	-0.0224	-0.0301	-0.0266	-0.0245	-0.0215	-0.0241	-0.0216	-0.025	-0.0253	-0.021	-0.022	-0.0202	-0.0288	-0.0215	-0.0218	-0.0246	-0.0217	-0.0222	-0.0218	-0.0239	-0.0227	-0.0303	-0.019	-0.0298
covar_vc_estimate	-0.1857	0.0865	0.0384	0.0437	0.0386	0.0477	-0.1043	0.0316	0.0412	0.0369	0.0137	0.0278	0.0418	0.0398	0.0118	-0.2127	0.0361	0.0441	0.0505	0.0306	0.0414	-0.0335	0.0317	0.0242	0.0291	-0.0543	-0.0601	0.0326	-0.0094	0.0394	0.0354	-0.0157	-0.0108	0.042	0.0275	-0.0267	-0.1417	0.037	-0.2985	-0.0016	-0.0985	0.0373	0.0019	-0.0028	0.0291	0.0378	-0.0916	0.0337	-0.1551	0.0132	-0.014	0.0349	-0.0218	0.0097	-0.0016	0.0318	0.0289	0.0352	0.0274	0.0053	0.0602	0.0177	-0.0008	0.0284	0.0394	-0.0367	0.0173	0.0338	0.0216	0.0475	0.0168	0.013	0.0266	0.05	0.0316	0.011	0.0272	0.0454	-0.0528	-0.1077	0.0053	-0.0212	-0.1435	-0.0375	0.0012	-0.015	-0.0702	0.0277	0.0491	-0.0537	0.0252	-0.107	0.0106	0.0153	0.0399	0.0345	0.032	0.0238	0.0298	0.0455
covar_vc_estimate_se	2.3472	1.2481	0.6117	0.67	0.6307	0.7077	0.6586	0.6054	0.741	0.7061	0.6478	0.6317	0.6901	0.6893	0.6828	0.7227	0.5958	0.6843	0.7532	0.5492	0.669	0.7404	0.5639	0.5969	0.5773	0.5868	0.6044	0.5452	0.5482	0.569	0.5584	0.5767	0.5802	0.6425	0.5474	0.6056	0.5614	0.5975	0.6243	0.6872	0.5983	0.5786	0.6078	0.6481	0.5954	0.6376	0.5536	0.5429	0.5478	0.6019	0.6126	0.6305	0.6022	0.534	0.6624	0.5102	0.7083	0.6755	0.6537	0.6332	1.0664	0.5507	0.6008	0.593	0.6182	0.7647	0.6585	0.6284	0.6013	0.74	0.5909	0.5787	0.5752	0.7931	0.6083	0.5705	0.5742	0.7799	0.6817	0.6251	0.5683	0.6174	0.5634	0.6031	0.6237	0.5468	0.5611	0.5241	0.7444	0.5429	0.5481	0.6071	0.55	0.5793	0.5861	0.619	0.5865	0.7438	0.5001	0.7113
