	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0243	0.0041	-0.0007	0.0007	-0.0005	-0.0002	-0.0003	-0.0001	-0.0002	0.0007	0.0002	0.0149	0.0028	-0.0006	-0.0005	0.0106	-0.0	0.0037	0.0009	0.0002	0.0001	0.0065	-0.0002	0.0023	0.0025	-0.0006	0.0005	0.013	-0.0004	0.0085	0.0028	0.0021	-0.0002	-0.0	-0.0003	0.0066	0.0111	0.0005	-0.0005	0.0042	-0.0006	0.0011	-0.0	0.0003	0.0085	-0.0007	0.001	0.0036	0.0004	0.0228	0.0054	-0.0001	0.0003	0.0001	0.0102	0.0005	0.0035	-0.0006	0.0001	-0.0	-0.0006	-0.0005	0.0018	-0.0001	0.0042	0.0001	0.0004	0.0028	0.0092	-0.0003	0.0003	0.0185	0.0107	0.0006	0.0008	0.0049	-0.0005	-0.0003	0.0018	0.0012	-0.0	-0.0001	0.007	-0.0004	0.0004	-0.0005	0.0025	0.0001	0.0032	0.0036	0.0007	0.0014	0.0	-0.0004	0.0116	0.0136	0.0111	0.0067	0.0009	0.0026
direct_vc_estimate_se	0.0135	0.0062	0.0048	0.0039	0.0037	0.0043	0.0044	0.0049	0.0043	0.0044	0.0045	0.0044	0.0045	0.0044	0.0042	0.0057	0.0044	0.0054	0.0053	0.005	0.0042	0.0045	0.0043	0.0047	0.0041	0.0045	0.005	0.0044	0.0043	0.0044	0.0042	0.004	0.0039	0.0037	0.0044	0.0039	0.0054	0.0047	0.0038	0.004	0.0039	0.0044	0.004	0.0043	0.0036	0.0046	0.0034	0.0037	0.0041	0.0044	0.0042	0.0038	0.0042	0.0041	0.0035	0.0036	0.0043	0.0039	0.0042	0.0042	0.0041	0.0036	0.0035	0.0035	0.0037	0.0038	0.0044	0.0042	0.0047	0.0043	0.0048	0.0042	0.0041	0.0039	0.0037	0.0034	0.0036	0.0033	0.0038	0.0042	0.0045	0.0051	0.0042	0.0042	0.0038	0.0038	0.0038	0.0038	0.0036	0.0045	0.0039	0.0036	0.0038	0.0043	0.0035	0.004	0.0039	0.0043	0.004	0.0034
direct_vc_pvals	0.097	0.407	0.97	0.428	0.972	0.747	0.765	0.719	0.788	0.52	0.682	0.037	0.33	0.975	0.913	0.172	0.596	0.366	0.621	0.66	0.66	0.253	0.731	0.38	0.301	0.944	0.62	0.035	0.807	0.116	0.475	0.405	0.745	0.608	0.784	0.073	0.258	0.599	0.899	0.167	0.989	0.519	0.667	0.696	0.099	0.984	0.381	0.152	0.646	0.025	0.225	0.716	0.679	0.588	0.088	0.584	0.284	0.985	0.605	0.693	0.962	0.978	0.364	0.61	0.249	0.566	0.578	0.302	0.136	0.795	0.637	0.047	0.095	0.601	0.545	0.202	0.966	0.772	0.44	0.462	0.647	0.741	0.189	0.801	0.546	0.919	0.303	0.608	0.227	0.3	0.608	0.42	0.674	0.823	0.055	0.027	0.011	0.102	0.45	0.224
upper95_perm_direct	0.0322	0.0228	0.0107	0.0072	0.0083	0.0126	0.0118	0.0147	0.0126	0.0108	0.0171	0.0123	0.0113	0.0098	0.0108	0.0228	0.0081	0.0168	0.0216	0.0171	0.0104	0.0174	0.0121	0.0133	0.0096	0.0133	0.0166	0.0108	0.0136	0.014	0.0175	0.0124	0.0119	0.0074	0.0158	0.0074	0.0282	0.0108	0.0074	0.0084	0.011	0.0128	0.0081	0.0182	0.0117	0.0115	0.0065	0.0077	0.0139	0.0172	0.0129	0.0125	0.0173	0.0079	0.0129	0.0104	0.0125	0.0143	0.0097	0.0121	0.0097	0.0109	0.0105	0.0059	0.0114	0.0062	0.0125	0.0108	0.0139	0.0104	0.0155	0.0172	0.0137	0.0138	0.0124	0.0106	0.0088	0.0069	0.013	0.0116	0.0094	0.0215	0.0141	0.0104	0.0099	0.0083	0.0091	0.0076	0.01	0.0135	0.0148	0.0102	0.0123	0.0162	0.0121	0.011	0.006	0.0095	0.0091	0.0073
lower0_perm_direct	-0.0022	-0.001	-0.0008	-0.0006	-0.0007	-0.0008	-0.0007	-0.0009	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0009	-0.0007	-0.0008	-0.0009	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0009	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0005	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006
sad_vc_estimate	0.0863	0.0204	0.0004	0.0	0.0008	0.0004	0.007	0.001	0.0025	0.0004	0.0006	0.0425	0.0048	0.0002	0.0002	0.0252	-0.0002	0.0327	0.0167	0.0069	0.002	0.0184	-0.0003	0.0022	0.0035	0.0007	0.0	0.0383	-0.0005	0.0274	0.0047	0.0129	-0.0004	-0.0005	-0.0004	0.0251	0.0386	0.0118	-0.0006	0.0039	0.0011	0.0044	0.0053	0.0103	0.0266	0.0	0.0087	0.0117	0.0076	0.069	0.0422	0.0012	0.0	0.0091	0.0427	0.0068	0.0091	0.0009	0.0023	-0.0001	0.0002	-0.0004	0.0069	0.0003	0.0263	-0.0005	0.0046	0.008	0.0203	-0.0003	0.011	0.0588	0.0338	0.0015	0.0055	0.0142	-0.0005	0.0003	0.0077	0.0024	0.0004	0.0031	0.0201	-0.0006	0.0036	0.0	0.0041	0.0012	0.0044	0.0149	0.0019	0.0066	0.0053	-0.0004	0.0167	0.0676	0.0371	0.0224	0.0084	0.0091
sad_vc_estimate_se	0.0139	0.0064	0.005	0.004	0.0038	0.0044	0.0045	0.0051	0.0045	0.0045	0.0047	0.0045	0.0046	0.0045	0.0044	0.0059	0.0045	0.0056	0.0054	0.0052	0.0043	0.0047	0.0044	0.0049	0.0042	0.0047	0.0052	0.0045	0.0044	0.0046	0.0044	0.0041	0.0041	0.0038	0.0046	0.004	0.0056	0.0049	0.004	0.0041	0.0041	0.0046	0.0042	0.0045	0.0037	0.0047	0.0035	0.0038	0.0043	0.0045	0.0043	0.004	0.0044	0.0043	0.0036	0.0037	0.0044	0.004	0.0044	0.0044	0.0042	0.0038	0.0037	0.0036	0.0039	0.0039	0.0046	0.0044	0.0048	0.0044	0.005	0.0044	0.0043	0.004	0.0038	0.0035	0.0037	0.0034	0.004	0.0044	0.0046	0.0053	0.0044	0.0044	0.0039	0.0039	0.004	0.0039	0.0037	0.0047	0.004	0.0037	0.0039	0.0044	0.0037	0.0041	0.004	0.0044	0.0041	0.0035
sad_vc_pvals	0.1	0.318	0.759	0.756	0.691	0.766	0.418	0.753	0.643	0.774	0.759	0.091	0.497	0.765	0.81	0.254	0.822	0.165	0.361	0.496	0.611	0.305	0.858	0.637	0.546	0.743	0.807	0.05	0.926	0.12	0.61	0.305	0.916	0.907	0.895	0.065	0.249	0.299	0.961	0.485	0.73	0.532	0.406	0.486	0.162	0.784	0.239	0.197	0.465	0.039	0.057	0.703	0.84	0.288	0.072	0.437	0.34	0.746	0.603	0.848	0.757	0.913	0.386	0.711	0.123	0.899	0.468	0.354	0.227	0.861	0.359	0.057	0.109	0.68	0.444	0.218	0.998	0.754	0.445	0.62	0.729	0.664	0.215	0.973	0.497	0.755	0.512	0.592	0.457	0.31	0.691	0.354	0.499	0.894	0.223	0.017	0.025	0.111	0.315	0.26
upper95_perm_sad	0.1196	0.0657	0.0432	0.0258	0.0267	0.0402	0.0407	0.06	0.0459	0.0411	0.059	0.0536	0.0387	0.0361	0.0396	0.0711	0.0301	0.0632	0.0694	0.0545	0.0409	0.0591	0.0364	0.0425	0.0345	0.0442	0.06	0.0357	0.0481	0.0392	0.0609	0.0437	0.043	0.0257	0.0501	0.0264	0.0823	0.0373	0.0327	0.0315	0.0425	0.0461	0.0295	0.0636	0.0464	0.0388	0.0214	0.0263	0.0516	0.0608	0.0439	0.0426	0.0598	0.0304	0.0467	0.0357	0.0453	0.0507	0.0328	0.0462	0.0349	0.0361	0.0311	0.0177	0.0402	0.0242	0.0381	0.0336	0.052	0.0335	0.0482	0.0629	0.0454	0.0444	0.0382	0.0342	0.0286	0.0277	0.043	0.0423	0.036	0.0628	0.0475	0.0433	0.0284	0.0276	0.0379	0.0245	0.0317	0.0498	0.0513	0.0331	0.0469	0.0496	0.041	0.0401	0.0271	0.0294	0.0331	0.0266
lower0_perm_sad	-0.0022	-0.001	-0.0008	-0.0006	-0.0006	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0009	-0.0007	-0.0009	-0.0009	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0009	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0009	-0.0008	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005
