	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1073	-0.0612	-0.0431	0.0427	0.0572	0.1687	0.0031	0.0106	-0.0154	0.0084	-0.0541	0.034	-0.0626	0.2573	-0.0531	-0.0007	0.1346	-0.0201	-0.005	0.2367	0.0227	0.0309	0.0907	-0.0513	0.0698	-0.0392	0.2274	0.0431	0.0246	-0.0271	0.2627	0.0108	-0.0775	0.0075	0.0198	0.0002	0.122	-0.0509	0.133	-0.0174	-0.0314	0.1326	-0.0161	0.0231	0.0387	-0.0298	-0.0258	0.0052	-0.0302	-0.0316	-0.0081	0.0179	0.0872	0.0256	0.0505	0.0508	-0.0119	-0.0445	0.1533	0.2267	-0.0294	0.0345	0.0681	-0.0421	0.1681	-0.0368	0.0516	-0.0274	0.3082	0.1619	-0.0189	0.1414	-0.0376	0.1171	-0.0634	0.4699	0.0786	0.0036	-0.0307	-0.0355	-0.0572	-0.0189	0.07	-0.0218	-0.0268	0.0016	0.01	0.0139	0.0665	-0.0134	-0.0271	-0.0138	-0.0098	-0.0363	-0.0354	-0.0528	-0.0254	0.0005	-0.0286	-0.0296
direct_vc_estimate_se	0.014	0.0088	0.0063	0.0036	0.0073	0.0063	0.0039	0.003	0.0054	0.005	0.0074	0.0066	0.0082	0.0059	0.0072	0.0032	0.0077	0.0053	0.0054	0.0056	0.0046	0.0065	0.0065	0.0065	0.0081	0.0046	0.0037	0.0068	0.0069	0.0087	0.0054	0.0041	0.0103	0.0109	0.0039	0.0087	0.005	0.006	0.005	0.0055	0.0056	0.0065	0.0038	0.0052	0.0046	0.0036	0.0049	0.0044	0.0037	0.0043	0.004	0.0035	0.0037	0.0081	0.0045	0.0043	0.0068	0.0052	0.0088	0.0046	0.007	0.0044	0.0047	0.0048	0.0059	0.0046	0.0046	0.0032	0.0052	0.0077	0.0023	0.0052	0.0047	0.0049	0.0078	0.0044	0.0049	0.0037	0.0039	0.0042	0.0067	0.0051	0.005	0.0032	0.0054	0.0056	0.0042	0.0034	0.0049	0.0033	0.0035	0.0029	0.0054	0.0041	0.004	0.006	0.0042	0.0053	0.0047	0.0048
direct_vc_pvals	0.698	0.724	0.612	0.366	0.273	0.279	0.49	0.473	0.531	0.346	0.696	0.322	0.809	0.018	0.922	0.328	0.159	0.628	0.381	0.095	0.391	0.432	0.372	0.799	0.391	0.863	0.131	0.321	0.351	0.566	0.069	0.254	0.763	0.234	0.479	0.544	0.072	0.929	0.098	0.55	0.542	0.134	0.462	0.504	0.32	0.88	0.554	0.551	0.718	0.699	0.72	0.168	0.248	0.295	0.353	0.282	0.503	0.882	0.221	0.004	0.635	0.294	0.213	0.928	0.122	0.821	0.199	0.861	0.04	0.285	0.841	0.404	0.827	0.068	0.666	0.04	0.311	0.465	0.853	0.87	0.889	0.582	0.031	0.733	0.629	0.499	0.585	0.368	0.263	0.52	0.792	0.436	0.695	0.967	0.899	0.965	0.602	0.509	0.636	0.714
upper95_perm_direct	0.3292	0.3595	0.1396	0.1902	0.3331	0.4322	0.229	0.2426	0.2473	0.157	0.1898	0.2694	0.432	0.2039	0.6157	0.0821	0.3316	0.3257	0.1313	0.345	0.2244	0.4111	0.4666	0.2522	0.6456	0.2061	0.366	0.3195	0.3195	0.2621	0.3499	0.117	0.3972	0.1826	0.3776	0.436	0.1687	0.2343	0.2172	0.2528	0.1484	0.272	0.1022	0.4749	0.239	0.3036	0.106	0.311	0.0524	0.1587	0.2385	0.07	0.2818	0.2761	0.3833	0.2404	0.2724	0.2057	0.4137	0.155	0.215	0.2237	0.2243	0.1993	0.2769	0.2708	0.1596	0.0985	0.3319	0.5486	0.0778	0.5132	0.2477	0.1596	0.0546	0.4998	0.424	0.162	0.2527	0.1644	0.4408	0.245	0.0586	0.235	0.2305	0.3764	0.4292	0.1967	0.2921	0.1394	0.1035	0.0474	0.3996	0.099	0.0529	0.0802	0.1185	0.2958	0.1797	0.2729
lower0_perm_direct	-0.1866	-0.1146	-0.0846	-0.0483	-0.1003	-0.0835	-0.0521	-0.0398	-0.0711	-0.0704	-0.0975	-0.0877	-0.1081	-0.0805	-0.0891	-0.0426	-0.1044	-0.0709	-0.0719	-0.0723	-0.0588	-0.0858	-0.0861	-0.0902	-0.1056	-0.0619	-0.0518	-0.0913	-0.0912	-0.1137	-0.0712	-0.0545	-0.136	-0.1435	-0.0532	-0.1111	-0.071	-0.0817	-0.0658	-0.0731	-0.0734	-0.086	-0.0499	-0.0686	-0.061	-0.0461	-0.0665	-0.0597	-0.0496	-0.0583	-0.052	-0.0489	-0.0497	-0.1092	-0.0617	-0.0572	-0.089	-0.0733	-0.1172	-0.0593	-0.0924	-0.0587	-0.0612	-0.0664	-0.0774	-0.061	-0.0612	-0.0441	-0.0676	-0.1021	-0.0299	-0.0679	-0.0653	-0.0645	-0.105	-0.0577	-0.064	-0.0501	-0.052	-0.0552	-0.0927	-0.0725	-0.0699	-0.0419	-0.0745	-0.0746	-0.0598	-0.0465	-0.0663	-0.0451	-0.0469	-0.04	-0.0717	-0.0559	-0.0567	-0.0847	-0.0568	-0.0684	-0.0653	-0.0643
sad_vc_estimate	-0.124	-0.0748	-0.0482	0.0621	0.1152	0.2158	-0.0049	0.0297	-0.0374	0.0108	-0.0053	0.07	-0.0691	0.1975	-0.0066	0.0054	0.0425	0.003	0.0114	0.1739	-0.0009	0.077	0.0814	-0.0447	0.0991	-0.0396	0.3128	0.0456	0.0759	0.0687	0.2001	0.0014	-0.0905	0.0303	0.0582	0.05	0.2349	-0.0419	0.1822	-0.0141	-0.0005	0.1342	0.0041	0.0716	0.0309	-0.0298	-0.017	-0.0018	-0.0305	-0.0339	-0.0077	0.0207	0.071	0.0319	0.0643	0.0341	0.0739	-0.0266	0.1731	0.2518	0.0173	0.0589	0.1111	-0.0344	0.1481	-0.0253	0.0617	-0.0243	0.3575	0.2837	-0.0199	0.2157	-0.0412	0.0903	-0.0631	0.5248	0.1	-0.0019	-0.0219	-0.0371	-0.0591	-0.0128	0.0827	-0.0104	-0.015	0.0043	0.0172	0.0073	0.0976	-0.0222	-0.0231	-0.0216	-0.0152	-0.0313	-0.0344	-0.0452	-0.0257	0.0119	-0.0229	-0.0145
sad_vc_estimate_se	0.014	0.0088	0.0063	0.0036	0.0073	0.0063	0.0039	0.003	0.0054	0.005	0.0074	0.0066	0.0082	0.0059	0.0072	0.0032	0.0078	0.0053	0.0054	0.0056	0.0046	0.0065	0.0065	0.0065	0.0081	0.0046	0.0037	0.0068	0.0069	0.0087	0.0054	0.0041	0.0103	0.0109	0.0039	0.0087	0.005	0.006	0.005	0.0055	0.0056	0.0065	0.0038	0.0052	0.0046	0.0036	0.0049	0.0044	0.0037	0.0044	0.004	0.0035	0.0037	0.0081	0.0045	0.0043	0.0068	0.0052	0.0089	0.0046	0.007	0.0044	0.0047	0.0048	0.0059	0.0046	0.0046	0.0032	0.0052	0.0077	0.0023	0.0052	0.0047	0.0049	0.0078	0.0044	0.0049	0.0037	0.0039	0.0042	0.0067	0.0051	0.005	0.0032	0.0054	0.0056	0.0042	0.0034	0.0049	0.0033	0.0035	0.0029	0.0054	0.0041	0.004	0.006	0.0042	0.0053	0.0047	0.0048
sad_vc_pvals	0.983	0.896	0.721	0.349	0.282	0.277	0.588	0.46	0.757	0.361	0.503	0.275	0.905	0.055	0.759	0.331	0.337	0.506	0.354	0.266	0.606	0.382	0.412	0.739	0.362	0.888	0.086	0.368	0.3	0.359	0.174	0.387	0.971	0.276	0.388	0.414	0.029	0.913	0.078	0.587	0.397	0.159	0.372	0.416	0.397	0.899	0.523	0.635	0.792	0.786	0.755	0.156	0.295	0.35	0.364	0.372	0.396	0.692	0.252	0.013	0.598	0.247	0.219	0.739	0.224	0.693	0.236	0.709	0.053	0.212	0.947	0.332	0.94	0.08	0.724	0.049	0.316	0.472	0.737	0.948	0.989	0.531	0.038	0.671	0.644	0.536	0.584	0.478	0.275	0.715	0.722	0.716	0.77	0.751	0.884	0.655	0.638	0.544	0.566	0.632
upper95_perm_sad	0.6039	0.4595	0.1889	0.2504	0.4759	0.5157	0.3069	0.3102	0.3308	0.242	0.3249	0.3625	0.5035	0.2399	0.718	0.1084	0.3688	0.3739	0.1801	0.4555	0.2568	0.6015	0.539	0.3767	0.65	0.2393	0.403	0.4298	0.4088	0.4511	0.4314	0.1602	0.6255	0.3562	0.4742	0.526	0.2181	0.392	0.2439	0.3531	0.1831	0.3082	0.1277	0.5463	0.2928	0.3786	0.192	0.3851	0.0713	0.2285	0.2908	0.0684	0.3107	0.3481	0.4996	0.2593	0.3869	0.3167	0.5556	0.2052	0.3548	0.2499	0.3493	0.2373	0.3563	0.3098	0.2334	0.0856	0.4327	0.7852	0.097	0.5924	0.3362	0.1356	0.1346	0.5946	0.5393	0.1988	0.3042	0.1825	0.613	0.2883	0.0769	0.2636	0.322	0.4462	0.5048	0.23	0.4331	0.1744	0.1268	0.0755	0.5438	0.1322	0.0783	0.0995	0.1385	0.4097	0.1909	0.3625
lower0_perm_sad	-0.1822	-0.1186	-0.0889	-0.0482	-0.0991	-0.0798	-0.0524	-0.0417	-0.0715	-0.0678	-0.0977	-0.0911	-0.1078	-0.0775	-0.101	-0.0427	-0.1027	-0.0722	-0.0725	-0.0725	-0.0604	-0.0895	-0.0892	-0.0905	-0.1031	-0.0632	-0.0475	-0.0959	-0.0947	-0.1201	-0.0694	-0.0551	-0.138	-0.146	-0.0519	-0.1132	-0.0689	-0.0762	-0.0669	-0.0726	-0.0755	-0.0872	-0.051	-0.0674	-0.0623	-0.0469	-0.0639	-0.057	-0.0494	-0.0578	-0.053	-0.0497	-0.0481	-0.1081	-0.0601	-0.0548	-0.0892	-0.0706	-0.1161	-0.0579	-0.0948	-0.0586	-0.0629	-0.0658	-0.0772	-0.0638	-0.0605	-0.0426	-0.0709	-0.1021	-0.0301	-0.069	-0.0667	-0.0696	-0.1068	-0.0574	-0.0641	-0.05	-0.0525	-0.0563	-0.0887	-0.0668	-0.0669	-0.0417	-0.0697	-0.0778	-0.0546	-0.0448	-0.0641	-0.0431	-0.0477	-0.0399	-0.069	-0.0558	-0.0561	-0.082	-0.0564	-0.0703	-0.0622	-0.0629
