	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0082	0.0531	0.0174	0.0031	0.0208	0.0013	-0.0006	-0.0009	0.0073	-0.0005	0.0008	0.002	0.0033	-0.001	0.0031
direct_vc_estimate_se	0.0287	0.0136	0.0093	0.0092	0.0085	0.009	0.0096	0.0089	0.0089	0.0081	0.0082	0.0089	0.0088	0.0084	0.0083
direct_vc_pvals	0.279	0.001	0.014	0.252	0.001	0.432	0.672	0.872	0.134	0.705	0.42	0.401	0.251	0.97	0.258
upper975_perm_direct	0.0663	0.0354	0.0214	0.019	0.0192	0.0267	0.0191	0.0176	0.0284	0.02	0.0199	0.0291	0.0233	0.0176	0.0244
lower025_perm_direct	-0.0054	-0.0026	-0.0017	-0.0017	-0.0016	-0.0017	-0.0018	-0.0016	-0.0017	-0.0015	-0.0016	-0.0017	-0.0016	-0.0016	-0.0016
sad_vc_estimate	0.0012	0.0287	0.0018	-0.0011	0.0003	-0.0008	-0.0012	-0.0009	-0.001	0.0016	-0.0008	-0.0011	-0.0008	0.0014	-0.0009
sad_vc_estimate_se	0.0301	0.0142	0.0098	0.0096	0.0089	0.0095	0.0101	0.0094	0.0093	0.0085	0.0086	0.0093	0.0093	0.0088	0.0087
sad_vc_pvals	0.295	0.0	0.191	0.828	0.353	0.702	0.906	0.716	0.867	0.165	0.726	0.932	0.685	0.205	0.841
upper975_perm_sad	0.0296	0.0133	0.0114	0.008	0.0108	0.0111	0.0088	0.0098	0.013	0.009	0.0098	0.0105	0.0105	0.0105	0.0131
lower025_perm_sad	-0.0057	-0.0027	-0.0018	-0.0018	-0.0017	-0.0018	-0.002	-0.0018	-0.0017	-0.0016	-0.0016	-0.0018	-0.0018	-0.0017	-0.0016
covar_vc_estimate	0.0213	0.0846	0.0169	0.0011	-0.0087	0.0005	0.0021	0.0023	0.0008	0.004	0.0007	0.0024	0.0041	0.0021	0.0009
covar_vc_estimate_se	0.1311	0.0856	0.0697	0.0691	0.0665	0.0686	0.071	0.0683	0.0681	0.0647	0.065	0.068	0.0677	0.0658	0.0656
covar_vc_pvals	0.004	0.0	0.0	0.499	0.075	0.462	0.381	0.201	0.496	0.048	0.454	0.188	0.06	0.21	0.494
upper975_perm_covar	0.0226	0.0114	0.0079	0.0073	0.0069	0.0083	0.0082	0.0074	0.0076	0.0077	0.0075	0.0085	0.008	0.0066	0.0069
lower025_perm_covar	-0.07	-0.0323	-0.0253	-0.0196	-0.0224	-0.0233	-0.019	-0.0205	-0.0291	-0.0212	-0.0198	-0.0283	-0.023	-0.0205	-0.0302
